代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13640188.580000000074506
真實報酬,3640188.580000000074506

夏普值報酬,0.355318858000000
夏普值風險,0.095406063722761
夏普值,3.724279612169251

二次趨勢線,52.839530044090658 x^2 + 695.971512773674363 x + 10000000.000000000000000
二次加權預期報酬,18485.279960950865643
風險,134192.880135728890309
二次加權趨勢值,0.137751570293849
一次趨勢線,10702.418277598560962 x + 10000000.000000000000000
一次預期報酬,10702.418277598560962
一次風險,400186.162244890350848
一次趨勢值,0.026743599072897
找到最佳解世代,1724
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](3),MCD[15](1),MMM[16](4),MSFT[18](2),V[25](5),
Stock#,BA[2](3),MCD[15](1),MMM[16](4),MSFT[18](2),V[25](5),
張數,15013,16947,11217,35348,25555,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,118.269999999785796,84.530000000027940,121.070000000065193,10.160000000149012,65.699999999953434,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1975829.069999999599531,1994746.430000000167638,2000785.190000000176951,2000000.000000000000000,2000511.100000000093132,9971871.790000000968575
FS( 3 ),1979882.579999999841675,1991695.969999999972060,2001009.530000000027940,2013785.720000000204891,2011499.749999999767169,9997873.550000000745058
FS( 4 ),1969974.000000000000000,2004914.629999999888241,1994615.840000000083819,2028631.880000000121072,2031177.100000000093132,10029313.449999999254942
FS( 5 ),1977780.759999999543652,2020336.399999999906868,2003140.760000000009313,2048780.240000000223517,2048043.399999999906868,10098081.559999998658895
FS( 6 ),1984686.739999999757856,2004745.160000000149012,2003252.930000000167638,2052315.040000000270084,2043187.949999999953434,10088187.820000000298023
FS( 7 ),1991142.329999999841675,2005084.100000000093132,2001121.699999999953434,2057263.760000000242144,2045999.000000000000000,10100610.890000000596046
FS( 8 ),1986037.909999999916181,2013388.129999999888241,2005945.010000000009313,2050901.120000000344589,2036288.100000000093132,10092560.269999999552965
FS( 9 ),1996847.269999999785796,2023217.389999999897555,2030398.070000000065193,2060798.560000000055879,2047532.300000000046566,10158793.589999999850988
FS( 10 ),1998348.569999999599531,2025589.969999999972060,2022209.660000000149012,2048073.280000000027940,2044976.799999999813735,10139198.279999999329448
