代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13869999.679999999701977
真實報酬,3869999.679999999701977

夏普值報酬,0.378299968000000
夏普值風險,0.094192693687375
夏普值,4.016234733190398

二次趨勢線,31.165633240868658 x^2 + 6550.372520179334060 x + 10000000.000000000000000
二次加權預期報酬,17042.802377938449354
風險,240085.486394684761763
二次加權趨勢值,0.070986391696836
一次趨勢線,12452.341172371898210 x + 10000000.000000000000000
一次預期報酬,12452.341172371898210
一次風險,327245.553979490709025
一次趨勢值,0.038051979686032
找到最佳解世代,1699
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MRK[17](6),MSFT[18](2),NKE[19](3),V[25](1),
Stock#,MRK[17](6),MSFT[18](2),NKE[19](3),V[25](1),
張數,39166,33811,46851,24061,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,34.220000000204891,14.660000000149012,30.640000000130385,62.100000000093132,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2491775.140000000130385,2488842.370000000111759,2483602.149999999906868,2478585.710000000428408,9942805.370000001043081
FS( 3 ),2506658.220000000204891,2481742.060000000521541,2471889.399999999906868,2482676.080000000074506,9942965.760000001639128
FS( 4 ),2519191.339999999850988,2513524.400000000372529,2454554.530000000260770,2515880.260000000242144,10003150.530000001192093
FS( 5 ),2517233.040000000037253,2501352.440000000409782,2445652.840000000316650,2512752.330000000074506,9976990.650000000372529
FS( 6 ),2550915.799999999813735,2527725.020000000484288,2484539.170000000391155,2554137.250000000000000,10117317.240000000223517
FS( 7 ),2563840.580000000074506,2525020.140000000596046,2501874.040000000037253,2555580.910000000149012,10146315.670000001788139
FS( 8 ),2563448.920000000391155,2542939.969999999739230,2507496.160000000149012,2546437.729999999981374,10160322.780000001192093
FS( 9 ),2589690.140000000596046,2528063.129999999888241,2517334.870000000111759,2552452.979999999981374,10187541.120000001043081
FS( 10 ),2591256.780000000260770,2546321.070000000298023,2523894.010000000242144,2533685.399999999906868,10195157.260000001639128
FS( 11 ),2584598.560000000055879,2541249.419999999925494,2506559.140000000130385,2522376.729999999981374,10154783.850000001490116
FS( 12 ),2583031.920000000391155,2550716.500000000000000,2498594.470000000204891,2536332.109999999869615,10168675.000000000000000
FS( 13 ),2576765.360000000335276,2533811.000000000000000,2509370.200000000186265,2536332.109999999869615,10156278.669999999925494
FS( 14 ),2569323.819999999832362,2509128.969999999739230,2492035.330000000074506,2533926.010000000242144,10104414.129999998956919
FS( 15 ),2550915.799999999813735,2515891.169999999925494,2494377.880000000353903,2539941.260000000242144,10101126.109999999403954
FS( 16 ),2552874.100000000558794,2477008.520000000484288,2493909.370000000111759,2478826.319999999832362,10002618.310000000521541
FS( 17 ),2536424.380000000353903,2477008.520000000484288,2515929.340000000316650,2476901.439999999944121,10006263.679999999701977
FS( 18 ),2528982.839999999850988,2496957.009999999776483,2467672.810000000055879,2499759.390000000130385,9993372.050000000745058
FS( 19 ),2518016.360000000335276,2497633.230000000447035,2465798.770000000018626,2516361.479999999981374,9997809.840000001713634
FS( 20 ),2507833.200000000186265,2518596.049999999813735,2429254.990000000223517,2516361.479999999981374,9972045.720000000670552
FS( 21 ),2528199.520000000018626,2522653.370000000111759,2430192.010000000242144,2537053.939999999944121,10018098.839999999850988
FS( 22 ),2521149.640000000596046,2510819.520000000484288,2411451.609999999869615,2540663.090000000316650,9984083.860000001266599
FS( 23 ),2530157.819999999832362,2525358.250000000000000,2440030.720000000204891,2533926.010000000242144,10029472.800000000745058
FS( 24 ),2530157.819999999832362,2568636.330000000074506,2444715.820000000298023,2556302.739999999757856,10099812.710000000894070
FS( 25 ),2528199.520000000018626,2569650.660000000149012,2455960.060000000055879,2568092.630000000353903,10121902.870000001043081
FS( 26 ),2519583.000000000000000,2579455.850000000558794,2413794.160000000149012,2574829.710000000428408,10087662.720000000670552
FS( 27 ),2524674.580000000074506,2579455.850000000558794,2414262.670000000391155,2582048.010000000242144,10100441.110000001266599
FS( 28 ),2498041.700000000186265,2583851.280000000260770,2390837.170000000391155,2609236.939999999944121,10081967.089999999850988
FS( 29 ),2500000.000000000000000,2607518.980000000447035,2381466.970000000204891,2601296.810000000055879,10090282.760000001639128
FS( 30 ),2482766.960000000428408,2620029.049999999813735,2388494.620000000111759,2614530.359999999869615,10105820.990000000223517
FS( 31 ),2480808.660000000149012,2625438.810000000521541,2406766.510000000242144,2605868.399999999906868,10118882.380000000819564
FS( 32 ),2476108.740000000223517,2623410.150000000372529,2436282.640000000130385,2587582.040000000037253,10123383.570000000298023
FS( 33 ),2487466.880000000353903,2624086.370000000111759,2450337.939999999944121,2593837.899999999906868,10155729.089999999850988
FS( 34 ),2496866.720000000204891,2634229.669999999925494,2468609.830000000074506,2575070.319999999832362,10174776.540000000968575
FS( 35 ),2501958.300000000279397,2664659.570000000298023,2485944.700000000186265,2587822.649999999906868,10240385.220000000670552
FS( 36 ),2483158.620000000111759,2665335.790000000037253,2514055.299999999813735,2587341.430000000167638,10249891.140000000596046
FS( 37 ),2471800.479999999981374,2666350.120000000111759,2502811.060000000055879,2608515.109999999869615,10249476.769999999552965
FS( 38 ),2445950.920000000391155,2658573.589999999850988,2574024.580000000074506,2634500.989999999757856,10313050.080000000074506
FS( 39 ),2427934.560000000055879,2662969.020000000484288,2661635.950000000186265,2641959.899999999906868,10394499.429999999701977
FS( 40 ),2281062.060000000055879,2833714.570000000298023,2621812.600000000093132,2639794.410000000149012,10376383.640000000596046
FS( 41 ),2142806.080000000074506,2836419.450000000186265,2589485.410000000149012,2647734.540000000037253,10216445.480000000447035
FS( 42 ),2157689.160000000149012,2812413.640000000596046,2576367.130000000353903,2646290.880000000353903,10192760.810000002384186
FS( 43 ),2167480.660000000149012,2812413.640000000596046,2580115.209999999962747,2672517.370000000111759,10232526.880000000819564
FS( 44 ),2168655.640000000130385,2841829.209999999962747,2582457.760000000242144,2670351.880000000353903,10263294.490000000223517
FS( 45 ),2195680.180000000167638,2844872.200000000186265,2610099.850000000093132,2679495.060000000055879,10330147.290000000968575
FS( 46 ),2188630.300000000279397,2856029.830000000074506,2625560.680000000167638,2692969.220000000204891,10363190.030000001192093
FS( 47 ),2177272.160000000149012,2849267.629999999888241,2583863.290000000037253,2697059.590000000316650,10307462.669999999925494
FS( 48 ),2216046.500000000000000,2859072.820000000298023,2612442.399999999906868,2706202.770000000018626,10393764.490000000223517
FS( 49 ),2201555.080000000074506,2843181.650000000372529,2629777.270000000018626,2698262.640000000130385,10372776.640000000596046
FS( 50 ),2172963.899999999906868,2835743.230000000447035,2627903.230000000447035,2692006.779999999795109,10328617.140000000596046
FS( 51 ),2158080.820000000298023,2837771.890000000596046,2619470.049999999813735,2680457.500000000000000,10295780.260000001639128
FS( 52 ),2153772.560000000055879,2841829.209999999962747,2622749.620000000111759,2694412.880000000353903,10312764.269999999552965
FS( 53 ),2146331.020000000018626,2805651.440000000409782,2653202.770000000018626,2652787.350000000093132,10257972.580000000074506
FS( 54 ),2160822.440000000409782,2813089.860000000335276,2681313.370000000111759,2671314.319999999832362,10326539.990000000223517
FS( 55 ),2161997.420000000391155,2786041.060000000521541,2773141.330000000074506,2642441.120000000111759,10363620.929999999701977
FS( 56 ),2118914.820000000298023,2790436.490000000223517,2775952.390000000130385,2645569.050000000279397,10330872.750000001862645
FS( 57 ),2125573.040000000502914,2830671.580000000074506,2782511.530000000260770,2681660.550000000279397,10420416.700000001117587
FS( 58 ),2129489.640000000130385,2810046.870000000111759,2767519.209999999962747,2666502.120000000111759,10373557.839999999850988
FS( 59 ),2128706.320000000298023,2815118.520000000484288,2779231.959999999962747,2694172.270000000018626,10417229.070000000298023
FS( 60 ),2136539.520000000018626,2835743.230000000447035,2793755.770000000018626,2704037.279999999795109,10470075.799999998882413
FS( 61 ),2151422.600000000093132,2869892.339999999850988,2791413.220000000204891,2727617.060000000055879,10540345.220000000670552
FS( 62 ),2168263.979999999981374,2817823.400000000372529,2827957.000000000000000,2643403.560000000055879,10457447.940000001341105
FS( 63 ),2164739.040000000502914,2845886.530000000260770,2830768.060000000055879,2709090.090000000316650,10550483.720000000670552
FS( 64 ),2188238.640000000130385,2848929.520000000484288,2805468.520000000018626,2664336.630000000353903,10506973.310000000521541
