代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12987385.629999998956919
真實報酬,2987385.629999998956919

夏普值報酬,0.290038563000000
夏普值風險,0.075919353534111
夏普值,3.820350799874535

二次趨勢線,24.408303489078111 x^2 + 5495.895558249175338 x + 10000000.000000000000000
二次加權預期報酬,13713.357732905484227
風險,155309.027964332402917
二次加權趨勢值,0.088297234955684
一次趨勢線,10118.199906515497787 x + 10000000.000000000000000
一次預期報酬,10118.199906515497787
一次風險,233347.897770930110710
一次趨勢值,0.043361007333557
找到最佳解世代,2066
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](13),CAT[3](2),DD[7](1),INTC[11](10),MRK[17](4),MSFT[18](8),UNH[23](16),WBA[27](5),
Stock#,AAPL[0](13),CAT[3](2),DD[7](1),INTC[11](10),MRK[17](4),MSFT[18](8),UNH[23](16),WBA[27](5),
張數,19917,15045,26477,52105,27358,38202,20931,25541,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,9.080000000074506,61.400000000139698,20.830000000074506,1.050000000046566,12.979999999981374,30.560000000055879,0.679999999934807,23.459999999962747,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1267726.130000000121072,1267753.100000000325963,1248940.920000000158325,1256252.600000000093132,1251094.319999999832362,1266808.879999999888241,1244976.559999999823049,1248467.540000000037253,10052020.050000000745058
FS( 3 ),1280273.840000000083819,1308675.500000000232831,1280448.550000000046566,1248436.850000000093132,1249452.840000000083819,1279415.540000000037253,1233255.199999999953434,1226502.280000000027940,10106460.599999999627471
FS( 4 ),1310946.020000000018626,1317852.950000000186265,1282301.940000000176951,1245831.600000000093132,1230575.819999999832362,1289348.060000000055879,1260046.879999999888241,1221904.900000000139698,10158808.169999999925494
FS( 5 ),1304970.919999999925494,1350951.950000000186265,1302424.459999999962747,1258336.800000000046566,1238509.640000000130385,1272539.180000000167638,1266326.179999999934807,1256385.250000000000000,10250444.379999998956919
FS( 6 ),1319709.500000000232831,1358775.350000000093132,1301365.380000000121072,1263547.300000000046566,1230849.400000000139698,1260314.540000000037253,1308397.489999999990687,1254597.379999999888241,10297556.339999999850988
