代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12323647.229999998584390
真實報酬,2323647.229999998584390

夏普值報酬,0.223664723000000
夏普值風險,0.071111201189059
夏普值,3.145281182993318

二次趨勢線,155.693114941228828 x^2 + 466.658844237096901 x + 10000000.000000000000000
二次平均預期報酬,20395.377556714382081
風險,61097.028277467768930
二次平均趨勢值,0.333819469321654
一次趨勢線,15354.584000028955415 x + 10000000.000000000000000
一次預期報酬,15354.584000028955415
一次風險,290019.713560784293804
一次趨勢值,0.052943242414488
找到最佳解世代,3454
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,9
AXP[1](11),CAT[3](2),CSCO[4](1),HD[9](3),MCD[15](12),MSFT[18](5),UTX[24](13),WBA[27](29),WMT[28](9),
Stock#,AXP[1](11),CAT[3](2),CSCO[4](1),HD[9](3),MCD[15](12),MSFT[18](5),UTX[24](13),WBA[27](29),WMT[28](9),
張數,13035,9824,35106,7414,7213,15308,9346,13695,13802,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,7.600000000093132,16.600000000093132,6.100000000093132,123.100000000093132,20.479999999981374,56.360000000102445,58.520000000018626,35.650000000139698,50.000000000000000,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1111893.100000000093132,1111012.760000000242144,1106547.219999999972060,1115930.100000000093132,1129504.149999999906868,1106212.440000000176951,1124849.619999999878928,1109741.500000000232831,1111525.060000000055879,10027216.950000001117587
FS( 3 ),1115021.500000000232831,1115630.040000000037253,1107951.459999999962747,1118080.160000000149012,1116015.840000000083819,1104528.560000000288710,1131859.119999999878928,1110015.400000000139698,1116217.739999999990687,10035320.820000000298023
FS( 4 ),1120626.550000000046566,1123391.000000000000000,1116376.900000000139698,1132611.600000000093132,1109524.139999999897555,1112641.800000000279397,1135504.060000000055879,1110152.350000000093132,1110834.959999999962747,10071664.359999999403954
FS( 5 ),1119062.350000000093132,1126927.640000000130385,1117781.140000000130385,1137060.000000000000000,1117819.090000000083819,1108355.560000000288710,1107746.439999999944121,1116315.100000000325963,1121876.560000000055879,10072944.880000000819564
FS( 6 ),1120235.500000000000000,1123980.439999999944121,1111813.120000000111759,1137060.000000000000000,1117458.439999999944121,1114325.680000000167638,1104662.260000000009313,1110426.250000000000000,1126155.179999999934807,10066117.869999999180436
FS( 7 ),1116976.750000000000000,1123292.760000000242144,1110057.820000000065193,1151220.739999999990687,1117458.439999999944121,1109427.120000000111759,1095409.719999999972060,1113165.250000000232831,1126431.219999999972060,10063440.820000000298023
FS( 8 ),1102247.200000000186265,1111602.200000000186265,1088292.100000000093132,1140989.420000000158325,1129720.540000000037253,1093200.640000000130385,1091297.479999999981374,1092211.900000000139698,1113319.320000000065193,9962881.800000002607703
FS( 9 ),1098727.750000000232831,1108655.000000000000000,1104791.920000000158325,1148403.420000000158325,1134625.380000000121072,1109886.360000000102445,1092512.459999999962747,1105496.050000000046566,1109730.800000000046566,10012830.140000000596046
FS( 10 ),1114109.050000000046566,1117103.640000000130385,1117781.140000000130385,1143806.739999999990687,1134336.859999999869615,1126572.080000000074506,1094942.420000000158325,1116589.000000000232831,1113871.400000000139698,10079113.330000000074506
FS( 11 ),1131315.250000000232831,1116514.200000000186265,1126557.640000000130385,1113483.479999999981374,1136933.540000000037253,1120908.120000000111759,1083820.679999999934807,1111111.000000000000000,1114837.540000000037253,10055482.449999999254942
FS( 12 ),1139136.250000000000000,1121131.480000000214204,1135334.140000000130385,1128904.600000000093132,1146166.179999999934807,1127490.560000000288710,1102886.520000000018626,1112891.350000000325963,1117735.959999999962747,10131678.039999999105930
FS( 13 ),1122190.750000000232831,1111503.960000000195578,1089696.340000000083819,1109776.479999999981374,1138881.049999999813735,1108355.560000000288710,1085129.119999999878928,1107824.200000000186265,1100069.400000000139698,9973427.860000001266599
FS( 14 ),1112935.900000000139698,1119166.680000000167638,1066175.320000000065193,1093613.960000000195578,1137943.359999999869615,1109733.280000000027940,1079334.600000000093132,1096046.500000000232831,1094686.620000000111759,9909637.220000002533197
FS( 15 ),1111893.100000000093132,1116023.000000000000000,1077058.180000000167638,1106291.899999999906868,1142271.160000000149012,1104528.560000000288710,1077465.400000000139698,1103852.650000000139698,1100207.419999999925494,9939592.370000001043081
FS( 16 ),1111893.100000000093132,1137832.280000000027940,1097770.719999999972060,1111555.840000000083819,1151503.799999999813735,1119989.640000000130385,1081297.260000000009313,1113165.250000000232831,1104486.040000000037253,10029494.929999999701977
FS( 17 ),1111632.400000000139698,1127320.600000000093132,1085483.620000000111759,1105550.500000000000000,1145517.010000000009313,1113254.120000000111759,1093820.900000000139698,1114260.850000000093132,1103657.919999999925494,10000498.919999999925494
FS( 18 ),1112675.200000000186265,1127615.320000000065193,1096717.540000000037253,1099248.600000000093132,1142631.810000000055879,1112794.880000000121072,1077652.320000000065193,1102483.150000000139698,1081298.679999999934807,9953118.500000000000000
FS( 19 ),1114109.050000000046566,1133215.000000000000000,1103738.740000000223517,1109628.200000000186265,1145589.139999999897555,1114784.919999999925494,1075502.739999999990687,1111111.000000000000000,1085301.260000000009313,9992981.049999998882413
