代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11463503.059999998658895
真實報酬,1463503.059999998658895

夏普值報酬,0.137650306000000
夏普值風險,0.046054514049246
夏普值,2.988855899180958

二次趨勢線,108.191031810492746 x^2 + -1959.587440940836132 x + 10000000.000000000000000
二次平均預期報酬,12105.246694423221925
風險,83449.184194066096097
二次平均趨勢值,0.145061294622986
一次趨勢線,8548.309876406437979 x + 10000000.000000000000000
一次預期報酬,8548.309876406437979
一次風險,219700.476043635775568
一次趨勢值,0.038908927419477
找到最佳解世代,3222
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](10),BA[2](2),JNJ[12](9),PFE[20](20),UNH[23](3),V[25](1),
Stock#,AAPL[0](10),BA[2](2),JNJ[12](9),PFE[20](20),UNH[23](3),V[25](1),
張數,11922,9062,13456,48421,9924,18728,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,89.620000000111759,73.580000000074506,5.840000000083819,15.179999999934807,29.439999999944121,61.280000000027940,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1656770.740000000223517,1658328.960000000195578,1663571.120000000111759,1671023.889999999897555,1660413.879999999888241,1658051.120000000111759,9968163.710000000894070
FS( 3 ),1666546.780000000027940,1650988.740000000223517,1665724.080000000074506,1671508.100000000093132,1669246.239999999757856,1662920.400000000139698,9986938.340000001713634
FS( 4 ),1661301.100000000093132,1639661.240000000223517,1664647.600000000093132,1663276.530000000027940,1674208.239999999757856,1665729.600000000093132,9968828.310000000521541
FS( 5 ),1663447.060000000288710,1649538.820000000065193,1666262.320000000065193,1645844.969999999972060,1670238.640000000130385,1667976.959999999962747,9963312.769999999552965
FS( 6 ),1657247.620000000111759,1647001.460000000195578,1669895.439999999944121,1641971.289999999804422,1666368.279999999795109,1666104.159999999916181,9948592.250000000000000
