代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12127256.190000001341105
真實報酬,2127256.190000001341105

夏普值報酬,0.204025619000000
夏普值風險,0.067104815057278
夏普值,3.040402075854777

二次趨勢線,-23.169400777051301 x^2 + 23089.724209697244078 x + 10000000.000000000000000
二次平均預期報酬,20170.379711788780696
風險,153665.389283509168308
二次平均趨勢值,0.131261696637327
一次趨勢線,20908.938977195979533 x + 10000000.000000000000000
一次預期報酬,20908.938977195979533
一次風險,159009.770178539387416
一次趨勢值,0.131494680821933
找到最佳解世代,2244
找到最佳解實驗#,3
找到最佳解次數,30

stock[index](rank)
投資組合檔數,6
BA[2](11),MRK[17](2),MSFT[18](5),NKE[19](18),TRV[22](24),V[25](6),
Stock#,BA[2](11),MRK[17](2),MSFT[18](5),NKE[19](18),TRV[22](24),V[25](6),
張數,38060,55518,69939,117702,37020,96450,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,18.600000000093132,15.640000000130385,19.630000000121072,5.679999999934807,25.599999999860302,10.000000000000000,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1680748.199999999953434,1656672.760000000009313,1662469.660000000149012,1693737.459999999962747,1712570.799999999813735,1665701.500000000000000,10071904.379999998956919
FS( 3 ),1675800.400000000139698,1643903.620000000111759,1665267.219999999972060,1678436.199999999953434,1724417.199999999720603,1649305.000000000232831,10037133.640000000596046
FS( 4 ),1732509.800000000279397,1630024.120000000111759,1640788.570000000065193,1696091.500000000000000,1731821.199999999953434,1655092.000000000000000,10086331.189999999478459
FS( 5 ),1777040.000000000000000,1671107.440000000176951,1647782.469999999972060,1709038.719999999972060,1756994.799999999813735,1667630.500000000000000,10229597.929999999701977
FS( 6 ),1742024.800000000279397,1698866.440000000176951,1637991.010000000242144,1681967.259999999776483,1718494.000000000000000,1660879.000000000000000,10140226.509999999776483
FS( 7 ),1727562.000000000000000,1683876.580000000074506,1617708.699999999953434,1671374.079999999841675,1663334.199999999953434,1654127.499999999767169,10017987.060000000521541
FS( 8 ),1763719.000000000232831,1706638.959999999962747,1645684.300000000279397,1692560.439999999944121,1718864.199999999953434,1650269.500000000000000,10177740.399999998509884
FS( 9 ),1774375.800000000046566,1719963.280000000260770,1651978.810000000288710,1700799.579999999841675,1757364.999999999767169,1656056.500000000232831,10260542.970000000670552
FS( 10 ),1707770.800000000046566,1719963.280000000260770,1656874.540000000270084,1673728.120000000111759,1749220.599999999860302,1634837.500000000000000,10142398.839999999850988
FS( 11 ),1680748.199999999953434,1714411.479999999981374,1626101.380000000121072,1631355.399999999906868,1725527.799999999813735,1602044.500000000000000,9980192.759999997913837
FS( 12 ),1666285.400000000139698,1704973.420000000158325,1649181.250000000000000,1636063.479999999981374,1758845.799999999813735,1615547.500000000000000,10030900.850000001490116
FS( 13 ),1656389.800000000279397,1747722.280000000260770,1654076.979999999981374,1670197.059999999823049,1775504.799999999813735,1620370.000000000000000,10124264.919999999925494
FS( 14 ),1702823.000000000232831,1739949.760000000009313,1655475.760000000242144,1677259.179999999934807,1769951.800000000046566,1634837.500000000000000,10180301.000000000000000
FS( 15 ),1745830.800000000046566,1807681.720000000204891,1707230.620000000111759,1637240.500000000000000,1784389.599999999860302,1663772.500000000000000,10346149.740000000223517
FS( 16 ),1793786.400000000139698,1804350.640000000130385,1723316.590000000083819,1647833.679999999934807,1775134.599999999860302,1638695.499999999767169,10383121.410000000149012
FS( 17 ),1836413.600000000093132,1829333.740000000223517,1723316.590000000083819,1623116.259999999776483,1792904.199999999953434,1663772.500000000000000,10468860.890000000596046
FS( 18 ),1820047.800000000046566,1814343.880000000121072,1717022.080000000074506,1631355.399999999906868,1806231.399999999906868,1692707.500000000000000,10481712.060000000521541
FS( 19 ),1972287.800000000046566,1824892.300000000046566,1726813.540000000270084,1672551.100000000093132,1821409.599999999860302,1681133.500000000000000,10699091.839999999850988
FS( 20 ),1942601.000000000000000,1794357.400000000139698,1726114.150000000139698,1653718.780000000027940,1836587.799999999813735,1700423.500000000000000,10653806.630000000819564
FS( 21 ),1890458.800000000046566,1800464.380000000121072,1724015.979999999981374,1630178.379999999888241,1866574.000000000000000,1713926.500000000000000,10625622.039999999105930
FS( 22 ),1856204.800000000279397,1764932.860000000102445,1678555.630000000121072,1599575.859999999869615,1823630.799999999813735,1692707.500000000000000,10415611.449999999254942
FS( 23 ),1842122.600000000093132,1710525.219999999972060,1668764.170000000158325,1568973.339999999850988,1819558.599999999860302,1689814.000000000000000,10299761.929999999701977
FS( 24 ),1844406.200000000186265,1678879.959999999962747,1686248.920000000158325,1580743.539999999804422,1848064.000000000000000,1710068.500000000000000,10348415.120000001043081
FS( 25 ),1870667.600000000093132,1704418.239999999990687,1721917.810000000288710,1596044.800000000046566,1855467.999999999767169,1696565.500000000000000,10445085.949999999254942
FS( 26 ),1883988.600000000093132,1719408.100000000093132,1735905.610000000102445,1625470.300000000046566,1812894.999999999767169,1711032.999999999767169,10488704.609999999403954
FS( 27 ),1923190.400000000139698,1751608.540000000270084,1733108.050000000279397,1629001.359999999869615,1819188.399999999906868,1699459.000000000000000,10555559.750000000000000
FS( 28 ),1921668.000000000232831,1774370.920000000158325,1748494.630000000121072,1631355.399999999906868,1796236.000000000000000,1743825.999999999767169,10615954.950000001117587
FS( 29 ),1954399.600000000093132,1806571.360000000102445,1738703.170000000158325,1618408.179999999934807,1792163.799999999813735,1742861.500000000000000,10653111.609999999403954
FS( 30 ),1939936.800000000046566,1826002.660000000149012,1748494.630000000121072,1616054.139999999897555,1813635.399999999906868,1757329.000000000000000,10701456.629999998956919
FS( 31 ),1981802.800000000046566,1815454.240000000223517,1762482.430000000167638,1608992.020000000018626,1814375.799999999813735,1765045.000000000000000,10748156.289999999105930
FS( 32 ),1992840.200000000186265,1786029.700000000186265,1762482.430000000167638,1683144.280000000027940,1808452.599999999860302,1786264.000000000000000,10819217.210000000894070
FS( 33 ),2012631.400000000139698,1777146.820000000065193,1769476.330000000074506,1709038.719999999972060,1765879.599999999860302,1779512.500000000000000,10813689.370000001043081
FS( 34 ),2017959.800000000279397,1769929.479999999981374,1766678.770000000251457,1724339.979999999981374,1753662.999999999767169,1779512.500000000000000,10812087.530000001192093
FS( 35 ),2011870.200000000186265,1766598.400000000139698,1769476.330000000074506,1723162.959999999962747,1769211.399999999906868,1769867.500000000232831,10810190.790000000968575
FS( 36 ),2022527.000000000000000,1739394.580000000074506,1802347.660000000149012,1723162.959999999962747,1761807.399999999906868,1793980.000000000232831,10843223.599999999627471
FS( 37 ),1993220.800000000046566,1739394.580000000074506,1798151.320000000065193,1716100.839999999850988,1750701.399999999906868,1782406.000000000000000,10779978.939999999478459
FS( 38 ),1971146.000000000000000,1721628.820000000298023,1814237.290000000270084,1711392.759999999776483,1759216.000000000000000,1772761.000000000000000,10750385.870000001043081
FS( 39 ),1960869.800000000279397,1734953.140000000130385,1786961.080000000074506,1725517.000000000000000,1767730.599999999860302,1704281.500000000232831,10680317.120000001043081
FS( 40 ),2019862.800000000046566,1778257.180000000167638,1806544.000000000000000,1736110.179999999934807,1819928.799999999813735,1715855.500000000000000,10876562.460000000894070
FS( 41 ),2078855.800000000046566,1768263.940000000176951,1800948.880000000121072,1767889.719999999972060,1812524.799999999813735,1677275.500000000000000,10905762.640000000596046
FS( 42 ),2060967.600000000093132,1756049.979999999981374,1798850.709999999962747,1904424.039999999804422,1822520.199999999720603,1666666.000000000000000,11009482.529999999329448
FS( 43 ),1983325.200000000186265,1731066.880000000121072,1740101.949999999953434,1839687.939999999944121,1805491.000000000000000,1666666.000000000000000,10766342.970000000670552
FS( 44 ),1956302.600000000093132,1757160.340000000083819,1745697.070000000065193,1825563.699999999953434,1815486.399999999906868,1634837.500000000000000,10735051.610000001266599
FS( 45 ),1989795.400000000139698,1763822.500000000000000,1723316.590000000083819,1847927.079999999841675,1813635.399999999906868,1643518.000000000000000,10782018.970000000670552
FS( 46 ),1990176.000000000000000,1804905.820000000065193,1756187.920000000158325,1856166.219999999972060,1833626.199999999953434,1646411.500000000000000,10887477.660000000149012
FS( 47 ),1971146.000000000000000,1787140.060000000055879,1755488.530000000260770,1866759.399999999906868,1811414.199999999953434,1709104.000000000000000,10901056.189999999478459
FS( 48 ),1990556.600000000093132,1800464.380000000121072,1795353.760000000242144,1884414.700000000186265,1789942.599999999860302,1729358.500000000000000,10990094.540000000968575
FS( 49 ),2005400.000000000000000,1807681.720000000204891,1786961.080000000074506,1871467.479999999981374,1806971.800000000046566,1759257.999999999767169,11037744.080000001937151
FS( 50 ),1966198.199999999953434,1824337.120000000111759,1798850.709999999962747,1860874.300000000046566,1807712.199999999720603,1777583.500000000000000,11035560.029999999329448
FS( 51 ),1975332.600000000093132,1799909.200000000186265,1805145.219999999972060,1873821.520000000018626,1777726.000000000000000,1800731.500000000232831,11032670.040000000968575
FS( 52 ),1998549.199999999953434,1826557.840000000083819,1815636.070000000065193,1910309.139999999897555,1801418.799999999813735,1803625.000000000000000,11156100.050000000745058
FS( 53 ),1970004.199999999953434,1848765.040000000037253,1868090.320000000065193,1911486.159999999683350,1797346.599999999860302,1810376.500000000000000,11206072.820000000298023
FS( 54 ),2024430.000000000000000,1843768.420000000158325,1853403.130000000121072,1915017.219999999972060,1801789.000000000000000,1791086.500000000000000,11229498.269999999552965
FS( 55 ),2034325.600000000093132,1872637.780000000027940,1843611.670000000158325,1944442.719999999972060,1806601.599999999860302,1807482.999999999767169,11309106.369999999180436
FS( 56 ),1974952.000000000000000,1872082.600000000093132,1844311.060000000288710,1915017.219999999972060,1794014.799999999813735,1809412.000000000232831,11209793.679999999701977
FS( 57 ),1926996.400000000139698,1814343.880000000121072,1858998.250000000000000,1905601.060000000055879,1777726.000000000000000,1813270.000000000000000,11096939.589999999850988
FS( 58 ),1943742.800000000046566,1824892.300000000046566,1859697.640000000130385,1918548.280000000027940,1913959.599999999860302,1824844.000000000232831,11285688.620000001043081
FS( 59 ),1898832.000000000000000,1800464.380000000121072,1959710.410000000149012,1887945.759999999776483,1899151.599999999860302,1787228.500000000000000,11233336.650000000372529
FS( 60 ),1837936.000000000000000,1777702.000000000232831,2005870.150000000139698,1876175.559999999823049,1896930.399999999906868,1755400.000000000000000,11150018.109999999403954
FS( 61 ),1817383.600000000093132,1800464.380000000121072,1999575.640000000130385,1885591.719999999972060,1890636.999999999767169,1782406.000000000000000,11176062.339999999850988
FS( 62 ),1797211.800000000046566,1779367.540000000037253,1959710.410000000149012,1840864.959999999962747,1869535.599999999860302,1846063.000000000000000,11092757.310000000521541
FS( 63 ),1857727.200000000186265,1738284.219999999972060,1973698.209999999962747,1874998.539999999804422,1921733.799999999813735,1863424.000000000000000,11229869.969999998807907
FS( 64 ),1819286.600000000093132,1717187.380000000121072,1939428.100000000093132,1830271.780000000027940,1843251.399999999906868,1826773.000000000232831,10976202.259999999776483
FS( 65 ),1837174.800000000279397,1735508.320000000298023,1949918.949999999953434,1839687.939999999944121,1858429.599999999860302,1863424.000000000000000,11084147.609999999403954
FS( 66 ),1830704.600000000093132,1702752.700000000186265,1925440.300000000279397,1844396.020000000018626,1853987.199999999720603,1872104.500000000000000,11029389.320000000298023
FS( 67 ),1829562.800000000046566,1812123.160000000149012,1962507.969999999972060,1845573.039999999804422,1856948.799999999813735,1888500.999999999767169,11195220.769999999552965
FS( 68 ),1894264.800000000279397,1816009.420000000158325,1991182.959999999962747,1905601.060000000055879,1874718.399999999906868,1919364.999999999767169,11401145.640000000596046
FS( 69 ),1890839.400000000139698,1809347.260000000242144,1994679.910000000149012,1899715.959999999962747,1921363.599999999860302,1921294.000000000232831,11437244.130000000819564
FS( 70 ),1954399.600000000093132,1855982.380000000121072,2027551.239999999990687,1922079.339999999618158,1984297.599999999860302,1956980.500000000000000,11701294.660000000149012
FS( 71 ),1915197.800000000046566,1865975.620000000111759,2028950.020000000251457,1897361.920000000158325,1996514.199999999953434,1955051.500000000000000,11659055.060000000521541
FS( 72 ),1928899.400000000139698,1844323.600000000093132,2036643.310000000288710,1910309.139999999897555,2010581.800000000046566,1948300.000000000000000,11679061.250000000000000
FS( 73 ),1913675.400000000139698,1830999.280000000027940,2053428.670000000158325,1885591.719999999972060,1967268.399999999906868,1927081.000000000000000,11578048.470000000670552
FS( 74 ),1928899.400000000139698,1837661.440000000176951,2072312.199999999953434,1896184.899999999906868,1972451.199999999953434,1929010.000000000000000,11636523.139999998733401
FS( 75 ),1997407.399999999906868,1877079.220000000204891,2066017.690000000176951,1944442.719999999972060,1959864.399999999674037,1918400.500000000000000,11763215.929999999701977
FS( 76 ),1999310.400000000139698,1903727.860000000102445,2098189.629999999888241,1911486.159999999683350,1967638.599999999860302,1942513.000000000000000,11822869.650000000372529
FS( 77 ),1979899.800000000279397,1950918.160000000149012,2105882.919999999925494,1896184.899999999906868,1967638.599999999860302,1938655.000000000232831,11839183.380000000819564
FS( 78 ),1957444.400000000139698,1961466.580000000074506,2082803.050000000279397,1870290.459999999962747,1950239.199999999953434,1933832.500000000000000,11756080.190000001341105
FS( 79 ),1967720.600000000093132,2024201.920000000158325,2071612.810000000288710,1880883.639999999897555,1939133.199999999953434,1929010.000000000000000,11812566.169999999925494
FS( 80 ),2003116.400000000139698,2021981.200000000186265,2093993.290000000270084,1897361.920000000158325,1960974.999999999767169,1939619.500000000000000,11917051.310000000521541
FS( 81 ),1977996.800000000046566,2010877.600000000093132,2091895.120000000111759,1898538.939999999711290,1965417.399999999906868,1944442.000000000000000,11889171.859999999403954
FS( 82 ),2014534.400000000139698,2030308.900000000139698,2083502.440000000176951,1933849.539999999804422,1953200.799999999813735,1972412.500000000000000,11987812.580000000074506
FS( 83 ),1996265.600000000093132,2014763.860000000102445,2043637.209999999962747,1913840.200000000186265,1912108.599999999860302,1936725.999999999767169,11817345.470000000670552
FS( 84 ),1994743.199999999953434,2010322.420000000158325,2056925.620000000111759,1909132.119999999878928,1939503.399999999906868,1953122.500000000000000,11863753.259999999776483
FS( 85 ),2044601.800000000046566,2047519.480000000214204,2098889.020000000484288,1924433.380000000121072,1947277.599999999860302,2000382.999999999767169,12063108.280000001192093
FS( 86 ),2046885.400000000139698,2043078.040000000037253,2082803.050000000279397,1923256.359999999869615,1949128.599999999860302,1983021.999999999767169,12028177.449999999254942
FS( 87 ),2046504.800000000279397,2041412.500000000232831,2086300.000000000000000,1903247.020000000251457,1904334.399999999674037,1929974.500000000232831,11911777.220000000670552
FS( 88 ),2081139.400000000139698,2037526.240000000223517,2096790.850000000093132,1892653.839999999618158,1889526.399999999906868,1935761.500000000000000,11933402.230000000447035
FS( 89 ),2124527.800000000279397,2037526.240000000223517,2083502.440000000176951,1899715.959999999962747,1872126.999999999767169,1927081.000000000000000,11944484.439999999478459
FS( 90 ),2118438.200000000186265,2018094.940000000176951,2068115.860000000102445,1869113.439999999944121,1848064.000000000000000,1929010.000000000000000,11850840.440000001341105
FS( 91 ),2111206.800000000279397,2062509.340000000083819,2077907.320000000065193,1823209.659999999916181,1854727.599999999860302,1971448.000000000232831,11901012.720000000670552
FS( 92 ),2093699.199999999953434,2084161.360000000102445,2089097.560000000288710,1845573.039999999804422,1879160.799999999813735,1984950.999999999767169,11976646.960000000894070
FS( 93 ),2116154.600000000093132,2058067.900000000139698,2087698.780000000260770,1879706.620000000111759,1876939.599999999860302,1961803.000000000000000,11980374.500000000000000
FS( 94 ),2133281.600000000093132,2096930.500000000232831,2105882.919999999925494,1887945.759999999776483,1888786.000000000000000,2043785.500000000232831,12156616.280000001192093
FS( 95 ),2118818.800000000279397,2109699.640000000130385,2099588.410000000149012,1893830.859999999869615,1866203.799999999813735,2077543.000000000000000,12165688.510000001639128
FS( 96 ),2098266.400000000372529,2095820.140000000130385,2105183.530000000260770,1884414.700000000186265,1839919.599999999860302,2098762.000000000000000,12122370.370000001043081
FS( 97 ),2073146.800000000046566,2069726.680000000167638,2070214.030000000260770,1860874.300000000046566,1791053.199999999953434,2098762.000000000000000,11963781.009999999776483
FS( 98 ),2033945.000000000000000,2076388.840000000083819,2123367.669999999925494,1896184.899999999906868,1782168.399999999906868,2145058.000000000000000,12057116.810000000521541
FS( 99 ),2066676.600000000093132,2092489.060000000055879,2134557.910000000149012,1909132.119999999878928,1801789.000000000000000,2110336.000000000000000,12114984.690000001341105
FS( 100 ),2097124.600000000093132,2095820.140000000130385,2155539.610000000335276,1915017.219999999972060,1811784.399999999674037,2081400.999999999767169,12156690.970000000670552
FS( 101 ),2091796.200000000186265,2068061.140000000130385,2162533.509999999776483,1925610.399999999906868,1820669.199999999953434,2077543.000000000000000,12146217.449999999254942
FS( 102 ),2111587.399999999906868,2053626.460000000195578,2168128.629999999888241,1919725.299999999813735,1848804.399999999674037,2080436.500000000000000,12182312.689999999478459
FS( 103 ),2098647.000000000000000,2070281.860000000102445,2180018.259999999776483,1927964.439999999711290,1844732.199999999720603,2092010.500000000232831,12213658.259999999776483
FS( 104 ),2101311.200000000186265,2059733.440000000176951,2195404.839999999850988,1947973.780000000027940,1846212.999999999767169,2122874.500000000000000,12273514.759999999776483
FS( 105 ),2091796.200000000186265,2057512.720000000204891,2165331.070000000298023,1946796.759999999776483,1860650.799999999813735,2125768.000000000000000,12247859.550000000745058
FS( 106 ),2060206.400000000139698,2028643.360000000102445,2131760.350000000558794,1944442.719999999972060,1845842.799999999813735,2109371.500000000000000,12120271.130000000819564
FS( 107 ),2138229.399999999906868,2054736.820000000065193,2164631.679999999701977,1923256.359999999869615,1843991.800000000046566,2125768.000000000000000,12250618.060000000521541
FS( 108 ),2208259.800000000279397,2063064.520000000018626,2165331.070000000298023,1930318.479999999748543,1800308.199999999953434,2100691.000000000000000,12267977.070000000298023
FS( 109 ),2275245.399999999906868,2090823.520000000018626,2152042.660000000149012,1918548.280000000027940,1774764.399999999674037,2072720.499999999767169,12284148.759999999776483
FS( 110 ),2367350.600000000093132,2094154.600000000093132,2129662.179999999701977,1937380.600000000093132,1800308.199999999953434,2092010.500000000232831,12420870.679999999701977
FS( 111 ),2344514.600000000093132,2093044.240000000223517,2144349.370000000111759,1933849.539999999804422,1797716.800000000046566,2097797.500000000000000,12411276.050000000745058
FS( 112 ),2316730.799999999813735,2101371.940000000409782,2117073.160000000149012,1910309.139999999897555,1796976.399999999906868,2092010.500000000232831,12334475.940000001341105
FS( 113 ),2299984.399999999906868,2084716.540000000037253,2103085.360000000335276,1906778.079999999841675,1808452.599999999860302,2082365.500000000000000,12285386.479999998584390
FS( 114 ),2327768.200000000186265,2161331.379999999888241,2122668.280000000260770,1924433.380000000121072,1814746.000000000000000,2101655.500000000000000,12452606.740000000223517
FS( 115 ),2342992.200000000186265,2220180.460000000428408,2165331.070000000298023,1912663.179999999934807,1824371.199999999953434,2108407.000000000000000,12573949.109999999403954
FS( 116 ),2314827.800000000279397,2191311.100000000093132,2158337.169999999925494,1895007.880000000121072,1806231.399999999906868,2077543.000000000000000,12443262.350000001490116
FS( 117 ),2308357.600000000093132,2255156.799999999813735,2175122.530000000260770,1904424.039999999804422,1829924.199999999953434,2118052.000000000000000,12591041.169999999925494
FS( 118 ),2291230.600000000093132,2277919.180000000167638,2139453.639999999664724,1889122.780000000027940,1811414.199999999953434,2108407.000000000000000,12517551.399999998509884
FS( 119 ),2253170.600000000093132,2225177.080000000074506,2098889.020000000484288,1872644.500000000000000,1812154.599999999860302,2036069.500000000000000,12298109.299999998882413
FS( 120 ),2198744.800000000279397,2158000.299999999813735,2025453.070000000065193,1853812.179999999934807,1788461.800000000046566,1994596.000000000000000,12019072.150000000372529
FS( 121 ),2199125.399999999906868,2151893.319999999832362,2050631.110000000102445,1873821.520000000018626,1809933.399999999906868,1978199.500000000232831,12063608.250000000000000
FS( 122 ),2196461.200000000186265,2141900.080000000074506,2063220.130000000121072,1876175.559999999823049,1859540.199999999720603,1956980.500000000000000,12094281.669999999925494
FS( 123 ),2357074.399999999906868,2145231.160000000149012,2075109.760000000242144,1883237.679999999934807,1884343.599999999860302,2023531.000000000000000,12368531.599999999627471
FS( 124 ),2381052.200000000186265,2108034.100000000093132,2039440.870000000111759,1869113.439999999944121,1861021.000000000000000,1992667.000000000000000,12251332.610000001266599
FS( 125 ),2306454.600000000093132,2119692.879999999888241,1970900.650000000139698,1876175.559999999823049,1875829.000000000000000,1978199.500000000232831,12127256.190000001341105
