代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11524502.609999999403954
真實報酬,1524502.609999999403954

夏普值報酬,0.143750261000000
夏普值風險,0.048739058343566
夏普值,2.949385275084571

二次趨勢線,30.708929502544436 x^2 + 9618.045481234055842 x + 10000000.000000000000000
二次平均預期報酬,13548.788457559743620
風險,102294.560547517248779
二次平均趨勢值,0.132448767412869
一次趨勢線,12554.541704724408191 x + 10000000.000000000000000
一次預期報酬,12554.541704724408191
一次風險,116581.297463494469412
一次趨勢值,0.107689157505351
找到最佳解世代,2693
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PG[21](8),TRV[22](3),WMT[28](1),
Stock#,PG[21](8),TRV[22](3),WMT[28](1),
張數,52435,51599,56430,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,40.049999999813735,37.600000000093132,12.899999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3354831.349999999627471,3340556.859999999869615,3329947.199999999720603,10025336.409999998286366
FS( 3 ),3382621.899999999906868,3341072.850000000093132,3328818.600000000093132,10052514.349999999627471
FS( 4 ),3370561.850000000093132,3328173.100000000093132,3312453.899999999906868,10011189.849999999627471
FS( 5 ),3368988.799999999813735,3332817.010000000242144,3340104.599999999627471,10041911.410000000149012
FS( 6 ),3364269.649999999441206,3322497.209999999962747,3332204.399999999906868,10018972.259999999776483
FS( 7 ),3338576.500000000000000,3298245.680000000167638,3331075.799999999813735,9967898.980000000447035
FS( 8 ),3363220.949999999720603,3335396.959999999962747,3340104.599999999627471,10038723.509999999776483
FS( 9 ),3339100.849999999627471,3334364.980000000447035,3353083.500000000000000,10026550.330000000074506
FS( 10 ),3333857.349999999627471,3327141.120000000111759,3333333.000000000000000,9994332.469999998807907
FS( 11 ),3341198.249999999534339,3310113.450000000186265,3349133.399999999906868,10000446.099999999627471
FS( 12 ),3371086.200000000186265,3282249.990000000223517,3340104.599999999627471,9993441.789999999105930
FS( 13 ),3353782.649999999906868,3235294.900000000372529,3480615.299999999813735,10069693.850000001490116
FS( 14 ),3330711.250000000000000,3208463.419999999925494,3522937.799999999813735,10062113.469999998807907
FS( 15 ),3323894.699999999720603,3235294.900000000372529,3557360.099999999627471,10116550.699999999254942
FS( 16 ),3311310.299999999813735,3241486.780000000260770,3596296.799999999813735,10149094.879999998956919
FS( 17 ),3271459.699999999720603,3241486.780000000260770,3596296.799999999813735,10109244.280000001192093
FS( 18 ),3280898.000000000000000,3260578.410000000149012,3671912.999999999534339,10213390.410000000149012
FS( 19 ),3276703.199999999720603,3230135.000000000000000,3685456.200000000186265,10192295.399999998509884
FS( 20 ),3300823.299999999813735,3244582.720000000204891,3706335.300000000279397,10251742.320000000298023
FS( 21 ),3267789.250000000000000,3193499.709999999962747,3692792.099999999627471,10154082.059999998658895
FS( 22 ),3266216.199999999720603,3224459.110000000335276,3714235.499999999534339,10204911.810000000521541
FS( 23 ),3227414.299999999813735,3125905.020000000018626,3698999.399999999906868,10052319.720000000670552
FS( 24 ),3219549.049999999813735,3115585.220000000204891,3723828.599999999627471,10058963.869999999180436
FS( 25 ),3207489.000000000000000,3137256.799999999813735,3696177.899999999906868,10040924.699999999254942
FS( 26 ),3240523.049999999813735,3180599.959999999962747,3720442.800000000279397,10141566.810000000521541
FS( 27 ),3290860.649999999906868,3194531.689999999944121,3717057.000000000000000,10202450.339999999850988
FS( 28 ),3290336.299999999813735,3206399.459999999962747,3849667.500000000000000,10346404.259999999776483
FS( 29 ),3279324.949999999720603,3176472.040000000037253,3810730.799999999813735,10266528.789999999105930
FS( 30 ),3290860.649999999906868,3196079.660000000149012,3821452.500000000000000,10308393.810000000521541
FS( 31 ),3280898.000000000000000,3181115.950000000186265,3784772.999999999534339,10246787.949999999254942
FS( 32 ),3312883.349999999627471,3256966.479999999981374,3816373.799999999813735,10386224.629999998956919
FS( 33 ),3297152.850000000093132,3271930.189999999944121,3823145.399999999906868,10392229.439999999478459
FS( 34 ),3266216.199999999720603,3254386.530000000260770,3844024.500000000000000,10364628.230000000447035
FS( 35 ),3262021.399999999906868,3273994.150000000372529,3826531.200000000186265,10362547.750000000000000
FS( 36 ),3166589.699999999720603,3294633.750000000000000,3866596.499999999534339,10327820.949999999254942
FS( 37 ),3133031.299999999813735,3229103.020000000018626,3820323.899999999906868,10182459.220000000670552
FS( 38 ),3137226.099999999627471,3268834.250000000000000,3797751.899999999906868,10203813.250000000000000
FS( 39 ),3109959.899999999906868,3206915.450000000186265,3847410.300000000279397,10164286.650000000372529
FS( 40 ),3107862.500000000000000,3206915.450000000186265,3869982.299999999813735,10184761.250000000000000
FS( 41 ),3145091.349999999627471,3242002.770000000018626,3870546.600000000093132,10257641.719999998807907
FS( 42 ),3161346.199999999720603,3243034.750000000000000,3854181.899999999906868,10258563.849999999627471
FS( 43 ),3211683.799999999813735,3294117.760000000242144,3934312.500000000000000,10440115.060000000521541
FS( 44 ),3208537.699999999720603,3298245.680000000167638,3913433.399999999441206,10420217.779999999329448
FS( 45 ),3217451.649999999906868,3309081.469999999739230,3992435.399999999906868,10518969.519999999552965
FS( 46 ),3216927.299999999813735,3300309.640000000130385,4011057.299999999813735,10528295.239999998360872
FS( 47 ),3213256.850000000093132,3264190.339999999850988,4026857.699999999720603,10504305.889999998733401
FS( 48 ),3227414.299999999813735,3254386.530000000260770,4049429.700000000186265,10531231.530000001192093
