代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11954299.839999999850988
真實報酬,1954299.839999999850988

夏普值報酬,0.186729984000000
夏普值風險,0.052207451990228
夏普值,3.576692155651510

二次趨勢線,-8.735359456763874 x^2 + 15979.970102861623673 x + 10000000.000000000000000
二次平均預期報酬,14844.373373482321767
風險,125753.862948136535124
二次平均趨勢值,0.118043080550173
一次趨勢線,15131.560963344634729 x + 10000000.000000000000000
一次預期報酬,15131.560963344634729
一次風險,126819.939639193908079
一次趨勢值,0.119315314345633
找到最佳解世代,1709
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](5),DIS[6](8),MRK[17](1),PG[21](4),VZ[26](7),WBA[27](3),XOM[29](20),
Stock#,AAPL[0](5),DIS[6](8),MRK[17](1),PG[21](4),VZ[26](7),WBA[27](3),XOM[29](20),
張數,8448,14277,24639,19852,29262,21836,18564,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,14.199999999953434,14.379999999888241,1.780000000027940,21.080000000074506,0.159999999916181,59.879999999888241,71.199999999953434,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1491677.559999999823049,1422289.119999999878928,1411816.479999999981374,1408321.959999999962747,1397260.659999999916181,1389921.279999999795109,1425786.399999999906868,9947076.460000000894070
FS( 3 ),1494380.919999999925494,1410010.899999999906868,1417483.449999999953434,1416659.800000000046566,1399894.239999999990687,1358914.159999999916181,1420959.760000000009313,9918306.229999998584390
FS( 4 ),1553010.040000000037253,1444132.929999999934807,1422904.030000000027940,1437901.440000000176951,1410135.939999999944121,1393415.040000000037253,1427642.800000000046566,10089145.220000002533197
FS( 5 ),1564245.879999999888241,1463121.339999999850988,1413787.600000000093132,1428968.040000000037253,1396675.419999999925494,1360442.679999999934807,1443236.559999999823049,10070480.520000001415610
FS( 6 ),1571764.600000000093132,1453270.209999999962747,1398511.419999999925494,1418247.959999999962747,1375899.399999999906868,1361752.839999999850988,1449733.959999999962747,10029183.390000000596046
FS( 7 ),1582831.479999999981374,1427286.069999999832362,1427831.830000000074506,1436710.320000000065193,1357171.719999999972060,1374417.719999999739230,1483891.719999999972060,10090143.860000001266599
FS( 8 ),1605472.119999999878928,1451699.739999999990687,1430542.120000000111759,1452194.880000000121072,1381166.560000000055879,1393415.040000000037253,1517121.280000000027940,10231614.740000000223517
FS( 9 ),1593222.520000000018626,1457267.769999999785796,1470703.689999999944121,1456562.320000000065193,1422718.599999999860302,1399529.119999999878928,1508953.119999999878928,10308960.139999998733401
FS( 10 ),1589505.399999999906868,1462550.259999999776483,1470457.300000000046566,1454775.640000000130385,1418914.540000000037253,1421583.479999999748543,1519163.319999999832362,10336952.939999999478459
FS( 11 ),1575059.319999999832362,1469403.219999999972060,1458630.580000000074506,1448224.480000000214204,1398431.139999999897555,1410883.839999999850988,1518420.760000000009313,10279056.339999999850988
FS( 12 ),1589758.840000000083819,1499670.459999999962747,1472182.030000000027940,1459738.640000000130385,1400479.479999999981374,1435558.519999999785796,1522690.479999999981374,10380081.450000001117587
FS( 13 ),1579705.719999999972060,1489676.559999999823049,1455427.510000000009313,1468275.000000000000000,1400186.859999999869615,1441017.519999999785796,1520091.519999999785796,10354383.689999999478459
FS( 14 ),1573961.080000000074506,1483822.989999999990687,1457152.239999999990687,1458150.480000000214204,1396968.040000000037253,1404988.119999999878928,1509324.399999999906868,10284370.350000001490116
FS( 15 ),1585112.439999999944121,1485679.000000000000000,1443108.010000000009313,1470260.200000000186265,1417158.819999999832362,1408481.879999999888241,1527517.119999999878928,10337320.470000000670552
FS( 16 ),1581141.879999999888241,1485821.769999999785796,1440151.330000000074506,1469664.640000000130385,1428278.379999999888241,1402586.159999999916181,1515636.159999999916181,10323283.319999998435378
FS( 17 ),1591279.479999999981374,1468974.909999999916181,1457891.410000000149012,1472642.440000000176951,1421840.739999999990687,1395598.639999999897555,1525103.800000000046566,10333334.420000001788139
FS( 18 ),1589505.399999999906868,1457838.849999999860302,1456905.850000000093132,1464503.120000000111759,1423303.839999999850988,1384680.639999999897555,1490203.479999999981374,10266944.179999999701977
FS( 19 ),1593138.040000000037253,1459123.780000000027940,1455920.290000000037253,1475223.200000000186265,1419792.399999999906868,1387300.959999999962747,1461243.639999999897555,10251745.310000002384186
FS( 20 ),1587393.399999999906868,1423288.509999999776483,1438919.379999999888241,1470061.679999999934807,1410428.560000000055879,1369177.079999999841675,1455860.080000000074506,10155131.689999999478459
FS( 21 ),1584014.199999999953434,1427428.839999999850988,1471442.860000000102445,1486737.360000000102445,1422133.359999999869615,1387519.319999999832362,1513037.199999999953434,10292316.140000000596046
FS( 22 ),1578691.959999999962747,1420147.569999999832362,1466761.449999999953434,1452591.920000000158325,1394919.699999999953434,1362407.919999999925494,1508210.559999999823049,10183734.080000000074506
FS( 23 ),1607161.719999999972060,1418577.099999999860302,1492139.620000000111759,1458150.480000000214204,1399016.379999999888241,1372670.839999999850988,1519163.319999999832362,10266882.460000000894070
FS( 24 ),1620594.040000000037253,1431140.859999999869615,1528112.560000000055879,1472642.440000000176951,1399309.000000000000000,1382278.679999999934807,1503198.280000000027940,10337278.859999999403954
FS( 25 ),1633097.080000000074506,1426857.759999999776483,1512589.989999999990687,1468473.520000000018626,1403698.299999999813735,1373325.919999999925494,1497814.719999999972060,10315860.290000000968575
FS( 26 ),1638757.239999999757856,1454983.449999999953434,1525895.050000000046566,1476017.280000000027940,1416573.579999999841675,1379003.279999999795109,1523433.040000000037253,10414665.919999998062849
FS( 27 ),1634364.280000000027940,1462978.569999999832362,1527373.390000000130385,1504008.600000000093132,1434130.779999999795109,1388829.479999999981374,1538655.519999999785796,10490343.619999999180436
FS( 28 ),1619495.799999999813735,1484536.839999999850988,1541910.399999999906868,1532198.440000000176951,1439105.319999999832362,1384462.279999999795109,1552021.599999999860302,10553733.679999997839332
FS( 29 ),1615525.239999999757856,1489819.329999999841675,1535750.649999999906868,1539146.640000000130385,1442616.759999999776483,1398874.040000000037253,1542739.599999999860302,10564475.259999999776483
FS( 30 ),1624395.639999999897555,1489533.789999999804422,1538460.939999999944121,1533389.560000000055879,1428278.379999999888241,1391013.079999999841675,1530116.080000000074506,10535190.469999998807907
FS( 31 ),1611047.799999999813735,1517802.250000000000000,1542156.790000000037253,1518103.520000000018626,1387018.959999999962747,1395598.639999999897555,1513222.840000000083819,10484953.799999998882413
FS( 32 ),1611892.600000000093132,1552638.129999999888241,1516778.620000000111759,1508574.560000000055879,1399309.000000000000000,1416561.199999999953434,1520277.159999999916181,10526034.269999999552965
FS( 33 ),1595334.520000000018626,1554065.829999999841675,1528358.949999999953434,1536168.840000000083819,1406331.879999999888241,1436868.679999999934807,1497443.439999999944121,10554575.139999998733401
FS( 34 ),1594489.719999999972060,1528510.000000000000000,1502734.390000000130385,1505596.760000000242144,1388774.679999999934807,1400839.280000000027940,1500413.679999999934807,10421361.509999997913837
FS( 35 ),1568723.319999999832362,1514804.079999999841675,1503719.949999999953434,1515324.239999999990687,1419207.159999999916181,1410883.839999999850988,1498186.000000000000000,10430851.589999999850988
FS( 36 ),1575566.199999999953434,1529794.929999999934807,1509879.699999999953434,1505795.280000000027940,1407209.739999999990687,1484907.879999999888241,1493545.000000000000000,10506701.730000000447035
FS( 37 ),1566780.280000000027940,1511805.909999999916181,1507415.800000000046566,1517507.959999999962747,1423011.219999999972060,1480322.320000000065193,1479436.359999999869615,10486282.849999999627471
FS( 38 ),1562218.359999999869615,1518230.559999999823049,1514561.110000000102445,1537161.440000000176951,1456077.279999999795109,1476391.839999999850988,1510809.519999999785796,10575453.109999999403954
FS( 39 ),1538986.359999999869615,1491247.030000000027940,1504951.899999999906868,1544308.160000000149012,1451395.359999999869615,1468312.519999999785796,1480364.559999999823049,10479568.889999998733401
