代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11940738.570000000298023
真實報酬,1940738.570000000298023

夏普值報酬,0.185373857000000
夏普值風險,0.056683732802321
夏普值,3.270318446501648

二次趨勢線,132.273940851408582 x^2 + -1094.247639703726236 x + 10000000.000000000000000
二次平均預期報酬,15704.542848425166085
風險,108732.551640884528751
二次平均趨勢值,0.144432762879448
一次趨勢線,11455.046440360963970 x + 10000000.000000000000000
一次預期報酬,11455.046440360963970
一次風險,260848.422907127998769
一次趨勢值,0.043914570434031
找到最佳解世代,2150
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](4),VZ[26](1),WMT[28](2),
Stock#,KO[14](4),VZ[26](1),WMT[28](2),
張數,98270,88183,53607,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,14.599999999627471,15.600000000093132,49.740000000223517,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3333333.000000000000000,3312169.080000000074506,3320467.320000000298023,9965970.400000000372529
FS( 3 ),3345125.399999999441206,3336860.320000000298023,3325291.950000000186265,10007278.669999999925494
FS( 4 ),3343160.000000000000000,3363315.220000000204891,3317250.900000000372529,10023727.120000001043081
FS( 5 ),3368710.199999999720603,3343914.960000000428408,3307065.570000000298023,10019691.730000000447035
FS( 6 ),3357900.500000000000000,3343914.960000000428408,3303313.080000000074506,10005129.540000000968575
FS( 7 ),3340211.899999999906868,3343914.960000000428408,3321539.460000000428408,10005667.320000000298023
FS( 8 ),3338246.499999999534339,3323632.870000000111759,3318323.040000000037253,9980203.410000000149012
FS( 9 ),3362813.999999999534339,3362433.390000000130385,3312426.270000000018626,10037674.660000000149012
FS( 10 ),3385416.100000000093132,3354496.919999999925494,3335477.280000000260770,10075391.300000000745058
FS( 11 ),3360848.600000000093132,3335978.489999999757856,3310818.060000000055879,10007646.150000000372529
FS( 12 ),3383450.699999999720603,3355378.750000000000000,3325828.020000000018626,10064658.469999998807907
FS( 13 ),3393277.699999999720603,3391533.780000000260770,3349415.100000000093132,10134227.580000000074506
FS( 14 ),3381485.299999999348074,3394179.270000000484288,3220222.230000000447035,9995887.800000000745058
FS( 15 ),3403104.699999999720603,3369488.030000000260770,3141419.940000000409782,9914013.670000001788139
FS( 16 ),3399173.899999999906868,3362433.390000000130385,3138203.520000000018626,9899811.810000000521541
FS( 17 ),3390329.599999999627471,3363315.220000000204891,3151605.270000000018626,9905251.089999999850988
FS( 18 ),3382468.000000000000000,3362433.390000000130385,3133914.960000000428408,9878817.350000001490116
FS( 19 ),3382468.000000000000000,3364197.049999999813735,3159110.250000000000000,9905776.300000000745058
FS( 20 ),3432585.699999999720603,3360669.729999999981374,3167151.300000000279397,9960407.730000000447035
FS( 21 ),3419810.599999999161810,3388888.290000000037253,3153213.480000000447035,9961913.369999999180436
FS( 22 ),3399173.899999999906868,3410052.210000000428408,3163398.810000000055879,9972625.919999999925494
FS( 23 ),3402121.999999999534339,3439152.600000000093132,3184305.540000000037253,10025581.140000000596046
FS( 24 ),3378537.199999999720603,3411815.870000000111759,3161254.530000000260770,9951608.600000001490116
FS( 25 ),3380502.599999999627471,3427688.810000000055879,3208964.760000000242144,10017157.169999999925494
FS( 26 ),3404087.399999999906868,3458552.859999999869615,3204140.130000000353903,10066781.390000000596046
FS( 27 ),3415879.799999999348074,3447970.900000000372529,3220758.300000000279397,10084610.000000000000000
FS( 28 ),3447326.199999999254942,3467371.160000000149012,3252922.500000000000000,10167620.859999999403954
FS( 29 ),3452239.699999999720603,3481480.439999999944121,3270076.740000000223517,10203797.879999998956919
FS( 30 ),3450274.299999999348074,3480598.609999999869615,3274365.300000000279397,10205239.209999999031425
FS( 31 ),3456170.500000000000000,3486771.419999999925494,3282406.350000000093132,10225349.269999999552965
FS( 32 ),3447326.199999999254942,3489416.910000000149012,3261499.620000000577420,10198243.730000000447035
FS( 33 ),3459118.600000000093132,3496471.549999999813735,3256138.920000000391155,10211730.070000000298023
