代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12037540.369999999180436
真實報酬,2037540.369999999180436

夏普值報酬,0.195054037000000
夏普值風險,0.059360732732468
夏普值,3.285910197218854

二次趨勢線,133.362084321475578 x^2 + -891.825559206146863 x + 10000000.000000000000000
二次平均預期報酬,16178.521233942727122
風險,113789.952929762424901
二次平均趨勢值,0.142178819987113
一次趨勢線,11860.727633322714610 x + 10000000.000000000000000
一次預期報酬,11860.727633322714610
一次風險,268184.507032075838652
一次趨勢值,0.044225998602910
找到最佳解世代,2087
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](9),BA[2](2),MSFT[18](14),NKE[19](1),PFE[20](5),UNH[23](13),
Stock#,AAPL[0](9),BA[2](2),MSFT[18](14),NKE[19](1),PFE[20](5),UNH[23](13),
張數,25883,16544,46829,52876,60060,26539,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,59.629999999888241,23.440000000176951,21.889999999897555,14.479999999981374,1.000000000000000,16.800000000046566,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1661489.399999999906868,1647971.280000000260770,1638568.600000000093132,1659792.120000000111759,1661260.600000000093132,1654988.840000000083819,9924074.839999999850988
FS( 3 ),1645959.599999999860302,1629442.000000000000000,1628734.510000000009313,1632825.359999999869615,1650449.800000000046566,1638800.050000000046566,9826215.319999998435378
FS( 4 ),1621370.750000000000000,1650452.880000000353903,1637163.729999999981374,1643400.559999999823049,1688287.599999999860302,1643311.680000000167638,9883991.199999999254942
FS( 5 ),1633794.589999999850988,1695618.000000000000000,1670412.320000000065193,1659263.359999999869615,1697296.600000000093132,1660562.030000000027940,10016950.899999998509884
FS( 6 ),1622923.729999999981374,1691482.000000000000000,1661046.519999999785796,1666666.000000000000000,1703903.199999999953434,1690020.320000000065193,10036045.769999999552965
FS( 7 ),1618005.959999999729916,1683375.440000000176951,1631544.250000000000000,1643400.559999999823049,1706906.200000000186265,1696655.070000000065193,9979891.480000000447035
