代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11939872.370000001043081
真實報酬,1939872.370000001043081

夏普值報酬,0.185287237000000
夏普值風險,0.051391763951151
夏普值,3.605387765559477

二次趨勢線,-28.443838011291753 x^2 + 17473.917268488814443 x + 10000000.000000000000000
二次平均預期報酬,13975.325193099926764
風險,264073.738528927322477
二次平均趨勢值,0.052922056055071
一次趨勢線,14860.683187688187900 x + 10000000.000000000000000
一次預期報酬,14860.683187688187900
一次風險,268367.864083774562459
一次趨勢值,0.055374302129741
找到最佳解世代,1661
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](2),PG[21](1),
Stock#,MRK[17](2),PG[21](1),
張數,73583,60459,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,35.149999999441206,40.700000000186265,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5049300.609999999403954,5035670.810000000521541,10084971.419999999925494
FS( 3 ),5105223.689999999478459,4996977.050000000745058,10102200.740000000223517
FS( 4 ),5126562.759999999776483,4952237.389999999664724,10078800.149999998509884
FS( 5 ),5118468.629999999888241,4980653.120000000111759,10099121.750000000000000
FS( 6 ),5083148.789999999105930,4958283.290000000037253,10041432.079999998211861
FS( 7 ),5140543.529999999329448,5024788.190000000409782,10165331.719999998807907
FS( 8 ),5211919.039999999105930,5045344.250000000000000,10257263.289999999105930
FS( 9 ),5149373.489999999292195,5055017.690000000409782,10204391.179999999701977
FS( 10 ),5181750.009999999776483,5093711.450000000186265,10275461.460000000894070
FS( 11 ),5181750.009999999776483,5078596.700000000186265,10260346.710000000894070
FS( 12 ),5149373.489999999292195,5078596.700000000186265,10227970.189999999478459
FS( 13 ),5208239.889999999664724,5160820.940000000409782,10369060.830000000074506
FS( 14 ),5231786.449999999254942,5188632.080000000074506,10420418.529999999329448
FS( 15 ),5208239.889999999664724,5094920.629999999888241,10303160.519999999552965
FS( 16 ),5198674.099999999627471,5025392.780000000260770,10224066.879999998956919
FS( 17 ),5175127.539999999105930,5033857.040000000037253,10208984.579999998211861
FS( 18 ),5203824.909999999217689,5009673.440000000409782,10213498.349999999627471
FS( 19 ),5220013.169999998994172,5032043.270000000484288,10252056.439999999478459
FS( 20 ),5263427.139999999664724,5058645.230000000447035,10322072.370000001043081
FS( 21 ),5279615.399999999441206,5100361.940000000409782,10379977.339999999850988
FS( 22 ),5251653.859999999403954,5019951.470000000670552,10271605.330000000074506
FS( 23 ),5240616.409999999217689,4952841.980000000447035,10193458.390000000596046
FS( 24 ),5226635.639999999664724,4966747.550000000745058,10193383.190000001341105
FS( 25 ),5258276.329999999143183,4981862.300000000745058,10240138.629999998956919
FS( 26 ),5323029.370000000111759,4969770.500000000000000,10292799.870000001043081
FS( 27 ),5183957.500000000000000,4923821.660000000149012,10107779.160000000149012
FS( 28 ),5030904.859999999403954,4768442.030000000260770,9799346.890000000596046
FS( 29 ),5136864.379999999888241,4779929.240000000223517,9916793.620000001043081
FS( 30 ),5111110.329999999143183,4844620.370000000111759,9955730.699999999254942
FS( 31 ),5240616.409999999217689,4897824.290000000037253,10138440.699999999254942
FS( 32 ),5284766.209999999031425,4949214.440000000409782,10233980.649999998509884
FS( 33 ),5313463.579999999143183,4851270.860000000335276,10164734.439999999478459
FS( 34 ),5323765.199999999254942,5278111.400000000372529,10601876.599999999627471
FS( 35 ),5339953.459999999031425,5235790.099999999627471,10575743.559999998658895
FS( 36 ),5305369.449999999254942,5269647.139999999664724,10575016.589999999850988
FS( 37 ),5190579.969999999739230,5408702.839999999850988,10599282.809999998658895
FS( 38 ),5147901.829999999143183,5380891.700000000186265,10528793.529999999329448
FS( 39 ),5180278.349999999627471,5311968.440000000409782,10492246.789999999105930
FS( 40 ),5257540.500000000000000,5334942.860000000335276,10592483.359999999403954
FS( 41 ),5362028.359999999403954,5392378.910000000149012,10754407.269999999552965
FS( 42 ),5416479.779999999329448,5361544.820000000298023,10778024.599999999627471
FS( 43 ),5380424.109999999403954,5416562.510000000707805,10796986.620000001043081
FS( 44 ),5317878.559999999590218,5429863.490000000223517,10747742.050000000745058
FS( 45 ),5380424.109999999403954,5513901.500000000000000,10894325.609999999403954
FS( 46 ),5394404.879999999888241,5532643.790000000037253,10927048.669999999925494
FS( 47 ),5524646.789999999105930,5519342.810000000521541,11043989.599999999627471
FS( 48 ),5554079.989999999292195,5523574.940000000409782,11077654.929999999701977
FS( 49 ),5508458.529999999329448,5587056.889999999664724,11095515.419999998062849
FS( 50 ),5495949.419999998994172,5604590.000000000000000,11100539.419999998062849
FS( 51 ),5490062.779999999329448,5651143.429999999701977,11141206.209999999031425
FS( 52 ),5451799.620000000111759,5652352.610000000335276,11104152.230000000447035
FS( 53 ),5506986.870000000111759,5672908.669999999925494,11179895.539999999105930
FS( 54 ),5596758.129999999888241,5672304.080000000074506,11269062.210000000894070
FS( 55 ),5618097.199999999254942,5640260.810000000521541,11258358.009999999776483
