代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11290544.470000000670552
真實報酬,1290544.470000000670552

夏普值報酬,0.120354447000000
夏普值風險,0.035670151101031
夏普值,3.374094117490861

二次趨勢線,44.528499451228313 x^2 + 3549.767131310408331 x + 10000000.000000000000000
二次平均預期報酬,9293.943560518862796
風險,119339.012918130567414
二次平均趨勢值,0.077878502036000
一次趨勢線,7841.136292431120637 x + 10000000.000000000000000
一次預期報酬,7841.136292431120637
一次風險,145000.128264950442826
一次趨勢值,0.054076754181234
找到最佳解世代,2192
找到最佳解實驗#,1
找到最佳解次數,30

stock[index](rank)
投資組合檔數,5
AAPL[0](6),BA[2](4),CVX[5](10),JPM[13](3),PG[21](16),
Stock#,AAPL[0](6),BA[2](4),CVX[5](10),JPM[13](3),PG[21](16),
張數,20312,15821,19776,30446,24452,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,80.480000000214204,67.390000000130385,53.120000000111759,2.260000000009313,70.919999999925494,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1984969.120000000111759,2006961.239999999990687,1988134.400000000139698,2003653.520000000018626,2003912.320000000065193,9987630.600000001490116
FS( 3 ),1989031.520000000251457,2015346.370000000111759,1990705.280000000027940,1968031.699999999953434,2016627.359999999869615,9979742.230000000447035
FS( 4 ),2003453.040000000037253,2086857.290000000270084,2000791.040000000037253,1987517.140000000130385,2023962.959999999729916,10102581.469999998807907
FS( 5 ),2011577.840000000316650,2087331.920000000158325,2043309.439999999944121,1980819.020000000018626,2012959.559999999823049,10135997.780000001192093
FS( 6 ),2009749.760000000242144,2104260.390000000130385,2038760.960000000195578,1986603.760000000009313,2021028.719999999972060,10160403.589999999850988
FS( 7 ),2024171.280000000260770,2105842.490000000223517,2033223.680000000167638,1971380.760000000009313,2033743.760000000009313,10168361.970000000670552
FS( 8 ),2007515.440000000176951,2074833.329999999841675,2016809.600000000093132,1943674.900000000139698,2034477.320000000065193,10077310.589999999850988
FS( 9 ),1977250.560000000288710,2055531.709999999962747,2019182.719999999972060,1926320.680000000167638,2019072.559999999823049,9997358.230000000447035
FS( 10 ),1979688.000000000000000,2064707.890000000130385,2002966.400000000139698,1890089.939999999944121,2038145.119999999878928,9975597.349999999627471
FS( 11 ),1973188.160000000149012,2059328.750000000000000,1990112.000000000000000,1886740.879999999888241,2028364.320000000065193,9937734.109999999403954
FS( 12 ),1981516.080000000074506,2046830.160000000149012,1998813.439999999944121,1894352.379999999888241,2039612.239999999757856,9961124.299999998882413
FS( 13 ),1936423.440000000176951,2053949.610000000102445,2008701.439999999944121,1896179.140000000130385,2032765.679999999701977,9928019.310000000521541
FS( 14 ),1931751.680000000167638,2100305.140000000130385,2029268.480000000214204,1898919.280000000027940,2030565.000000000000000,9990809.580000001937151
FS( 15 ),1948204.400000000139698,2080845.310000000288710,2041727.360000000102445,1916577.960000000195578,2039612.239999999757856,10026967.269999999552965
FS( 16 ),1940892.080000000074506,2084800.560000000288710,2022940.160000000149012,1909270.919999999925494,2043524.559999999823049,10001428.280000001192093
FS( 17 ),1952063.680000000167638,2112961.940000000409782,2065458.560000000055879,1950068.559999999823049,2059173.839999999850988,10139726.580000000074506
FS( 18 ),1897221.280000000260770,2001740.310000000055879,2015227.520000000251457,1814583.860000000102445,2011492.439999999944121,9740265.410000000149012
FS( 19 ),1869596.960000000428408,1941304.090000000083819,1984772.480000000214204,1753996.320000000065193,1986306.880000000121072,9535976.730000002309680
FS( 20 ),1901080.560000000288710,1960131.080000000074506,2009888.000000000000000,1812148.180000000167638,2016382.839999999850988,9699630.660000000149012
FS( 21 ),1917533.280000000260770,2009176.179999999934807,2045287.040000000037253,1863297.460000000195578,2051838.239999999757856,9887132.199999999254942
FS( 22 ),1941907.680000000167638,2054740.660000000149012,2073171.200000000186265,1891916.699999999953434,2070421.760000000009313,10032158.000000001862645
FS( 23 ),1947798.160000000149012,2051892.880000000121072,2059723.520000000251457,1865124.219999999972060,2073111.479999999981374,9997650.259999999776483
FS( 24 ),1929517.360000000102445,2008859.760000000009313,2048253.439999999944121,1813061.559999999823049,2089249.799999999813735,9888941.919999999925494
FS( 25 ),1940485.840000000316650,2008701.550000000046566,2068227.200000000186265,1832547.000000000000000,2079224.479999999981374,9929186.070000000298023
FS( 26 ),1948813.760000000242144,2012023.960000000195578,2037969.920000000158325,1832547.000000000000000,2074334.079999999841675,9905688.720000000670552
FS( 27 ),1963844.640000000363216,2058221.280000000260770,2071984.640000000130385,1882478.439999999944121,2097318.959999999962747,10073847.960000000894070
FS( 28 ),1969938.240000000223517,2089072.229999999981374,2084245.760000000009313,1895874.680000000167638,2096829.919999999925494,10135960.830000000074506
FS( 29 ),1978875.520000000251457,2069612.400000000139698,2111734.399999999906868,1924189.460000000195578,2096829.919999999925494,10181241.699999999254942
FS( 30 ),1967703.920000000391155,2058537.700000000419095,2109163.520000000018626,1922971.619999999878928,2100253.199999999720603,10158629.960000000894070
FS( 31 ),2006702.960000000428408,2081319.940000000409782,2110152.320000000298023,1952199.780000000260770,2099764.160000000149012,10250139.160000000149012
FS( 32 ),2006499.840000000316650,2094609.579999999841675,2116678.399999999906868,1954026.540000000270084,2103187.439999999944121,10275001.800000000745058
FS( 33 ),2027827.440000000176951,2111063.420000000391155,2098088.959999999962747,1947328.419999999925494,2101231.280000000260770,10285539.519999999552965
FS( 34 ),2028639.920000000391155,2130523.250000000000000,2097100.160000000149012,1944283.820000000065193,2107099.759999999776483,10307646.910000000149012
FS( 35 ),2030468.000000000000000,2131472.510000000242144,2088200.960000000195578,1946415.040000000037253,2086315.559999999823049,10282872.070000000298023
FS( 36 ),2019702.640000000363216,2112645.520000000018626,2084245.760000000009313,1939108.000000000000000,2084848.439999999944121,10240550.359999999403954
FS( 37 ),2004062.400000000139698,2111696.260000000242144,2089585.280000000027940,1949764.100000000093132,2096096.359999999869615,10251204.400000000372529
FS( 38 ),1977250.560000000288710,2103311.129999999888241,2038365.439999999944121,1944588.280000000027940,2098052.520000000018626,10161567.930000001564622
FS( 39 ),1963641.520000000251457,2133529.240000000223517,2030652.800000000279397,1952504.239999999757856,2085092.959999999729916,10165420.759999999776483
FS( 40 ),2091200.880000000353903,2151090.550000000279397,2022346.880000000121072,1958593.439999999944121,2065286.839999999850988,10288518.589999999850988
FS( 41 ),2119434.560000000521541,2104418.600000000093132,2013052.160000000149012,1951590.859999999869615,2073845.040000000037253,10262341.219999998807907
FS( 42 ),2116794.000000000000000,2114702.250000000000000,2026697.600000000093132,1947632.879999999888241,2092917.600000000093132,10298744.330000000074506
FS( 43 ),2154168.080000000074506,2107582.800000000279397,1960052.480000000214204,1942457.059999999823049,2112968.239999999757856,10277228.660000000149012
FS( 44 ),2122278.240000000223517,2082110.989999999990687,1969544.960000000195578,1937890.159999999916181,2121526.439999999944121,10233350.790000000968575
FS( 45 ),2148886.959999999962747,2086382.660000000149012,1989716.480000000214204,1968640.619999999878928,2102209.359999999869615,10295836.080000000074506
FS( 46 ),2150511.919999999925494,2075940.800000000279397,1985365.760000000009313,1965596.020000000018626,2104165.520000000018626,10281580.019999999552965
FS( 47 ),2183214.240000000223517,2084167.719999999972060,1987738.880000000121072,2018572.059999999823049,2097563.479999999981374,10371256.379999998956919
FS( 48 ),2201291.919999999925494,2091445.380000000121072,2001384.320000000065193,2012482.859999999869615,2097074.439999999944121,10403678.919999999925494
FS( 49 ),2210229.200000000186265,2098248.410000000149012,2003757.439999999944121,2005480.280000000260770,2102698.399999999906868,10420413.730000000447035
FS( 50 ),2193776.480000000447035,2092869.270000000251457,1980421.760000000009313,1987517.140000000130385,2110523.040000000037253,10365107.690000001341105
FS( 51 ),2192354.640000000596046,2104260.390000000130385,2005339.520000000251457,1992997.419999999925494,2120792.879999999888241,10415744.850000001490116
FS( 52 ),2197432.640000000596046,2105842.490000000223517,2020369.280000000027940,1988734.979999999748543,2128373.000000000000000,10440752.390000000596046
FS( 53 ),2223838.240000000223517,2130523.250000000000000,2032432.640000000130385,2000913.379999999888241,2127883.959999999962747,10515591.470000000670552
FS( 54 ),2221807.040000000037253,2135902.390000000130385,2029466.240000000223517,2000608.919999999925494,2117125.080000000074506,10504909.669999999925494
FS( 55 ),2218557.120000000111759,2131472.510000000242144,2021555.840000000083819,2006089.199999999953434,2126416.839999999850988,10504091.510000001639128
FS( 56 ),2215713.440000000409782,2135902.390000000130385,2047857.920000000158325,2007915.960000000195578,2138153.799999999813735,10545543.510000001639128
FS( 57 ),2221400.799999999813735,2127042.629999999888241,2023533.439999999944121,2005175.820000000065193,2134975.040000000037253,10512127.730000000447035
FS( 58 ),2204135.600000000558794,2135744.180000000167638,2016018.560000000055879,2003349.059999999823049,2123727.119999999646097,10482974.520000001415610
FS( 59 ),2211041.679999999701977,2122296.330000000074506,2010876.800000000279397,2002435.679999999934807,2137175.720000000204891,10483826.210000000894070
FS( 60 ),2194385.839999999850988,2108848.479999999981374,2021160.320000000065193,2007915.960000000195578,2134975.040000000037253,10467285.640000000596046
FS( 61 ),2185042.320000000298023,2103943.969999999739230,2015029.760000000009313,2011569.479999999748543,2149401.720000000204891,10464987.250000000000000
FS( 62 ),2172245.759999999776483,2092078.219999999972060,2003757.439999999944121,2016136.379999999888241,2141577.080000000074506,10425794.879999998956919
FS( 63 ),2169808.320000000298023,2102678.290000000037253,2018193.920000000158325,2038361.960000000195578,2159182.520000000018626,10488225.009999999776483
FS( 64 ),2153152.480000000447035,2069612.400000000139698,2011272.320000000065193,2055107.260000000009313,2140599.000000000000000,10429743.460000000894070
FS( 65 ),2155183.679999999701977,2048095.839999999850988,1989123.200000000186265,2055107.260000000009313,2134975.040000000037253,10382485.019999999552965
FS( 66 ),2167980.240000000223517,2055215.290000000270084,1981806.080000000074506,2046277.919999999925494,2159427.040000000037253,10410706.570000000298023
FS( 67 ),2188292.240000000223517,2075149.750000000000000,1996044.800000000279397,2054802.799999999813735,2156737.319999999832362,10471026.910000000149012
FS( 68 ),2187682.879999999888241,2104102.180000000167638,2025708.800000000279397,2053280.500000000000000,2167496.199999999720603,10538270.560000000521541
FS( 69 ),2201088.799999999813735,2098564.830000000074506,2034608.000000000000000,2044755.619999999878928,2150624.319999999832362,10529641.570000000298023
FS( 70 ),2143402.719999999739230,2102678.290000000037253,2059130.240000000223517,2047495.760000000009313,2146467.479999999981374,10499174.490000000223517
FS( 71 ),2094857.040000000037253,2033540.520000000251457,2002768.640000000130385,2029228.160000000149012,2108811.399999999906868,10269205.760000001639128
FS( 72 ),2141777.759999999776483,2058695.910000000149012,2022149.120000000111759,2041711.020000000018626,2157959.919999999925494,10422293.730000000447035
