代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11316321.500000000000000
真實報酬,1316321.500000000000000

夏普值報酬,0.122932150000000
夏普值風險,0.056887060555083
夏普值,2.160986150461520

二次趨勢線,75.858120610174439 x^2 + 3851.114629497983060 x + 10000000.000000000000000
二次平均預期報酬,13636.812188210486056
風險,266080.396831447549630
二次平均趨勢值,0.051250721024927
一次趨勢線,11161.830315384360802 x + 10000000.000000000000000
一次預期報酬,11161.830315384360802
一次風險,300807.447149071900640
一次趨勢值,0.037106229985898
找到最佳解世代,2170
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
Stock#,NKE[19](1),
張數,202511,
分配資金,10000000.000000000000000,
剩餘資金,6.820000000298023,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9921020.710000000894070,9921020.710000000894070
FS( 3 ),9874443.179999999701977,9874443.179999999701977
FS( 4 ),9969623.349999999627471,9969623.349999999627471
FS( 5 ),9813689.880000000819564,9813689.880000000819564
FS( 6 ),9866342.740000000223517,9866342.740000000223517
FS( 7 ),9773187.679999999701977,9773187.679999999701977
FS( 8 ),9653706.190000001341105,9653706.190000001341105
FS( 9 ),9825840.540000000968575,9825840.540000000968575
FS( 10 ),9702308.830000000074506,9702308.830000000074506
FS( 11 ),9765087.240000000223517,9765087.240000000223517
FS( 12 ),9775212.790000000968575,9775212.790000000968575
FS( 13 ),9874443.179999999701977,9874443.179999999701977
FS( 14 ),9955447.580000000074506,9955447.580000000074506
FS( 15 ),10326042.710000000894070,10326042.710000000894070
FS( 16 ),10273389.849999999627471,10273389.849999999627471
FS( 17 ),10192385.449999999254942,10192385.449999999254942
FS( 18 ),10024301.320000000298023,10024301.320000000298023
FS( 19 ),10058728.190000001341105,10058728.190000001341105
FS( 20 ),10113406.160000000149012,10113406.160000000149012
FS( 21 ),10216686.770000001415610,10216686.770000001415610
FS( 22 ),10159983.690000001341105,10159983.690000001341105
FS( 23 ),10081004.400000000372529,10081004.400000000372529
FS( 24 ),10091129.949999999254942,10091129.949999999254942
FS( 25 ),10099230.390000000596046,10099230.390000000596046
FS( 26 ),10087079.730000000447035,10087079.730000000447035
FS( 27 ),10210611.440000001341105,10210611.440000001341105
FS( 28 ),10198460.779999999329448,10198460.779999999329448
FS( 29 ),10123531.710000000894070,10123531.710000000894070
FS( 30 ),10052652.860000001266599,10052652.860000001266599
FS( 31 ),10078979.290000000968575,10078979.290000000968575
FS( 32 ),10109355.940000001341105,10109355.940000001341105
FS( 33 ),10115431.270000001415610,10115431.270000001415610
FS( 34 ),9979748.900000000372529,9979748.900000000372529
FS( 35 ),10125556.820000000298023,10125556.820000000298023
FS( 36 ),10155933.470000000670552,10155933.470000000670552
FS( 37 ),10141757.699999999254942,10141757.699999999254942
FS( 38 ),10238962.980000000447035,10238962.980000000447035
FS( 39 ),10222762.099999999627471,10222762.099999999627471
FS( 40 ),10220736.990000000223517,10220736.990000000223517
FS( 41 ),10111381.050000000745058,10111381.050000000745058
FS( 42 ),10143782.810000000521541,10143782.810000000521541
FS( 43 ),10008100.440000001341105,10008100.440000001341105
FS( 44 ),10204536.110000001266599,10204536.110000001266599
FS( 45 ),10210611.440000001341105,10210611.440000001341105
FS( 46 ),10168084.130000000819564,10168084.130000000819564
FS( 47 ),10147833.029999999329448,10147833.029999999329448
FS( 48 ),10273389.849999999627471,10273389.849999999627471
FS( 49 ),10372620.240000000223517,10372620.240000000223517
FS( 50 ),10409072.220000000670552,10409072.220000000670552
FS( 51 ),10366544.910000000149012,10366544.910000000149012
FS( 52 ),10344268.699999999254942,10344268.699999999254942
FS( 53 ),10473875.740000000223517,10473875.740000000223517
FS( 54 ),10629809.210000000894070,10629809.210000000894070
FS( 55 ),10607533.000000000000000,10607533.000000000000000
FS( 56 ),10595382.339999999850988,10595382.339999999850988
FS( 57 ),10593357.230000000447035,10593357.230000000447035
FS( 58 ),10571081.020000001415610,10571081.020000001415610
FS( 59 ),10575131.240000000223517,10575131.240000000223517
FS( 60 ),10471850.630000000819564,10471850.630000000819564
FS( 61 ),10413122.440000001341105,10413122.440000001341105
FS( 62 ),10358444.470000000670552,10358444.470000000670552
FS( 63 ),10295666.060000000521541,10295666.060000000521541
FS( 64 ),10303766.500000000000000,10303766.500000000000000
FS( 65 ),10340218.480000000447035,10340218.480000000447035
FS( 66 ),10380720.679999999701977,10380720.679999999701977
FS( 67 ),10324017.599999999627471,10324017.599999999627471
FS( 68 ),10332118.040000000968575,10332118.040000000968575
FS( 69 ),10271364.740000000223517,10271364.740000000223517
FS( 70 ),10263264.300000000745058,10263264.300000000745058
FS( 71 ),10463750.190000001341105,10463750.190000001341105
FS( 72 ),10518428.160000000149012,10518428.160000000149012
FS( 73 ),10508302.610000001266599,10508302.610000001266599
FS( 74 ),10465775.300000000745058,10465775.300000000745058
FS( 75 ),10587281.900000000372529,10587281.900000000372529
FS( 76 ),10607533.000000000000000,10607533.000000000000000
FS( 77 ),10733089.820000000298023,10733089.820000000298023
FS( 78 ),10787767.790000000968575,10787767.790000000968575
FS( 79 ),10814094.220000000670552,10814094.220000000670552
FS( 80 ),10854596.419999999925494,10854596.419999999925494
FS( 81 ),10755366.029999999329448,10755366.029999999329448
FS( 82 ),10654110.529999999329448,10654110.529999999329448
FS( 83 ),11109760.279999999329448,11109760.279999999329448
FS( 84 ),10903199.060000000521541,10903199.060000000521541
FS( 85 ),10937625.929999999701977,10937625.929999999701977
FS( 86 ),11081408.740000000223517,11081408.740000000223517
FS( 87 ),11125961.160000000149012,11125961.160000000149012
FS( 88 ),11121910.940000001341105,11121910.940000001341105
FS( 89 ),11269743.970000000670552,11269743.970000000670552
FS( 90 ),11065207.860000001266599,11065207.860000001266599
FS( 91 ),11081408.740000000223517,11081408.740000000223517
FS( 92 ),11190764.679999999701977,11190764.679999999701977
FS( 93 ),11383150.130000000819564,11383150.130000000819564
FS( 94 ),11375049.690000001341105,11375049.690000001341105
FS( 95 ),11330497.270000001415610,11330497.270000001415610
FS( 96 ),11375049.690000001341105,11375049.690000001341105
FS( 97 ),11421627.220000000670552,11421627.220000000670552
FS( 98 ),11456054.089999999850988,11456054.089999999850988
FS( 99 ),11441878.320000000298023,11441878.320000000298023
FS( 100 ),11553259.369999999180436,11553259.369999999180436
FS( 101 ),11543133.820000000298023,11543133.820000000298023
FS( 102 ),11441878.320000000298023,11441878.320000000298023
FS( 103 ),11314296.390000000596046,11314296.390000000596046
FS( 104 ),11490480.960000000894070,11490480.960000000894070
FS( 105 ),11636288.880000000819564,11636288.880000000819564
FS( 106 ),11646414.429999999701977,11646414.429999999701977
FS( 107 ),11666665.529999999329448,11666665.529999999329448
FS( 108 ),11628188.440000001341105,11628188.440000001341105
FS( 109 ),11723368.610000001266599,11723368.610000001266599
FS( 110 ),11822599.000000000000000,11822599.000000000000000
FS( 111 ),11656539.980000000447035,11656539.980000000447035
FS( 112 ),11595786.679999999701977,11595786.679999999701977
FS( 113 ),11680841.300000000745058,11680841.300000000745058
FS( 114 ),11589711.349999999627471,11589711.349999999627471
FS( 115 ),11447953.650000000372529,11447953.650000000372529
FS( 116 ),11502631.619999999180436,11502631.619999999180436
FS( 117 ),11579585.800000000745058,11579585.800000000745058
FS( 118 ),11642364.210000000894070,11642364.210000000894070
FS( 119 ),11626163.330000000074506,11626163.330000000074506
FS( 120 ),11640339.099999999627471,11640339.099999999627471
FS( 121 ),11370999.470000000670552,11370999.470000000670552
FS( 122 ),10822194.660000000149012,10822194.660000000149012
FS( 123 ),10518428.160000000149012,10518428.160000000149012
FS( 124 ),10484001.290000000968575,10484001.290000000968575
FS( 125 ),11012555.000000000000000,11012555.000000000000000
FS( 126 ),11403401.230000000447035,11403401.230000000447035
FS( 127 ),11391250.570000000298023,11391250.570000000298023
