代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11408309.220000000670552
真實報酬,1408309.220000000670552

夏普值報酬,0.132130922000000
夏普值風險,0.042091853469629
夏普值,3.139109141281632

二次趨勢線,-55.948080989923497 x^2 + 19179.736902587726945 x + 10000000.000000000000000
二次平均預期報酬,11906.486373897674639
風險,112455.546472046407871
二次平均趨勢值,0.105877271041116
一次趨勢線,13745.860542350175820 x + 10000000.000000000000000
一次預期報酬,13745.860542350175820
一次風險,153921.262316995416768
一次趨勢值,0.089304494619080
找到最佳解世代,1355
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CVX[5](8),JNJ[12](4),JPM[13](14),MRK[17](3),PFE[20](5),PG[21](7),UNH[23](1),
Stock#,CVX[5](8),JNJ[12](4),JPM[13](14),MRK[17](3),PFE[20](5),PG[21](7),UNH[23](1),
張數,16586,13323,24131,27605,47555,17586,11741,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,18.820000000065193,78.939999999944121,15.800000000046566,12.250000000000000,18.800000000046566,60.219999999972060,43.530000000027940,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1445322.860000000102445,1426172.860000000102445,1442084.360000000102445,1442925.600000000093132,1425717.699999999953434,1451784.520000000018626,1423874.600000000093132,10057885.500000000000000
FS( 3 ),1451791.400000000139698,1420976.890000000130385,1446910.560000000055879,1438232.750000000000000,1421437.750000000000000,1456884.459999999962747,1430332.149999999906868,10066568.959999999031425
FS( 4 ),1458425.800000000279397,1418978.439999999944121,1449082.350000000093132,1437680.649999999906868,1412877.850000000093132,1468315.359999999869615,1430097.330000000074506,10075460.779999999329448
FS( 5 ),1503871.440000000176951,1422175.959999999962747,1446427.939999999944121,1453139.449999999953434,1416682.250000000000000,1461456.819999999832362,1429627.690000000176951,10133384.549999998882413
FS( 6 ),1471860.459999999962747,1415248.000000000000000,1418435.979999999981374,1447894.500000000000000,1396233.600000000093132,1460753.380000000121072,1428453.590000000083819,10038882.509999999776483
FS( 7 ),1539531.339999999850988,1423508.260000000009313,1426640.520000000018626,1445410.050000000046566,1414304.500000000000000,1458994.779999999795109,1421878.629999999888241,10130271.079999998211861
FS( 8 ),1558107.659999999916181,1427505.159999999916181,1414333.709999999962747,1464181.449999999953434,1407171.250000000000000,1447036.300000000046566,1433502.219999999972060,10151840.750000000000000
FS( 9 ),1568722.699999999953434,1435099.269999999785796,1431949.340000000083819,1468598.250000000000000,1450446.300000000046566,1437715.719999999972060,1468842.629999999888241,10261377.210000000894070
FS( 10 ),1563415.180000000167638,1434433.119999999878928,1426640.520000000018626,1465285.649999999906868,1431424.300000000046566,1427515.840000000083819,1470251.550000000046566,10218969.160000002011657
FS( 11 ),1563581.040000000037253,1435765.419999999925494,1428571.000000000000000,1447066.350000000093132,1404793.500000000000000,1429977.880000000121072,1465907.379999999888241,10175665.570000000298023
FS( 12 ),1582323.220000000204891,1431102.369999999878928,1421814.320000000065193,1433815.949999999953434,1381016.000000000000000,1430505.459999999962747,1466494.430000000167638,10147074.750000000000000
FS( 13 ),1607036.360000000102445,1422175.959999999962747,1417712.050000000046566,1422497.900000000139698,1395282.500000000000000,1455301.719999999972060,1462150.260000000009313,10182159.750000000000000
FS( 14 ),1620305.159999999916181,1432301.439999999944121,1459458.679999999934807,1442373.500000000000000,1400513.550000000046566,1462336.120000000111759,1487863.050000000046566,10305154.500000000000000
FS( 15 ),1599572.659999999916181,1429370.379999999888241,1458976.060000000055879,1457556.250000000000000,1429997.650000000139698,1465325.739999999757856,1488097.869999999878928,10328899.609999999403954
FS( 16 ),1583981.820000000065193,1430702.679999999934807,1453667.239999999990687,1463905.400000000139698,1444739.699999999953434,1455125.859999999869615,1503126.350000000093132,10335252.050000000745058
FS( 17 ),1552302.560000000055879,1445624.439999999944121,1446427.939999999944121,1465285.649999999906868,1435704.250000000000000,1456532.739999999757856,1523907.919999999925494,10325788.500000000000000
FS( 18 ),1573200.919999999925494,1443093.070000000065193,1435327.679999999934807,1465009.600000000093132,1430473.199999999953434,1457763.760000000009313,1509818.719999999972060,10314689.950000001117587
FS( 19 ),1570381.300000000279397,1442027.229999999981374,1433397.199999999953434,1458384.399999999906868,1416206.700000000186265,1453015.540000000037253,1513693.249999999767169,10287108.620000001043081
FS( 20 ),1580996.339999999850988,1454151.159999999916181,1424468.729999999981374,1471910.850000000093132,1429046.550000000046566,1456181.020000000018626,1524377.560000000288710,10341135.210000000894070
FS( 21 ),1579835.320000000065193,1452019.479999999981374,1440877.810000000055879,1469150.349999999860302,1429997.650000000139698,1454070.700000000186265,1522616.410000000149012,10348570.719999998807907
FS( 22 ),1582323.220000000204891,1441627.540000000037253,1429053.620000000111759,1460592.799999999813735,1409549.000000000000000,1447563.880000000121072,1513458.430000000167638,10284171.490000000223517
FS( 23 ),1563415.180000000167638,1454817.309999999823049,1444738.770000000018626,1482400.750000000000000,1428571.000000000000000,1469018.800000000046566,1525434.249999999767169,10368399.060000000521541
FS( 24 ),1549648.800000000279397,1446823.510000000009313,1428571.000000000000000,1501724.250000000000000,1460908.399999999906868,1463391.279999999795109,1520385.620000000111759,10371455.859999999403954
FS( 25 ),1537043.440000000176951,1451619.790000000037253,1408300.959999999962747,1497307.449999999953434,1491343.600000000093132,1462511.979999999981374,1491620.170000000158325,10339750.390000000596046
FS( 26 ),1573035.060000000055879,1457881.599999999860302,1419159.910000000149012,1535678.400000000139698,1566004.949999999953434,1473942.880000000121072,1503243.760000000009313,10528949.560000000521541
FS( 27 ),1572205.760000000242144,1455883.149999999906868,1383204.719999999972060,1529881.350000000093132,1557920.599999999860302,1463918.859999999869615,1489624.200000000186265,10452641.640000000596046
FS( 28 ),1597748.199999999953434,1453618.239999999757856,1393339.739999999990687,1528225.050000000046566,1545556.300000000046566,1463215.419999999925494,1475652.410000000149012,10457358.359999999403954
FS( 29 ),1579669.459999999962747,1451886.250000000000000,1404440.000000000000000,1519667.500000000000000,1516547.750000000000000,1454950.000000000000000,1483284.060000000055879,10410448.020000001415610
FS( 30 ),1617319.680000000167638,1460279.739999999757856,1430501.479999999981374,1527672.950000000186265,1519876.600000000093132,1456708.599999999860302,1488802.330000000074506,10501164.380000000819564
FS( 31 ),1618812.419999999925494,1463876.949999999953434,1491070.290000000037253,1544788.050000000046566,1547458.500000000000000,1450201.779999999795109,1500073.690000000176951,10616284.679999999701977
FS( 32 ),1625115.100000000093132,1463477.260000000009313,1510375.090000000083819,1558314.500000000000000,1552689.550000000046566,1442288.080000000074506,1502656.709999999962747,10654919.289999999105930
FS( 33 ),1612675.600000000093132,1468007.080000000074506,1493000.770000000018626,1549756.949999999953434,1545556.300000000046566,1447388.020000000018626,1495025.060000000055879,10611412.780000001192093
FS( 34 ),1637057.020000000018626,1477999.330000000074506,1502653.170000000158325,1559970.800000000046566,1550787.350000000093132,1456708.599999999860302,1500660.739999999990687,10685840.009999999776483
FS( 35 ),1666911.820000000065193,1501314.580000000074506,1527990.719999999972060,1569632.550000000046566,1564102.750000000000000,1464622.300000000046566,1532244.030000000027940,10826821.750000000000000
FS( 36 ),1686649.159999999916181,1513305.280000000027940,1550191.239999999990687,1561903.149999999906868,1580271.449999999953434,1434198.520000000018626,1572515.660000000149012,10899037.460000000894070
FS( 37 ),1681839.220000000204891,1513172.049999999813735,1534747.400000000139698,1562455.250000000000000,1580747.000000000232831,1421009.020000000018626,1561126.890000000130385,10855099.830000000074506
FS( 38 ),1691956.680000000167638,1509841.299999999813735,1543675.870000000111759,1566319.949999999953434,1582173.650000000139698,1423646.919999999925494,1574863.859999999869615,10892481.230000000447035
FS( 39 ),1683663.680000000167638,1512372.669999999925494,1534747.400000000139698,1551965.349999999860302,1579320.350000000093132,1431736.479999999981374,1570754.510000000009313,10864563.439999999478459
FS( 40 ),1696600.760000000242144,1504378.869999999878928,1542710.630000000121072,1546996.449999999953434,1571711.549999999813735,1399026.520000000018626,1576155.370000000111759,10837583.149999998509884
FS( 41 ),1722474.919999999925494,1502513.649999999906868,1547054.209999999962747,1554449.800000000046566,1569333.800000000046566,1405005.760000000009313,1559248.330000000074506,10860083.469999998807907
FS( 42 ),1698425.220000000204891,1498649.979999999981374,1534747.400000000139698,1538714.949999999953434,1565053.849999999860302,1402719.580000000074506,1550677.399999999906868,10788991.380000000819564
FS( 43 ),1694776.300000000279397,1493320.780000000027940,1525095.000000000000000,1513870.450000000186265,1555542.850000000093132,1409050.540000000037253,1546098.410000000149012,10737757.330000001937151
FS( 44 ),1713518.480000000214204,1502247.189999999944121,1539332.290000000037253,1526568.750000000000000,1559822.799999999813735,1423998.639999999897555,1551029.629999999888241,10816520.780000001192093
FS( 45 ),1680512.339999999850988,1501447.809999999823049,1509651.160000000149012,1520495.649999999906868,1602622.300000000279397,1426284.819999999832362,1555256.390000000130385,10796273.470000000670552
FS( 46 ),1668404.560000000055879,1495186.000000000000000,1509651.160000000149012,1513042.300000000046566,1588355.800000000046566,1435077.819999999832362,1550207.760000000009313,10759928.400000000372529
FS( 47 ),1682170.940000000176951,1503979.179999999934807,1477798.239999999990687,1493166.700000000186265,1596440.150000000139698,1429802.020000000018626,1553495.239999999990687,10736855.470000000670552
FS( 48 ),1689468.780000000027940,1502113.959999999962747,1486485.400000000139698,1479640.250000000000000,1596915.699999999953434,1444398.399999999906868,1550325.169999999925494,10749350.660000000149012
FS( 49 ),1664423.919999999925494,1515170.500000000000000,1477074.310000000055879,1493442.750000000000000,1608328.900000000139698,1444222.540000000037253,1557721.999999999767169,10760387.920000001788139
FS( 50 ),1679683.040000000037253,1527827.349999999860302,1497103.040000000037253,1509453.649999999906868,1607377.799999999813735,1450553.500000000000000,1568288.899999999906868,10840290.279999999329448
