代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11328140.919999999925494
真實報酬,1328140.919999999925494

夏普值報酬,0.124114092000000
夏普值風險,0.048551892351500
夏普值,2.556318322290184

二次趨勢線,84.294362532862010 x^2 + 2948.401813867028977 x + 10000000.000000000000000
二次平均預期報酬,13485.197130474780352
風險,124958.461813429326867
二次平均趨勢值,0.107917438601389
一次趨勢線,10819.260966031872158 x + 10000000.000000000000000
一次預期報酬,10819.260966031872158
一次風險,192450.761630348599283
一次趨勢值,0.056218332805630
找到最佳解世代,2356
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),UNH[23](4),WMT[28](1),
Stock#,MCD[15](2),UNH[23](4),WMT[28](1),
張數,29732,28084,57860,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,78.479999999981374,43.040000000037253,18.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3332441.040000000037253,3304406.479999999981374,3362263.000000000000000,9999111.519999999552965
FS( 3 ),3341955.280000000260770,3219592.800000000279397,3377306.599999999627471,9938855.679999999701977
FS( 4 ),3355334.679999999701977,3264246.360000000335276,3391193.000000000000000,10010775.039999999105930
FS( 5 ),3369011.399999999906868,3224367.080000000074506,3401029.200000000186265,9994408.679999999701977
FS( 6 ),3357713.240000000223517,3208920.880000000353903,3384249.799999999813735,9950884.920000001788139
FS( 7 ),3366335.520000000018626,3254697.800000000279397,3395243.199999999720603,10016277.519999999552965
FS( 8 ),3385066.679999999701977,3216784.400000000372529,3331597.199999999720603,9933449.279999999329448
FS( 9 ),3333333.000000000000000,3168479.919999999925494,3295145.399999999906868,9796959.320000000298023
FS( 10 ),3269706.520000000018626,3128881.479999999981374,3264479.600000000093132,9663068.599999999627471
FS( 11 ),3302114.399999999906868,3196563.919999999925494,3348376.599999999627471,9847055.919999999925494
FS( 12 ),3298546.560000000055879,3212571.800000000279397,3466989.600000000093132,9978108.960000000894070
FS( 13 ),3345820.439999999944121,3292892.040000000037253,3525428.199999999720603,10164141.679999999701977
FS( 14 ),3368714.080000000074506,3106975.959999999962747,3512120.399999999906868,9987811.439999999478459
FS( 15 ),3386850.600000000093132,3172692.520000000018626,3475668.600000000093132,10035212.720000000670552
FS( 16 ),3403500.520000000018626,3149944.479999999981374,3486662.000000000000000,10040108.000000000000000
FS( 17 ),3397851.439999999944121,3178871.000000000000000,3466989.600000000093132,10043713.039999999105930
FS( 18 ),3401419.280000000260770,3213133.479999999981374,3485504.799999999813735,10100058.559999998658895
FS( 19 ),3396364.840000000316650,3211167.600000000093132,3465253.799999999813735,10072787.240000000223517
FS( 20 ),3394283.600000000093132,3165390.679999999701977,3404500.800000000279397,9964176.080000000074506
FS( 21 ),3402905.879999999888241,3265088.880000000353903,3413179.799999999813735,10081175.559999998658895
FS( 22 ),3381201.520000000018626,3303844.800000000279397,3376149.399999999906868,10061196.720000000670552
FS( 23 ),3371389.959999999962747,3229703.040000000037253,3416072.799999999813735,10017166.800000000745058
FS( 24 ),3454936.879999999888241,3306653.199999999720603,3451945.999999999534339,10213537.080000000074506
FS( 25 ),3461477.919999999925494,3255259.479999999981374,3500548.399999999906868,10217286.800000000745058
FS( 26 ),3464748.439999999944121,3254416.959999999962747,3449053.000000000000000,10168219.400000000372529
FS( 27 ),3466235.040000000037253,3231107.239999999757856,3421280.200000000186265,10118623.480000000447035
FS( 28 ),3484668.879999999888241,3263684.679999999701977,3446160.000000000000000,10194514.559999998658895
FS( 29 ),3451369.040000000037253,3257225.360000000335276,3434588.000000000000000,10143183.400000000372529
FS( 30 ),3456720.800000000279397,3253574.439999999944121,3494183.799999999813735,10204480.039999999105930
FS( 31 ),3476641.240000000223517,3303002.279999999795109,3450788.799999999813735,10230433.320000000298023
FS( 32 ),3503697.359999999869615,3337264.759999999776483,3488976.399999999906868,10329939.519999999552965
FS( 33 ),3493588.479999999981374,3348217.520000000018626,3412601.199999999720603,10254408.199999999254942
FS( 34 ),3468613.600000000093132,3252731.919999999925494,3405079.399999999906868,10126425.919999999925494
FS( 35 ),3499237.560000000055879,3297385.479999999981374,3445581.399999999906868,10242205.439999999478459
FS( 36 ),3500129.520000000018626,3298228.000000000000000,3502862.799999999813735,10301221.320000000298023
FS( 37 ),3532240.080000000074506,3333333.000000000000000,3534685.800000000279397,10400259.880000000819564
FS( 38 ),3525401.719999999739230,3323503.600000000093132,3519642.199999999720603,10368548.519999999552965
FS( 39 ),3530753.479999999981374,3323222.759999999776483,3515013.399999999906868,10368990.640000000596046
FS( 40 ),3569999.719999999739230,3365067.919999999925494,3564773.000000000000000,10499841.640000000596046
FS( 41 ),3550971.240000000223517,3339792.320000000298023,3568823.199999999720603,10459587.759999999776483
FS( 42 ),3512616.959999999962747,3303844.800000000279397,3546836.399999999906868,10363299.160000000149012
FS( 43 ),3495967.040000000037253,3270705.679999999701977,3556094.000000000000000,10322767.719999998807907
FS( 44 ),3544132.879999999888241,3276884.160000000149012,3640569.600000000093132,10461587.640000000596046
FS( 45 ),3520347.280000000260770,3243464.199999999720603,3677021.399999999906868,10440833.880000000819564
FS( 46 ),3438881.600000000093132,3147978.600000000093132,3762654.200000000186265,10349515.400000000372529
FS( 47 ),3433529.840000000316650,3093776.479999999981374,3676442.799999999813735,10203750.120000001043081
FS( 48 ),3469505.560000000055879,3077487.759999999776483,3715787.599999999627471,10262781.919999999925494
