代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11996261.639999998733401
真實報酬,1996261.639999998733401

夏普值報酬,0.190926164000000
夏普值風險,0.055460968310286
夏普值,3.442532105314685

二次趨勢線,48.821999866930256 x^2 + 10285.381441687675760 x + 10000000.000000000000000
二次平均預期報酬,16534.597424654748465
風險,87325.844972762803081
二次平均趨勢值,0.189343686623495
一次趨勢線,14953.913381904234484 x + 10000000.000000000000000
一次預期報酬,14953.913381904234484
一次風險,124617.590708707386511
一次趨勢值,0.119998415126311
找到最佳解世代,2271
找到最佳解實驗#,2
找到最佳解次數,34

stock[index](rank)
投資組合檔數,4
HD[9](8),PFE[20](4),PG[21](16),V[25](2),
FS( 90 ),2849184.850000000093132,2912977.540000000502914,2669246.759999999776483,2962229.239999999757856,11393638.390000000596046
FS( 91 ),2863210.080000000074506,2953633.359999999869615,2659880.049999999813735,2970675.640000000130385,11447399.129999998956919
FS( 92 ),2864077.620000000111759,2924389.700000000186265,2629196.000000000000000,2956527.919999999459833,11374191.240000000223517
FS( 93 ),2838340.600000000093132,2919396.880000000353903,2630164.970000000204891,2950615.439999999478459,11338517.890000000596046
FS( 94 ),2807109.159999999683350,2910837.760000000242144,2633071.879999999888241,2960751.120000000111759,11311769.919999999925494
FS( 95 ),2792071.799999999813735,2903705.160000000149012,2626289.089999999850988,2972364.919999999459833,11294430.969999998807907
FS( 96 ),2804940.310000000055879,2935801.859999999869615,2658265.099999999627471,2954627.479999999515712,11353634.750000000000000
FS( 97 ),2825182.909999999683350,2954346.620000000111759,2703160.709999999962747,2970042.159999999683350,11452732.399999998509884
FS( 98 ),2827640.939999999944121,3002135.040000000502914,2703160.709999999962747,2984401.040000000037253,11517337.730000000447035
FS( 99 ),2861908.770000000018626,3019253.280000000260770,2701545.759999999776483,2976165.799999999813735,11558873.609999999403954
FS( 100 ),2895164.469999999739230,3007127.859999999869615,2709943.500000000000000,2957161.399999999441206,11569397.230000000447035
FS( 101 ),2876946.129999999888241,3000708.520000000018626,2693471.009999999776483,2980388.999999999534339,11551514.660000000149012
FS( 102 ),2894152.339999999850988,3009980.900000000372529,2688626.159999999683350,3000660.359999999869615,11593419.759999999776483
FS( 103 ),2910635.600000000093132,3024246.100000000093132,2692502.040000000037253,3045003.959999999497086,11672387.699999999254942
FS( 104 ),2920467.719999999739230,2965758.780000000260770,2695085.959999999962747,3070343.159999999683350,11651655.620000001043081
FS( 105 ),2920323.129999999888241,2960052.700000000186265,2696377.919999999925494,3066119.959999999497086,11642873.709999999031425
FS( 106 ),2916130.020000000018626,2960052.700000000186265,2696700.909999999683350,3104762.239999999757856,11677645.870000001043081
FS( 107 ),2881139.239999999757856,2960052.700000000186265,2694116.989999999757856,3098638.600000000093132,11633947.529999999329448
FS( 108 ),2902972.330000000074506,2961479.220000000204891,2679259.450000000186265,3101805.999999999534339,11645517.000000000000000
FS( 109 ),2965290.620000000111759,2950780.319999999832362,2671184.700000000186265,3121021.560000000055879,11708277.200000001117587
FS( 110 ),2951843.750000000000000,2985016.800000000279397,2690241.110000000335276,3012696.479999999515712,11639798.140000000596046
FS( 111 ),2977002.409999999683350,2980023.980000000447035,2669569.750000000000000,3051338.759999999776483,11677934.900000000372529
FS( 112 ),2981918.469999999739230,3009980.900000000372529,2645668.489999999757856,3023887.959999999497086,11661455.819999998435378
FS( 113 ),3046405.609999999869615,2999995.260000000242144,2660849.019999999552965,3042470.040000000037253,11749719.929999999701977
FS( 114 ),3092096.049999999813735,3017826.760000000242144,2648898.390000000130385,3072243.600000000093132,11831064.800000000745058
FS( 115 ),3065057.719999999739230,3024959.359999999869615,2684427.290000000037253,3095048.879999999422580,11869493.250000000000000
FS( 116 ),3028476.449999999720603,3056342.800000000279397,2695408.950000000186265,3117431.839999999850988,11897660.039999999105930
FS( 117 ),3022982.029999999795109,3064188.660000000149012,2700576.790000000037253,3121866.199999999720603,11909613.679999999701977
FS( 118 ),3013294.500000000000000,3067754.959999999962747,2721248.149999999906868,3086813.640000000130385,11889111.250000000000000
FS( 119 ),3051177.080000000074506,3103417.959999999962747,2713173.399999999906868,3117431.839999999850988,11985200.279999999329448
FS( 120 ),3060720.020000000018626,3085586.459999999962747,2713173.399999999906868,3112997.479999999515712,11972477.359999999403954
FS( 121 ),3051755.439999999944121,3120536.200000000186265,2757100.040000000037253,3151428.600000000093132,12080820.279999999329448
FS( 122 ),3070985.909999999683350,3142647.260000000242144,2771957.579999999608845,3168532.560000000055879,12154123.310000000521541
FS( 123 ),3007366.310000000055879,3133374.880000000353903,2721894.129999999888241,3148683.520000000018626,12011318.839999999850988
FS( 124 ),2999703.040000000037253,3123389.240000000223517,2684750.280000000260770,3158608.040000000037253,11966450.600000001490116
FS( 125 ),3000570.580000000074506,3115543.380000000353903,2689272.140000000130385,3152062.080000000074506,11957448.180000001564622
FS( 126 ),2990738.459999999962747,3131235.100000000093132,2676352.540000000037253,3167899.080000000074506,11966225.180000001564622
FS( 127 ),2995220.750000000000000,3143360.520000000018626,2688303.169999999925494,3169377.199999999720603,11996261.639999998733401
