代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11848755.350000001490116
真實報酬,1848755.350000001490116

夏普值報酬,0.176175535000000
夏普值風險,0.055493625489922
夏普值,3.174698597264938

二次趨勢線,112.290873827074591 x^2 + 703.228236715367530 x + 10000000.000000000000000
二次平均預期報酬,15301.041834235064016
風險,99353.693885969056282
二次平均趨勢值,0.154005767030630
一次趨勢線,11609.316773858450688 x + 10000000.000000000000000
一次預期報酬,11609.316773858450688
一次風險,233163.953423803177429
一次趨勢值,0.049790358258153
找到最佳解世代,1743
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
MRK[17](1),NKE[19](2),PG[21](12),V[25](3),VZ[26](6),
Stock#,MRK[17](1),NKE[19](2),PG[21](12),V[25](3),VZ[26](6),
張數,37243,30156,25412,16611,41701,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,50.899999999906868,54.080000000307336,75.599999999860302,35.599999999860302,20.040000000037253,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2024580.379999999888241,1987032.920000000391155,2020329.599999999860302,2006146.069999999832362,2012510.300000000046566,10050599.270000001415610
FS( 3 ),2026070.099999999860302,1961701.880000000121072,2040405.080000000074506,2024584.279999999795109,2031275.750000000000000,10084037.089999999850988
FS( 4 ),2022345.799999999813735,1967431.520000000251457,2033543.839999999850988,2010963.260000000009313,2038781.930000000167638,10073066.349999999627471
FS( 5 ),2028677.109999999869615,1935164.600000000325963,2011689.519999999785796,2024085.949999999720603,2036696.880000000121072,10036314.060000000521541
FS( 6 ),2039477.579999999841675,1963511.240000000223517,2032273.239999999757856,2030232.019999999785796,2043786.050000000046566,10109280.130000000819564
FS( 7 ),2053629.919999999925494,1999396.880000000121072,2040405.080000000074506,2068271.209999999962747,2043786.050000000046566,10205489.140000000596046
FS( 8 ),2061823.379999999888241,2015078.000000000000000,2029477.919999999925494,2063786.239999999757856,2035028.839999999850988,10205194.379999998956919
FS( 9 ),2062195.809999999823049,1995476.600000000325963,2025920.239999999757856,2046510.799999999813735,2028773.689999999944121,10158877.140000000596046
FS( 10 ),2040967.299999999813735,1996381.280000000493601,2007623.599999999860302,2036211.979999999748543,2020433.490000000223517,10101617.649999998509884
FS( 11 ),2057726.649999999906868,2002110.920000000391155,1999237.639999999897555,2049999.109999999869615,2013761.330000000074506,10122835.650000000372529
FS( 12 ),2073368.709999999962747,1987636.040000000270084,2006861.239999999757856,2068603.429999999934807,2025020.600000000093132,10161490.019999999552965
FS( 13 ),2034635.989999999990687,1981604.840000000083819,1998983.519999999785796,2046676.909999999683350,2014595.350000000093132,10076496.609999999403954
FS( 14 ),2035008.419999999925494,2014474.880000000121072,1990089.319999999832362,2074915.609999999869615,1988740.729999999981374,10103228.959999999031425
FS( 15 ),2036870.569999999832362,2000904.680000000167638,1957816.080000000074506,2046843.019999999785796,1971643.320000000065193,10014077.669999999925494
FS( 16 ),2015642.059999999823049,1942703.600000000325963,1941806.519999999785796,1993189.489999999757856,1954962.920000000158325,9848304.589999999850988
FS( 17 ),1989199.529999999795109,1949036.360000000102445,1929100.519999999785796,1943522.599999999860302,1930359.330000000074506,9741218.339999999850988
FS( 18 ),2012662.619999999878928,1987334.480000000447035,1941806.519999999785796,2003986.639999999897555,1962886.110000000102445,9908676.369999999180436
