代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12779621.549999998882413
真實報酬,2779621.549999998882413

夏普值報酬,0.269262155000000
夏普值風險,0.084191595192003
夏普值,3.198207070265545

二次趨勢線,-63.834072478417653 x^2 + 33230.866229203151306 x + 10000000.000000000000000
二次平均預期報酬,25251.607169400944258
風險,244393.571094871032983
二次平均趨勢值,0.103323532842026
一次趨勢線,27270.455847182267462 x + 10000000.000000000000000
一次預期報酬,27270.455847182267462
一次風險,268353.136307510430925
一次趨勢值,0.101621528342909
找到最佳解世代,2259
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](6),CSCO[4](1),INTC[11](7),MSFT[18](3),NKE[19](2),
Stock#,BA[2](6),CSCO[4](1),INTC[11](7),MSFT[18](3),NKE[19](2),
張數,7812,59259,51229,26806,38557,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,206.119999999878928,8.750000000000000,19.840000000083819,4.340000000083819,48.410000000149012,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1995859.639999999897555,2005925.900000000139698,2017417.860000000102445,1990617.900000000139698,1984577.200000000186265,9994398.500000000000000
FS( 3 ),1998203.239999999757856,1981629.709999999962747,2015368.700000000186265,2002144.479999999981374,2008096.969999999972060,10005443.100000001490116
FS( 4 ),2022654.799999999813735,1990518.560000000288710,2025102.210000000195578,2036456.160000000149012,2011952.670000000158325,10086684.400000000372529
FS( 5 ),2020233.079999999841675,2000000.000000000000000,2030225.110000000102445,2037260.340000000083819,2021206.350000000325963,10108924.880000000819564
FS( 6 ),2018748.799999999813735,2000592.589999999850988,2042007.780000000027940,2045034.080000000307336,1986505.050000000279397,10092888.300000000745058
FS( 7 ),2038591.280000000027940,1988148.199999999720603,2031249.689999999944121,2045034.080000000307336,1986890.620000000111759,10089913.870000001043081
FS( 8 ),2042575.399999999906868,1990518.560000000288710,2013319.540000000037253,2048518.860000000102445,1967612.120000000111759,10062544.480000000447035
FS( 9 ),2046247.040000000037253,1970963.089999999850988,2007684.349999999860302,2067283.060000000288710,1959900.719999999972060,10052078.259999999776483
FS( 10 ),2037107.000000000000000,1983407.479999999981374,2032274.270000000251457,2077201.280000000027940,1965684.270000000018626,10095674.300000000745058
FS( 11 ),2029373.119999999878928,1987555.609999999869615,2036884.879999999888241,2081490.240000000223517,1980721.500000000000000,10116025.349999999627471
FS( 12 ),2020545.559999999823049,1991111.150000000139698,2038421.750000000000000,2079881.880000000121072,2005012.410000000149012,10134972.750000000000000
FS( 13 ),2031638.600000000093132,1988148.199999999720603,2061987.090000000083819,2080418.000000000000000,2016579.510000000009313,10178771.400000000372529
FS( 14 ),2023826.600000000093132,2000000.000000000000000,2053790.450000000186265,2088459.800000000046566,2031616.739999999990687,10197693.589999999850988
FS( 15 ),2068433.119999999878928,2029629.500000000000000,2071208.310000000055879,2112585.200000000186265,2045882.830000000307336,10327738.960000000894070
FS( 16 ),2049449.959999999729916,2035555.400000000139698,2091699.909999999916181,2113121.320000000298023,2069017.030000000027940,10358843.619999999180436
FS( 17 ),2078198.119999999878928,2049184.969999999972060,2097847.390000000596046,2113925.500000000000000,2059763.350000000325963,10398919.330000000074506
FS( 18 ),2018983.159999999916181,2032592.449999999720603,2089138.460000000195578,2107760.120000000111759,2118369.990000000223517,10366844.179999999701977
FS( 19 ),2025623.359999999636784,2030814.680000000167638,2118338.990000000223517,2111244.900000000372529,2190471.580000000074506,10476493.510000001639128
FS( 20 ),2003671.639999999664724,2040296.119999999878928,2274587.440000000409782,2246615.200000000186265,2157698.130000000353903,10722868.530000001192093
FS( 21 ),2025467.119999999878928,2017185.109999999869615,2273050.570000000298023,2248759.679999999701977,2131093.800000000279397,10695556.280000001192093
FS( 22 ),2015545.880000000121072,2023703.599999999860302,2330427.049999999813735,2229727.419999999925494,2120297.840000000316650,10719701.789999999105930
FS( 23 ),2019608.119999999878928,2051555.329999999841675,2392926.429999999701977,2229727.419999999925494,2123382.400000000372529,10817199.699999999254942
FS( 24 ),2051871.679999999934807,2027259.140000000130385,2412905.740000000223517,2253048.639999999664724,2125310.250000000000000,10870395.449999999254942
FS( 25 ),2044997.119999999878928,2042666.479999999981374,2373971.700000000186265,2255461.179999999701977,2148058.880000000353903,10865155.360000001266599
FS( 26 ),2063120.959999999729916,2039110.939999999711290,2392414.140000000596046,2264307.160000000149012,2160782.689999999944121,10919735.889999998733401
FS( 27 ),2079213.679999999934807,2038518.349999999860302,2396512.459999999962747,2258945.959999999962747,2126466.959999999962747,10899657.410000000149012
FS( 28 ),2074838.959999999729916,2044444.250000000000000,2392414.140000000596046,2266719.700000000186265,2149986.729999999981374,10928403.780000001192093
FS( 29 ),2052418.519999999785796,2017777.699999999720603,2371922.540000000037253,2254120.879999999888241,2164252.820000000298023,10860492.460000000894070
FS( 30 ),2037966.320000000065193,2014222.160000000149012,2335037.660000000149012,2248223.560000000521541,2162710.540000000502914,10798160.240000002086163
FS( 31 ),2050231.159999999916181,2011851.800000000279397,2343746.589999999850988,2249831.919999999925494,2155770.279999999795109,10811431.749999998137355
FS( 32 ),2045075.239999999757856,2017185.109999999869615,2349381.780000000260770,2253048.639999999664724,2158469.270000000018626,10823160.039999999105930
FS( 33 ),2053668.439999999944121,2021333.239999999990687,2328890.179999999701977,2224366.219999999739230,2183531.320000000298023,10811789.399999998509884
FS( 34 ),2060230.519999999785796,2126221.669999999925494,2338623.690000000409782,2230263.540000000037253,2206665.520000000018626,10962004.939999999478459
FS( 35 ),2048981.239999999757856,2127406.850000000093132,2286370.110000000335276,2208818.740000000223517,2282237.240000000223517,10953814.180000001564622
FS( 36 ),2067495.679999999934807,2162962.250000000000000,2285857.820000000298023,2212303.520000000484288,2284550.660000000149012,11013169.929999999701977
FS( 37 ),2085932.000000000000000,2171851.100000000093132,2302251.099999999627471,2244202.660000000149012,2289948.640000000130385,11094185.500000000000000
FS( 38 ),2071557.919999999692664,2159999.300000000279397,2287394.690000000409782,2227851.000000000000000,2277610.400000000372529,11024413.310000000521541
FS( 39 ),2077260.679999999934807,2162369.660000000149012,2292517.589999999850988,2231871.900000000372529,2287249.650000000372529,11051269.480000000447035
FS( 40 ),2074917.079999999841675,2184888.080000000074506,2279198.049999999813735,2248223.560000000521541,2299202.320000000298023,11086429.089999999850988
FS( 41 ),2093744.000000000000000,2235850.819999999832362,2291493.009999999776483,2275297.620000000111759,2297274.470000000204891,11193659.919999999925494
FS( 42 ),2103977.719999999739230,2221036.069999999832362,2251534.390000000596046,2234016.379999999888241,2327348.930000000167638,11137913.489999998360872
FS( 43 ),2162567.719999999739230,2210369.449999999720603,2297128.200000000186265,2256265.360000000335276,2329662.350000000093132,11255993.080000000074506
FS( 44 ),2120226.679999999701977,2228147.149999999906868,2288931.560000000521541,2258677.900000000372529,2308841.570000000298023,11204824.860000001266599
FS( 45 ),2171707.759999999776483,2235258.229999999981374,2279198.049999999813735,2173434.820000000298023,2317324.110000000335276,11176922.969999998807907
FS( 46 ),2152724.599999999627471,2210962.040000000037253,2225407.599999999627471,2187105.879999999888241,2329662.350000000093132,11105862.469999998807907
FS( 47 ),2174051.359999999403954,2216887.939999999944121,2225919.890000000596046,2219005.020000000484288,2302672.450000000186265,11138536.660000000149012
FS( 48 ),2202955.759999999776483,2216295.350000000093132,2206965.160000000149012,2211231.280000000260770,2336602.610000000335276,11174050.160000000149012
FS( 49 ),2233656.919999999925494,2228739.739999999757856,2220796.990000000223517,2255997.299999999813735,2363592.510000000242144,11302783.459999999031425
FS( 50 ),2212252.040000000037253,2249480.390000000130385,2236677.979999999515712,2284679.719999999739230,2387112.279999999795109,11370202.409999998286366
FS( 51 ),2265217.399999999441206,2246517.439999999944121,2219772.410000000149012,2294061.820000000298023,2397137.100000000093132,11422706.169999999925494
FS( 52 ),2280060.199999999254942,2260739.600000000093132,2220284.700000000186265,2287896.439999999478459,2479263.510000000242144,11528244.449999997392297
FS( 53 ),2295996.679999999701977,2245924.850000000093132,2216186.379999999888241,2270204.480000000447035,2488131.620000000111759,11516444.010000001639128
FS( 54 ),2296465.399999999441206,2263109.959999999962747,2282784.080000000074506,2328105.439999999478459,2498156.440000000409782,11668621.320000000298023
FS( 55 ),2313651.799999999813735,2280295.069999999832362,2369873.379999999888241,2315506.620000000111759,2498927.580000000074506,11778254.449999999254942
FS( 56 ),2322323.120000000111759,2269628.449999999720603,2409832.000000000000000,2300763.320000000298023,2476950.089999999850988,11779496.980000000447035
FS( 57 ),2327400.919999999925494,2295702.410000000149012,2436471.080000000074506,2292453.459999999962747,2451888.040000000502914,11803915.910000002011657
FS( 58 ),2304980.479999999515712,2283258.020000000018626,2395487.879999999888241,2291917.339999999850988,2497385.299999999813735,11773029.019999999552965
FS( 59 ),2305527.320000000298023,2284443.199999999720603,2392414.140000000596046,2292185.400000000372529,2440320.939999999944121,11714891.000000000000000
FS( 60 ),2307558.440000000409782,2280295.069999999832362,2360652.160000000149012,2289236.740000000223517,2454201.459999999962747,11691943.870000001043081
FS( 61 ),2309589.559999999590218,2285035.790000000037253,2362189.030000000260770,2297546.599999999627471,2427211.560000000055879,11681572.540000000968575
FS( 62 ),2315292.320000000298023,2286813.560000000055879,2367824.219999999739230,2297814.660000000149012,2427211.560000000055879,11694956.320000002160668
FS( 63 ),2304043.040000000037253,2269628.449999999720603,2364750.479999999515712,2292989.580000000074506,2411788.760000000242144,11643200.310000000521541
FS( 64 ),2319120.199999999254942,2302813.489999999757856,2400098.490000000223517,2303980.040000000037253,2448032.340000000316650,11774044.559999998658895
FS( 65 ),2326619.719999999739230,2321183.780000000260770,2318644.379999999888241,2314702.439999999478459,2447646.770000000018626,11728797.089999999850988
FS( 66 ),2317792.160000000149012,2310517.160000000149012,2276124.310000000521541,2335075.000000000000000,2446104.490000000223517,11685613.120000001043081
FS( 67 ),2412864.199999999254942,2342517.020000000018626,2292005.299999999813735,2364025.480000000447035,2466925.270000000018626,11878337.269999999552965
FS( 68 ),2423097.919999999925494,2366813.209999999962747,2292005.299999999813735,2366438.020000000484288,2488902.760000000242144,11937257.209999999031425
FS( 69 ),2487781.280000000260770,2351998.459999999962747,2234628.820000000298023,2364829.660000000149012,2471166.540000000502914,11910404.760000001639128
FS( 70 ),2502077.240000000223517,2365035.439999999944121,2177252.339999999850988,2354107.259999999776483,2476178.950000000186265,11874651.230000000447035
FS( 71 ),2563479.559999999590218,2376294.649999999906868,2223870.729999999515712,2361076.820000000298023,2478877.940000000409782,12003599.699999999254942
FS( 72 ),2626678.639999999664724,2421924.080000000074506,2215161.799999999813735,2401821.939999999478459,2493529.600000000093132,12159116.059999998658895
FS( 73 ),2618476.040000000037253,2402368.609999999869615,2210038.900000000372529,2368314.439999999478459,2445333.350000000093132,12044531.339999999850988
FS( 74 ),2742296.240000000223517,2441479.550000000279397,2274075.150000000372529,2416297.179999999701977,2460370.580000000074506,12334518.700000001117587
FS( 75 ),2657536.040000000037253,2447405.449999999720603,2278685.759999999776483,2415224.939999999478459,2471937.680000000167638,12270789.869999999180436
FS( 76 ),2638552.879999999888241,2446812.859999999869615,2296103.620000000111759,2412544.339999999850988,2591464.379999999888241,12385478.079999998211861
FS( 77 ),2640662.120000000111759,2468738.689999999944121,2343746.589999999850988,2455702.000000000000000,2559847.640000000130385,12468697.040000000968575
FS( 78 ),2621835.199999999254942,2494812.649999999906868,2359627.580000000074506,2463475.740000000223517,2588765.390000000130385,12528516.560000000521541
FS( 79 ),2614804.399999999441206,2498960.780000000260770,2331451.629999999888241,2461331.259999999776483,2621924.410000000149012,12528472.480000000447035
FS( 80 ),2680581.440000000409782,2482960.850000000093132,2320693.540000000037253,2475002.320000000298023,2610742.879999999888241,12569981.030000001192093
FS( 81 ),2681440.759999999776483,2522071.790000000037253,2565568.160000000149012,2521376.700000000186265,2623466.690000000409782,12913924.100000001490116
FS( 82 ),2662691.959999999962747,2539256.899999999906868,2560445.259999999776483,2517623.860000000335276,2605730.470000000204891,12885748.450000001117587
FS( 83 ),2638396.639999999664724,2503701.500000000000000,2499482.750000000000000,2485992.780000000260770,2596091.220000000204891,12723664.890000000596046
FS( 84 ),2768544.559999999590218,2461627.609999999869615,2466183.900000000372529,2546842.400000000372529,2630406.950000000186265,12873605.420000001788139
FS( 85 ),2788621.399999999441206,2471109.050000000279397,2441081.690000000409782,2526737.900000000372529,2608429.460000000428408,12835979.500000000000000
FS( 86 ),2725891.040000000037253,2425479.620000000111759,2364238.190000000409782,2460259.020000000484288,2591849.950000000186265,12567717.820000000298023
FS( 87 ),2569416.679999999701977,2298072.770000000018626,2280734.919999999925494,2358932.339999999850988,2482733.640000000130385,11989890.349999999627471
FS( 88 ),2663395.040000000037253,2380442.780000000260770,2300714.229999999515712,2448196.320000000298023,2514735.950000000186265,12307484.320000000298023
FS( 89 ),2719719.559999999590218,2390516.810000000055879,2315570.640000000596046,2402090.000000000000000,2530544.319999999832362,12358441.330000000074506
FS( 90 ),2575510.040000000037253,2297480.180000000167638,2190059.589999999850988,2278782.400000000372529,2409475.340000000316650,11751307.550000000745058
FS( 91 ),2600274.080000000074506,2342517.020000000018626,2251534.390000000596046,2363757.419999999925494,2525146.339999999850988,12083229.250000000000000
FS( 92 ),2685971.719999999739230,2405924.149999999906868,2296615.910000000149012,2389223.120000000111759,2544039.270000000484288,12321774.169999998062849
FS( 93 ),2680972.040000000037253,2443257.319999999832362,2277661.179999999701977,2407987.320000000298023,2539798.000000000465661,12349675.859999999403954
FS( 94 ),2694174.320000000298023,2494220.060000000055879,2324791.860000000335276,2434257.200000000186265,2620382.129999999888241,12567825.570000000298023
FS( 95 ),2784871.639999999664724,2612145.469999999739230,2352455.520000000484288,2483848.299999999813735,2633105.940000000409782,12866426.870000001043081
FS( 96 ),2773778.599999999627471,2626960.219999999739230,2334013.080000000074506,2466156.339999999850988,2633491.510000000242144,12834399.749999998137355
FS( 97 ),2760576.320000000298023,2610960.290000000037253,2372947.120000000111759,2485456.660000000149012,2602260.339999999850988,12832200.730000000447035
FS( 98 ),2752920.559999999590218,2566516.040000000037253,2353480.099999999627471,2452485.280000000260770,2585295.260000000242144,12710697.240000000223517
FS( 99 ),2780653.160000000149012,2544590.209999999962747,2346308.040000000037253,2458918.719999999739230,2588379.819999999832362,12718849.949999999254942
FS( 100 ),2786434.040000000037253,2607404.750000000000000,2445180.009999999776483,2521376.700000000186265,2628093.529999999795109,12988489.029999999329448
FS( 101 ),2839711.879999999888241,2687996.989999999757856,2515876.030000000260770,2557832.860000000335276,2685543.460000000428408,13286961.220000000670552
FS( 102 ),2848773.799999999813735,2669034.109999999869615,2556859.229999999515712,2525129.540000000037253,2623081.120000000111759,13222877.800000000745058
FS( 103 ),2829790.639999999664724,2653626.770000000018626,2525097.250000000000000,2513602.959999999962747,2584524.120000000111759,13106641.740000002086163
FS( 104 ),2731984.399999999441206,2595552.949999999720603,2450815.200000000186265,2488941.439999999478459,2557148.649999999906868,12824442.639999998733401
FS( 105 ),2692768.160000000149012,2610960.290000000037253,2509216.259999999776483,2494302.639999999664724,2540569.140000000130385,12847816.490000000223517
FS( 106 ),2755889.120000000111759,2638219.430000000167638,2548662.589999999850988,2510118.179999999701977,2508181.260000000242144,12961070.580000000074506
FS( 107 ),2725969.160000000149012,2624589.859999999869615,2597842.429999999701977,2501540.259999999776483,2515507.089999999850988,12965448.799999998882413
FS( 108 ),2711282.599999999627471,2619256.550000000279397,2629092.120000000111759,2516015.500000000000000,2474251.100000000093132,12949897.869999999180436
FS( 109 ),2724484.879999999888241,2627552.810000000055879,2599379.299999999813735,2531294.919999999925494,2510494.680000000167638,12993206.589999999850988
FS( 110 ),2769716.359999999403954,2688589.580000000074506,2673661.349999999627471,2587855.580000000074506,2556377.510000000242144,13276200.379999998956919
FS( 111 ),2689018.399999999441206,2699256.199999999720603,2639337.919999999925494,2594020.959999999962747,2576427.149999999906868,13198060.630000000819564
FS( 112 ),2645896.160000000149012,2676145.189999999944121,2652657.459999999962747,2530758.799999999813735,2551365.100000000093132,13056822.709999999031425
FS( 113 ),2580197.240000000223517,2683256.270000000018626,2656755.780000000260770,2515747.439999999478459,2552521.810000000055879,12988478.540000000968575
FS( 114 ),2578009.879999999888241,2686219.219999999739230,2606551.360000000335276,2524593.419999999925494,2559847.640000000130385,12955221.519999999552965
FS( 115 ),2581837.759999999776483,2667256.339999999850988,2621407.770000000484288,2535851.939999999478459,2541340.279999999795109,12947694.089999997988343
FS( 116 ),2591915.240000000223517,2623404.680000000167638,2603989.910000000149012,2490013.679999999701977,2533628.879999999888241,12842952.390000000596046
FS( 117 ),2637771.679999999701977,2629330.580000000074506,2640874.790000000037253,2496447.120000000111759,2575656.010000000242144,12980080.179999999701977
FS( 118 ),2633631.320000000298023,2625775.040000000037253,2641387.080000000074506,2479023.219999999739230,2558305.359999999869615,12938122.019999999552965
FS( 119 ),2496999.440000000409782,2552293.879999999888241,2603989.910000000149012,2406915.080000000074506,2483890.350000000093132,12544088.660000000149012
FS( 120 ),2507858.120000000111759,2513775.530000000260770,2528683.280000000260770,2336951.419999999925494,2491987.319999999832362,12379255.670000001788139
FS( 121 ),2570119.759999999776483,2610960.290000000037253,2688517.759999999776483,2513871.020000000484288,2540954.710000000428408,12924423.540000000968575
FS( 122 ),2508795.559999999590218,2529182.870000000111759,2622432.349999999627471,2398337.160000000149012,2551365.100000000093132,12610113.039999999105930
FS( 123 ),2500202.359999999403954,2468738.689999999944121,2540978.240000000223517,2396192.679999999701977,2523218.490000000223517,12429330.459999999031425
FS( 124 ),2561604.679999999701977,2541627.260000000242144,2668026.160000000149012,2446587.959999999962747,2561775.490000000223517,12779621.549999998882413
