代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12201463.810000000521541
真實報酬,2201463.810000000521541

夏普值報酬,0.211446381000000
夏普值風險,0.052975771171827
夏普值,3.991379008229496

二次趨勢線,-98.988694818478280 x^2 + 29274.847741025776486 x + 10000000.000000000000000
二次平均預期報酬,16901.260888715991314
風險,88772.739968291178229
二次平均趨勢值,0.190387960253936
一次趨勢線,20031.927441710060521 x + 10000000.000000000000000
一次預期報酬,20031.927441710060521
一次風險,193450.624881207011640
一次趨勢值,0.103550595683065
找到最佳解世代,2102
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),DIS[6](12),KO[14](10),V[25](2),
Stock#,AAPL[0](1),DIS[6](12),KO[14](10),V[25](2),
張數,22833,25267,62235,33143,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,14.830000000074506,83.020000000018626,20.049999999813735,23.509999999776483,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2509361.530000000260770,2488882.520000000018626,2511824.649999999906868,2509611.469999999739230,10019680.170000001788139
FS( 3 ),2491323.459999999962747,2525772.339999999850988,2528005.749999999534339,2562308.839999999850988,10107410.389999998733401
FS( 4 ),2510503.180000000167638,2543459.239999999757856,2524894.000000000000000,2555680.239999999757856,10134536.660000000149012
FS( 5 ),2535162.820000000298023,2577064.350000000093132,2569703.199999999720603,2628594.839999999850988,10310525.209999999031425
FS( 6 ),2560050.790000000037253,2612185.479999999981374,2550410.349999999627471,2627600.549999999813735,10350247.169999998062849
FS( 7 ),2601835.180000000167638,2649580.640000000130385,2613890.049999999813735,2622960.529999999795109,10488266.400000000372529
FS( 8 ),2586993.729999999981374,2629367.040000000037253,2607666.549999999813735,2601749.009999999776483,10425776.329999998211861
FS( 9 ),2630148.100000000093132,2624060.969999999739230,2598953.649999999906868,2624949.109999999869615,10478111.830000000074506
FS( 10 ),2630148.100000000093132,2629114.370000000111759,2564724.399999999906868,2622629.099999999627471,10446615.970000000670552
FS( 11 ),2644532.890000000130385,2637705.149999999906868,2585884.299999999813735,2634892.009999999776483,10503014.349999999627471
FS( 12 ),2647957.839999999850988,2625576.989999999757856,2597708.949999999720603,2596777.559999999590218,10468021.339999999850988
FS( 13 ),2663255.950000000186265,2660698.120000000111759,2593352.500000000000000,2588491.809999999590218,10505798.379999998956919
FS( 14 ),2670334.180000000167638,2664740.839999999850988,2592730.149999999441206,2597108.989999999757856,10524914.159999998286366
FS( 15 ),2672845.810000000055879,2667267.540000000037253,2587129.000000000000000,2589817.529999999795109,10517059.879999998956919
FS( 16 ),2655264.400000000372529,2663730.160000000149012,2585884.299999999813735,2581863.209999999962747,10486742.070000000298023
FS( 17 ),2660515.989999999757856,2656908.070000000298023,2588996.049999999813735,2590148.959999999962747,10496569.070000000298023
FS( 18 ),2677412.410000000149012,2657413.410000000149012,2589618.399999999906868,2596777.559999999590218,10521221.780000001192093
FS( 19 ),2665995.910000000149012,2635431.120000000111759,2575926.699999999720603,2595120.409999999683350,10472474.140000000596046
FS( 20 ),2665310.920000000391155,2642000.540000000037253,2588996.049999999813735,2596114.699999999720603,10492422.210000000894070
FS( 21 ),2644532.890000000130385,2633409.759999999776483,2580283.149999999906868,2585840.369999999646097,10444066.169999999925494
FS( 22 ),2652067.780000000260770,2680406.379999999888241,2601443.049999999813735,2634892.009999999776483,10568809.219999998807907
FS( 23 ),2649099.489999999757856,2714769.500000000000000,2592107.799999999813735,2656434.959999999962747,10612411.750000000000000
FS( 24 ),2662570.959999999962747,2713253.479999999981374,2598331.299999999813735,2687589.379999999888241,10661745.119999999180436
FS( 25 ),2692253.859999999869615,2753680.680000000167638,2597708.949999999720603,2724709.539999999571592,10768353.029999999329448
FS( 26 ),2716913.500000000000000,2738015.140000000130385,2571570.250000000000000,2709463.759999999776483,10735962.650000000372529
FS( 27 ),2719653.459999999962747,2738520.479999999981374,2554144.449999999720603,2694880.839999999850988,10707199.229999998584390
FS( 28 ),2734266.580000000074506,2765303.500000000000000,2554766.799999999813735,2711120.909999999683350,10765457.789999999105930
FS( 29 ),2722850.080000000074506,2717043.530000000260770,2548543.299999999813735,2696869.419999999925494,10685306.330000000074506
FS( 30 ),2718055.150000000372529,2730435.040000000037253,2544186.850000000093132,2690240.819999999832362,10682917.860000001266599
FS( 31 ),2739974.830000000074506,2728161.009999999776483,2565346.749999999534339,2693223.689999999944121,10726706.279999999329448
FS( 32 ),2739746.500000000000000,2732961.739999999757856,2569703.199999999720603,2704160.879999999888241,10746572.320000000298023
FS( 33 ),2734951.570000000298023,2710726.780000000260770,2560367.949999999720603,2708800.899999999906868,10714847.200000001117587
FS( 34 ),2739974.830000000074506,2720328.239999999757856,2571570.250000000000000,2712446.629999999888241,10744319.949999999254942
FS( 35 ),2741801.470000000204891,2706684.060000000055879,2578416.099999999627471,2722720.959999999962747,10749622.589999999850988
FS( 36 ),2739289.839999999850988,2726392.320000000298023,2607666.549999999813735,2758515.399999999906868,10831864.109999999403954
FS( 37 ),2782900.870000000111759,2729929.700000000186265,2621358.249999999534339,2780721.209999999962747,10914910.030000001192093
FS( 38 ),2784270.850000000093132,2730435.040000000037253,2602065.399999999906868,2758846.829999999608845,10875618.120000001043081
FS( 39 ),2784499.180000000167638,2761766.120000000111759,2579660.799999999813735,2776412.619999999646097,10902338.720000000670552
FS( 40 ),2777192.620000000111759,2803204.000000000000000,2575304.350000000093132,2774092.609999999869615,10929793.580000000074506
FS( 41 ),2770799.379999999888241,2795876.570000000298023,2587129.000000000000000,2741281.039999999571592,10895085.990000000223517
FS( 42 ),2939763.580000000074506,2812300.120000000111759,2567836.149999999906868,2732332.429999999701977,11052232.279999999329448
FS( 43 ),2934740.320000000298023,2794865.890000000130385,2576549.049999999813735,2727692.409999999683350,11033847.669999999925494
FS( 44 ),2947298.470000000204891,2787033.120000000111759,2585261.949999999720603,2852972.949999999720603,11172566.489999998360872
FS( 45 ),2974926.399999999906868,2768588.209999999962747,2586506.649999999906868,2844687.199999999720603,11174708.459999999031425
FS( 46 ),3003239.320000000298023,2754186.020000000018626,2607666.549999999813735,2843030.049999999813735,11208121.939999999478459
FS( 47 ),3014884.149999999906868,2754186.020000000018626,2615134.750000000000000,2820161.379999999888241,11204366.300000000745058
FS( 48 ),3023560.689999999944121,2766566.850000000093132,2567213.799999999813735,2836401.449999999720603,11193742.789999999105930
FS( 49 ),3016710.790000000037253,2760755.439999999944121,2525516.349999999627471,2847007.209999999962747,11149989.789999999105930
FS( 50 ),3043425.399999999906868,2770609.570000000298023,2528005.749999999534339,2864904.429999999701977,11206945.150000000372529
FS( 51 ),3082926.490000000223517,2787791.129999999888241,2522404.600000000093132,2878493.059999999590218,11271615.280000001192093
FS( 52 ),3094114.659999999683350,2784001.080000000074506,2516803.449999999720603,2901361.729999999981374,11296280.919999999925494
FS( 53 ),3090461.379999999888241,2797392.589999999850988,2564102.049999999813735,2897053.139999999664724,11349009.160000000149012
FS( 54 ),3098909.589999999850988,2780969.040000000037253,2565969.099999999627471,2898710.289999999571592,11344558.019999999552965
FS( 55 ),3121285.929999999701977,2779705.689999999944121,2580283.149999999906868,2913956.069999999832362,11395230.839999999850988
FS( 56 ),3130647.460000000428408,2782485.060000000055879,2588996.049999999813735,2909978.909999999683350,11412107.480000000447035
FS( 57 ),3117404.320000000298023,2772630.930000000167638,2592730.149999999441206,2922573.250000000000000,11405338.649999998509884
FS( 58 ),3120372.609999999869615,2787538.459999999962747,2600198.350000000093132,2930859.000000000000000,11438968.419999999925494
FS( 59 ),3126537.520000000018626,2785264.430000000167638,2593352.500000000000000,2916607.509999999776483,11421761.959999999031425
FS( 60 ),3127907.500000000465661,2781727.050000000279397,2611400.649999999906868,2914618.929999999701977,11435654.130000000819564
FS( 61 ),3191839.899999999906868,2805730.700000000186265,2623847.649999999441206,2949419.079999999608845,11570837.330000000074506
FS( 62 ),3172888.510000000242144,2794360.550000000279397,2643140.499999999534339,2934173.299999999813735,11544562.859999999403954
