代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11654336.060000000521541
真實報酬,1654336.060000000521541

夏普值報酬,0.156733606000000
夏普值風險,0.045021310108540
夏普值,3.481320415201976

二次趨勢線,67.284970639492812 x^2 + 3888.355199812337560 x + 10000000.000000000000000
二次平均預期報酬,12635.401382946403828
風險,52708.559160067896300
二次平均趨勢值,0.239722003111005
一次趨勢線,10423.310552848781299 x + 10000000.000000000000000
一次預期報酬,10423.310552848781299
一次風險,136943.699584185524145
一次趨勢值,0.076113837909287
找到最佳解世代,1997
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,9
AAPL[0](20),AXP[1](4),CAT[3](1),CVX[5](7),HD[9](18),MCD[15](6),PFE[20](12),UNH[23](5),V[25](2),
Stock#,AAPL[0](20),AXP[1](4),CAT[3](1),CVX[5](7),HD[9](18),MCD[15](6),PFE[20](12),UNH[23](5),V[25](2),
張數,7580,14023,10893,10490,7205,7871,32892,6364,12175,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,34.599999999860302,68.709999999962747,25.000000000000000,10.199999999953434,27.949999999953434,119.349999999860302,19.239999999990687,20.239999999990687,20.500000000000000,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1118160.399999999906868,1115458.130000000121072,1105773.430000000167638,1105236.599999999860302,1116442.699999999953434,1111740.679999999701977,1105519.359999999869615,1108247.199999999953434,1126695.000000000000000,10013274.500000000000000
FS( 3 ),1114749.399999999906868,1105501.800000000046566,1106100.219999999972060,1119503.000000000000000,1116802.949999999953434,1122681.369999999878928,1100914.479999999981374,1098064.800000000046566,1125477.500000000000000,10009796.520000001415610
FS( 4 ),1110731.999999999767169,1098490.300000000046566,1082680.270000000018626,1099467.100000000093132,1115794.250000000000000,1129214.299999999813735,1100256.640000000130385,1107483.520000000018626,1127669.000000000000000,9971788.379999998956919
FS( 5 ),1129151.399999999906868,1098350.069999999832362,1085403.520000000018626,1109747.300000000046566,1122062.599999999860302,1133228.510000000009313,1101243.399999999906868,1108119.919999999925494,1121216.250000000000000,10008523.969999998807907
FS( 6 ),1159850.399999999906868,1096106.389999999897555,1082462.410000000149012,1119083.400000000139698,1130420.399999999906868,1135432.389999999897555,1100256.640000000130385,1110156.399999999906868,1119146.500000000000000,10052915.929999999701977
FS( 7 ),1167278.799999999813735,1100032.829999999841675,1081590.969999999972060,1102299.399999999906868,1136112.350000000093132,1136376.909999999916181,1097954.200000000186265,1102519.600000000093132,1120120.500000000000000,10044286.560000000521541
FS( 8 ),1161745.399999999906868,1102977.660000000149012,1093246.479999999981374,1117195.199999999953434,1139354.599999999860302,1137636.270000000018626,1086442.000000000000000,1103474.199999999953434,1123164.250000000000000,10065237.059999998658895
FS( 9 ),1166975.599999999860302,1092740.869999999878928,1100109.069999999832362,1114153.099999999860302,1125448.949999999953434,1135196.260000000009313,1086770.919999999925494,1103028.719999999972060,1121338.000000000000000,10045762.490000000223517
