代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11545515.100000001490116
真實報酬,1545515.100000001490116

夏普值報酬,0.145851510000000
夏普值風險,0.048113126808131
夏普值,3.031428628233564

二次趨勢線,-51.027904200944306 x^2 + 18931.186045791146171 x + 10000000.000000000000000
二次平均預期報酬,12297.558499668382865
風險,148517.705816480098292
二次平均趨勢值,0.082801969179784
一次趨勢線,13975.174732375095118 x + 10000000.000000000000000
一次預期報酬,13975.174732375095118
一次風險,176764.570637275988702
一次趨勢值,0.079060949159616
找到最佳解世代,2059
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](2),PG[21](1),WMT[28](3),
Stock#,KO[14](2),PG[21](1),WMT[28](3),
張數,68601,31767,32886,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,10.409999999683350,21.689999999944121,8.040000000037253,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3319612.799999999813735,3353346.209999999962747,3326426.940000000409782,9999386.949999999254942
FS( 3 ),3342251.129999999422580,3369865.049999999813735,3357010.919999999925494,10069128.099999999627471
FS( 4 ),3325100.879999999422580,3357158.250000000000000,3369507.599999999627471,10051767.729999998584390
FS( 5 ),3292858.409999999683350,3326026.589999999850988,3331359.839999999850988,9950245.839999999850988
FS( 6 ),3282568.259999999776483,3337780.379999999888241,3298473.839999999850988,9918823.480000000447035
FS( 7 ),3251697.809999999590218,3311413.769999999552965,3273480.480000000447035,9836593.059999998658895
FS( 8 ),3305892.599999999627471,3367641.360000000335276,3351420.299999999813735,10024955.259999999776483
FS( 9 ),3296288.459999999497086,3370818.060000000055879,3284990.580000000074506,9952098.099999999627471
FS( 10 ),3340193.099999999627471,3354616.889999999664724,3298144.980000000447035,9992955.969999998807907
FS( 11 ),3373807.589999999850988,3389560.589999999850988,3284661.719999999739230,10048030.899999998509884
FS( 12 ),3401247.989999999757856,3434352.060000000055879,3331688.700000000186265,10167289.750000000000000
FS( 13 ),3375179.609999999869615,3413385.839999999850988,3316890.000000000000000,10105456.449999999254942
FS( 14 ),3351169.259999999776483,3409573.799999999813735,3338594.759999999776483,10099338.820000000298023
