代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12678151.320000000298023
真實報酬,2678151.320000000298023

夏普值報酬,0.259115132000000
夏普值風險,0.075118157379130
夏普值,3.449434078796919

二次趨勢線,-5.424513027692235 x^2 + 23218.430485617151135 x + 10000000.000000000000000
二次平均預期報酬,22518.668305044848239
風險,136415.522705338487867
二次平均趨勢值,0.165074090238879
一次趨勢線,22695.650957718760765 x + 10000000.000000000000000
一次預期報酬,22695.650957718760765
一次風險,136783.992990934057161
一次趨勢值,0.165923296004548
找到最佳解世代,2286
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
JNJ[12](21),KO[14](9),MMM[16](10),MSFT[18](3),V[25](2),WBA[27](18),
Stock#,JNJ[12](21),KO[14](9),MMM[16](10),MSFT[18](3),V[25](2),WBA[27](18),
張數,29203,67778,27439,69328,109649,56805,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,50.790000000037253,4.979999999981374,21.139999999897555,20.880000000121072,1.200000000186265,7.300000000046566,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1634834.729999999981374,1656499.300000000046566,1653220.889999999897555,1620216.240000000223517,1646929.180000000167638,1630310.800000000046566,9842015.140000000596046
FS( 3 ),1653524.649999999906868,1660565.979999999981374,1664745.270000000018626,1608430.479999999981374,1663376.530000000260770,1676322.850000000093132,9926969.760000001639128
FS( 4 ),1642135.479999999981374,1648365.939999999944121,1612336.779999999795109,1561980.720000000204891,1637060.770000000251457,1639399.600000000093132,9741283.290000000968575
FS( 5 ),1666958.030000000027940,1644299.260000000009313,1619470.919999999925494,1564060.560000000055879,1630481.830000000074506,1690524.100000000093132,9815798.699999999254942
FS( 6 ),1655568.859999999869615,1651077.060000000055879,1621391.649999999906868,1555741.200000000186265,1656797.590000000083819,1668938.199999999953434,9809518.560000000521541
FS( 7 ),1662577.580000000074506,1637521.459999999962747,1640598.949999999953434,1552274.800000000046566,1641446.730000000214204,1638263.500000000000000,9772687.019999999552965
FS( 8 ),1685647.949999999953434,1662599.320000000065193,1659806.250000000000000,1610510.320000000065193,1654604.610000000102445,1665529.900000000139698,9938702.349999999627471
FS( 9 ),1700541.479999999981374,1670732.679999999934807,1663647.709999999962747,1602190.960000000195578,1652411.630000000121072,1670074.300000000046566,9959602.759999999776483
FS( 10 ),1721859.670000000158325,1712755.040000000037253,1701239.139999999897555,1672212.240000000223517,1717104.540000000270084,1703589.250000000000000,10228763.880000000819564
FS( 11 ),1730328.540000000037253,1721566.179999999934807,1739653.739999999757856,1694397.200000000186265,1765350.100000000325963,1669506.250000000000000,10320806.009999999776483
FS( 12 ),1729744.479999999981374,1705299.459999999962747,1726483.020000000018626,1683998.000000000000000,1756578.180000000167638,1693932.400000000139698,10296039.540000000968575
FS( 13 ),1724779.970000000204891,1729699.540000000037253,1751726.899999999906868,1700636.720000000204891,1839911.420000000391155,1708133.650000000139698,10454892.200000001117587
FS( 14 ),1737337.260000000009313,1706655.020000000018626,1761604.939999999944121,1721435.120000000111759,1841007.910000000149012,1701885.100000000093132,10469929.349999999627471
FS( 15 ),1728576.359999999869615,1665310.439999999944121,1774501.270000000018626,1719355.280000000260770,1832235.990000000223517,1692796.300000000046566,10412779.640000000596046
FS( 16 ),1758655.449999999953434,1666666.000000000000000,1905110.910000000149012,1772044.560000000055879,1842104.400000000372529,1689388.000000000000000,10633973.320000000298023
FS( 17 ),1796327.320000000065193,1672766.020000000018626,1904836.520000000018626,1625762.479999999981374,1844297.380000000121072,1728015.400000000139698,10572009.120000001043081
FS( 18 ),1789318.600000000093132,1678188.260000000009313,1918281.629999999888241,1602190.960000000195578,1869516.650000000372529,1725175.150000000139698,10582675.250000001862645
FS( 19 ),1779097.550000000046566,1674121.579999999841675,1917458.459999999729916,1627149.040000000037253,1817981.620000000111759,1718358.550000000046566,10534170.800000000745058
FS( 20 ),1786106.270000000018626,1670054.899999999906868,1885629.219999999972060,1650027.280000000260770,1831139.500000000000000,1746761.050000000046566,10569722.220000000670552
FS( 21 ),1804504.159999999916181,1683610.500000000000000,1918007.239999999990687,1650720.560000000055879,1842104.400000000372529,1761530.350000000093132,10660481.210000000894070
FS( 22 ),1778221.459999999962747,1689032.739999999990687,1935019.419999999692664,1630615.440000000176951,1793858.840000000083819,1763802.550000000046566,10590554.450000001117587
FS( 23 ),1784354.090000000083819,1680899.380000000121072,1979470.599999999860302,1652107.120000000111759,1894735.920000000391155,1766074.750000000000000,10757645.860000001266599
FS( 24 ),1783185.970000000204891,1677510.479999999981374,1976452.309999999823049,1647947.440000000176951,1893639.430000000167638,1726311.250000000000000,10705050.880000000819564
FS( 25 ),1765372.140000000130385,1666666.000000000000000,1970964.509999999776483,1650720.560000000055879,1874999.100000000325963,1718926.600000000093132,10647652.910000000149012
FS( 26 ),1750186.580000000074506,1674121.579999999841675,1986604.739999999990687,1626455.760000000242144,1881578.040000000270084,1734263.950000000186265,10653214.650000002235174
FS( 27 ),1749310.489999999990687,1672088.239999999990687,2000324.239999999990687,1633388.560000000055879,1895832.410000000149012,1745056.899999999906868,10696004.839999999850988
FS( 28 ),1773256.949999999953434,1675477.139999999897555,1945720.629999999888241,1623682.640000000130385,1888156.979999999981374,1745056.899999999906868,10651355.240000000223517
FS( 29 ),1758655.449999999953434,1661921.540000000037253,1957519.399999999906868,1603577.520000000018626,1880481.550000000046566,1746193.000000000000000,10608352.460000000894070
FS( 30 ),1769460.560000000055879,1642265.919999999925494,1984684.009999999776483,1631308.720000000204891,1876095.590000000083819,1779139.900000000139698,10682958.700000001117587
FS( 31 ),1761575.750000000000000,1630743.659999999916181,1992092.539999999804422,1637548.240000000223517,1882674.530000000260770,1809246.550000000046566,10713885.270000001415610
FS( 32 ),1754567.030000000027940,1642943.699999999953434,1956970.619999999646097,1642401.200000000186265,1858551.750000000000000,1796181.400000000139698,10651619.700000001117587
FS( 33 ),1746974.250000000000000,1650399.280000000027940,1922946.259999999776483,1611896.880000000121072,1821271.090000000083819,1736536.150000000139698,10490027.910000000149012
FS( 34 ),1746390.189999999944121,1647688.159999999916181,1930354.789999999804422,1634775.120000000111759,1836621.950000000186265,1750737.400000000139698,10546571.610000001266599
