代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13472476.570000000298023
真實報酬,3472476.570000000298023

夏普值報酬,0.338547657000000
夏普值風險,0.082069691411683
夏普值,4.125124040027834

二次趨勢線,-41.950785628631458 x^2 + 32539.557859556396579 x + 10000000.000000000000000
二次平均預期報酬,27295.709655977454531
風險,108820.797054435388418
二次平均趨勢值,0.250831738002464
一次趨勢線,28622.466430376993230 x + 10000000.000000000000000
一次預期報酬,28622.466430376993230
一次風險,130949.759593502909411
一次趨勢值,0.218575937208495
找到最佳解世代,2506
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](3),DIS[6](7),INTC[11](11),KO[14](16),WBA[27](5),XOM[29](1),
Stock#,CAT[3](3),DIS[6](7),INTC[11](11),KO[14](16),WBA[27](5),XOM[29](1),
張數,24452,49736,91877,58153,60190,27362,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,17.680000000167638,12.640000000130385,17.219999999972060,1.020000000018626,4.899999999906868,46.580000000074506,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1675957.760000000242144,1686560.399999999906868,1679528.780000000027940,1668410.590000000083819,1703381.899999999906868,1670770.300000000046566,10084613.730000000447035
FS( 3 ),1713613.840000000083819,1724359.760000000242144,1693310.329999999841675,1673644.360000000102445,1703381.899999999906868,1677884.420000000158325,10186198.610000001266599
FS( 4 ),1704322.080000000307336,1683078.880000000353903,1664828.459999999962747,1675970.479999999981374,1714817.999999999767169,1656815.679999999934807,10099837.580000000074506
FS( 5 ),1729752.160000000149012,1683078.880000000353903,1644615.519999999785796,1681785.780000000027940,1725652.199999999953434,1662288.080000000074506,10127176.620000001043081
FS( 6 ),1727306.960000000195578,1695015.520000000018626,1653803.219999999972060,1695160.969999999972060,1728661.699999999953434,1670496.679999999934807,10170449.049999998882413
FS( 7 ),1742467.200000000186265,1698497.040000000037253,1651046.909999999916181,1701557.800000000046566,1743107.300000000046566,1674600.980000000214204,10211281.230000000447035
FS( 8 ),1766430.160000000149012,1704465.360000000335276,1705254.339999999850988,1687601.080000000074506,1749126.299999999813735,1669128.580000000074506,10282009.820000000298023
FS( 9 ),1756404.840000000083819,1693523.439999999944121,1721792.199999999720603,1674807.420000000158325,1758756.699999999953434,1669402.199999999953434,10274690.799999998882413
FS( 10 ),1763740.439999999944121,1701481.200000000186265,1719954.659999999916181,1669573.650000000139698,1758154.800000000046566,1669128.580000000074506,10282037.330000000074506
FS( 11 ),1760561.680000000167638,1699491.760000000242144,1742923.909999999916181,1672481.300000000046566,1752737.699999999953434,1668307.719999999972060,10296508.070000000298023
FS( 12 ),1789415.040000000270084,1718888.800000000279397,1728223.589999999850988,1673644.360000000102445,1758154.800000000046566,1663108.940000000176951,10331439.530000001192093
FS( 13 ),1827804.680000000167638,1735799.040000000037253,1739248.829999999841675,1685856.489999999990687,1759960.499999999767169,1684177.679999999934807,10432851.219999998807907
FS( 14 ),1867905.960000000195578,1715904.640000000130385,1758543.000000000000000,1689927.199999999953434,1788851.699999999953434,1683904.060000000055879,10505040.560000000521541
FS( 15 ),1862771.040000000270084,1690539.280000000260770,1746598.990000000223517,1693416.380000000121072,1793064.999999999767169,1681441.480000000214204,10467836.169999999925494
FS( 16 ),1864727.200000000186265,1647268.959999999962747,1743842.679999999934807,1682948.840000000083819,1776211.800000000046566,1673232.880000000121072,10388236.360000001266599
FS( 17 ),1949575.640000000363216,1670147.520000000018626,1784268.560000000055879,1704465.449999999953434,1827373.299999999813735,1689650.080000000074506,10625484.550000000745058
