代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12071998.160000000149012
真實報酬,2071998.160000000149012

夏普值報酬,0.198499816000000
夏普值風險,0.063738163838832
夏普值,3.114300821434465

二次趨勢線,-12.763359889584521 x^2 + 21019.055415871691366 x + 10000000.000000000000000
二次平均預期報酬,19410.872069784036285
風險,102233.470912571894587
二次平均趨勢值,0.189868072525718
一次趨勢線,19817.723235029407078 x + 10000000.000000000000000
一次預期報酬,19817.723235029407078
一次風險,104684.190646318194922
一次趨勢值,0.189309609337142
找到最佳解世代,3111
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,3
MCD[15](1),TRV[22](5),V[25](2),
Stock#,MCD[15](1),TRV[22](5),V[25](2),
張數,18862,26352,23784,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,40.359999999869615,68.520000000018626,5.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3348988.459999999962747,3321474.600000000093132,3365441.399999999906868,10035905.460000000894070
FS( 3 ),3349365.699999999720603,3325163.880000000353903,3389938.919999999925494,10064469.500000000000000
FS( 4 ),3323147.520000000018626,3308562.120000000111759,3365203.560000000055879,9996914.200000001117587
FS( 5 ),3306171.719999999739230,3340448.040000000037253,3333808.679999999701977,9980429.439999999478459
FS( 6 ),3296174.859999999869615,3314886.600000000093132,3338803.319999999832362,9949865.779999999329448
FS( 7 ),3286932.479999999515712,3305136.359999999869615,3348792.600000000093132,9940862.439999999478459
FS( 8 ),3281462.500000000000000,3353624.040000000037253,3377095.560000000055879,10012183.099999999627471
FS( 9 ),3284857.660000000149012,3374178.599999999627471,3412771.560000000055879,10071808.820000000298023
FS( 10 ),3317300.299999999813735,3344927.880000000353903,3404922.839999999850988,10067152.019999999552965
FS( 11 ),3394634.500000000000000,3392625.000000000465661,3446544.839999999850988,10233805.339999999850988
FS( 12 ),3381053.859999999869615,3402111.719999999739230,3435366.359999999869615,10218532.939999999478459
FS( 13 ),3404442.740000000223517,3418977.000000000465661,3442263.719999999739230,10265684.460000000894070
FS( 14 ),3448202.580000000074506,3421085.159999999683350,3424901.399999999906868,10294190.140000000596046
FS( 15 ),3454992.899999999441206,3452707.560000000055879,3469377.479999999981374,10377078.939999999478459
FS( 16 ),3444430.180000000167638,3491445.000000000465661,3473896.439999999944121,10409772.620000001043081
FS( 17 ),3455747.379999999888241,3511999.560000000055879,3497204.759999999776483,10464952.699999999254942
FS( 18 ),3458576.680000000167638,3494870.760000000242144,3501485.879999999888241,10454934.320000000298023
FS( 19 ),3467630.439999999944121,3502512.839999999850988,3522891.479999999981374,10493035.759999999776483
FS( 20 ),3490453.459999999962747,3505675.080000000074506,3554999.879999999888241,10551129.419999999925494
FS( 21 ),3406328.939999999944121,3482485.320000000298023,3519086.040000000037253,10407901.300000000745058
FS( 22 ),3420664.059999999590218,3496715.399999999906868,3518848.199999999720603,10436228.659999998286366
FS( 23 ),3433490.219999999739230,3473262.120000000111759,3515518.439999999944121,10422271.779999999329448
FS( 24 ),3405008.600000000093132,3465093.000000000465661,3492210.120000000111759,10362312.720000000670552
FS( 25 ),3385769.359999999869615,3452707.560000000055879,3504577.799999999813735,10343055.719999998807907
FS( 26 ),3415571.320000000298023,3475106.760000000242144,3583540.679999999701977,10474219.759999999776483
FS( 27 ),3429717.820000000298023,3497505.959999999962747,3608751.719999999739230,10535976.500000000000000
FS( 28 ),3434056.080000000074506,3504884.520000000018626,3626351.879999999888241,10565293.480000000447035
FS( 29 ),3446882.240000000223517,3506465.640000000130385,3667498.199999999720603,10620847.080000000074506
FS( 30 ),3495734.820000000298023,3535979.880000000353903,3697466.040000000037253,10729181.740000002086163
FS( 31 ),3469705.259999999776483,3556007.399999999906868,3685574.040000000037253,10711287.699999999254942
FS( 32 ),3453861.180000000167638,3503039.880000000353903,3676773.959999999962747,10633676.019999999552965
FS( 33 ),3488944.500000000000000,3460876.680000000167638,3656795.399999999906868,10606617.580000000074506
FS( 34 ),3515351.299999999813735,3540986.760000000242144,3705552.600000000093132,10761891.660000000149012
