代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12422917.049999998882413
真實報酬,2422917.049999998882413

夏普值報酬,0.233591705000000
夏普值風險,0.068053331733899
夏普值,3.432480071855816

二次趨勢線,120.722638067930518 x^2 + 5041.245356056339006 x + 10000000.000000000000000
二次平均預期報酬,20010.852476479722100
風險,95716.034309715585550
二次平均趨勢值,0.209064788577942
一次趨勢線,16222.996423741067701 x + 10000000.000000000000000
一次預期報酬,16222.996423741067701
一次風險,227392.760104529064847
一次趨勢值,0.071343504587761
找到最佳解世代,3225
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](11),HD[9](12),JNJ[12](1),NKE[19](6),TRV[22](2),
Stock#,BA[2](11),HD[9](12),JNJ[12](1),NKE[19](6),TRV[22](2),
張數,28252,32123,27972,83892,28477,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,40.919999999925494,22.020000000018626,2.000000000000000,14.719999999972060,60.289999999804422,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1979093.519999999785796,1992290.480000000214204,1983216.800000000046566,1983221.600000000093132,1982629.030000000027940,9920451.429999999701977
FS( 3 ),1989264.239999999757856,2003854.760000000009313,1980139.880000000121072,1998322.159999999916181,1968105.759999999776483,9939686.800000000745058
FS( 4 ),2034749.959999999729916,2011564.280000000027940,1986293.720000000204891,2015939.479999999981374,1998291.379999999888241,10046838.820000000298023
FS( 5 ),1980788.639999999897555,1991326.790000000037253,1967552.479999999981374,1984899.439999999944121,1956714.959999999729916,9881282.309999998658895
FS( 6 ),2005367.880000000121072,1955027.800000000046566,1948251.800000000046566,1927013.959999999962747,1964973.289999999804422,9800634.730000000447035
FS( 7 ),2069499.919999999925494,1958240.100000000093132,1954405.640000000130385,1936242.079999999841675,1964403.750000000000000,9882791.490000000223517
FS( 8 ),2081930.799999999813735,1964664.699999999953434,1949090.960000000195578,1935403.159999999916181,1948741.399999999906868,9879831.019999999552965
FS( 9 ),2072607.639999999897555,2035977.760000000009313,1944335.720000000204891,1918624.760000000009313,1943046.000000000000000,9914591.879999998956919
FS( 10 ),2014126.000000000000000,1974622.830000000074506,1937622.439999999944121,1900168.519999999785796,1938489.679999999701977,9765029.469999998807907
FS( 11 ),2007063.000000000000000,1967555.770000000018626,1932028.039999999804422,1905202.040000000037253,1945608.929999999701977,9757457.779999999329448
FS( 12 ),1999434.959999999729916,1995502.780000000027940,1935384.679999999934807,1942114.519999999785796,1955006.339999999850988,9827443.279999999329448
FS( 13 ),2033054.839999999850988,2034371.609999999869615,1937063.000000000000000,2020134.079999999841675,1980350.869999999878928,10004974.399999998509884
FS( 14 ),2049441.000000000000000,2050111.880000000121072,1948811.239999999990687,2005033.519999999785796,1983198.569999999832362,10036596.209999999031425
FS( 15 ),2066674.719999999972060,2058785.090000000083819,1946573.479999999981374,2005033.519999999785796,1999715.229999999748543,10076782.039999999105930
FS( 16 ),2083343.399999999674037,2082234.879999999888241,1945734.320000000065193,2029362.200000000186265,2029616.079999999608845,10170290.879999998956919
FS( 17 ),2098316.959999999962747,2077416.430000000167638,1932587.479999999981374,2048657.360000000102445,2017940.509999999776483,10174918.740000000223517
FS( 18 ),2104532.399999999906868,2061033.699999999953434,1924755.320000000065193,2034395.719999999972060,2017086.199999999720603,10141803.339999999850988
FS( 19 ),2093231.600000000093132,2082556.109999999869615,1938181.880000000121072,2078858.479999999981374,2020788.209999999729916,10213616.279999999329448
FS( 20 ),2094079.160000000149012,2063603.539999999804422,1936223.840000000083819,2075502.799999999813735,2027053.149999999906868,10196462.490000000223517
FS( 21 ),2098599.479999999981374,2090265.629999999888241,1950489.560000000055879,2044462.760000000009313,2016801.429999999701977,10200618.859999999403954
FS( 22 ),2091253.959999999729916,2087374.560000000055879,1948251.800000000046566,2046140.600000000093132,2020503.439999999944121,10193524.359999999403954
FS( 23 ),2092101.519999999785796,2063603.539999999804422,1954125.919999999925494,2048657.360000000102445,2008543.099999999860302,10167031.439999999478459
FS( 24 ),2087016.160000000149012,2056536.479999999981374,1957202.840000000083819,2048657.360000000102445,2107358.290000000037253,10256771.130000000819564
FS( 25 ),2090123.880000000121072,2066815.840000000083819,1959440.599999999860302,2064596.839999999850988,2083152.839999999850988,10264130.000000000000000
FS( 26 ),2108770.199999999720603,2070349.370000000111759,1970629.400000000139698,2067952.519999999785796,2089987.319999999832362,10307688.809999998658895
FS( 27 ),2133914.479999999981374,2025055.939999999944121,1974825.199999999953434,2057046.559999999823049,2088563.469999999972060,10279405.650000000372529
FS( 28 ),2142107.559999999590218,2020237.489999999990687,1988811.199999999953434,2084730.920000000158325,2091126.399999999906868,10327013.570000000298023
FS( 29 ),2132219.359999999869615,2021522.409999999916181,1984895.119999999878928,2080536.320000000065193,2087709.159999999916181,10306882.369999999180436
FS( 30 ),2099729.559999999590218,2004818.449999999953434,1979021.000000000000000,2041107.079999999841675,2085431.000000000000000,10210107.089999999850988
FS( 31 ),2091253.959999999729916,1993575.400000000139698,1977342.679999999934807,2032717.880000000121072,2089417.780000000027940,10184307.699999999254942
FS( 32 ),2109052.720000000204891,2033729.150000000139698,1984335.679999999934807,2055368.719999999972060,2112768.919999999925494,10295255.189999999478459
FS( 33 ),2133631.959999999962747,2023771.020000000018626,1984615.400000000139698,2074663.880000000121072,2116755.700000000186265,10333437.960000000894070
