代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12180716.729999998584390
真實報酬,2180716.729999998584390

夏普值報酬,0.209371673000000
夏普值風險,0.059677994195190
夏普值,3.508356402113716

二次趨勢線,61.741766239013955 x^2 + 10011.830353021334304 x + 10000000.000000000000000
二次平均預期報酬,17853.034665376104385
風險,60490.553438248403836
二次平均趨勢值,0.295137565299371
一次趨勢線,15869.488910472164207 x + 10000000.000000000000000
一次預期報酬,15869.488910472164207
一次風險,126126.563477344345301
一次趨勢值,0.125821940065169
找到最佳解世代,3286
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,7
AAPL[0](15),CAT[3](1),CSCO[4](2),HD[9](6),MCD[15](9),PFE[20](19),V[25](3),
Stock#,AAPL[0](15),CAT[3](1),CSCO[4](2),HD[9](6),MCD[15](9),PFE[20](19),V[25](3),
張數,9955,13354,45597,9275,9367,42240,15303,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,28.500000000000000,93.620000000111759,16.989999999990687,128.250000000000000,103.500000000000000,14.199999999953434,35.950000000186265,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1434444.449999999953434,1435515.080000000074506,1418539.659999999916181,1416328.000000000000000,1433910.189999999944121,1420967.800000000046566,1438670.980000000214204,9998379.160000002011657
FS( 3 ),1420905.649999999906868,1422428.160000000149012,1400756.829999999841675,1410392.000000000000000,1434097.530000000027940,1403227.000000000000000,1427040.700000000186265,9918850.870000001043081
FS( 4 ),1435340.400000000139698,1427903.300000000046566,1408964.290000000037253,1412061.500000000000000,1463884.590000000083819,1408718.199999999953434,1437293.710000000195578,9994168.990000000223517
FS( 5 ),1444100.800000000046566,1440188.980000000214204,1412612.050000000046566,1402322.750000000000000,1456859.340000000083819,1411252.599999999860302,1455198.220000000204891,10022537.740000000223517
FS( 6 ),1448779.649999999906868,1445530.580000000074506,1417627.719999999972060,1396943.250000000000000,1451145.469999999972060,1401115.000000000000000,1460095.180000000167638,10021239.849999999627471
