代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11698522.130000002682209
真實報酬,1698522.130000002682209

夏普值報酬,0.161152213000000
夏普值風險,0.048503807388778
夏普值,3.322465218210567

二次趨勢線,-94.324912952295875 x^2 + 25655.421437688768492 x + 10000000.000000000000000
二次平均預期報酬,13770.482405699487572
風險,104694.454733733218745
二次平均趨勢值,0.131530198430486
一次趨勢線,16777.229929728702700 x + 10000000.000000000000000
一次預期報酬,16777.229929728702700
一次風險,196613.159891598363174
一次趨勢值,0.085331164704228
找到最佳解世代,1952
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
DIS[6](2),HD[9](1),NKE[19](5),PFE[20](10),TRV[22](11),V[25](6),WMT[28](19),
Stock#,DIS[6](2),HD[9](1),NKE[19](5),PFE[20](10),TRV[22](11),V[25](6),WMT[28](19),
張數,39693,36313,59998,71321,25955,58452,24374,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,19.929999999934807,17.579999999841675,18.620000000111759,11.369999999878928,7.800000000046566,4.119999999878928,10.860000000102445,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1453180.659999999916181,1450358.799999999813735,1443570.500000000000000,1418586.059999999823049,1407807.000000000000000,1420387.719999999972060,1415896.520000000251457,10009790.259999999776483
FS( 3 ),1466279.349999999860302,1460889.569999999832362,1448970.320000000065193,1415020.009999999776483,1418967.650000000139698,1404021.159999999916181,1421990.020000000251457,10036141.080000000074506
FS( 4 ),1461913.119999999878928,1464157.739999999757856,1443570.500000000000000,1442835.199999999953434,1436617.050000000046566,1393499.799999999813735,1432714.580000000074506,10075310.990000000223517
FS( 5 ),1472630.229999999981374,1479046.069999999832362,1438170.679999999934807,1459952.239999999757856,1450892.300000000046566,1418634.159999999916181,1426133.600000000093132,10145462.279999997466803
FS( 6 ),1425792.489999999990687,1449269.409999999683350,1427971.020000000251457,1439982.359999999869615,1441288.950000000186265,1399929.519999999785796,1413215.380000000121072,9997452.130000000819564
FS( 7 ),1451196.010000000009313,1460889.569999999832362,1465169.780000000260770,1466371.129999999888241,1454006.900000000139698,1420387.719999999972060,1421502.540000000037253,10139526.650000002235174
FS( 8 ),1454768.379999999888241,1454353.229999999748543,1454370.140000000130385,1454246.559999999823049,1449075.449999999953434,1416296.079999999841675,1415896.520000000251457,10099009.359999999403954
FS( 9 ),1442066.619999999878928,1434744.209999999729916,1425571.100000000093132,1480635.330000000074506,1451670.949999999953434,1401683.079999999841675,1403953.260000000242144,10040327.549999998882413
FS( 10 ),1395625.809999999823049,1421308.399999999906868,1415971.420000000158325,1487767.429999999934807,1452709.149999999906868,1408112.799999999813735,1405171.959999999962747,9986669.969999998807907
FS( 11 ),1396816.599999999860302,1431476.039999999804422,1411171.580000000074506,1507737.309999999823049,1474511.350000000093132,1400514.040000000037253,1412484.160000000149012,10034714.079999998211861
FS( 12 ),1401976.689999999944121,1467789.039999999804422,1405171.780000000260770,1499892.000000000000000,1486710.200000000186265,1423894.839999999850988,1420283.840000000083819,10105721.390000000596046
FS( 13 ),1379351.679999999934807,1459800.179999999934807,1400971.920000000158325,1507737.309999999823049,1471915.850000000093132,1440845.919999999692664,1408340.580000000074506,10068966.439999999478459
FS( 14 ),1435715.739999999990687,1523347.929999999934807,1404571.800000000046566,1530560.030000000027940,1509291.050000000046566,1481177.799999999813735,1442707.920000000158325,10327375.269999999552965
FS( 15 ),1439685.040000000037253,1525163.579999999841675,1445370.440000000176951,1546250.649999999906868,1533688.750000000232831,1471825.479999999748543,1447582.720000000204891,10409569.660000002011657
FS( 16 ),1466676.280000000027940,1522258.539999999804422,1422571.200000000186265,1542684.599999999860302,1536284.250000000000000,1469487.399999999906868,1442707.920000000158325,10402673.189999999478459
FS( 17 ),1496446.030000000027940,1528431.750000000000000,1453770.160000000149012,1556948.799999999813735,1540437.050000000046566,1497544.359999999869615,1462207.120000000111759,10535788.269999999552965
FS( 18 ),1492873.659999999916181,1533152.439999999711290,1466369.740000000223517,1552669.539999999804422,1545108.950000000186265,1489361.079999999841675,1458307.280000000027940,10537845.689999999478459
