代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11525064.679999999701977
真實報酬,1525064.679999999701977

夏普值報酬,0.143806468000000
夏普值風險,0.042891753268773
夏普值,3.352776630483337

二次趨勢線,-229.526846233539516 x^2 + 40084.693397818926314 x + 10000000.000000000000000
二次平均預期報酬,10246.203387458788711
風險,286902.616032410413027
二次平均趨勢值,0.035713175185204
一次趨勢線,17792.230783901202813 x + 10000000.000000000000000
一次預期報酬,17792.230783901202813
一次風險,517894.101438661105931
一次趨勢值,0.034354959314030
找到最佳解世代,1853
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),MCD[15](2),
Stock#,AAPL[0](1),MCD[15](2),
張數,167448,78149,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,2.719999999739230,26.980000000447035,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4996651.040000000037253,5007033.410000000149012,10003684.449999999254942
FS( 3 ),5006697.919999999925494,4972647.850000000558794,9979345.769999999552965
FS( 4 ),5040187.519999999552965,4957018.050000000745058,9997205.570000000298023
FS( 5 ),5237776.160000000149012,4975773.810000000521541,10213549.970000000670552
FS( 6 ),5241125.120000000111759,5089089.860000001266599,10330214.980000000447035
FS( 7 ),5334896.000000000000000,5087526.879999999888241,10422422.879999998956919
FS( 8 ),5378432.479999999515712,5075023.040000000037253,10453455.519999999552965
FS( 9 ),5393502.799999999813735,5096123.269999999552965,10489626.070000000298023
FS( 10 ),5420294.479999999515712,5121130.950000000186265,10541425.429999999701977
FS( 11 ),5354989.759999999776483,5152390.550000000745058,10507380.310000000521541
FS( 12 ),5368385.600000000558794,5163331.410000000149012,10531717.010000001639128
FS( 13 ),5361687.680000000633299,5187557.599999999627471,10549245.280000001192093
FS( 14 ),5373409.040000000037253,5211002.300000000745058,10584411.339999999850988
FS( 15 ),5316476.719999999739230,5199279.950000000186265,10515756.669999999925494
FS( 16 ),5376758.000000000000000,5236791.470000000670552,10613549.470000000670552
FS( 17 ),5462156.479999999515712,5263362.129999999888241,10725518.609999999403954
FS( 18 ),5487273.680000000633299,5220380.180000000633299,10707653.860000001266599
FS( 19 ),5421968.959999999962747,5228195.080000001005828,10650164.040000000968575
FS( 20 ),5524112.240000000223517,5256328.720000000670552,10780440.960000000894070
FS( 21 ),5559276.320000000298023,5241480.410000000149012,10800756.730000000447035
FS( 22 ),5641325.839999998919666,5254765.740000000223517,10896091.579999998211861
FS( 23 ),5621232.080000000074506,5214128.260000000707805,10835360.339999999850988
FS( 24 ),5644674.799999999813735,5281336.400000000372529,10926011.199999999254942
FS( 25 ),5704956.080000000074506,5316503.450000000186265,11021459.530000001192093
FS( 26 ),5730073.279999999329448,5299310.670000000856817,11029383.949999999254942
FS( 27 ),5755190.479999999515712,5290714.280000000260770,11045904.759999999776483
FS( 28 ),5740120.160000000149012,5373552.220000000670552,11113672.380000000819564
