代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12858532.450000001117587
真實報酬,2858532.450000001117587

夏普值報酬,0.277153245000000
夏普值風險,0.076469565035437
夏普值,3.624360160431963

二次趨勢線,64.511211906070201 x^2 + 14714.426141083878974 x + 10000000.000000000000000
二次平均預期報酬,22971.861265060866572
風險,129360.301256887527416
二次平均趨勢值,0.177580455842033
一次趨勢線,20883.215910172533768 x + 10000000.000000000000000
一次預期報酬,20883.215910172533768
一次風險,174739.408694758050842
一次趨勢值,0.119510624799310
找到最佳解世代,2208
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),INTC[11](1),PG[21](19),
Stock#,AAPL[0](2),INTC[11](1),PG[21](19),
張數,44214,136054,43021,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,39.540000000037253,10.000000000000000,65.919999999925494,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3355440.000000000000000,3348298.939999999944121,3375063.370000000111759,10078803.309999998658895
FS( 3 ),3362514.239999999757856,3333333.000000000000000,3347960.139999999664724,10043808.379999998956919
FS( 4 ),3352345.019999999552965,3351020.020000000018626,3358285.180000000167638,10061651.219999998807907
FS( 5 ),3350576.459999999962747,3352380.560000000055879,3372051.899999999906868,10075009.919999999925494
FS( 6 ),3353671.439999999944121,3379591.359999999869615,3378505.049999999813735,10111768.849999999627471
FS( 7 ),3385947.660000000149012,3364625.419999999925494,3396573.870000000111759,10147147.949999999254942
FS( 8 ),3389484.779999999795109,3368707.040000000037253,3409049.959999999497086,10167242.779999999329448
FS( 9 ),3351902.880000000353903,3342856.780000000260770,3406898.909999999683350,10101659.570000000298023
FS( 10 ),3314320.979999999981374,3333333.000000000000000,3397864.500000000000000,10045519.480000000447035
FS( 11 ),3327143.040000000037253,3360543.799999999813735,3434862.560000000055879,10122550.400000000372529
FS( 12 ),3356324.279999999795109,3376870.280000000260770,3431851.089999999850988,10165046.650000000372529
FS( 13 ),3355440.000000000000000,3404081.080000000074506,3389260.299999999813735,10148782.379999998956919
FS( 14 ),3339522.959999999962747,3459863.219999999739230,3369470.639999999664724,10168857.820000000298023
FS( 15 ),3365609.220000000204891,3424489.180000000167638,3350541.399999999906868,10140640.800000000745058
FS( 16 ),3405843.959999999962747,3417686.479999999981374,3411631.219999999739230,10235162.660000000149012
FS( 17 ),3442541.580000000074506,3463944.840000000316650,3433571.930000000167638,10340059.349999999627471
FS( 18 ),3409381.080000000074506,3453060.520000000018626,3420235.419999999925494,10282678.019999999552965
FS( 19 ),3394790.459999999962747,3443536.739999999757856,3426688.570000000298023,10265016.769999999552965
FS( 20 ),3390811.199999999720603,3485713.479999999981374,3431420.880000000353903,10307946.560000000521541
FS( 21 ),3390369.060000000521541,3511563.739999999757856,3467558.519999999552965,10369492.320000000298023
