代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12473608.069999998435378
真實報酬,2473608.069999998435378

夏普值報酬,0.238660807000000
夏普值風險,0.067337812907437
夏普值,3.544231638887113

二次趨勢線,-173.061938780237455 x^2 + 41846.325333806002163 x + 10000000.000000000000000
二次平均預期報酬,19521.335231155379006
風險,132816.128577972354833
二次平均趨勢值,0.146980155498923
一次趨勢線,25167.733506144802959 x + 10000000.000000000000000
一次預期報酬,25167.733506144802959
一次風險,346557.936374862154480
一次趨勢值,0.072622008802942
找到最佳解世代,1858
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),MRK[17](7),MSFT[18](16),UNH[23](2),
Stock#,BA[2](1),MRK[17](7),MSFT[18](16),UNH[23](2),
張數,32349,58644,89445,46711,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,69.279999999795109,6.279999999795109,12.250000000000000,27.279999999795109,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2493853.689999999944121,2541637.240000000223517,2517889.000000000000000,2490657.799999999813735,10044037.730000000447035
FS( 3 ),2544641.619999999646097,2536359.279999999795109,2535778.000000000000000,2499065.779999999795109,10115844.679999999701977
FS( 4 ),2558228.199999999720603,2561576.199999999720603,2512522.299999999813735,2504203.989999999757856,10136530.689999999478459
FS( 5 ),2621955.729999999515712,2537532.160000000149012,2516994.550000000279397,2513079.079999999608845,10189561.519999999552965
FS( 6 ),2627778.549999999813735,2519938.959999999497086,2504472.250000000000000,2513546.189999999944121,10165735.949999999254942
FS( 7 ),2683095.339999999850988,2560403.319999999366701,2492844.399999999906868,2532230.589999999850988,10268573.649999998509884
FS( 8 ),2722561.119999999646097,2641332.039999999571592,2496422.200000000186265,2561191.409999999683350,10421506.769999999552965
FS( 9 ),2741647.029999999795109,2614942.240000000223517,2497316.650000000372529,2544842.559999999590218,10398748.480000000447035
FS( 10 ),2737441.660000000149012,2596176.160000000149012,2516994.550000000279397,2556520.309999999590218,10407132.679999999701977
FS( 11 ),2795993.350000000093132,2585620.240000000223517,2508050.049999999813735,2556520.309999999590218,10446183.949999999254942
FS( 12 ),2755557.100000000093132,2558644.000000000000000,2513416.750000000000000,2569132.279999999795109,10396750.129999998956919
FS( 13 ),2766232.270000000018626,2562749.080000000074506,2520572.350000000093132,2577073.149999999906868,10426626.849999999627471
FS( 14 ),2761703.410000000149012,2587379.559999999590218,2533094.649999999906868,2563526.959999999962747,10445704.579999998211861
FS( 15 ),2728060.449999999720603,2568027.039999999571592,2514311.199999999720603,2571934.939999999944121,10382333.629999998956919
FS( 16 ),2743911.459999999497086,2574477.879999999888241,2526833.500000000000000,2543908.339999999850988,10389131.179999999701977
FS( 17 ),2744881.929999999701977,2562162.639999999664724,2518783.450000000186265,2562592.739999999757856,10388420.759999999776483
FS( 18 ),2802139.660000000149012,2603213.439999999944121,2518783.450000000186265,2599494.429999999701977,10523630.980000000447035
FS( 19 ),2788553.080000000074506,2586206.679999999701977,2537566.899999999906868,2644804.099999999627471,10557130.759999999776483
FS( 20 ),2777230.929999999701977,2592071.080000000074506,2559033.699999999720603,2672363.589999999850988,10600699.299999998882413
FS( 21 ),2757821.529999999795109,2600867.679999999701977,2559033.699999999720603,2754574.949999999720603,10672297.859999997541308
FS( 22 ),2720296.689999999944121,2633708.319999999366701,2576028.250000000000000,2883964.419999999925494,10813997.679999999701977
FS( 23 ),2729030.919999999925494,2660098.119999999646097,2554561.449999999720603,2880694.649999999906868,10824385.139999998733401
FS( 24 ),2748116.830000000074506,2657752.359999999869615,2558139.250000000000000,2897510.609999999869615,10861519.049999998882413
FS( 25 ),2787582.609999999869615,2646610.000000000000000,2567083.750000000000000,2900780.379999999888241,10902056.739999998360872
FS( 26 ),2806345.029999999795109,2667135.399999999441206,2557244.799999999813735,2890971.069999999832362,10921696.299999998882413
FS( 27 ),2821225.569999999366701,2668894.719999999739230,2648478.699999999720603,2904517.259999999776483,11043116.249999998137355
FS( 28 ),2840958.459999999497086,2746891.240000000223517,2708406.850000000093132,2915260.789999999571592,11211517.339999997988343
FS( 29 ),2863926.250000000000000,2768589.520000000018626,2588550.550000000279397,2941886.059999999590218,11162952.379999998956919
FS( 30 ),2875571.889999999664724,2762725.119999999646097,2575133.799999999813735,2944221.609999999869615,11157652.419999999925494
FS( 31 ),2806992.009999999776483,2724606.520000000018626,2566189.300000000279397,2876957.770000000018626,10974745.599999999627471
FS( 32 ),2810873.889999999664724,2753928.520000000018626,2591233.899999999906868,2933945.189999999944121,11089981.500000000000000
FS( 33 ),2804404.089999999850988,2742199.719999999739230,2578711.599999999627471,2897510.609999999869615,11022826.019999999552965
FS( 34 ),2785965.160000000149012,2730470.919999999925494,2575133.799999999813735,2788206.869999999646097,10879776.750000000000000
FS( 35 ),2845487.319999999366701,2785009.839999999850988,2662789.899999999906868,2804555.719999999739230,11097842.779999997466803
FS( 36 ),2812491.339999999850988,2810226.759999999776483,2757601.599999999627471,2766252.699999999720603,11146572.399999998509884
FS( 37 ),2852604.100000000093132,2851864.000000000000000,2737029.250000000000000,2734489.219999999739230,11175986.570000000298023
FS( 38 ),2938328.949999999720603,2811986.080000000074506,2840785.450000000186265,2746166.969999999739230,11337267.449999999254942
FS( 39 ),2965502.109999999869615,2776799.679999999701977,2856885.550000000279397,2771858.020000000018626,11371045.359999999403954
FS( 40 ),3003673.929999999701977,2807294.559999999590218,2843468.799999999813735,2778397.559999999590218,11432834.849999997764826
FS( 41 ),2972942.379999999888241,2804362.359999999869615,2916813.699999999720603,2803154.389999999664724,11497272.829999998211861
FS( 42 ),2957091.369999999646097,2756274.279999999795109,2960641.750000000000000,2799417.509999999776483,11473424.909999998286366
FS( 43 ),2949651.100000000093132,2679450.639999999664724,2926652.649999999906868,2789608.199999999720603,11345362.589999999850988
FS( 44 ),2982970.569999999366701,2681796.399999999441206,2966008.449999999720603,2778397.559999999590218,11409172.979999996721745
FS( 45 ),3032464.539999999571592,2678277.759999999776483,2995525.300000000279397,2752239.399999999906868,11458507.000000000000000
FS( 46 ),3047021.589999999850988,2637813.399999999441206,3018781.000000000000000,2812029.479999999981374,11515645.469999998807907
FS( 47 ),3066430.990000000223517,2654820.160000000149012,2979425.200000000186265,2826042.779999999795109,11526719.130000000819564
FS( 48 ),3042169.240000000223517,2638399.839999999850988,2950802.800000000279397,2919931.889999999664724,11551303.769999999552965
FS( 49 ),3060608.169999999925494,2667721.839999999850988,2921285.949999999720603,2896576.389999999664724,11546192.349999997764826
FS( 50 ),3048639.039999999571592,2694698.080000000074506,2923969.299999999813735,2938616.289999999571592,11605922.709999997168779
FS( 51 ),3065460.520000000018626,2707599.759999999776483,2954380.600000000093132,2914326.569999999832362,11641767.449999999254942
FS( 52 ),3109131.669999999925494,2735748.879999999888241,2999103.100000000093132,2883497.309999999590218,11727480.960000000894070
FS( 53 ),3138569.259999999776483,2740440.399999999441206,3027725.500000000000000,2877891.989999999757856,11784627.150000000372529
FS( 54 ),3124335.699999999720603,2719328.559999999590218,3048297.849999999627471,2902648.819999999832362,11794610.929999999701977
FS( 55 ),3200032.359999999869615,2697043.839999999850988,3118959.399999999906868,2935346.520000000018626,11951382.119999999180436
FS( 56 ),3193562.559999999590218,2651301.520000000018626,3137742.849999999627471,2922267.439999999944121,11904874.369999999180436
FS( 57 ),3194533.029999999795109,2775626.799999999813735,3117170.500000000000000,2936747.849999999627471,12024078.179999999701977
FS( 58 ),3168006.850000000093132,2739267.520000000018626,3095703.699999999720603,2909188.359999999869615,11912166.429999999701977
FS( 59 ),3226882.029999999795109,2775626.799999999813735,3054559.000000000000000,2912925.239999999757856,11969993.070000000298023
FS( 60 ),3234969.279999999795109,2765657.319999999366701,3065292.400000000372529,2898911.939999999944121,11964830.939999999478459
FS( 61 ),3238527.669999999925494,2792633.559999999590218,3132376.150000000372529,2958702.020000000018626,12122239.399999998509884
FS( 62 ),3205531.689999999944121,2748650.559999999590218,3119853.850000000093132,2959169.129999999888241,12033205.230000000447035
FS( 63 ),3252437.740000000223517,2760379.359999999869615,3133270.600000000093132,3020360.539999999571592,12166448.239999998360872
FS( 64 ),3203267.259999999776483,2738681.080000000074506,3121642.750000000000000,2925537.209999999962747,11989128.300000000745058
FS( 65 ),3258907.539999999571592,2841308.080000000074506,3183359.800000000279397,2933478.079999999608845,12217053.500000000000000
FS( 66 ),3222353.169999999925494,2899365.639999999664724,3129692.800000000279397,2912925.239999999757856,12164336.849999999627471
FS( 67 ),3186122.289999999571592,2857728.399999999441206,3110909.350000000093132,2884431.529999999795109,12039191.569999998435378
FS( 68 ),3227205.520000000018626,2850104.679999999701977,3127009.450000000186265,2892372.399999999906868,12096692.049999998882413
FS( 69 ),3315518.289999999571592,2826060.639999999664724,3190515.400000000372529,2922734.549999999813735,12254828.879999998956919
FS( 70 ),3307431.039999999571592,2841894.520000000018626,3172626.399999999906868,2974583.759999999776483,12296535.719999998807907
FS( 71 ),3291580.029999999795109,2789114.919999999925494,3116276.050000000279397,2986261.509999999776483,12183232.509999999776483
FS( 72 ),3263436.399999999441206,2770935.279999999795109,3130587.250000000000000,2981590.409999999683350,12146549.339999999850988
FS( 73 ),3304843.119999999646097,2809053.879999999888241,3105542.649999999906868,2996537.930000000167638,12215977.580000000074506
FS( 74 ),3294167.949999999720603,2811986.080000000074506,3076920.250000000000000,2980189.079999999608845,12163263.359999999403954
FS( 75 ),3332986.750000000000000,2803189.479999999515712,3130587.250000000000000,3006814.350000000093132,12273577.830000000074506
FS( 76 ),3366953.199999999720603,2800257.279999999795109,3128798.349999999627471,3068005.760000000242144,12364014.589999997988343
FS( 77 ),3307754.529999999795109,2790287.799999999813735,3093914.800000000279397,3048387.140000000130385,12240344.270000001415610
FS( 78 ),3223323.639999999664724,2715809.919999999925494,2995525.300000000279397,2980189.079999999608845,11914847.939999999478459
FS( 79 ),3234322.299999999813735,2756274.279999999795109,2975847.400000000372529,2984860.179999999701977,11951304.160000000149012
FS( 80 ),3165418.929999999701977,2721674.319999999366701,3016097.649999999906868,3019893.430000000167638,11923084.329999998211861
FS( 81 ),3191945.109999999869615,2711118.399999999441206,3011625.400000000372529,2976919.309999999590218,11891608.219999998807907
