代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12212724.820000000298023
真實報酬,2212724.820000000298023

夏普值報酬,0.212572482000000
夏普值風險,0.055774283935630
夏普值,3.811299168723257

二次趨勢線,29.718972502198522 x^2 + 13255.829700016398419 x + 10000000.000000000000000
二次平均預期報酬,17000.420235293400765
風險,113204.609748850489268
二次平均趨勢值,0.150174275349825
一次趨勢線,16053.083585930564368 x + 10000000.000000000000000
一次預期報酬,16053.083585930564368
一次風險,124758.268752791045699
一次趨勢值,0.128673503940166
找到最佳解世代,1941
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,6
BA[2](8),KO[14](6),MCD[15](1),MMM[16](5),MSFT[18](4),UNH[23](2),
Stock#,BA[2](8),KO[14](6),MCD[15](1),MMM[16](5),MSFT[18](4),UNH[23](2),
張數,10164,40394,13614,9514,26213,10243,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,74.919999999925494,9.560000000055879,40.119999999878928,98.620000000111759,43.459999999962747,27.469999999972060,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1649285.559999999823049,1672321.159999999916181,1677557.199999999953434,1657247.140000000130385,1655918.669999999925494,1646692.149999999906868,9959025.880000000819564
FS( 3 ),1650708.520000000018626,1677976.320000000065193,1691443.479999999748543,1665429.179999999934807,1669287.300000000046566,1658061.880000000121072,10012910.679999999701977
FS( 4 ),1666767.639999999897555,1678784.200000000186265,1694302.419999999925494,1666000.020000000018626,1668238.780000000027940,1644131.399999999906868,10018228.459999999031425
FS( 5 ),1692380.919999999925494,1692518.159999999916181,1696208.379999999888241,1672279.260000000009313,1662734.050000000046566,1644336.260000000009313,10060461.029999999329448
FS( 6 ),1665039.760000000009313,1697365.440000000176951,1697297.500000000000000,1684742.600000000093132,1660374.880000000121072,1642082.800000000046566,10046906.980000002309680
FS( 7 ),1669816.839999999850988,1666262.060000000055879,1694710.839999999850988,1695303.140000000130385,1679248.239999999990687,1643414.389999999897555,10048759.510000001639128
FS( 8 ),1689636.639999999897555,1639198.080000000074506,1712953.599999999860302,1703104.620000000111759,1677675.459999999962747,1646589.719999999972060,10069162.119999999180436
FS( 9 ),1707931.839999999850988,1640813.839999999850988,1709141.679999999934807,1722322.900000000139698,1696548.819999999832362,1659291.040000000037253,10136054.120000001043081
FS( 10 ),1712708.919999999925494,1637178.380000000121072,1712817.459999999962747,1727841.020000000018626,1692616.869999999878928,1670968.059999999823049,10154134.709999999031425
FS( 11 ),1720840.120000000111759,1633542.919999999925494,1721938.839999999850988,1728792.419999999925494,1691568.350000000093132,1682849.939999999944121,10179536.589999999850988
FS( 12 ),1736187.760000000009313,1664242.360000000102445,1724933.919999999925494,1745061.360000000102445,1691306.219999999972060,1676294.419999999925494,10238030.040000000968575
FS( 13 ),1755499.360000000102445,1665454.179999999934807,1739909.319999999832362,1740684.919999999925494,1693927.520000000018626,1614529.130000000121072,10210008.429999999701977
FS( 14 ),1784466.760000000009313,1674744.800000000046566,1743176.679999999701977,1744680.800000000046566,1690519.829999999841675,1644745.979999999981374,10282338.849999999627471
FS( 15 ),1782433.959999999962747,1680399.960000000195578,1740590.019999999785796,1770083.179999999934807,1687112.139999999897555,1644745.979999999981374,10305369.240000000223517
FS( 16 ),1797679.959999999962747,1682823.599999999860302,1746307.899999999906868,1781024.280000000027940,1693927.520000000018626,1665539.270000000018626,10367306.529999999329448
FS( 17 ),1803575.079999999841675,1687670.880000000121072,1751481.219999999972060,1783117.360000000102445,1693927.520000000018626,1670251.050000000046566,10390027.110000001266599
FS( 18 ),1823801.439999999944121,1683227.540000000037253,1728881.979999999748543,1778360.360000000102445,1683704.449999999953434,1694014.809999999823049,10391994.580000000074506
FS( 19 ),1831932.639999999897555,1694941.800000000046566,1737867.219999999972060,1773032.520000000018626,1677151.199999999953434,1694014.809999999823049,10408944.189999999478459
FS( 20 ),1869336.159999999916181,1703020.599999999860302,1756926.820000000065193,1806426.660000000149012,1702315.679999999934807,1720236.889999999897555,10558266.810000000521541
FS( 21 ),1859985.280000000027940,1715542.739999999990687,1745763.339999999850988,1806712.080000000074506,1677937.590000000083819,1713783.800000000046566,10519728.830000000074506
FS( 22 ),1851752.439999999944121,1715946.679999999934807,1741270.719999999972060,1801193.960000000195578,1684228.709999999962747,1722900.069999999832362,10517296.580000000074506
FS( 23 ),1839047.439999999944121,1703828.479999999981374,1743040.539999999804422,1797293.220000000204891,1684752.969999999972060,1728021.569999999832362,10495988.220000000670552
FS( 24 ),1850126.199999999953434,1696153.620000000111759,1743585.099999999860302,1799100.880000000121072,1688160.660000000149012,1723924.370000000111759,10501054.830000001937151
FS( 25 ),1847280.280000000027940,1696153.620000000111759,1743857.379999999888241,1803096.760000000009313,1703626.329999999841675,1719929.599999999860302,10513947.969999998807907
FS( 26 ),1835388.399999999906868,1697769.380000000121072,1744538.079999999608845,1806807.220000000204891,1696810.949999999953434,1720953.899999999906868,10502271.929999999701977
FS( 27 ),1816381.719999999739230,1708271.820000000065193,1742359.839999999850988,1819270.560000000288710,1702053.550000000046566,1741132.609999999869615,10529474.099999999627471
FS( 28 ),1819939.120000000111759,1697769.380000000121072,1737322.659999999916181,1822219.900000000139698,1696286.689999999711290,1743488.500000000000000,10517030.250000000000000
FS( 29 ),1816686.639999999897555,1695345.739999999990687,1739909.319999999832362,1810898.240000000223517,1688422.789999999804422,1731709.050000000046566,10482975.779999999329448
FS( 30 ),1816483.360000000102445,1701404.839999999850988,1740998.439999999711290,1819175.419999999925494,1697335.209999999962747,1759570.010000000009313,10534971.279999999329448
FS( 31 ),1811198.079999999841675,1706656.060000000055879,1742359.839999999850988,1810707.960000000195578,1694451.780000000027940,1754653.370000000111759,10520031.089999999850988
FS( 32 ),1830611.319999999832362,1697769.380000000121072,1751345.079999999608845,1830211.660000000149012,1700480.770000000018626,1738264.569999999832362,10548686.779999999329448
FS( 33 ),1823394.879999999888241,1703828.479999999981374,1753251.039999999804422,1836395.760000000009313,1702053.550000000046566,1720851.469999999972060,10539779.179999999701977
FS( 34 ),1788532.360000000102445,1716754.560000000055879,1749711.399999999906868,1828023.440000000176951,1683180.189999999711290,1717778.569999999832362,10483984.520000001415610
FS( 35 ),1798899.639999999897555,1711907.280000000260770,1757607.519999999785796,1828879.700000000186265,1704674.850000000093132,1710915.760000000009313,10512888.750000000000000
FS( 36 ),1801745.559999999823049,1703424.540000000037253,1756246.119999999878928,1828118.580000000074506,1700480.770000000018626,1693092.939999999944121,10483112.509999999776483
FS( 37 ),1787109.399999999906868,1701404.839999999850988,1760874.879999999888241,1822124.760000000009313,1703364.199999999953434,1690122.469999999972060,10465004.549999998882413
FS( 38 ),1789955.319999999832362,1709483.640000000130385,1762916.979999999981374,1811849.640000000130385,1706509.759999999776483,1686025.270000000018626,10466744.609999999403954
FS( 39 ),1802761.959999999962747,1713926.979999999981374,1762372.419999999692664,1817177.480000000214204,1711490.230000000214204,1693707.520000000018626,10501440.589999999850988
FS( 40 ),1805506.239999999990687,1713523.040000000037253,1754067.879999999888241,1814228.140000000130385,1716208.569999999832362,1674143.389999999897555,10477681.260000001639128
FS( 41 ),1809063.639999999897555,1720793.960000000195578,1760602.599999999860302,1819936.540000000037253,1722499.689999999711290,1690020.040000000037253,10522920.469999998807907
FS( 42 ),1797679.959999999962747,1714330.919999999925494,1764550.660000000149012,1820412.240000000223517,1726431.639999999897555,1679981.899999999906868,10503391.320000000298023
FS( 43 ),1795545.520000000018626,1713119.099999999860302,1764550.660000000149012,1814608.700000000186265,1718305.609999999869615,1696165.840000000083819,10502299.429999999701977
FS( 44 ),1816381.719999999739230,1724025.479999999981374,1760194.179999999701977,1809566.280000000027940,1723023.949999999953434,1689815.179999999934807,10523010.789999999105930
FS( 45 ),1799916.040000000037253,1719582.140000000130385,1775441.859999999869615,1810041.980000000214204,1718567.739999999990687,1693912.380000000121072,10517466.140000000596046
FS( 46 ),1802863.599999999860302,1723621.540000000037253,1771902.219999999972060,1806712.080000000074506,1723023.949999999953434,1693605.090000000083819,10521732.479999998584390
FS( 47 ),1817906.319999999832362,1721197.900000000139698,1769315.560000000055879,1807663.480000000214204,1721713.300000000046566,1700570.330000000074506,10538370.890000000596046
FS( 48 ),1804794.760000000009313,1724429.419999999925494,1769587.839999999850988,1804999.560000000288710,1717781.350000000093132,1695039.109999999869615,10516636.039999999105930
FS( 49 ),1815060.399999999906868,1723217.599999999860302,1786196.919999999692664,1808424.600000000093132,1716470.699999999953434,1698624.160000000149012,10547998.379999998956919
FS( 50 ),1789447.120000000111759,1734527.919999999925494,1787013.759999999776483,1804904.419999999925494,1709917.449999999953434,1695858.550000000046566,10521673.220000000670552
FS( 51 ),1785076.599999999860302,1728468.820000000065193,1780206.759999999776483,1794914.720000000204891,1702577.810000000055879,1689712.750000000000000,10480961.460000000894070
FS( 52 ),1819634.199999999953434,1739779.140000000130385,1788239.019999999785796,1811183.660000000149012,1716470.699999999953434,1712452.209999999962747,10587762.929999999701977
FS( 53 ),1807742.319999999832362,1756340.679999999934807,1801172.320000000065193,1809851.700000000186265,1714111.530000000027940,1726894.840000000083819,10616117.390000000596046
FS( 54 ),1813332.520000000018626,1746242.179999999934807,1805801.079999999608845,1806141.240000000223517,1704936.980000000214204,1733655.219999999972060,10610113.220000000670552
FS( 55 ),1822480.120000000111759,1740587.020000000251457,1814377.899999999906868,1818794.860000000102445,1716994.959999999962747,1757111.689999999944121,10670350.550000000745058
FS( 56 ),1833457.239999999990687,1739779.140000000130385,1816283.859999999869615,1822029.620000000111759,1740586.660000000149012,1753219.349999999860302,10705359.869999999180436
FS( 57 ),1850532.760000000009313,1748261.880000000121072,1827447.339999999850988,1848002.840000000083819,1770207.350000000093132,1765203.660000000149012,10809659.830000000074506
FS( 58 ),1865270.559999999823049,1741394.900000000139698,1929143.919999999692664,1856565.440000000176951,1780430.419999999925494,1782719.189999999944121,10955528.429999999701977
FS( 59 ),1846975.360000000102445,1746646.120000000111759,1917435.879999999888241,1855328.620000000111759,1778071.250000000000000,1786201.809999999823049,10930663.040000000968575
FS( 60 ),1862323.000000000000000,1737355.500000000000000,1917844.300000000046566,1865889.160000000149012,1789604.969999999972060,1788762.559999999823049,10961783.490000000223517
FS( 61 ),1878687.040000000037253,1743010.659999999916181,1905047.139999999897555,1863225.240000000223517,1794585.439999999711290,1791323.309999999823049,10975882.830000000074506
FS( 62 ),1853886.879999999888241,1745838.239999999990687,1921656.219999999972060,1853520.960000000195578,1819487.789999999804422,1788352.840000000083819,10982746.929999999701977
FS( 63 ),1864559.079999999841675,1752705.219999999972060,1922745.339999999850988,1869885.040000000037253,1816604.359999999869615,1783743.489999999757856,11010246.529999999329448
FS( 64 ),1864050.879999999888241,1749877.640000000130385,1941668.800000000046566,1880350.440000000176951,1810837.500000000000000,1767354.689999999944121,11014143.950000001117587
FS( 65 ),1860798.399999999906868,1763611.599999999860302,1952968.419999999692664,1898236.760000000009313,1803759.989999999990687,1782514.330000000074506,11061893.500000000000000
FS( 66 ),1880516.559999999823049,1764823.419999999925494,1959911.560000000055879,1897190.220000000204891,1808740.459999999962747,1783538.630000000121072,11094724.849999999627471
FS( 67 ),1890782.199999999953434,1772902.219999999972060,1963723.479999999981374,1890054.720000000204891,1807167.679999999934807,1786816.389999999897555,11111450.690000001341105
FS( 68 ),1899828.159999999916181,1757552.500000000000000,1965357.160000000149012,1883490.060000000288710,1809788.980000000214204,1774524.790000000037253,11090545.650000002235174
FS( 69 ),1861916.439999999944121,1759976.140000000130385,1967535.399999999906868,1870931.580000000074506,1816866.489999999990687,1776061.239999999757856,11053291.290000000968575
FS( 70 ),1869641.079999999841675,1764015.540000000037253,1963315.060000000055879,1871978.120000000111759,1794585.439999999711290,1775344.229999999981374,11038883.470000000670552
FS( 71 ),1862627.919999999925494,1760784.020000000251457,1978971.160000000149012,1870265.600000000093132,1792488.399999999906868,1759877.300000000046566,11025018.400000002235174
FS( 72 ),1853886.879999999888241,1766439.179999999934807,1991496.039999999804422,1880350.440000000176951,1793799.050000000046566,1757009.260000000009313,11042984.849999999627471
FS( 73 ),1857037.719999999739230,1771286.460000000195578,2005246.179999999701977,1883014.360000000102445,1819487.789999999804422,1722080.630000000121072,11058157.140000000596046
FS( 74 ),1817194.839999999850988,1774517.979999999981374,1993265.859999999869615,1853806.380000000121072,1768896.699999999953434,1729660.450000000186265,10937346.210000000894070
