代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12832680.669999999925494
真實報酬,2832680.669999999925494

夏普值報酬,0.274568067000000
夏普值風險,0.071198670816066
夏普值,3.856365067675424

二次趨勢線,60.873507194580178 x^2 + 13518.389125986066574 x + 10000000.000000000000000
二次平均預期報酬,21249.324539697747241
風險,132007.106407502607908
二次平均趨勢值,0.160971065255393
一次趨勢線,19293.672893541468511 x + 10000000.000000000000000
一次預期報酬,19293.672893541468511
一次風險,171267.620174479350680
一次趨勢值,0.112652192363542
找到最佳解世代,2372
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](2),CVX[5](1),KO[14](17),UNH[23](7),
Stock#,CAT[3](2),CVX[5](1),KO[14](17),UNH[23](7),
張數,31961,30506,84573,70561,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,10.580000000074506,33.299999999813735,22.120000000111759,23.770000000018626,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2469637.049999999813735,2480476.159999999683350,2489851.240000000223517,2437200.709999999962747,9877165.160000000149012
FS( 3 ),2537713.980000000447035,2543928.639999999664724,2522834.709999999962747,2474598.040000000037253,10079075.370000001043081
FS( 4 ),2520455.040000000037253,2552165.259999999776483,2527063.359999999869615,2402625.819999999832362,10002309.480000000447035
FS( 5 ),2516619.719999999739230,2547894.419999999459833,2513531.680000000167638,2423088.510000000242144,10001134.329999998211861
FS( 6 ),2568716.150000000372529,2560706.939999999944121,2512685.950000000186265,2423794.120000000111759,10065903.160000000149012
FS( 7 ),2556251.360000000335276,2553690.559999999590218,2518606.060000000055879,2444962.419999999925494,10073510.400000000372529
FS( 8 ),2535796.320000000298023,2557656.339999999850988,2520297.520000000018626,2471069.990000000223517,10084820.169999999925494
FS( 9 ),2566159.270000000484288,2552470.319999999832362,2534674.930000000167638,2492238.290000000037253,10145542.809999998658895
FS( 10 ),2554014.089999999850988,2559486.700000000186265,2533829.200000000186265,2524696.350000000093132,10172026.339999999850988
FS( 11 ),2548900.330000000074506,2550639.959999999962747,2534674.930000000167638,2538808.549999999813735,10173023.769999999552965
FS( 12 ),2564561.219999999739230,2577180.180000000167638,2537212.120000000111759,2557860.020000000018626,10236813.540000000968575
FS( 13 ),2510547.129999999888241,2525625.040000000037253,2551589.530000000260770,2490827.069999999832362,10078588.769999999552965
FS( 14 ),2567118.099999999627471,2563147.419999999459833,2586264.459999999962747,2591729.299999999813735,10308259.279999999329448
FS( 15 ),2521413.870000000111759,2570163.799999999813735,2599796.140000000130385,2574794.660000000149012,10266168.470000000670552
FS( 16 ),2503515.709999999962747,2579315.599999999627471,2605716.250000000000000,2629126.629999999888241,10317674.189999999478459
FS( 17 ),2526527.629999999888241,2589077.520000000018626,2580344.350000000093132,2650294.930000000167638,10346244.429999999701977
FS( 18 ),2513743.230000000447035,2597619.200000000186265,2589647.380000000353903,2651000.540000000037253,10352010.350000001490116
FS( 19 ),2500000.000000000000000,2571994.159999999683350,2587955.920000000391155,2535280.500000000000000,10195230.580000000074506
FS( 20 ),2484658.719999999739230,2575959.939999999944121,2588801.649999999906868,2557860.020000000018626,10207280.330000000074506
FS( 21 ),2512145.179999999701977,2519828.899999999441206,2593030.300000000279397,2543747.819999999832362,10168752.199999999254942
FS( 22 ),2533559.049999999813735,2484747.000000000000000,2609944.899999999906868,2547981.479999999981374,10176232.429999999701977
FS( 23 ),2548900.330000000074506,2506101.200000000186265,2615865.010000000242144,2610780.770000000018626,10281647.310000000521541
FS( 24 ),2553055.259999999776483,2522879.500000000000000,2620093.660000000149012,2586790.029999999795109,10282818.449999999254942
FS( 25 ),2658526.560000000521541,2597314.139999999664724,2641236.910000000149012,2596668.569999999832362,10493746.179999999701977
FS( 26 ),2670032.520000000484288,2592433.180000000167638,2646311.290000000037253,2600902.229999999981374,10509679.220000000670552
FS( 27 ),2656608.900000000372529,2586942.099999999627471,2641236.910000000149012,2619248.089999999850988,10504036.000000000000000
FS( 28 ),2617936.089999999850988,2549114.659999999683350,2648848.479999999981374,2609369.549999999813735,10425268.780000001192093
FS( 29 ),2635514.639999999664724,2598229.319999999832362,2645465.560000000055879,2622070.529999999795109,10501280.049999998882413
FS( 30 ),2634875.419999999925494,2626294.839999999850988,2655614.319999999832362,2643944.439999999944121,10560729.019999999552965
FS( 31 ),2590130.020000000484288,2606465.939999999944121,2660688.700000000186265,2587495.640000000130385,10444780.300000000745058
FS( 32 ),2615059.599999999627471,2588772.459999999962747,2662380.160000000149012,2502822.439999999944121,10369034.660000000149012
FS( 33 ),2568716.150000000372529,2516168.180000000167638,2625168.040000000037253,2470364.379999999888241,10180416.750000000000000
FS( 34 ),2594284.950000000186265,2515558.059999999590218,2643774.100000000093132,2492943.899999999906868,10246561.009999999776483
FS( 35 ),2656289.290000000037253,2557046.219999999739230,2699592.280000000260770,2514112.200000000186265,10427039.990000000223517
FS( 36 ),2683775.750000000000000,2560706.939999999944121,2719889.799999999813735,2540219.770000000018626,10504592.259999999776483
FS( 37 ),2684734.580000000074506,2545759.000000000000000,2718198.340000000316650,2572677.830000000074506,10521369.750000000000000
FS( 38 ),2640948.009999999776483,2493898.799999999813735,2690289.250000000000000,2543747.819999999832362,10368883.879999998956919
FS( 39 ),2706787.669999999925494,2529895.879999999888241,2732575.750000000465661,2552920.750000000000000,10522180.050000000745058
FS( 40 ),2688889.509999999776483,2503050.599999999627471,2711432.500000000465661,2531752.450000000186265,10435125.059999998658895
FS( 41 ),2674187.450000000186265,2492068.439999999944121,2680986.220000000204891,2581850.760000000242144,10429092.870000001043081
FS( 42 ),2703911.179999999701977,2470104.119999999646097,2671683.189999999944121,2576911.490000000223517,10422609.979999998584390
FS( 43 ),2795000.030000000260770,2522879.500000000000000,2735958.670000000391155,2658056.640000000130385,10711894.840000001713634
FS( 44 ),2832394.400000000372529,2577790.299999999813735,2744415.970000000204891,2684869.819999999832362,10839470.490000000223517
FS( 45 ),2856684.759999999776483,2589687.639999999664724,2727501.370000000111759,2668640.790000000037253,10842514.559999998658895
FS( 46 ),2850931.780000000260770,2591518.000000000000000,2706358.120000000111759,2631243.459999999962747,10780051.359999999403954
FS( 47 ),2887686.929999999701977,2632701.099999999627471,2712278.229999999981374,2594551.740000000223517,10827218.000000000000000
FS( 48 ),2864355.400000000372529,2627820.139999999664724,2723272.720000000204891,2599491.010000000242144,10814939.269999999552965
FS( 49 ),2865953.450000000186265,2643378.200000000186265,2741878.780000000260770,2586084.419999999925494,10837294.850000001490116
FS( 50 ),2874582.919999999925494,2654970.479999999981374,2734267.209999999962747,2587495.640000000130385,10851316.250000000000000
FS( 51 ),2928597.009999999776483,2695848.520000000018626,2741878.780000000260770,2603724.669999999925494,10970048.980000000447035
FS( 52 ),2943299.070000000298023,2696153.579999999608845,2702129.470000000204891,2575500.270000000018626,10917082.390000000596046
FS( 53 ),2976218.900000000372529,2684866.359999999869615,2737650.129999999888241,2501411.220000000204891,10900146.610000001266599
FS( 54 ),2978775.780000000260770,2716897.659999999683350,2763022.030000000260770,2512700.979999999981374,10971396.449999999254942
FS( 55 ),2959279.570000000298023,2699509.239999999757856,2778245.170000000391155,2473186.819999999832362,10910220.800000000745058
FS( 56 ),2981971.879999999888241,2708966.099999999627471,2762176.299999999813735,2482359.750000000000000,10935474.029999999329448
FS( 57 ),3024480.009999999776483,2722083.680000000167638,2768942.140000000130385,2492943.899999999906868,11008449.730000000447035
FS( 58 ),3022562.349999999627471,2743132.819999999832362,2774016.520000000018626,2528930.010000000242144,11068641.699999999254942
FS( 59 ),3018727.030000000260770,2766317.379999999888241,2773170.790000000037253,2523990.740000000223517,11082205.939999999478459
FS( 60 ),3006581.849999999627471,2749234.020000000018626,2751181.810000000055879,2507761.709999999962747,11014759.390000000596046
FS( 61 ),2994436.669999999925494,2781875.439999999944121,2763867.760000000242144,2520462.689999999944121,11060642.559999998658895
FS( 62 ),2997313.160000000149012,2787366.520000000018626,2768096.409999999683350,2533869.279999999795109,11086645.369999999180436
FS( 63 ),3000189.650000000372529,2794382.899999999441206,2769787.870000000111759,2535986.109999999869615,11100346.529999999329448
FS( 64 ),2993477.839999999850988,2783705.799999999813735,2781628.090000000316650,2547981.479999999981374,11106793.210000000894070
FS( 65 ),3009138.730000000447035,2804754.939999999944121,2757947.649999999906868,2619953.700000000186265,11191795.019999999552965
FS( 66 ),2995075.889999999664724,2794382.899999999441206,2701283.740000000223517,2643944.439999999944121,11134686.969999998807907
FS( 67 ),3020964.299999999813735,2789501.939999999944121,2685214.870000000111759,2652411.760000000242144,11148092.869999999180436
FS( 68 ),2989642.520000000484288,2766622.439999999944121,2665763.080000000074506,2707449.339999999850988,11129477.380000000819564
FS( 69 ),2995715.110000000335276,2781875.439999999944121,2660688.700000000186265,2713094.220000000204891,11151373.470000000670552
FS( 70 ),2984848.370000000111759,2758080.759999999776483,2666608.810000000055879,2713094.220000000204891,11122632.160000000149012
FS( 71 ),3002746.530000000260770,2801399.279999999795109,2651385.670000000391155,2757547.649999999906868,11213079.130000000819564
FS( 72 ),2988044.469999999739230,2820313.000000000000000,2665763.080000000074506,2742024.229999999981374,11216144.780000001192093
FS( 73 ),3008819.120000000111759,2812076.379999999888241,2680986.220000000204891,2794239.370000000111759,11296121.089999999850988
FS( 74 ),3004664.190000000409782,2831905.279999999795109,2669991.729999999981374,2876795.740000000223517,11383356.940000001341105
FS( 75 ),3075617.610000000335276,2847768.399999999441206,2684369.140000000130385,2884557.450000000186265,11492312.600000001490116
FS( 76 ),3053564.520000000484288,2836176.119999999646097,2681831.950000000186265,2861977.930000000167638,11433550.519999999552965
FS( 77 ),2991879.790000000037253,2828244.559999999590218,2661534.430000000167638,2844337.680000000167638,11325996.459999999031425
FS( 78 ),2964393.330000000074506,2860885.979999999981374,2654768.590000000316650,2851393.779999999795109,11331441.679999999701977
FS( 79 ),3022562.349999999627471,2870647.899999999441206,2675066.109999999869615,2809057.180000000167638,11377333.539999999105930
FS( 80 ),3016809.370000000111759,2870037.779999999795109,2662380.160000000149012,2866211.589999999850988,11415438.900000000372529
FS( 81 ),3060276.330000000074506,2887121.139999999664724,2662380.160000000149012,2840104.020000000018626,11449881.649999998509884
FS( 82 ),3088402.009999999776483,2890476.799999999813735,2651385.670000000391155,2984048.459999999962747,11614312.940000001341105
FS( 83 ),3058039.060000000521541,2848378.520000000018626,2631088.149999999906868,2888085.500000000000000,11425591.230000000447035
FS( 84 ),3100547.190000000409782,2895967.879999999888241,2658151.510000000242144,2896552.819999999832362,11551219.400000000372529
FS( 85 ),3132508.190000000409782,2935320.619999999646097,2666608.810000000055879,2968525.040000000037253,11702962.660000000149012
FS( 86 ),3167026.070000000298023,2943252.180000000167638,2658151.510000000242144,2960057.720000000204891,11728487.480000000447035
FS( 87 ),3161912.310000000521541,2968572.159999999683350,2646311.290000000037253,3036969.209999999962747,11813764.970000002533197
FS( 88 ),3183006.570000000298023,2962470.959999999962747,2645465.560000000055879,2998160.660000000149012,11789103.750000000000000
FS( 89 ),3211132.250000000000000,2979249.259999999776483,2643774.100000000093132,2950179.180000000167638,11784334.789999999105930
FS( 90 ),3215606.790000000037253,2981689.739999999757856,2658997.240000000223517,2961468.939999999944121,11817762.709999999031425
FS( 91 ),3189398.770000000484288,2935930.739999999757856,2670837.459999999962747,2968525.040000000037253,11764692.009999997913837
FS( 92 ),3215287.179999999701977,2949963.500000000000000,2686906.330000000074506,2993927.000000000000000,11846084.009999999776483
FS( 93 ),3309252.520000000484288,2942337.000000000000000,2688597.790000000037253,2990398.950000000186265,11930586.260000001639128
FS( 94 ),3300303.440000000409782,2957590.000000000000000,2669991.729999999981374,2996043.830000000074506,11923929.000000000000000
FS( 95 ),3291993.580000000074506,2938981.339999999850988,2672528.920000000391155,2965702.600000000093132,11869206.439999999478459
FS( 96 ),3309572.129999999888241,2948743.259999999776483,2680986.220000000204891,2998866.270000000018626,11938167.879999998956919
FS( 97 ),3303499.540000000037253,2964301.319999999832362,2730038.560000000055879,3005216.760000000242144,12003056.179999999701977
FS( 98 ),3383402.040000000037253,3011585.619999999646097,2730038.560000000055879,3022857.010000000242144,12147883.230000000447035
FS( 99 ),3260352.190000000409782,3060395.219999999739230,2696209.359999999869615,3031324.330000000074506,12048281.099999999627471
FS( 100 ),3196749.799999999813735,3119881.919999999459833,2702975.200000000186265,3027796.279999999795109,12047403.199999997392297
FS( 101 ),3214328.349999999627471,3112560.479999999981374,2701283.740000000223517,3016506.520000000018626,12044679.089999999850988
FS( 102 ),3260032.580000000074506,3114695.899999999441206,2719889.799999999813735,3000277.490000000223517,12094895.769999999552965
FS( 103 ),3289756.310000000521541,3165030.799999999813735,2702975.200000000186265,3004511.149999999906868,12162273.460000000894070
FS( 104 ),3191636.040000000037253,3139100.700000000186265,2745261.700000000186265,2995338.220000000204891,12071336.660000002011657
FS( 105 ),3227112.750000000000000,3156489.119999999646097,2724964.180000000167638,3073660.930000000167638,12182226.979999998584390
FS( 106 ),3331944.830000000074506,3178453.439999999944121,2772325.060000000055879,3160450.959999999962747,12443174.289999999105930
FS( 107 ),3293272.020000000484288,3165030.799999999813735,2757101.920000000391155,3136460.220000000204891,12351864.960000000894070
FS( 108 ),3264187.509999999776483,3142456.359999999869615,2757947.649999999906868,3073660.930000000167638,12238252.449999999254942
FS( 109 ),3328109.509999999776483,3165640.919999999459833,2775707.979999999981374,3092712.399999999906868,12362170.810000000521541
FS( 110 ),3271538.540000000037253,3115916.139999999664724,2774862.250000000465661,3139282.660000000149012,12301599.589999999850988
FS( 111 ),3144653.370000000111759,3022567.779999999795109,2761330.569999999832362,3089889.959999999962747,12018441.679999999701977
FS( 112 ),3196749.799999999813735,3048497.879999999888241,2741033.049999999813735,3075777.760000000242144,12062058.490000000223517
FS( 113 ),3263228.679999999701977,3075038.099999999627471,2703820.930000000167638,3045436.529999999795109,12087524.239999998360872
FS( 114 ),3220081.330000000074506,3088155.680000000167638,2665763.080000000074506,3019328.959999999962747,11993329.050000000745058
FS( 115 ),3208894.980000000447035,3035685.359999999869615,2604870.520000000018626,2953707.229999999981374,11803158.089999999850988
FS( 116 ),3295828.900000000372529,3118966.739999999757856,2633625.340000000316650,2982637.240000000223517,12031058.220000000670552
FS( 117 ),3357833.240000000223517,3136050.099999999627471,2651385.670000000391155,3005922.370000000111759,12151191.379999998956919
FS( 118 ),3438694.570000000298023,3208959.439999999944121,2688597.790000000037253,3047553.359999999869615,12383805.160000000149012
FS( 119 ),3413125.770000000484288,3210179.680000000167638,2686060.600000000093132,3015800.910000000149012,12325166.960000000894070
FS( 120 ),3412166.940000000409782,3217806.180000000167638,2718198.340000000316650,3016506.520000000018626,12364677.980000000447035
FS( 121 ),3463624.150000000372529,3214755.579999999608845,2735958.670000000391155,3090595.569999999832362,12504933.970000000670552
FS( 122 ),3486636.070000000298023,3257463.979999999981374,2757947.649999999906868,3087067.520000000018626,12589115.220000000670552
FS( 123 ),3496543.980000000447035,3234889.540000000037253,2750336.080000000540167,3095534.839999999850988,12577304.440000001341105
FS( 124 ),3532979.520000000484288,3275462.520000000018626,2779090.899999999906868,3138577.049999999813735,12726109.990000002086163
FS( 125 ),3564620.910000000149012,3294986.359999999869615,2792622.580000000540167,3203493.169999999925494,12855723.019999999552965
FS( 126 ),3558867.929999999701977,3279123.239999999757856,2805308.530000000260770,3189380.970000000204891,12832680.669999999925494
