代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12353728.539999999105930
真實報酬,2353728.539999999105930

夏普值報酬,0.226672854000000
夏普值風險,0.059955958512336
夏普值,3.780655995239582

二次趨勢線,-55.542887849904190 x^2 + 25270.954021827488759 x + 10000000.000000000000000
二次平均預期報酬,18383.635928439369309
風險,89525.030811280099442
二次平均趨勢值,0.205346323389626
一次趨勢線,20126.378360976879776 x + 10000000.000000000000000
一次預期報酬,20126.378360976879776
一次風險,130463.948065832795692
一次趨勢值,0.154267739550707
找到最佳解世代,2194
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](4),DIS[6](1),UTX[24](12),
Stock#,AAPL[0](4),DIS[6](1),UTX[24](12),
張數,29898,36078,32676,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.979999999981374,86.580000000074506,54.239999999757856,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3336322.800000000279397,3316015.560000000055879,3317975.279999999795109,9970314.640000000596046
FS( 3 ),3283702.319999999832362,3368689.440000000409782,3301964.039999999571592,9954356.799999998882413
FS( 4 ),3254103.300000000279397,3335497.680000000167638,3311113.319999999832362,9900715.300000000745058
FS( 5 ),3301043.159999999683350,3406932.120000000111759,3367316.039999999571592,10075292.319999998435378
FS( 6 ),3320476.859999999869615,3405128.219999999739230,3377772.359999999869615,10103378.439999999478459
FS( 7 ),3315095.219999999739230,3414508.500000000000000,3424825.799999999813735,10154430.519999999552965
FS( 8 ),3222710.400000000372529,3426053.459999999962747,3542459.399999999441206,10191224.259999999776483
FS( 9 ),3241845.120000000111759,3524185.620000000111759,3557163.599999999627471,10323195.339999999850988
FS( 10 ),3160522.559999999590218,3532844.340000000316650,3524487.599999999627471,10217855.500000000000000
FS( 11 ),3202379.759999999776483,3524907.180000000167638,3518605.919999999925494,10245893.859999999403954
FS( 12 ),3288486.000000000000000,3576137.940000000409782,3495079.199999999720603,10359704.140000000596046
FS( 13 ),3287290.080000000074506,3585157.440000000409782,3486583.439999999944121,10359031.960000000894070
FS( 14 ),3290578.859999999869615,3544389.299999999813735,3480048.239999999757856,10315017.400000000372529
FS( 15 ),3340508.520000000018626,3522381.719999999739230,3491484.839999999385327,10354376.080000000074506
FS( 16 ),3342601.379999999888241,3525267.959999999962747,3494425.679999999701977,10362296.019999999552965
FS( 17 ),3325559.520000000018626,3545110.860000000335276,3532656.599999999627471,10403327.980000000447035
FS( 18 ),3342302.400000000372529,3565314.540000000037253,3554549.520000000018626,10462167.460000000894070
FS( 19 ),3335724.839999999850988,3570726.240000000223517,3543766.439999999944121,10450218.519999999552965
FS( 20 ),3332436.059999999590218,3595980.840000000316650,3556510.080000000074506,10484927.980000000447035
FS( 21 ),3304331.939999999944121,3576137.940000000409782,3519912.959999999497086,10400383.839999999850988
FS( 22 ),3273537.000000000000000,3569643.899999999906868,3512070.719999999739230,10355252.620000001043081
FS( 23 ),3285795.180000000167638,3553769.580000000074506,3536250.959999999497086,10375816.719999998807907
FS( 24 ),3262175.759999999776483,3606443.459999999962747,3510110.159999999683350,10378730.379999998956919
FS( 25 ),3287290.080000000074506,3631698.060000000055879,3510436.919999999925494,10429426.060000000521541
FS( 26 ),3319579.919999999925494,3679681.799999999813735,3583957.919999999925494,10583220.640000000596046
FS( 27 ),3352168.740000000223517,3729830.219999999739230,3543112.919999999925494,10625112.879999998956919
FS( 28 ),3406882.080000000074506,3783225.660000000149012,3587552.279999999795109,10777661.019999999552965
FS( 29 ),3387448.379999999888241,3754363.260000000242144,3607157.879999999888241,10748970.519999999552965
FS( 30 ),3443955.600000000093132,3746786.879999999888241,3604543.799999999813735,10795287.280000001192093
FS( 31 ),3443955.600000000093132,3754002.479999999981374,3570560.759999999776483,10768519.839999999850988
FS( 32 ),3462791.339999999850988,3766269.000000000000000,3533310.119999999646097,10762371.459999999031425
FS( 33 ),3467276.040000000037253,3748951.560000000055879,3546053.759999999776483,10762282.359999999403954
FS( 34 ),3487307.700000000186265,3799099.979999999981374,3621208.559999999590218,10907617.239999998360872
FS( 35 ),3496576.080000000074506,3804872.459999999962747,3615653.640000000130385,10917103.179999999701977
FS( 36 ),3499864.859999999869615,3808480.260000000242144,3610425.479999999515712,10918771.599999999627471
FS( 37 ),3476843.400000000372529,3803429.340000000316650,3609445.199999999720603,10889718.939999999478459
FS( 38 ),3483719.939999999944121,3793688.280000000260770,3615653.640000000130385,10893062.860000001266599
FS( 39 ),3505844.459999999962747,3794409.840000000316650,3626436.719999999739230,10926692.019999999552965
FS( 40 ),3490895.459999999962747,3763021.979999999981374,3600622.679999999701977,10854541.119999999180436
FS( 41 ),3489998.520000000018626,3772402.260000000242144,3612386.039999999571592,10874787.820000000298023
FS( 42 ),3462791.339999999850988,3760135.740000000223517,3581997.359999999869615,10804925.439999999478459
FS( 43 ),3472657.680000000167638,3827240.819999999832362,3621535.319999999832362,10921434.820000000298023
FS( 44 ),3468770.939999999944121,3876306.899999999906868,3623822.640000000130385,10968901.480000000447035
FS( 45 ),3486410.759999999776483,3874142.219999999739230,3638526.839999999385327,10999080.819999998435378
FS( 46 ),3525278.159999999683350,3931867.020000000018626,3677738.039999999571592,11134884.219999998807907
FS( 47 ),3557568.000000000000000,3909498.660000000149012,3643428.239999999757856,11110495.900000000372529
FS( 48 ),3561155.759999999776483,3910220.219999999739230,3635586.000000000000000,11106962.980000000447035
FS( 49 ),3580290.479999999981374,3948462.899999999906868,3627090.239999999757856,11155844.619999999180436
FS( 50 ),3565341.479999999981374,3879553.919999999925494,3621208.559999999590218,11066104.960000000894070
FS( 51 ),3559062.900000000372529,3898675.260000000242144,3601602.959999999497086,11059342.119999999180436
FS( 52 ),3587764.979999999981374,3895428.240000000223517,3593433.959999999497086,11076628.179999999701977
FS( 53 ),3587466.000000000000000,3902283.060000000055879,3608138.159999999683350,11097888.220000000670552
FS( 54 ),3581187.419999999925494,3870534.419999999925494,3618267.719999999739230,11069990.559999998658895
FS( 55 ),3587764.979999999981374,3884244.060000000055879,3620228.279999999795109,11092238.320000000298023
FS( 56 ),3590156.819999999832362,3864761.940000000409782,3605524.080000000074506,11060443.839999999850988
FS( 57 ),3586868.040000000037253,3892902.780000000260770,3647022.599999999627471,11126794.419999999925494
FS( 58 ),3643973.219999999739230,3897953.700000000186265,3625783.199999999720603,11167711.119999999180436
