代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10801379.410000000149012
真實報酬,801379.410000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13859.872986135960673
風險,44380.818538223189535
起點值,0.312294217246108
找到最佳解世代,3863
找到最佳解實驗#,3
找到最佳解次數,3

stock[index](rank)
投資組合檔數,4
JNJ[12](2),JPM[13](16),MCD[15](1),V[25](4),
Stock#,JNJ[12](2),JPM[13](16),MCD[15](1),V[25](4),
張數,20269,28715,17711,27394,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,21.540000000037253,72.100000000093132,92.350000000093132,23.560000000055879,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2507296.840000000316650,2483919.600000000093132,2501416.879999999888241,2535064.320000000298023,10027697.640000000596046
FS( 3 ),2499797.310000000055879,2498277.100000000093132,2526035.170000000391155,2532324.919999999925494,10056434.500000000000000
FS( 4 ),2512364.090000000316650,2501148.600000000093132,2540735.299999999813735,2537255.840000000316650,10091503.830000000074506
FS( 5 ),2503445.729999999981374,2498277.100000000093132,2549767.910000000149012,2522737.020000000018626,10074227.759999999776483
FS( 6 ),2498175.790000000037253,2501148.600000000093132,2554726.990000000223517,2518080.040000000037253,10072131.420000001788139
FS( 7 ),2497365.029999999795109,2491098.350000000093132,2556852.310000000521541,2520271.560000000055879,10065587.250000000000000
FS( 8 ),2489257.430000000167638,2510624.550000000279397,2559686.070000000298023,2527120.060000000055879,10086688.110000001266599
FS( 9 ),2497162.340000000316650,2502871.500000000000000,2554195.660000000149012,2523010.959999999962747,10077240.460000000894070
FS( 10 ),2506080.700000000186265,2495979.900000000372529,2574563.310000000521541,2540269.180000000167638,10116893.090000001713634
FS( 11 ),2573981.850000000093132,2508040.200000000186265,2590857.430000000167638,2553966.180000000167638,10226845.660000000149012
FS( 12 ),2589791.669999999925494,2515793.250000000000000,2608745.540000000037253,2551774.660000000149012,10266105.120000001043081
FS( 13 ),2567495.770000000018626,2419885.149999999906868,2593159.859999999869615,2513697.000000000000000,10094237.779999999329448
