代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11573460.839999999850988
真實報酬,1573460.839999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,26505.758575882129662
風險,105295.275221470918041
起點值,0.251727900612176
找到最佳解世代,1961
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),CSCO[4](23),MRK[17](7),PFE[20](3),WBA[27](16),WMT[28](9),
Stock#,AAPL[0](6),CSCO[4](23),MRK[17](7),PFE[20](3),WBA[27](16),WMT[28](9),
張數,20796,104427,44826,77017,55685,25425,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,74.560000000055879,11.079999999841675,35.320000000065193,18.119999999878928,13.949999999953434,57.250000000000000,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1676440.120000000111759,1682330.049999999813735,1679217.280000000027940,1664355.489999999757856,1698963.300000000046566,1677852.999999999767169,10079163.240000000223517
FS( 3 ),1672072.960000000195578,1683374.319999999832362,1681010.320000000065193,1663585.320000000065193,1702861.249999999767169,1665394.750000000000000,10068302.919999999925494
FS( 4 ),1697860.000000000000000,1741853.439999999711290,1698940.719999999972060,1687460.589999999850988,1724021.550000000046566,1676327.500000000232831,10226467.799999998882413
FS( 5 ),1698483.880000000121072,1731410.739999999757856,1718215.899999999906868,1689771.100000000093132,1725135.250000000000000,1674802.000000000000000,10237822.869999999180436
FS( 6 ),1724062.960000000195578,1747074.789999999804422,1724043.280000000027940,1705174.500000000000000,1735158.550000000046566,1734550.750000000000000,10370068.830000000074506
FS( 7 ),1697028.159999999916181,1720968.039999999804422,1724491.540000000037253,1702093.820000000065193,1738499.649999999906868,1717007.500000000000000,10300092.710000000894070
FS( 8 ),1711793.320000000065193,1753340.409999999683350,1741525.420000000158325,1709025.350000000093132,1740170.199999999953434,1721838.250000000000000,10377696.949999999254942
FS( 9 ),1699939.599999999860302,1739764.899999999906868,1721353.719999999972060,1709025.350000000093132,1719566.750000000000000,1705311.999999999767169,10294966.320000000298023
FS( 10 ),1698067.960000000195578,1766915.919999999925494,1738835.860000000102445,1737521.639999999664724,1763557.900000000139698,1719550.000000000000000,10424453.279999999329448
FS( 11 ),1705762.479999999981374,1785712.780000000027940,1745559.760000000009313,1741372.489999999757856,1770796.949999999953434,1722601.000000000000000,10471809.459999999031425
