訓練日期,20140204 - 20140507
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11114483.269999999552965
真實報酬,1114483.269999999552965

夏普值報酬,0.102748327000000
夏普值風險,0.027620363067869
夏普值,3.720020868209645

預期報酬,17448.408700475090882
風險,72452.318350197587279
趨勢值,0.240826092218863
找到最佳解世代,2163
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CVX[5](4),INTC[11](8),KO[14](13),MCD[15](7),TRV[22](9),UNH[23](21),
Stock#,CVX[5](4),INTC[11](8),KO[14](13),MCD[15](7),TRV[22](9),UNH[23](21),
張數,14996,69589,44802,17917,20765,23560,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,10.560000000055879,9.449999999953434,31.599999999860302,26.660000000149012,67.099999999860302,31.600000000093132,
20140204,1662017.239999999990687,1657619.429999999934807,1679210.559999999823049,1667920.190000000176951,1668534.849999999627471,1661247.200000000186265,9996553.469999998807907
20140205,1642372.479999999981374,1636742.729999999981374,1685034.819999999832362,1676699.520000000018626,1670403.699999999720603,1668550.800000000046566,9979808.049999998882413
20140206,1668615.479999999981374,1669449.559999999823049,1703851.659999999916181,1701066.640000000130385,1675594.949999999720603,1669728.800000000279397,10088311.089999999850988
20140207,1680312.360000000102445,1684759.139999999897555,1700267.500000000000000,1718625.300000000279397,1679540.299999999813735,1681273.200000000186265,10144781.800000000745058
20140210,1674913.800000000046566,1690326.260000000009313,1728044.739999999757856,1699633.280000000027940,1710064.849999999627471,1643106.000000000000000,10146092.929999999701977
20140211,1703256.239999999990687,1702852.279999999795109,1731180.879999999888241,1708233.440000000176951,1727922.749999999767169,1663838.800000000279397,10237288.390000000596046
20140212,1680012.440000000176951,1708419.399999999906868,1725356.619999999878928,1700170.790000000270084,1708196.000000000000000,1654886.000000000000000,10177045.250000000000000
20140213,1687210.520000000018626,1718857.750000000000000,1731628.899999999906868,1710383.479999999981374,1721070.299999999813735,1677739.199999999953434,10246894.149999998509884
20140214,1701756.640000000130385,1723033.090000000083819,1744173.459999999962747,1716116.920000000158325,1744742.399999999674037,1732162.800000000046566,10361989.310000000521541
20140218,1690209.719999999972060,1723033.090000000083819,1678762.539999999804422,1720417.000000000000000,1752010.149999999906868,1739466.400000000139698,10303902.900000000372529
20140219,1703556.159999999916181,1704939.949999999953434,1662185.799999999813735,1711996.010000000009313,1744534.750000000000000,1732869.600000000093132,10260086.269999999552965
20140220,1718552.159999999916181,1721641.309999999823049,1671146.199999999720603,1715579.410000000149012,1740381.750000000000000,1731220.400000000139698,10298525.230000000447035
20140221,1689759.840000000083819,1699372.830000000074506,1665769.959999999962747,1728121.310000000288710,1739966.449999999953434,1738995.200000000186265,10261989.589999999850988
