訓練日期,20180104 - 20180409
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10888277.400000000372529
真實報酬,888277.400000000372529

夏普值報酬,0.080127740000000
夏普值風險,0.038226862755332
夏普值,2.096110803359676

預期報酬,25215.924517696046678
風險,408850.553204196505249
趨勢值,0.061675163015133
找到最佳解世代,1499
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,2
BA[2](4),INTC[11](2),
Stock#,BA[2](4),INTC[11](2),
張數,16789,110472,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,235.799999999813735,37.280000000260770,
20180104,4981028.429999999701977,4908308.240000000223517,9889336.669999999925494
20180105,5185350.559999999590218,4942554.560000000521541,10127905.120000001043081
20180108,5207344.149999999441206,4942554.560000000521541,10149898.710000000894070
20180109,5346357.070000000298023,4818825.919999999925494,10165182.990000000223517
20180110,5377080.939999999478459,4695097.280000000260770,10072178.219999998807907
20180111,5509042.479999999515712,4795626.799999999813735,10304669.279999999329448
20180112,5644865.489999999292195,4776846.560000000521541,10421712.050000000745058
20180116,5627237.040000000037253,4765799.360000000335276,10393036.400000000372529
20180117,5893342.689999999478459,4903889.360000000335276,10797232.050000000745058
20180118,5711182.040000000037253,4913831.839999999850988,10625013.879999998956919
20180119,5670384.770000000484288,4951392.320000000298023,10621777.089999999850988
20180122,5674917.799999999813735,5054131.280000000260770,10729049.080000000074506
20180123,5634456.309999999590218,5088377.600000000558794,10722833.910000000149012
20180124,5619346.209999999962747,5027618.000000000000000,10646964.210000000894070
20180125,5760709.589999999850988,5004418.879999999888241,10765128.469999998807907
20180126,5762556.379999999888241,5532475.040000000037253,11295031.419999999925494
20180129,5722262.779999999329448,5521427.839999999850988,11243690.619999999180436
20180130,5670048.989999999292195,5389966.160000000149012,11060015.149999998509884
20180131,5949753.729999999515712,5318159.360000000335276,11267913.089999999850988
20180201,5992901.459999999962747,5264028.080000000074506,11256929.539999999105930
20180202,5858085.790000000037253,5098320.080000000074506,10956405.870000001043081
20180205,5521802.120000000111759,4918250.720000000670552,10440052.839999999850988
20180206,5723773.790000000037253,4961334.799999999813735,10685108.589999999850988
20180207,5844822.479999999515712,4993371.680000000633299,10838194.160000000149012
20180208,5534897.540000000037253,4722715.280000000260770,10257612.820000000298023
20180209,5588118.669999999925494,4855281.680000000633299,10443400.350000001490116
20180212,5772294.000000000000000,4952497.040000000037253,10724791.039999999105930
20180213,5761549.040000000037253,4911622.400000000372529,10673171.440000001341105
20180214,5789922.450000000186265,5013256.640000000596046,10803179.089999999850988
20180215,5984842.739999999292195,5072911.520000000484288,11057754.259999999776483
20180216,5961002.360000000335276,5033141.600000000558794,10994143.960000000894070
20180220,5932628.950000000186265,5117100.320000000298023,11049729.269999999552965
20180221,5916175.729999999515712,5075120.959999999962747,10991296.689999999478459
20180222,5975776.679999999701977,5059654.879999999888241,11035431.559999998658895
20180223,5988200.540000000037253,5272865.839999999850988,11261066.379999998956919
20180226,6102701.520000000484288,5425317.200000000186265,11528018.720000000670552
20180227,6122176.759999999776483,5513694.799999999813735,11635871.559999998658895
20180228,6081379.489999999292195,5445202.160000000149012,11526581.649999998509884
20180301,5871181.209999999962747,5285017.760000000707805,11156198.970000000670552
20180302,5786900.429999999701977,5410955.839999999850988,11197856.269999999552965
20180305,5922555.549999999813735,5496019.280000000260770,11418574.830000000074506
20180306,5858253.679999999701977,5602072.400000000372529,11460326.080000000074506
20180307,5826690.360000000335276,5669460.320000000298023,11496150.679999999701977
20180308,5855063.770000000484288,5605386.560000000521541,11460450.330000001937151
20180309,5952272.079999999143183,5765570.959999999962747,11717843.039999999105930
20180312,5778841.709999999962747,5691554.720000000670552,11470396.429999999701977
20180313,5686166.429999999701977,5720277.440000000409782,11406443.870000001043081
20180314,5544970.939999999478459,5729115.200000000186265,11274086.140000000596046
20180315,5540270.020000000484288,5620852.640000000596046,11161122.660000000149012
20180316,5548496.629999999888241,5652889.520000000484288,11201386.150000000372529
20180319,5570154.439999999478459,5615329.040000000037253,11185483.480000000447035
20180320,5668705.870000000111759,5694868.879999999888241,11363574.750000000000000
20180321,5659807.700000000186265,5695973.600000000558794,11355781.300000000745058
20180322,5366168.089999999850988,5615329.040000000037253,10981497.129999998956919
20180323,5389504.799999999813735,5452935.200000000186265,10842440.000000000000000
20180326,5523313.129999999888241,5797607.839999999850988,11320920.969999998807907
20180327,5391519.479999999515712,5655098.959999999962747,11046618.439999999478459
20180328,5373051.579999999143183,5479448.480000000447035,10852500.059999998658895
20180329,5505013.120000000111759,5753419.040000000037253,11258432.160000000149012
20180402,5413680.959999999962747,5404327.520000000484288,10818008.480000000447035
20180403,5554372.779999999329448,5496019.280000000260770,11050392.059999998658895
20180404,5497625.959999999962747,5522532.560000000521541,11020158.519999999552965
20180405,5648055.399999999441206,5565616.640000000596046,11213672.039999999105930
20180406,5475464.479999999515712,5389966.160000000149012,10865430.640000000596046
20180409,5414352.520000000484288,5473924.879999999888241,10888277.400000000372529
