訓練日期,20190815 - 20191114
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11756130.800000000745058
真實報酬,1756130.800000000745058

夏普值報酬,0.166913080000000
夏普值風險,0.044667089154987
夏普值,3.736824654520062

預期報酬,26562.881971921229706
風險,106429.125452577107353
趨勢值,0.249582826683633
找到最佳解世代,2947
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MSFT[18](7),NKE[19](8),
Stock#,AAPL[0](1),MSFT[18](7),NKE[19](8),
張數,16440,24879,41137,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,123.000000000000000,44.580000000074506,1.890000000130385,
20190815,3316728.600000000093132,3325869.300000000279397,3270804.760000000242144,9913403.660000000149012
20190816,3394983.000000000000000,3386822.850000000093132,3302480.250000000000000,10084287.099999999627471
20190819,3458277.000000000000000,3443546.970000000204891,3337446.699999999720603,10239271.669999999925494
20190820,3458441.400000000372529,3414936.119999999646097,3312764.500000000000000,10186143.019999999552965
20190821,3495924.599999999627471,3453000.989999999757856,3403677.270000000018626,10352603.859999999403954
20190822,3492965.399999999906868,3427873.200000000186265,3427125.360000000335276,10347964.960000000894070
20190823,3331524.599999999627471,3318654.389999999664724,3309062.169999999925494,9959242.160000000149012
20190826,3394818.600000000093132,3369905.129999999888241,3383520.140000000130385,10148244.870000001043081
20190827,3356513.399999999906868,3377120.040000000502914,3374470.000000000000000,10108104.440000001341105
20190828,3379036.200000000186265,3372641.820000000298023,3434118.650000000372529,10185797.670000001788139
20190829,3436247.399999999906868,3436332.060000000055879,3512278.949999999720603,10384859.410000000149012
20190830,3431808.600000000093132,3429863.520000000484288,3476078.390000000130385,10337751.510000001639128
20190903,3381831.000000000000000,3384583.739999999757856,3483071.680000000167638,10249487.419999999925494
20190904,3439206.600000000093132,3424141.350000000093132,3552181.839999999850988,10415530.789999999105930
20190905,3506446.200000000186265,3484348.530000000260770,3637335.430000000167638,10628131.160000000149012
20190906,3506117.399999999906868,3460713.479999999981374,3648442.419999999925494,10615274.300000000745058
20190909,3521077.799999999813735,3421404.660000000149012,3647619.680000000167638,10590103.140000000596046
20190910,3562671.000000000000000,3385578.900000000372529,3571927.600000000093132,10520178.500000000000000
20190911,3675942.600000000093132,3386574.060000000055879,3568636.640000000130385,10631154.300000000745058
20190912,3667722.600000000093132,3421404.660000000149012,3606482.680000000167638,10695610.939999999478459
20190913,3596373.000000000000000,3416428.859999999869615,3592084.729999999981374,10604887.589999999850988
20190916,3615279.000000000000000,3391798.650000000372529,3590027.879999999888241,10597106.530000001192093
20190917,3628431.000000000000000,3418170.389999999664724,3603191.720000000204891,10649794.109999999403954
20190918,3662461.800000000279397,3446283.660000000149012,3623348.850000000093132,10732095.310000000521541
20190919,3632705.399999999906868,3509725.109999999869615,3607716.790000000037253,10750148.300000000745058
20190920,3579604.199999999720603,3469172.339999999850988,3565757.050000000279397,10614534.589999999850988
20190923,3595879.799999999813735,3461708.639999999664724,3607305.419999999925494,10664894.859999999403954
20190924,3578782.200000000186265,3417921.600000000093132,3586325.550000000279397,10583030.350000001490116
20190925,3633856.200000000186265,3467182.020000000484288,3735652.860000000335276,10836692.080000001937151
20190926,3615114.599999999627471,3471660.239999999757856,3791599.180000000167638,10878375.019999999552965
20190927,3597523.799999999813735,3426629.250000000000000,3797358.360000000335276,10821512.410000000149012
20190930,3682189.799999999813735,3458971.950000000186265,3863588.930000000167638,11004751.679999999701977
20191001,3692382.600000000093132,3410209.109999999869615,3796124.250000000000000,10898716.960000000894070
20191002,3599825.399999999906868,3350001.930000000167638,3763626.020000000018626,10713454.349999999627471
20191003,3630403.799999999813735,3390554.700000000186265,3793656.030000000260770,10814615.530000001192093
20191004,3732167.399999999906868,3436332.060000000055879,3828622.479999999981374,10997122.939999999478459
20191007,3732989.399999999906868,3411453.060000000055879,3832736.180000000167638,10977179.640000000596046
20191008,3689259.000000000000000,3375378.509999999776483,3774321.640000000130385,10838960.150000000372529
20191009,3732496.200000000186265,3439317.540000000502914,3805997.129999999888241,10977811.870000001043081
20191010,3782802.600000000093132,3460713.479999999981374,3825742.890000000130385,11069259.970000000670552
20191011,3883415.399999999906868,3475143.300000000279397,3861943.449999999720603,11220503.150000000372529
20191014,3877825.800000000279397,3471909.030000000260770,3903080.449999999720603,11252816.279999999329448
20191015,3868783.799999999813735,3522164.609999999869615,3899378.120000000577420,11290327.530000001192093
20191016,3853165.800000000279397,3493304.970000000204891,3903080.449999999720603,11249552.220000000670552
20191017,3868126.200000000186265,3475392.089999999850988,3931053.610000000335276,11274572.900000000372529
20191018,3886703.399999999906868,3418667.970000000204891,3953267.589999999850988,11258639.960000000894070
20191021,3954107.399999999906868,3444044.550000000279397,3958204.030000000260770,11356356.980000000447035
20191022,3945065.399999999906868,3392793.810000000055879,3932699.089999999850988,11270559.300000000745058
20191023,3998002.200000000186265,3414438.540000000502914,3797769.729999999981374,11210211.470000000670552
20191024,4004578.200000000186265,3481611.839999999850988,3764037.390000000130385,11250228.429999999701977
20191025,4053898.200000000186265,3501266.250000000000000,3740177.930000000167638,11295343.380000000819564
20191028,4094505.000000000000000,3587347.589999999850988,3737298.339999999850988,11419151.929999999701977
20191029,3999810.600000000093132,3553512.150000000372529,3672713.250000000000000,11226037.000000000000000
20191030,3999317.399999999906868,3597796.770000000484288,3710147.919999999925494,11307263.089999999850988
20191031,4089737.399999999906868,3566946.810000000055879,3683820.240000000223517,11340505.449999999254942
20191101,4205803.799999999813735,3575654.459999999962747,3668599.550000000279397,11450058.810000000521541
20191104,4233423.000000000000000,3596304.030000000260770,3696572.709999999962747,11526300.740000000223517
20191105,4227340.200000000186265,3594064.920000000391155,3697395.449999999720603,11518801.570000000298023
20191106,4229148.600000000558794,3584113.320000000298023,3680940.650000000372529,11494203.570000000298023
20191107,4265152.200000000186265,3589089.119999999646097,3718786.690000000409782,11573029.010000001639128
20191108,4276824.599999999627471,3631383.420000000391155,3694515.860000000335276,11602724.879999998956919
20191111,4310691.000000000000000,3635115.270000000484288,3704388.740000000223517,11650196.010000001639128
20191112,4306745.399999999441206,3658999.109999999869615,3681763.390000000130385,11647508.900000000372529
20191113,4348009.800000000745058,3664970.070000000298023,3755398.620000000577420,11768379.490000002086163
20191114,4317924.599999999627471,3683629.320000000298023,3754575.879999999888241,11756130.800000000745058
