代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11683518.480000000447035
真實報酬,1683518.480000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14518.703346340900680
風險,128012.290623809501994
起點值,0.113416479586379
找到最佳解世代,1619
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),MCD[15](4),PG[21](2),
Stock#,KO[14](1),MCD[15](4),PG[21](2),
張數,71347,17693,32162,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,1.160000000149012,148.730000000447035,63.319999999832362,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3322630.950000000186265,3332625.280000000260770,3336870.819999999832362,9992128.050000000745058
FS( 3 ),3294805.620000000111759,3332625.280000000260770,3334941.099999999627471,9962373.000000000000000
FS( 4 ),3316209.719999999739230,3359518.640000000596046,3326578.979999999981374,10002308.339999999850988
FS( 5 ),3315496.250000000000000,3374380.760000000707805,3333654.620000000111759,10023532.630000000819564
FS( 6 ),3321204.009999999776483,3359164.780000000260770,3376108.459999999962747,10056478.250000000000000
FS( 7 ),3329765.650000000372529,3363234.170000000856817,3366138.239999999757856,10059139.060000000521541
FS( 8 ),3327625.240000000223517,3348018.190000000409782,3365816.620000000111759,10041461.050000000745058
FS( 9 ),3332619.530000000260770,3342002.570000000298023,3369032.819999999832362,10043655.919999999925494
FS( 10 ),3334759.940000000409782,3390127.530000000260770,3379003.040000000037253,10103891.510000001639128
FS( 11 ),3353310.160000000149012,3394550.780000000260770,3400551.580000000074506,10148413.519999999552965
FS( 12 ),3349742.810000000521541,3391896.830000000074506,3422743.359999999869615,10164384.000000000000000
FS( 13 ),3373287.320000000298023,3390304.460000000894070,3404411.019999999552965,10168003.800000000745058
FS( 14 ),3387556.719999999739230,3448691.360000000335276,3410843.419999999925494,10247092.500000000000000
FS( 15 ),3381848.959999999962747,3431175.290000000037253,3409556.939999999944121,10222582.189999999478459
FS( 16 ),3439640.030000000260770,3454883.910000000149012,3317895.239999999757856,10212420.179999999701977
FS( 17 ),3423230.219999999739230,3496816.320000000298023,3334941.099999999627471,10254988.640000000596046
FS( 18 ),3413241.640000000596046,3502124.220000000670552,3321754.679999999701977,10237121.540000000968575
FS( 19 ),3443207.379999999888241,3493100.790000000037253,3404732.639999999664724,10341041.809999998658895
FS( 20 ),3454622.900000000372529,3487792.890000000596046,3369997.679999999701977,10312414.470000000670552
FS( 21 ),3500284.980000000447035,3495754.740000000223517,3424673.080000000074506,10420713.800000000745058
FS( 22 ),3466751.890000000596046,3435598.540000000037253,3374821.979999999981374,10277173.410000000149012
FS( 23 ),3452482.490000000223517,3443383.460000000894070,3395084.040000000037253,10290950.990000002086163
FS( 24 ),3476027.000000000000000,3494870.090000000782311,3411808.279999999795109,10382706.370000001043081
FS( 25 ),3458190.250000000000000,3519286.430000000633299,3398943.479999999981374,10376421.160000000149012
FS( 26 ),3424657.160000000149012,3504070.450000000186265,3367424.719999999739230,10296153.330000000074506
FS( 27 ),3413955.110000000335276,3503893.520000000484288,3379324.659999999683350,10297174.290000000968575
FS( 28 ),3381848.959999999962747,3498585.620000000111759,3352630.199999999720603,10233065.779999999329448
FS( 29 ),3438213.089999999850988,3538571.800000000745058,3409556.939999999944121,10386342.830000000074506
FS( 30 ),3428224.509999999776483,3521586.520000000484288,3412773.139999999664724,10362585.169999999925494
FS( 31 ),3473886.589999999850988,3503539.660000000149012,3396370.519999999552965,10373797.769999999552965
FS( 32 ),3508846.620000000111759,3522294.240000000223517,3431748.719999999739230,10462890.580000000074506
FS( 33 ),3537385.419999999925494,3538571.800000000745058,3477097.139999999664724,10553055.359999999403954
FS( 34 ),3510273.560000000521541,3524948.190000000409782,3455870.219999999739230,10491092.970000000670552
FS( 35 ),3485302.110000000335276,3520878.800000000745058,3452010.779999999795109,10458192.690000001341105
FS( 36 ),3467465.360000000335276,3535917.850000000558794,3421135.259999999776483,10424519.470000000670552
FS( 37 ),3542379.709999999962747,3538041.010000000707805,3432391.959999999962747,10512813.679999999701977
