代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11992318.429999999701977
真實報酬,1992318.429999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15856.329816871235380
風險,118027.022458758612629
起點值,0.134344910907261
找到最佳解世代,1749
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),INTC[11](2),NKE[19](11),PG[21](18),TRV[22](7),
Stock#,AAPL[0](1),INTC[11](2),NKE[19](11),PG[21](18),TRV[22](7),
張數,25846,76952,53763,24894,23699,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,36.520000000018626,17.520000000018626,16.399999999906868,16.039999999804422,41.389999999897555,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2003359.980000000214204,1992304.800000000046566,2003763.410000000149012,1994772.259999999776483,2006161.739999999990687,10000362.189999999478459
FS( 3 ),1989403.139999999897555,2032319.840000000083819,1988709.770000000018626,1994025.439999999711290,2013982.409999999916181,10018440.599999999627471
FS( 4 ),1963557.139999999897555,2013081.840000000083819,1958064.860000000102445,1985810.419999999692664,2019196.189999999944121,9939710.449999999254942
FS( 5 ),1932800.400000000139698,2038476.000000000000000,1904301.860000000102445,2003734.099999999627471,2014456.389999999897555,9893768.750000000000000
FS( 6 ),1932800.400000000139698,2070795.840000000083819,1960215.379999999888241,2025142.939999999711290,2008057.659999999916181,9997012.219999998807907
FS( 7 ),1958129.480000000214204,2076182.479999999981374,1977419.540000000037253,2028628.099999999627471,2033889.569999999832362,10074249.169999999925494
FS( 8 ),1932800.400000000139698,2033858.879999999888241,1947849.889999999664724,2018670.500000000000000,2014219.399999999674037,9947399.070000000298023
FS( 9 ),1918585.100000000093132,2014620.879999999888241,1915592.090000000083819,2010455.479999999981374,2021566.089999999850988,9880819.640000000596046
FS( 10 ),1926338.900000000139698,2043862.639999999897555,1945699.369999999878928,2011700.179999999934807,2026305.889999999897555,9953906.980000000447035
FS( 11 ),1912382.059999999823049,2060022.560000000055879,1943011.219999999972060,2012447.000000000000000,2035548.500000000000000,9963411.339999999850988
FS( 12 ),1916258.959999999962747,2072334.879999999888241,1965054.049999999813735,2032611.139999999897555,2056640.609999999869615,10042899.639999998733401
FS( 13 ),1938228.059999999823049,2080799.599999999860302,1990322.660000000149012,2035349.479999999981374,2054270.709999999962747,10098970.510000001639128
FS( 14 ),1961231.000000000000000,2073873.919999999925494,1986559.250000000000000,2030370.679999999934807,2047634.989999999990687,10099669.839999999850988
FS( 15 ),1963298.679999999934807,2065409.199999999953434,1998387.110000000102445,2022653.539999999804422,2059247.500000000000000,10108996.030000001192093
FS( 16 ),1937452.679999999934807,2058483.520000000018626,1991935.549999999813735,2000497.879999999888241,2088634.259999999776483,10077003.890000000596046
FS( 17 ),2096405.580000000074506,2058483.520000000018626,1973118.500000000000000,2020164.139999999897555,2099535.799999999813735,10247707.539999999105930
FS( 18 ),2111913.179999999701977,2020777.040000000037253,1954301.449999999953434,2026636.579999999608845,2092900.079999999841675,10206528.330000000074506
FS( 19 ),2193586.540000000037253,2026163.679999999934807,1926882.320000000065193,2064724.399999999674037,2124419.750000000000000,10335776.689999999478459
FS( 20 ),2187125.040000000037253,2037706.479999999981374,1948387.520000000018626,2052277.399999999674037,2154280.490000000223517,10379776.929999999701977
FS( 21 ),2178854.319999999832362,2053866.400000000139698,1961290.639999999664724,2055015.739999999757856,2146696.809999999590218,10395723.910000000149012
FS( 22 ),2184023.520000000018626,2035397.919999999925494,1960215.379999999888241,2049788.000000000000000,2152621.559999999590218,10382046.379999998956919
FS( 23 ),2187900.420000000391155,2032319.840000000083819,1961828.270000000018626,2039332.519999999785796,2156650.389999999664724,10378031.440000001341105
FS( 24 ),2218915.619999999646097,2013851.360000000102445,1970430.349999999860302,2033855.839999999850988,2148355.740000000223517,10385408.910000000149012
FS( 25 ),2194878.839999999850988,2016159.919999999925494,1942473.590000000083819,2019666.259999999776483,2130107.509999999776483,10303286.119999999180436
FS( 26 ),2187125.040000000037253,2029241.760000000009313,1940323.070000000065193,2043564.500000000000000,2158309.319999999366701,10358563.689999999478459
