代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11239236.939999999478459
真實報酬,1239236.939999999478459

夏普值報酬,0.115223694000000
夏普值風險,0.039417626016688
夏普值,2.923151535082783

預期報酬,10960.509185961918774
風險,109015.759197393388604
趨勢值,0.100540594008210
找到最佳解世代,1535
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](1),DD[7](3),GS[8](16),MRK[17](15),NKE[19](7),UNH[23](2),
Stock#,DIS[6](1),DD[7](3),GS[8](16),MRK[17](15),NKE[19](7),UNH[23](2),
張數,17694,25660,8598,29347,34664,16486,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,68.140000000130385,49.000000000000000,115.659999999916181,49.870000000111759,20.880000000121072,96.260000000009313,
20150102,1658880.640000000130385,1665896.199999999953434,1671652.839999999850988,1678404.800000000046566,1647254.160000000149012,1661555.340000000083819,9983647.980000000447035
20150105,1634639.860000000102445,1614576.199999999953434,1619462.979999999981374,1703349.750000000000000,1620562.880000000121072,1634188.580000000074506,9826784.250000000000000
20150106,1625969.800000000046566,1588659.599999999860302,1586704.599999999860302,1770260.910000000149012,1611203.600000000093132,1630891.380000000121072,9813693.890000000596046
20150107,1642602.160000000149012,1586093.600000000093132,1610349.099999999860302,1808118.540000000037253,1644481.040000000037253,1647542.240000000223517,9939190.679999999701977
20150108,1659588.400000000139698,1625353.400000000139698,1636057.120000000111759,1844508.820000000065193,1682264.800000000046566,1726180.459999999962747,10173957.000000000000000
20150109,1667727.640000000130385,1622787.400000000139698,1610950.959999999962747,1835998.190000000176951,1663892.880000000121072,1710024.179999999934807,10111385.250000000000000
20150112,1671443.380000000121072,1613293.199999999953434,1591347.519999999785796,1828367.969999999972060,1661466.400000000139698,1690735.560000000055879,10056658.029999999329448
20150113,1684360.000000000000000,1593535.000000000000000,1590143.800000000046566,1825139.800000000046566,1646907.520000000018626,1699308.279999999795109,10039398.399999998509884
20150114,1667373.760000000242144,1587120.000000000000000,1549733.199999999720603,1838345.950000000186265,1624375.920000000158325,1703594.639999999897555,9970547.470000000670552
20150115,1669497.040000000037253,1582757.800000000046566,1534772.679999999934807,1816042.230000000214204,1608777.120000000111759,1722223.819999999832362,9934074.689999999478459
20150116,1684183.060000000288710,1636900.399999999906868,1523939.199999999720603,1849791.280000000260770,1611896.880000000121072,1743820.479999999981374,10050535.300000000745058
20150120,1676397.699999999953434,1612780.000000000000000,1510182.399999999906868,1837465.540000000037253,1622642.720000000204891,1741347.580000000074506,10000819.939999999478459
20150121,1666312.120000000111759,1634847.600000000093132,1523251.359999999869615,1824259.389999999897555,1620909.520000000018626,1802345.779999999795109,10071929.769999999552965
20150122,1683652.240000000223517,1657684.999999999767169,1565295.579999999841675,1836878.600000000325963,1661466.400000000139698,1877027.359999999869615,10282009.179999999701977
20150123,1676043.820000000065193,1628689.199999999953434,1551968.679999999934807,1833943.900000000139698,1666666.000000000000000,1846528.260000000009313,10203843.860000001266599
20150126,1680467.320000000065193,1628432.600000000093132,1551366.819999999832362,1843628.410000000149012,1670132.400000000139698,1840098.719999999972060,10214130.270000001415610
20150127,1662773.320000000065193,1614063.000000000000000,1517576.679999999934807,1835998.190000000176951,1637894.880000000121072,1813721.120000000111759,10082031.190000001341105
20150128,1639771.120000000111759,1572493.800000000046566,1487999.560000000055879,1803423.020000000251457,1617443.120000000111759,1788167.819999999832362,9909302.440000001341105
20150129,1649502.820000000065193,1644854.999999999767169,1513277.679999999934807,1822205.100000000325963,1644481.040000000037253,1803499.800000000046566,10077825.440000001341105
20150130,1609514.380000000121072,1650243.600000000093132,1482496.839999999850988,1769087.030000000260770,1599071.200000000186265,1751733.760000000009313,9862150.810000000521541
20150202,1626677.560000000288710,1652553.000000000232831,1508978.679999999934807,1786695.230000000214204,1593178.320000000065193,1768879.200000000186265,9936965.990000002086163
20150203,1665073.540000000037253,1713623.800000000046566,1549819.179999999934807,1790803.810000000288710,1618136.400000000139698,1777451.920000000158325,10114912.650000000372529
20150204,1792116.460000000195578,1688990.199999999720603,1537266.099999999860302,1732990.219999999972060,1603924.160000000149012,1779265.380000000121072,10134556.519999999552965
20150205,1816180.300000000046566,1746725.199999999720603,1554376.120000000111759,1736511.860000000102445,1617789.760000000242144,1794102.779999999795109,10265690.019999999552965
20150206,1805210.020000000018626,1768792.800000000279397,1577246.800000000046566,1725360.000000000000000,1591098.479999999981374,1773989.859999999869615,10241701.959999999031425
20150209,1800078.760000000242144,1763660.800000000046566,1566843.219999999972060,1711860.380000000121072,1580352.640000000130385,1755690.399999999906868,10178490.200000001117587
20150210,1803440.620000000111759,1772385.199999999720603,1586962.540000000037253,1727120.820000000065193,1607737.200000000186265,1796575.679999999934807,10294226.059999998658895
20150211,1802555.920000000158325,1756989.199999999953434,1613530.359999999869615,1723892.650000000139698,1582779.120000000111759,1811083.359999999869615,10290834.609999999403954
20150212,1832812.660000000149012,1795992.399999999906868,1631844.099999999860302,1728001.230000000214204,1594564.880000000121072,1810918.500000000000000,10394137.770000001415610
20150213,1843252.120000000111759,1806769.599999999860302,1625137.659999999916181,1725946.940000000176951,1595258.160000000149012,1804324.099999999860302,10400692.580000000074506
20150217,1842367.420000000158325,1811388.400000000139698,1633907.620000000111759,1725360.000000000000000,1592138.400000000139698,1809599.620000000111759,10414765.460000000894070
20150218,1837766.980000000214204,1805486.600000000093132,1622300.319999999832362,1725653.469999999972060,1622642.720000000204891,1809764.479999999981374,10423618.570000000298023
20150219,1838297.800000000046566,1815494.000000000000000,1626083.439999999944121,1710979.969999999972060,1624029.280000000260770,1814050.840000000083819,10428939.330000000074506
20150220,1849975.840000000083819,1810105.400000000139698,1646718.639999999897555,1712447.320000000065193,1645520.960000000195578,1856749.580000000074506,10521521.740000000223517
20150223,1857761.199999999953434,1808565.800000000046566,1636401.040000000037253,1710979.969999999972060,1646907.520000000018626,1919066.660000000149012,10579686.189999999478459
20150224,1852099.120000000111759,1820112.800000000279397,1652823.219999999972060,1712740.790000000037253,1653840.320000000065193,1903075.240000000223517,10594695.490000000223517
20150225,1868023.719999999972060,1821652.399999999906868,1648524.219999999972060,1716555.900000000139698,1678105.120000000111759,1880324.560000000055879,10613189.919999999925494
20150226,1850152.780000000260770,1799841.399999999906868,1652651.259999999776483,1730348.990000000223517,1681224.880000000121072,1873895.020000000018626,10588118.330000000074506
20150227,1841659.660000000149012,1799328.200000000186265,1631930.079999999841675,1718023.250000000000000,1683304.720000000204891,1873400.439999999944121,10547650.349999999627471
20150302,1873685.800000000046566,1803433.800000000046566,1649126.079999999841675,1719197.130000000121072,1711729.200000000186265,1886094.660000000149012,10643270.669999999925494
20150303,1881825.040000000037253,1799841.399999999906868,1644655.120000000111759,1712153.850000000325963,1698210.240000000223517,1860706.219999999972060,10597395.870000002905726
20150304,1868023.719999999972060,1811388.400000000139698,1630898.319999999832362,1698654.230000000214204,1690237.520000000018626,1876532.779999999795109,10575738.969999998807907
20150305,1858468.960000000195578,1786498.200000000186265,1634423.500000000000000,1701588.929999999934807,1706529.600000000093132,1892524.200000000186265,10580037.390000000596046
20150306,1837059.219999999972060,1751857.199999999953434,1607167.839999999850988,1668133.350000000325963,1679838.320000000065193,1861035.939999999944121,10405095.869999999180436
20150309,1862538.580000000307336,1751600.600000000093132,1615937.800000000046566,1680459.090000000083819,1688850.960000000195578,1894337.660000000149012,10493728.690000001341105
20150310,1824142.600000000093132,1721578.400000000139698,1571056.239999999990687,1660503.130000000121072,1672905.520000000018626,1854111.819999999832362,10304301.710000000894070
20150311,1820603.800000000046566,1709518.200000000186265,1583695.300000000046566,1645242.690000000176951,1652453.760000000242144,1858398.179999999934807,10269915.929999999701977
20150312,1896334.120000000111759,1734408.400000000139698,1633305.759999999776483,1648470.860000000102445,1681918.160000000149012,1894007.939999999944121,10488449.240000000223517
20150313,1883417.500000000000000,1719269.000000000000000,1628060.979999999981374,1649351.270000000251457,1660773.120000000111759,1900107.760000000009313,10440983.630000000819564
20150316,1899872.920000000158325,1718755.800000000046566,1650071.859999999869615,1676350.510000000009313,1671518.960000000195578,1954016.979999999981374,10570591.030000001192093
20150317,1892618.380000000121072,1704129.599999999860302,1638636.519999999785796,1657274.959999999962747,1673252.160000000149012,1938849.859999999869615,10504765.480000000447035
20150318,1910489.320000000065193,1737231.000000000000000,1653683.019999999785796,1691904.420000000158325,1690237.520000000018626,1977756.819999999832362,10661306.099999999627471
20150319,1899872.920000000158325,1707722.000000000000000,1633477.719999999972060,1708338.740000000223517,1704103.120000000111759,1990945.620000000111759,10644464.120000001043081
20150320,1918628.560000000288710,1728249.999999999767169,1660647.399999999906868,1719197.130000000121072,1767538.240000000223517,1964238.300000000046566,10758503.630000000819564
20150323,1914912.820000000065193,1725940.600000000093132,1650587.739999999990687,1723599.179999999934807,1758525.600000000093132,1962589.700000000186265,10736159.640000000596046
20150324,1895272.480000000214204,1725170.800000000046566,1644741.099999999860302,1720664.480000000214204,1744660.000000000000000,1947422.580000000074506,10677935.439999999478459
