代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12126942.250000000000000
真實報酬,2126942.250000000000000

夏普值報酬,0.203994225000000
夏普值風險,0.052529709556964
夏普值,3.883406680152811

預期報酬,16570.928630181799235
風險,159446.888936959730927
趨勢值,0.103927575763071
找到最佳解世代,1746
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),BA[2](8),JPM[13](6),V[25](10),
Stock#,AAPL[0](3),BA[2](8),JPM[13](6),V[25](10),
張數,26150,19250,40231,33706,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,60.000000000000000,2.500000000000000,45.660000000149012,25.979999999981374,
20160701,2507583.500000000000000,2496535.000000000000000,2464596.720000000204891,2510448.860000000335276,9979164.080000001937151
20160705,2484048.500000000000000,2444175.000000000000000,2395801.709999999962747,2516853.000000000000000,9840878.210000000894070
20160706,2498169.500000000000000,2443982.500000000000000,2421549.550000000279397,2496292.339999999850988,9859993.890000000596046
20160707,2508891.000000000000000,2448025.000000000000000,2421549.550000000279397,2496292.339999999850988,9874757.890000000596046
20160708,2528242.000000000000000,2504235.000000000000000,2487528.390000000130385,2575838.500000000000000,10095843.890000000596046
20160711,2536087.000000000000000,2541772.500000000000000,2505230.030000000260770,2579209.099999999627471,10162298.629999998956919
20160712,2547593.000000000000000,2518095.000000000000000,2542644.860000000335276,2611566.860000000335276,10219899.720000000670552
20160713,2533210.500000000000000,2504620.000000000465661,2541035.620000000111759,2610892.739999999757856,10189758.859999999403954
20160714,2583418.500000000000000,2532340.000000000000000,2579657.380000000353903,2633812.819999999832362,10329228.700000001117587
20160715,2583157.000000000000000,2548509.999999999534339,2582071.240000000223517,2639205.779999999795109,10352944.019999999552965
20160718,2610614.500000000000000,2568530.000000000000000,2573220.420000000391155,2639542.839999999850988,10391907.759999999776483
20160719,2611660.500000000000000,2592207.500000000000000,2569197.320000000298023,2653362.299999999813735,10426427.620000001043081
20160720,2614014.000000000000000,2593362.500000000000000,2572013.490000000223517,2674934.140000000130385,10454324.130000000819564
20160721,2600154.500000000000000,2570455.000000000000000,2562358.050000000279397,2655721.720000000204891,10388689.270000001415610
20160722,2580019.000000000000000,2569300.000000000000000,2576438.900000000372529,2693472.439999999944121,10419230.339999999850988
20160725,2545501.000000000000000,2559097.500000000000000,2569599.629999999888241,2660777.620000000111759,10334975.750000000000000
20160726,2527980.500000000000000,2595865.000000000000000,2580059.689999999944121,2645609.919999999925494,10349515.109999999403954
