代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11849233.730000000447035
真實報酬,1849233.730000000447035

夏普值報酬,0.176223373000000
夏普值風險,0.048305907167194
夏普值,3.648070874439094

預期報酬,14825.795972962017913
風險,266930.946732363663614
趨勢值,0.055541690292759
找到最佳解世代,1914
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](4),CSCO[4](3),MCD[15](1),
Stock#,AAPL[0](4),CSCO[4](3),MCD[15](1),
張數,69516,213538,39531,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,40.799999999813735,4.820000000298023,79.080000000074506,
20110701,3409105.439999999944121,3386717.500000000000000,3385909.230000000447035,10181733.169999999925494
20110705,3470279.520000000018626,3346145.280000000260770,3385513.919999999925494,10201939.720000000670552
20110706,3493219.799999999813735,3322656.100000000558794,3394210.740000000223517,10210087.640000000596046
20110707,3547442.279999999795109,3395259.020000000484288,3402116.939999999944121,10344819.240000000223517
20110708,3572468.040000000037253,3361092.940000000409782,3383932.679999999701977,10317494.660000000149012
20110711,3515464.919999999925494,3294896.160000000149012,3374049.929999999701977,10184412.009999999776483
20110712,3513379.439999999944121,3331197.620000000111759,3359818.770000000018626,10204396.830000000074506
20110713,3555784.199999999720603,3324791.480000000447035,3358632.839999999850988,10239209.519999999552965
20110714,3553003.559999999590218,3294896.160000000149012,3392234.189999999944121,10240134.910000000149012
20110715,3623909.879999999888241,3329062.240000000223517,3379188.960000000428408,10332162.080000000074506
20110718,3712195.199999999720603,3297031.540000000037253,3376026.480000000447035,10385254.220000000670552
20110719,3742782.240000000223517,3344009.900000000372529,3408046.589999999850988,10494839.730000000447035
20110720,3842190.120000000111759,3378175.980000000447035,3410418.449999999720603,10630785.550000000745058
20110721,3846361.079999999608845,3491351.120000000577420,3421091.820000000298023,10758805.019999999552965
20110722,3906144.839999999850988,3514840.300000000279397,3500944.439999999944121,10921930.580000000074506
20110725,3957586.679999999701977,3476403.460000000428408,3483550.800000000279397,10917541.940000001341105
20110726,4006247.879999999888241,3478538.840000000316650,3479597.699999999720603,10964385.419999999925494
20110727,3898498.079999999608845,3350416.040000000037253,3442833.870000000111759,10691748.989999998360872
20110728,3890851.319999999832362,3418748.200000000651926,3430579.260000000242144,10740179.780000001192093
20110729,3877643.279999999795109,3410206.680000000633299,3418719.960000000428408,10706570.920000001788139
20110801,3940207.679999999701977,3380311.360000000335276,3415162.169999999925494,10735682.210000000894070
20110802,3862349.759999999776483,3301302.300000000279397,3362585.939999999944121,10526239.000000000000000
20110803,3898498.079999999608845,3307708.440000000409782,3381560.820000000298023,10587768.339999999850988
20110804,3747648.359999999403954,3164637.980000000447035,3331751.760000000242144,10244039.099999999627471
20110805,3710109.719999999739230,3190262.540000000037253,3363376.560000000055879,10263749.820000000298023
20110808,3507818.159999999683350,2976724.540000000037253,3245969.490000000223517,9730513.189999999478459
20110809,3714280.679999999701977,3002349.100000000558794,3398163.839999999850988,10114794.620000001043081
20110810,3612092.159999999683350,2931881.560000000521541,3323845.560000000055879,9867820.280000001192093
20110811,3711500.040000000037253,3399529.780000000260770,3410813.760000000242144,10521844.580000000074506
20110812,3744172.559999999590218,3414477.440000000409782,3419510.580000000074506,10578161.580000000074506
20110815,3807432.120000000111759,3423018.960000000428408,3432160.500000000000000,10662612.580000000074506
20110816,3778235.399999999906868,3416612.820000000298023,3426230.850000000093132,10621080.070000000298023
20110817,3778235.399999999906868,3384582.120000000111759,3459041.580000000074506,10621860.099999999627471
20110818,3635032.439999999944121,3205210.200000000186265,3384327.990000000223517,10224571.630000000819564
20110819,3535624.559999999590218,3220157.860000000335276,3448368.210000000428408,10204151.630000000819564
20110822,3539795.520000000018626,3205210.200000000186265,3469319.640000000130385,10214326.360000001266599
20110823,3710109.719999999739230,3297031.540000000037253,3539289.510000000242144,10546431.769999999552965
20110824,3735830.640000000130385,3301302.300000000279397,3563008.109999999869615,10600142.050000000745058
20110825,3711500.040000000037253,3220157.860000000335276,3506874.089999999850988,10438532.990000000223517
20110826,3809517.599999999627471,3271406.980000000447035,3555101.910000000149012,10636027.490000000223517
20110829,3872777.159999999683350,3361092.940000000409782,3589098.570000000298023,10822969.669999999925494
20110830,3872777.159999999683350,3337603.760000000242144,3588703.260000000242144,10799085.179999999701977
20110831,3822030.479999999515712,3346145.280000000260770,3574076.790000000037253,10742253.550000000745058
20110901,3783796.679999999701977,3378175.980000000447035,3560636.250000000000000,10722609.910000000149012
20110902,3714975.839999999850988,3290625.400000000372529,3521895.870000000111759,10527498.109999999403954
20110906,3771283.799999999813735,3262865.459999999962747,3511222.500000000000000,10545372.759999999776483
20110907,3812993.399999999906868,3390988.260000000242144,3529802.070000000298023,10733784.730000000447035
20110908,3815078.879999999888241,3478538.840000000316650,3502920.990000000223517,10796539.710000000894070
20110909,3749038.679999999701977,3378175.980000000447035,3361400.010000000242144,10488615.669999999925494
20110912,3773369.279999999795109,3435831.240000000223517,3407255.970000000204891,10616457.490000000223517
20110913,3819945.000000000000000,3491351.120000000577420,3404488.800000000279397,10715785.920000001788139
20110914,3865825.559999999590218,3487080.359999999869615,3429393.330000000074506,10782300.250000000000000
20110915,3902669.040000000037253,3559683.280000000726432,3481574.250000000000000,10943927.570000000298023
20110916,3977051.159999999683350,3549006.380000000353903,3490271.070000000298023,11016329.609999999403954
20110919,4087581.599999999627471,3525517.200000000651926,3510827.189999999944121,11123926.990000000223517
20110920,4105655.759999999776483,3529787.960000000428408,3530592.689999999944121,11166037.410000000149012
20110921,4093142.879999999888241,3382446.740000000223517,3459832.199999999720603,10935422.820000000298023
20110922,3990259.199999999720603,3273542.360000000335276,3399349.770000000018626,10663152.330000000074506
20110923,4015284.959999999497086,3333333.000000000000000,3453902.550000000279397,10802521.509999999776483
20110926,4004162.399999999906868,3414477.440000000409782,3531778.620000000111759,10950419.460000000894070
20110927,3965233.439999999944121,3431560.480000000447035,3547591.020000000018626,10944385.939999999478459
20110928,3942988.319999999832362,3382446.740000000223517,3479993.010000000242144,10805429.070000000298023
20110929,3879033.599999999627471,3384582.120000000111759,3509641.260000000242144,10773257.980000000447035
20110930,3786577.319999999832362,3309843.820000000298023,3471691.500000000000000,10568113.640000000596046
20111003,3719841.959999999497086,3243647.040000000037253,3400535.699999999720603,10364025.699999999254942
20111004,3698987.159999999683350,3326926.860000000335276,3418719.960000000428408,10444634.980000000447035
20111005,3756685.439999999944121,3450778.900000000372529,3393024.810000000055879,10600490.150000000372529
20111006,3747648.359999999403954,3576766.320000000298023,3443624.490000000223517,10768040.169999999925494
20111007,3672571.079999999608845,3557547.900000000372529,3447182.280000000260770,10677302.260000001639128
20111010,3860959.439999999944121,3649369.240000000223517,3498967.890000000130385,11009297.570000000298023
20111011,3974965.679999999701977,3628015.439999999944121,3531778.620000000111759,11134760.739999998360872
20111012,3994430.159999999683350,3683535.320000000298023,3493038.240000000223517,11171004.720000000670552
20111013,4056299.399999999906868,3719836.780000000726432,3530592.689999999944121,11306729.870000001043081
20111014,4191160.439999999944121,3747596.720000000670552,3555497.220000000204891,11494255.380000000819564
20111017,4171000.799999999813735,3666452.280000000726432,3504897.540000000037253,11342351.620000001043081
20111018,4193245.919999999925494,3739055.200000000651926,3543637.919999999925494,11475940.040000000968575
20111019,3958977.000000000000000,3664316.900000000372529,3542847.300000000279397,11166142.200000001117587
20111020,3925609.319999999832362,3670723.040000000502914,3518733.390000000130385,11115066.750000000000000
20111021,3901278.719999999739230,3711295.260000000242144,3649581.000000000000000,11262155.980000000447035
20111024,4029883.319999999832362,3745461.340000000316650,3637326.390000000130385,11412672.050000000745058
20111025,3949939.919999999925494,3762544.380000000353903,3627838.949999999720603,11340324.250000000000000
20111026,3978441.479999999515712,3760409.000000000000000,3628234.260000000242144,11367085.740000000223517
20111027,4018760.759999999776483,3937645.540000000502914,3696622.890000000130385,11653030.190000001341105
20111028,4021541.399999999906868,3963270.100000000093132,3687926.070000000298023,11672738.570000000298023
20111031,4020151.079999999608845,3956863.960000000428408,3670532.429999999701977,11647548.469999998807907
20111101,3937427.040000000037253,3756138.240000000223517,3633373.290000000037253,11326939.570000000298023
20111102,3946464.120000000111759,3811658.120000000577420,3657882.510000000242144,11416005.750000000000000
20111103,4002772.079999999608845,3882125.660000000149012,3676462.080000000074506,11561360.820000000298023
20111104,3974965.679999999701977,3850094.960000000428408,3708482.189999999944121,11533543.830000000074506
20111107,3969404.399999999906868,3845824.200000000651926,3740502.300000000279397,11555731.900000000372529
20111108,4034054.279999999795109,3909885.600000000093132,3739711.679999999701977,11683652.559999998658895
20111109,3925609.319999999832362,3760409.000000000000000,3662626.230000000447035,11348645.550000000745058
20111110,3825506.279999999795109,3973947.000000000000000,3686740.140000000130385,11486194.419999999925494
20111111,3819945.000000000000000,4061497.580000000074506,3746036.640000000130385,11627480.220000000670552
20111114,3766417.679999999701977,4044414.540000000502914,3718364.939999999944121,11529198.160000000149012
20111115,3861654.599999999627471,4082851.380000000353903,3734572.649999999906868,11679079.630000000819564
20111116,3821335.319999999832362,4014519.220000000670552,3682391.730000000447035,11518247.270000001415610
20111117,3748343.520000000018626,3946187.060000000521541,3648395.070000000298023,11342926.650000000372529
20111118,3723317.759999999776483,3933374.780000000726432,3666184.020000000018626,11322877.560000000521541
20111121,3664924.319999999832362,3843688.820000000298023,3647999.760000000242144,11156613.900000000372529
20111122,3739306.439999999944121,3826605.780000000726432,3662626.230000000447035,11228539.450000001117587
20111123,3644764.679999999701977,3717701.400000000372529,3631792.050000000279397,10994259.130000000819564
20111125,3610701.839999999850988,3736919.820000000298023,3640884.179999999701977,10988506.839999999850988
