代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15547723.169999999925494
真實報酬,5547723.169999999925494

夏普值報酬,0.546072317000000
夏普值風險,0.116664144162974
夏普值,4.680721064024308

二次趨勢線,-25.763466755681705 x^2 + 28148.352980832580215 x + 10000000.000000000000000
二次平均預期報酬,21655.959358400788915
風險,244754.513033389201155
二次平均趨勢值,0.088480327042821
一次趨勢線,23288.738271397993230 x + 10000000.000000000000000
一次預期報酬,23288.738271397993230
一次風險,305228.833620057441294
一次趨勢值,0.076299273548931
找到最佳解世代,2169
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),DIS[6](1),HD[9](2),KO[14](9),VZ[26](5),WMT[28](4),
Stock#,AAPL[0](6),DIS[6](1),HD[9](2),KO[14](9),VZ[26](5),WMT[28](4),
張數,31146,57471,52759,50952,45863,32075,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,43.540000000037253,7.000000000000000,9.189999999944121,26.079999999841675,4.579999999841675,49.000000000000000,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1657322.199999999953434,1716091.060000000055879,1713093.919999999925494,1662080.319999999599531,1669417.779999999795109,1696175.000000000000000,10114184.279999999329448
FS( 3 ),1683173.380000000121072,1810918.210000000195578,1732087.159999999916181,1669723.120000000111759,1640524.090000000083819,1688797.750000000000000,10225227.710000000894070
FS( 4 ),1679124.399999999906868,1840803.130000000121072,1761104.610000000102445,1666156.479999999981374,1646944.909999999683350,1692005.250000000000000,10286142.780000001192093
FS( 5 ),1645486.719999999972060,1821837.699999999953434,1789594.469999999972060,1678894.479999999981374,1658410.659999999683350,1722476.500000000000000,10316704.529999999329448
FS( 6 ),1729892.380000000121072,1896550.000000000000000,1828636.129999999655411,1704370.479999999981374,1692349.279999999795109,1758079.750000000000000,10609882.019999999552965
