代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13471069.950000002980232
真實報酬,3471069.950000002980232

夏普值報酬,0.338406995000000
夏普值風險,0.090200931388082
夏普值,3.751701781703699

二次趨勢線,5.020693330404316 x^2 + 13431.961261014968841 x + 10000000.000000000000000
二次平均預期報酬,14702.196673607255434
風險,145413.591337555844802
二次平均趨勢值,0.101106069510919
一次趨勢線,14382.751332222669589 x + 10000000.000000000000000
一次預期報酬,14382.751332222669589
一次風險,149761.198743674729485
一次趨勢值,0.096037902025875
找到最佳解世代,1747
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
DIS[6](1),DD[7](2),INTC[11](3),JNJ[12](7),MRK[17](10),MSFT[18](4),
Stock#,DIS[6](1),DD[7](2),INTC[11](3),JNJ[12](7),MRK[17](10),MSFT[18](4),
張數,25708,30547,73003,19054,34195,49632,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,16.360000000102445,21.679999999934807,7.510000000009313,12.620000000111759,1.699999999953434,23.440000000176951,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1667951.399999999906868,1683466.849999999860302,1671046.179999999934807,1663236.280000000260770,1654013.849999999860302,1683540.880000000353903,10023259.439999999478459
FS( 3 ),1645842.520000000018626,1686521.550000000046566,1649875.310000000055879,1649707.940000000176951,1653671.899999999906868,1680562.960000000195578,9966186.180000001564622
FS( 4 ),1678748.760000000009313,1739673.330000000074506,1665205.939999999944121,1663617.360000000102445,1649226.549999999813735,1681555.600000000325963,10078031.539999999105930
FS( 5 ),1660496.080000000074506,1711875.559999999823049,1666666.000000000000000,1649898.480000000214204,1637600.250000000000000,1652769.040000000037253,9979309.410000000149012
FS( 6 ),1645328.360000000102445,1675830.099999999860302,1641114.949999999953434,1631225.560000000055879,1632812.949999999953434,1638375.760000000009313,9864691.680000001564622
FS( 7 ),1634788.080000000074506,1693241.889999999897555,1649145.280000000027940,1637894.459999999962747,1616399.350000000093132,1641353.680000000167638,9872826.740000000223517
FS( 8 ),1685947.000000000000000,1757390.590000000083819,1686376.810000000055879,1672572.740000000223517,1623922.250000000000000,1675599.760000000009313,10101813.150000000372529
FS( 9 ),1702143.040000000037253,1786715.709999999962747,1698057.290000000037253,1704392.920000000158325,1617083.250000000000000,1693963.600000000325963,10202359.810000000521541
FS( 10 ),1718082.000000000000000,1775718.790000000037253,1711927.859999999869615,1711061.820000000065193,1598617.949999999953434,1709845.840000000316650,10225258.259999999776483
FS( 11 ),1708055.880000000121072,1758917.939999999944121,1707547.679999999934807,1713538.840000000316650,1592462.849999999860302,1711831.120000000344589,10192358.310000000521541
FS( 12 ),1705742.159999999916181,1789159.469999999972060,1730178.609999999869615,1736022.560000000055879,1612979.850000000093132,1719275.920000000158325,10293362.570000000298023
FS( 13 ),1707541.720000000204891,1800461.859999999869615,1746239.270000000018626,1752409.000000000000000,1610928.149999999906868,1733172.880000000353903,10350756.880000000819564
FS( 14 ),1726308.560000000288710,1797101.689999999944121,1743319.149999999906868,1745930.640000000130385,1593830.649999999906868,1735158.160000000149012,10341652.850000001490116
FS( 15 ),1738134.239999999990687,1799239.979999999981374,1762299.929999999934807,1737737.420000000158325,1590411.149999999906868,1736647.120000000344589,10364473.839999999850988
FS( 16 ),1773868.360000000102445,1807487.669999999925494,1757189.719999999972060,1759840.060000000055879,1589043.349999999860302,1716298.000000000000000,10403731.160000000149012
FS( 17 ),1751245.320000000298023,1785188.359999999869615,1733098.729999999981374,1754886.020000000018626,1592120.900000000139698,1675599.760000000009313,10292143.089999999850988
FS( 18 ),1775153.760000000009313,1767165.629999999888241,1736018.850000000093132,1759649.520000000018626,1580494.599999999860302,1673614.480000000214204,10292100.839999999850988
FS( 19 ),1780552.440000000176951,1719206.840000000083819,1769600.229999999981374,1754695.480000000214204,1591437.000000000000000,1773374.800000000046566,10388870.790000000968575
FS( 20 ),1773868.360000000102445,1701489.580000000074506,1778360.590000000083819,1760411.680000000167638,1550744.949999999953434,1765433.680000000167638,10330312.839999999850988
FS( 21 ),1771811.720000000204891,1716457.609999999869615,1790041.070000000065193,1774702.180000000167638,1558609.799999999813735,1762952.080000000307336,10374578.459999999031425
FS( 22 ),1760243.120000000111759,1707904.449999999720603,1788581.010000000009313,1768033.280000000260770,1546983.500000000000000,1763944.720000000204891,10335694.080000000074506
FS( 23 ),1763328.080000000074506,1717068.550000000046566,1786390.919999999925494,1764603.560000000055879,1541854.250000000000000,1757492.560000000055879,10330741.919999999925494
FS( 24 ),1774125.440000000176951,1694463.769999999785796,1776170.500000000000000,1779084.600000000093132,1546641.549999999813735,1763448.400000000139698,10333938.259999999776483
FS( 25 ),1768983.840000000083819,1670637.109999999869615,1771060.290000000037253,1772606.240000000223517,1563397.099999999860302,1783797.520000000018626,10330486.099999999627471
FS( 26 ),1770012.159999999916181,1684383.260000000009313,1754269.600000000093132,1768414.360000000102445,1551086.899999999906868,1818539.920000000158325,10346710.199999999254942
FS( 27 ),1773868.360000000102445,1707904.449999999720603,1770330.260000000009313,1772796.780000000260770,1571603.899999999906868,1894973.200000000186265,10491480.949999999254942
FS( 28 ),1726308.560000000288710,1682244.969999999972060,1756459.689999999944121,1766127.880000000121072,1566816.599999999860302,1861223.440000000176951,10359185.140000000596046
FS( 29 ),1763071.000000000000000,1725621.709999999962747,1758649.780000000027940,1792041.320000000065193,1600327.699999999953434,1875120.400000000139698,10514835.910000000149012
FS( 30 ),1756901.080000000074506,1725316.239999999757856,1764490.020000000018626,1796614.280000000260770,1607166.699999999953434,1865690.320000000298023,10516182.640000000596046
FS( 31 ),1742247.520000000018626,1711264.620000000111759,1783470.800000000046566,1782704.860000000102445,1627341.750000000000000,1854274.960000000195578,10501308.510000001639128
FS( 32 ),1773097.120000000111759,1722567.010000000009313,1795881.310000000055879,1778512.980000000214204,1618793.000000000000000,1893980.560000000055879,10582835.980000000447035
FS( 33 ),1800090.520000000018626,1744560.849999999860302,1780550.679999999934807,1789564.300000000046566,1635206.599999999860302,1887032.080000000307336,10637009.029999999329448
FS( 34 ),1799576.360000000102445,1750059.309999999823049,1790041.070000000065193,1798519.680000000167638,1643755.349999999860302,1878098.320000000298023,10660054.089999999850988
FS( 35 ),1786722.360000000102445,1734480.340000000083819,1795881.310000000055879,1796804.820000000065193,1641703.649999999906868,1846333.840000000316650,10601930.320000000298023
FS( 36 ),1776953.320000000298023,1727149.059999999823049,1803181.609999999869615,1807475.060000000055879,1643755.349999999860302,1823503.120000000344589,10582021.520000001415610
FS( 37 ),1779781.200000000186265,1707904.449999999720603,1792961.189999999944121,1813000.720000000204891,1645807.050000000046566,1840378.000000000000000,10579836.610000001266599
FS( 38 ),1798033.880000000121072,1724094.359999999869615,1841873.199999999953434,1813953.420000000158325,1662562.599999999860302,1856260.239999999990687,10696781.700000001117587
FS( 39 ),1804717.960000000195578,1725316.239999999757856,1742589.120000000111759,1814906.120000000111759,1673504.999999999767169,1864697.680000000167638,10625736.119999999180436
FS( 40 ),1792892.280000000027940,1696907.529999999795109,1733828.760000000009313,1822146.640000000130385,1698125.399999999906868,1868171.920000000158325,10612076.529999999329448
FS( 41 ),1829911.800000000279397,1687437.959999999962747,1726528.459999999962747,1811285.860000000102445,1695389.799999999813735,1853778.640000000363216,10604336.520000001415610
FS( 42 ),1819371.520000000018626,1700878.639999999897555,1744779.209999999962747,1809761.540000000270084,1703938.549999999813735,1866186.640000000363216,10644920.100000001490116
FS( 43 ),1813458.680000000167638,1699351.290000000037253,1740399.030000000027940,1803664.260000000009313,1703938.549999999813735,1892491.600000000325963,10653307.409999998286366
FS( 44 ),1822970.640000000130385,1739367.859999999869615,1730178.609999999869615,1796423.740000000223517,1715906.800000000046566,1908373.840000000316650,10713225.490000000223517
FS( 45 ),1797005.560000000288710,1684383.260000000009313,1719228.160000000149012,1790517.000000000000000,1701544.899999999906868,1901425.360000000335276,10594108.240000002086163
FS( 46 ),1798805.120000000111759,1691714.540000000037253,1733098.729999999981374,1784038.640000000130385,1686157.150000000139698,1932693.520000000018626,10626511.700000001117587
FS( 47 ),1805489.200000000186265,1679495.739999999757856,1771060.290000000037253,1771463.000000000000000,1669059.650000000139698,1886039.440000000176951,10582611.320000000298023
FS( 48 ),1837110.040000000037253,1708209.919999999925494,1811941.969999999972060,1799472.380000000121072,1688892.750000000000000,1903906.960000000195578,10749538.019999999552965
FS( 49 ),1828112.239999999990687,1774802.379999999888241,1819972.300000000046566,1799472.380000000121072,1694705.900000000139698,1921278.160000000149012,10838347.359999999403954
FS( 50 ),1839937.919999999925494,1817568.179999999934807,1811941.969999999972060,1793756.180000000167638,1690260.550000000046566,1891498.960000000195578,10844967.760000001639128
FS( 51 ),1812944.520000000018626,1785799.300000000046566,1782740.770000000018626,1774130.560000000055879,1673846.949999999953434,1866682.960000000195578,10696149.060000000521541
FS( 52 ),1790064.399999999906868,1773275.029999999795109,1786390.919999999925494,1736975.260000000009313,1652304.099999999860302,1847326.480000000214204,10586340.189999999478459
FS( 53 ),1789807.320000000298023,1806265.790000000037253,1773250.379999999888241,1740595.520000000018626,1654355.800000000046566,1821021.520000000018626,10585300.330000000074506
FS( 54 ),1812687.440000000176951,1809625.959999999962747,1784930.859999999869615,1740976.600000000093132,1644439.250000000000000,1830451.600000000325963,10623115.709999999031425
FS( 55 ),1816543.640000000130385,1835896.379999999888241,1800261.489999999990687,1727448.260000000009313,1637942.199999999953434,1812584.080000000307336,10630680.049999998882413
FS( 56 ),1856133.960000000195578,1892713.800000000046566,1836032.959999999962747,1765175.180000000167638,1672137.199999999953434,1815562.000000000000000,10837759.099999999627471
FS( 57 ),1875929.120000000111759,1909820.120000000111759,1835302.929999999934807,1752599.540000000270084,1668375.750000000000000,1799183.440000000176951,10841214.900000000372529
FS( 58 ),1861275.560000000288710,1904627.129999999888241,1829462.689999999944121,1754695.480000000214204,1686499.099999999860302,1826481.040000000037253,10863045.000000000000000
FS( 59 ),1883898.600000000093132,1908903.709999999962747,1848443.469999999972060,1753552.240000000223517,1687866.899999999906868,1817547.280000000027940,10900216.199999999254942
FS( 60 ),1898552.159999999916181,1932424.899999999906868,1856473.800000000046566,1754123.860000000102445,1689576.649999999906868,1840378.000000000000000,10971533.369999999180436
FS( 61 ),1918347.320000000298023,1951364.040000000037253,1876184.609999999869615,1763269.780000000260770,1700177.099999999860302,1858245.520000000018626,11067592.370000001043081
FS( 62 ),1911406.159999999916181,1940061.649999999906868,1868884.310000000055879,1759649.520000000018626,1702570.750000000000000,1850800.720000000204891,11033377.109999999403954
FS( 63 ),1959737.200000000186265,1940061.649999999906868,1887135.060000000055879,1758696.820000000065193,1707699.999999999767169,1850800.720000000204891,11104135.450000001117587
FS( 64 ),1964107.560000000288710,1931508.489999999757856,1895165.390000000130385,1745168.480000000214204,1711461.449999999953434,1856756.560000000055879,11104171.929999999701977
FS( 65 ),1960765.520000000018626,1908292.769999999785796,1882754.879999999888241,1734498.240000000223517,1692312.250000000000000,1844348.560000000055879,11022976.220000000670552
FS( 66 ),1956652.239999999990687,1899739.609999999869615,1882024.850000000093132,1750122.520000000018626,1700519.049999999813735,1831940.560000000055879,11021002.830000000074506
FS( 67 ),1949196.919999999925494,1896379.439999999944121,1858663.890000000130385,1759268.440000000176951,1700861.000000000000000,1793227.600000000325963,10957601.290000000968575
FS( 68 ),1962565.080000000074506,1875302.010000000009313,1868154.280000000027940,1796614.280000000260770,1713513.149999999906868,1807124.560000000055879,11023277.360000001266599
FS( 69 ),1933772.120000000111759,1877440.300000000046566,1856473.800000000046566,1794137.260000000009313,1702570.750000000000000,1774863.760000000009313,10939261.990000000223517
FS( 70 ),1925545.560000000288710,1853308.169999999925494,1847713.439999999944121,1804998.040000000270084,1693338.100000000093132,1763448.400000000139698,10888355.710000000894070
FS( 71 ),1938142.480000000214204,1857890.219999999972060,1863774.100000000093132,1805188.580000000074506,1705648.300000000046566,1788760.720000000204891,10959408.400000002235174
FS( 72 ),1883641.520000000018626,1822455.699999999720603,1861584.010000000009313,1800615.620000000111759,1816440.099999999860302,1736150.800000000046566,10920891.750000000000000
FS( 73 ),1913976.960000000195578,1855446.459999999962747,1935317.040000000037253,1804807.500000000000000,1812336.699999999953434,1775856.400000000139698,11097745.060000000521541
FS( 74 ),1909606.600000000093132,1872858.250000000000000,1946997.520000000018626,1806331.820000000065193,1795923.100000000093132,1824495.760000000009313,11156217.050000000745058
FS( 75 ),1907807.040000000037253,1874385.599999999860302,1937507.129999999888241,1803283.180000000167638,1795239.199999999953434,1830947.920000000158325,11149174.069999998435378
FS( 76 ),1901894.200000000186265,1873774.660000000149012,1887135.060000000055879,1811285.860000000102445,1776431.949999999953434,1805635.600000000325963,11056161.330000000074506
FS( 77 ),1907549.960000000195578,1998100.949999999720603,1868154.280000000027940,1791660.240000000223517,1772328.549999999813735,1795212.880000000353903,11133010.860000001266599
FS( 78 ),1936085.840000000083819,1987104.029999999795109,1847713.439999999944121,1797185.899999999906868,1755914.949999999953434,1783301.200000000186265,11107309.359999999403954
FS( 79 ),1922717.680000000167638,1945560.109999999869615,1834572.899999999906868,1767080.580000000074506,1764463.699999999953434,1789753.360000000335276,11024152.329999998211861
FS( 80 ),1869502.120000000111759,1888437.219999999972060,1811211.939999999944121,1726495.560000000055879,1777457.799999999813735,1826977.360000000335276,10900086.000000000000000
FS( 81 ),1857419.360000000102445,1874996.540000000037253,1804641.669999999925494,1713729.380000000121072,1796265.050000000046566,1788264.400000000139698,10835320.400000000372529
FS( 82 ),1873615.399999999906868,1873163.719999999972060,1817782.209999999962747,1716778.020000000018626,1807891.349999999860302,1800176.080000000307336,10889410.779999999329448
FS( 83 ),1833768.000000000000000,1945865.580000000074506,1801721.550000000046566,1693913.220000000204891,1785322.649999999906868,1819532.560000000055879,10880127.560000000521541
FS( 84 ),1882356.120000000111759,1971219.590000000083819,1806101.729999999981374,1705345.620000000111759,1829776.149999999906868,1829458.960000000195578,11024262.169999999925494
FS( 85 ),1866674.239999999990687,1979772.750000000000000,1791501.129999999888241,1685720.000000000000000,1811310.849999999860302,1878098.320000000298023,11013081.290000000968575
FS( 86 ),1799319.280000000027940,1944032.760000000009313,1748429.359999999869615,1653518.740000000223517,1780877.299999999813735,1810598.800000000046566,10736780.240000002086163
FS( 87 ),1826569.760000000009313,1955946.090000000083819,1738938.969999999972060,1650470.100000000093132,1829776.149999999906868,1804146.640000000363216,10805851.710000000894070
FS( 88 ),1844822.440000000176951,1951058.569999999832362,1717038.070000000065193,1663045.740000000223517,1830460.050000000046566,1777841.680000000167638,10784270.550000000745058
FS( 89 ),1942512.840000000083819,1983132.919999999925494,1751349.479999999981374,1691055.120000000111759,1838666.850000000093132,1795709.200000000186265,11002430.410000000149012
FS( 90 ),1945340.720000000204891,1983743.859999999869615,1767410.140000000130385,1715634.780000000260770,1872861.850000000093132,1814569.360000000335276,11099564.710000000894070
FS( 91 ),1981074.840000000083819,1994129.840000000083819,1773250.379999999888241,1735260.399999999906868,1876965.250000000000000,1826481.040000000037253,11187165.750000000000000
FS( 92 ),1999841.680000000167638,2037506.580000000074506,1786390.919999999925494,1771463.000000000000000,1904663.199999999953434,1844844.880000000353903,11344714.259999999776483
FS( 93 ),2002926.640000000130385,2017345.560000000055879,1792231.160000000149012,1760983.300000000046566,1880726.699999999953434,1859734.480000000214204,11313951.839999999850988
FS( 94 ),2002669.560000000288710,2014290.859999999869615,1803181.609999999869615,1763650.860000000102445,1884146.199999999953434,1866682.960000000195578,11334626.050000000745058
FS( 95 ),2036861.200000000186265,2032008.119999999878928,1807561.790000000037253,1767461.660000000149012,1895772.499999999767169,1867179.280000000027940,11406848.549999998882413
FS( 96 ),2045859.000000000000000,2035062.820000000065193,1807561.790000000037253,1756219.800000000046566,1904321.249999999767169,1857252.880000000353903,11406281.540000000968575
FS( 97 ),2027606.320000000298023,2020094.789999999804422,1788581.010000000009313,1746121.180000000167638,1882094.500000000000000,1861719.760000000009313,11326221.560000000521541
FS( 98 ),2035832.880000000121072,2050641.789999999804422,1806101.729999999981374,1760221.140000000130385,1908424.650000000139698,1873631.440000000176951,11434857.630000000819564
FS( 99 ),2059998.399999999906868,2043005.039999999804422,1782740.770000000018626,1743834.699999999953434,1915947.550000000046566,1885046.800000000046566,11430577.259999999776483
FS( 100 ),2075423.200000000186265,2042394.099999999860302,1798071.399999999906868,1736022.560000000055879,1921076.800000000046566,1870653.520000000018626,11443645.580000000074506
FS( 101 ),2062055.040000000037253,2054307.429999999934807,1797341.370000000111759,1736022.560000000055879,1911844.149999999906868,1863208.720000000204891,11424783.270000001415610
FS( 102 ),2058713.000000000000000,2080577.849999999860302,1810481.910000000149012,1736022.560000000055879,1924154.350000000093132,1859734.480000000214204,11469688.150000000372529
FS( 103 ),2068996.200000000186265,2110208.439999999478459,1807561.790000000037253,1740786.060000000055879,1937490.399999999906868,1879090.960000000195578,11544137.850000001490116
FS( 104 ),2077479.840000000083819,2119067.070000000298023,1807561.790000000037253,1755267.100000000093132,1948774.750000000000000,1901425.360000000335276,11609579.910000000149012
FS( 105 ),2042774.040000000037253,2107153.740000000223517,1788581.010000000009313,1744596.860000000102445,1929283.600000000093132,1875120.400000000139698,11487513.650000000372529
FS( 106 ),2100617.040000000037253,2151752.359999999403954,1796611.340000000083819,1778512.980000000214204,1951168.400000000139698,1906388.560000000055879,11685054.679999999701977
FS( 107 ),2125553.799999999813735,2171302.439999999478459,1788581.010000000009313,1764222.480000000214204,1945013.300000000046566,1891498.960000000195578,11686175.990000000223517
FS( 108 ),2142521.080000000074506,2165498.509999999776483,1798071.399999999906868,1769938.680000000167638,1958007.399999999906868,1893484.239999999990687,11727525.310000000521541
FS( 109 ),2113471.040000000037253,2153890.650000000372529,1798801.429999999934807,1778131.899999999906868,1965188.349999999860302,1881076.239999999990687,11690563.609999999403954
FS( 110 ),2107301.120000000111759,2167636.799999999813735,1813402.030000000027940,1780608.920000000158325,1960059.099999999860302,1877105.680000000167638,11706117.650000000372529
FS( 111 ),2083649.760000000009313,2142893.730000000447035,1805371.699999999953434,1781371.080000000074506,1938516.249999999767169,1887032.080000000307336,11638838.599999999627471
FS( 112 ),2092133.399999999906868,2132813.219999999739230,1807561.790000000037253,1783467.020000000018626,1942619.650000000139698,1899440.080000000307336,11658039.160000000149012
FS( 113 ),2054856.800000000279397,2120288.950000000186265,1793691.219999999972060,1772034.620000000111759,1907740.750000000000000,1880579.920000000158325,11529196.259999999776483
FS( 114 ),2058455.919999999925494,2116317.839999999850988,1788581.010000000009313,1768414.360000000102445,1904663.199999999953434,1871149.840000000316650,11507586.169999999925494
FS( 115 ),2092390.480000000214204,2131591.339999999850988,1803181.609999999869615,1789754.840000000316650,1923812.399999999906868,1888521.040000000037253,11629255.710000000894070
FS( 116 ),2107815.280000000260770,2160610.990000000223517,1811941.969999999972060,1789945.380000000121072,1927231.899999999906868,1962969.040000000037253,11760518.559999998658895
FS( 117 ),2070024.520000000018626,2158167.230000000447035,1826542.570000000065193,1783276.480000000214204,1914579.750000000000000,1949072.080000000307336,11701666.630000000819564
FS( 118 ),2077479.840000000083819,2185659.530000000260770,1856473.800000000046566,1793375.100000000093132,1900901.750000000000000,2001682.000000000000000,11815576.019999999552965
FS( 119 ),2065654.159999999916181,2184132.179999999701977,1837493.020000000018626,1827862.840000000316650,1869100.399999999906868,1993244.560000000055879,11777491.160000000149012
FS( 120 ),2043545.280000000027940,2181993.890000000596046,1833842.870000000111759,1813953.420000000158325,1839008.800000000046566,2010119.440000000176951,11722467.700000001117587
FS( 121 ),2045087.760000000009313,2203071.320000000298023,1858663.890000000130385,1855491.140000000130385,1887223.749999999767169,2002178.320000000298023,11851720.180000001564622
FS( 122 ),2021179.320000000298023,2150225.009999999776483,1852823.649999999906868,1849203.320000000065193,1915605.600000000093132,1974880.720000000204891,11763921.620000001043081
