代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14854542.539999999105930
真實報酬,4854542.539999999105930

夏普值報酬,0.476754254000000
夏普值風險,0.106543853445872
夏普值,4.474723210965975

二次趨勢線,-52.797770444362094 x^2 + 32305.427647058600996 x + 10000000.000000000000000
二次平均預期報酬,18894.793954190630757
風險,196332.633716088515939
二次平均趨勢值,0.096238682263662
一次趨勢線,22267.290592929562990 x + 10000000.000000000000000
一次預期報酬,22267.290592929562990
一次風險,427461.858027804002631
一次趨勢值,0.052091877145870
找到最佳解世代,2204
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
KO[14](8),MCD[15](19),UNH[23](1),VZ[26](3),WBA[27](5),XOM[29](11),
FS( 24 ),1883824.380000000121072,1766098.340000000083819,1969476.639999999664724,1863116.099999999860302,1788401.000000000000000,1846550.510000000009313,11117470.969999998807907
FS( 25 ),1877829.209999999962747,1760102.420000000158325,1999997.080000000074506,1872621.750000000000000,1768948.500000000000000,1846256.100000000093132,11125759.060000000521541
FS( 26 ),1890485.679999999934807,1792330.489999999990687,2001792.400000000139698,1872621.750000000000000,1757026.000000000000000,1824469.760000000009313,11138730.080000000074506
FS( 27 ),1902476.020000000018626,1821810.430000000167638,2004186.159999999916181,1892266.760000000009313,1778988.500000000000000,1838601.440000000176951,11238333.310000000521541
FS( 28 ),1897813.109999999869615,1819811.790000000037253,1994611.119999999646097,1902406.119999999878928,1770831.000000000000000,1823292.119999999878928,11208769.259999999776483
FS( 29 ),1866505.000000000000000,1788083.379999999888241,1914420.159999999683350,1873255.459999999962747,1740083.500000000000000,1777952.979999999981374,10960304.480000000447035
FS( 30 ),1855180.790000000037253,1800325.050000000046566,1922798.320000000065193,1921417.419999999925494,1758908.500000000000000,1773242.419999999925494,11031876.500000000000000
FS( 31 ),1856513.050000000046566,1796077.940000000176951,1916813.919999999925494,1903039.830000000074506,1767693.500000000000000,1763821.299999999813735,11003963.539999999105930
FS( 32 ),1861175.959999999962747,1793579.640000000130385,1909034.199999999720603,1898603.860000000102445,1768948.500000000000000,1762938.070000000065193,10994284.230000000447035
FS( 33 ),1869169.520000000018626,1829305.330000000074506,1935964.000000000000000,1911911.770000000018626,1770831.000000000000000,1790612.610000000102445,11107798.229999998584390
FS( 34 ),1859843.700000000186265,1830054.820000000065193,1947334.359999999869615,1910644.349999999860302,1770203.500000000000000,1770887.139999999897555,11088971.870000001043081
FS( 35 ),1841192.060000000055879,1823059.580000000074506,1902451.359999999869615,1877057.719999999972060,1767066.000000000000000,1745567.879999999888241,10956398.599999997764826
FS( 36 ),1841858.189999999944121,1825807.709999999962747,1891679.439999999711290,1861214.969999999972060,1785263.500000000000000,1733791.479999999981374,10939619.289999999105930
FS( 37 ),1851850.140000000130385,1832303.290000000037253,1885096.599999999860302,1863749.810000000055879,1787146.000000000000000,1751750.489999999990687,10971900.330000000074506
FS( 38 ),1853848.529999999795109,1816813.830000000074506,1857568.359999999869615,1867552.069999999832362,1753888.500000000000000,1735263.530000000027940,10884938.819999998435378
FS( 39 ),1845188.839999999850988,1828555.840000000083819,1912624.839999999850988,1879592.560000000055879,1725651.000000000000000,1734380.299999999813735,10925997.379999998956919
FS( 40 ),1837195.279999999795109,1827806.350000000093132,1906042.000000000000000,1869453.199999999953434,1703061.000000000000000,1721720.669999999925494,10865282.500000000000000
FS( 41 ),1870501.779999999795109,1848542.239999999990687,1937160.879999999655411,1890999.339999999850988,1714356.000000000000000,1760582.789999999804422,11022147.029999997466803
FS( 42 ),1850517.880000000121072,1817313.489999999990687,1909632.639999999897555,1865650.939999999944121,1706198.500000000000000,1737029.989999999990687,10886347.439999999478459
FS( 43 ),1861175.959999999962747,1825308.050000000046566,1898262.279999999795109,1871354.330000000074506,1686746.000000000000000,1740268.500000000000000,10883119.119999999180436
FS( 44 ),1909137.320000000065193,1862282.890000000130385,1950326.560000000055879,1917615.160000000149012,1737573.500000000000000,1793262.299999999813735,11170201.730000000447035
FS( 45 ),1911135.709999999962747,1874274.729999999981374,1966484.439999999711290,1908109.510000000009313,1775851.000000000000000,1797678.449999999953434,11233537.839999999850988
FS( 46 ),1917130.880000000121072,1876023.540000000037253,2029320.639999999664724,1913812.899999999906868,1775851.000000000000000,1805333.110000000102445,11317476.069999998435378
FS( 47 ),1919795.399999999906868,1893761.469999999972060,2021540.919999999925494,1915080.319999999832362,1787773.500000000000000,1782663.539999999804422,11320619.149999998509884
FS( 48 ),1926456.700000000186265,1900756.709999999962747,2025730.000000000000000,1930289.360000000102445,1799068.500000000000000,1788551.739999999990687,11370857.009999999776483
FS( 49 ),1941777.689999999944121,1858035.780000000260770,2035903.479999999981374,1954370.339999999850988,1802206.000000000000000,1797384.039999999804422,11389681.329999998211861
FS( 50 ),1949105.120000000111759,1874024.900000000139698,2064030.159999999916181,1953102.919999999925494,1817266.000000000000000,1801800.190000000176951,11459333.290000000968575
FS( 51 ),1933118.000000000000000,1863032.379999999888241,2077794.279999999795109,1958172.599999999860302,1823541.000000000000000,1795911.989999999990687,11451574.250000000000000
FS( 52 ),1918463.140000000130385,1847293.090000000083819,2071211.439999999711290,1958806.310000000055879,1833581.000000000000000,1796206.399999999906868,11425565.380000000819564
FS( 53 ),1912467.969999999972060,1866530.000000000000000,2050864.479999999981374,1976550.189999999944121,1832953.500000000000000,1795911.989999999990687,11435282.129999998956919
FS( 54 ),1915798.620000000111759,1868778.469999999972060,2049069.159999999916181,1991125.520000000018626,1827306.000000000000000,1795028.760000000009313,11447110.529999999329448
FS( 55 ),1917130.880000000121072,1856786.629999999888241,2042486.320000000065193,2007601.979999999981374,1832953.500000000000000,1789434.969999999972060,11446398.280000001192093
FS( 56 ),1931119.609999999869615,1876523.199999999953434,2090361.519999999785796,2033584.090000000083819,1834836.000000000000000,1812104.539999999804422,11578532.959999997168779
FS( 57 ),1935782.520000000018626,1886516.400000000139698,2110110.040000000037253,2048159.419999999925494,1864956.000000000000000,1811810.129999999888241,11657338.509999997913837
FS( 58 ),1939779.300000000046566,1877022.859999999869615,2135244.519999999552965,2052595.389999999897555,1869348.500000000000000,1809160.440000000176951,11683155.009999999776483
FS( 59 ),1927788.959999999962747,1864781.190000000176951,2120881.959999999962747,2038653.770000000018626,1851778.500000000000000,1800328.139999999897555,11604216.520000001415610
FS( 60 ),1952435.770000000018626,1876273.369999999878928,2138236.719999999739230,2068438.139999999897555,1905116.000000000000000,1817992.739999999990687,11758496.740000000223517
FS( 61 ),1951769.640000000130385,1867779.150000000139698,2115496.000000000000000,2082379.760000000009313,1904488.500000000000000,1816815.100000000093132,11738732.150000000372529
FS( 62 ),1968422.890000000130385,1864531.359999999869615,2096944.359999999869615,2073507.819999999832362,2121603.500000000000000,1827119.449999999953434,11952133.379999998956919
FS( 63 ),1957098.679999999934807,1860034.420000000158325,2106519.400000000372529,2069705.559999999823049,2110308.500000000000000,1813282.180000000167638,11916952.739999998360872
FS( 64 ),1949105.120000000111759,1861533.400000000139698,2101133.439999999478459,2065269.590000000083819,2102151.000000000000000,1819170.379999999888241,11898366.929999999701977
FS( 65 ),1969089.020000000018626,1871776.430000000167638,2120283.519999999552965,2084280.889999999897555,2113446.000000000000000,1841251.129999999888241,12000130.989999998360872
FS( 66 ),1961095.459999999962747,1872525.920000000158325,2067022.359999999869615,2093152.830000000074506,2077678.500000000000000,1830946.780000000027940,11902425.849999999627471
FS( 67 ),1987074.529999999795109,1894261.129999999888241,2098739.679999999701977,2127373.169999999925494,2132271.000000000000000,1862448.649999999906868,12102172.160000000149012
FS( 68 ),1990405.179999999934807,1883768.270000000251457,2037698.799999999580905,2107094.450000000186265,2135408.500000000000000,1875991.510000000009313,12030370.709999999031425
FS( 69 ),1979747.099999999860302,1895260.449999999953434,2055053.560000000055879,2086815.729999999981374,2125368.500000000000000,1879818.840000000083819,12022068.179999999701977
FS( 70 ),1979080.969999999972060,1901256.369999999878928,2055652.000000000000000,2080478.629999999888241,2132271.000000000000000,1895422.569999999832362,12044165.539999999105930
FS( 71 ),1983743.880000000121072,1888515.040000000037253,2073605.199999999720603,2093152.830000000074506,2117838.500000000000000,1900427.539999999804422,12057286.989999998360872
FS( 72 ),1985076.140000000130385,1888265.209999999962747,2095747.479999999981374,2062101.039999999804422,2136036.000000000000000,1904843.690000000176951,12072073.560000000521541
FS( 73 ),1996400.349999999860302,1892512.320000000065193,2113700.679999999701977,2041188.610000000102445,2183726.000000000000000,1914853.630000000121072,12142385.590000001713634
FS( 74 ),1995734.219999999972060,1924740.390000000130385,2141228.919999999925494,2055763.939999999711290,2164273.500000000000000,1922508.289999999804422,12204253.259999997913837
FS( 75 ),1996400.349999999860302,1935732.910000000149012,2153197.719999999739230,2055130.229999999981374,2169921.000000000000000,1919269.780000000027940,12229655.989999998360872
FS( 76 ),1998398.739999999990687,1931735.629999999888241,2169355.599999999627471,2065269.590000000083819,2159253.500000000000000,1951360.469999999972060,12275377.529999999329448
FS( 77 ),2009722.950000000186265,1923491.239999999990687,2112503.799999999813735,2038020.059999999823049,2110308.500000000000000,1917208.910000000149012,12111259.460000000894070
FS( 78 ),2037034.279999999795109,1933984.100000000093132,2198080.719999999739230,2068438.139999999897555,2135408.500000000000000,1943411.400000000139698,12316361.139999998733401
FS( 79 ),2047692.359999999869615,1959716.590000000083819,2183718.160000000149012,2060833.620000000111759,2139801.000000000000000,1952538.109999999869615,12344303.839999999850988
FS( 80 ),2052355.270000000018626,1962464.719999999972060,2229798.040000000037253,2033584.090000000083819,2137918.500000000000000,1953126.930000000167638,12369251.550000000745058
FS( 81 ),2032371.370000000111759,1966212.170000000158325,2247751.240000000223517,2050060.550000000046566,2161136.000000000000000,1949005.190000000176951,12406540.519999999552965
FS( 82 ),2039698.800000000046566,1967711.150000000139698,2248349.679999999701977,2059566.199999999953434,2142311.000000000000000,1958720.719999999972060,12416361.550000000745058
FS( 83 ),2038366.540000000037253,1935732.910000000149012,2150205.519999999552965,2060199.909999999916181,2130388.500000000000000,1933401.459999999962747,12248298.839999999850988
FS( 84 ),2039032.669999999925494,1935732.910000000149012,2169355.599999999627471,2053862.809999999823049,2142311.000000000000000,1949594.010000000009313,12289892.999999998137355
FS( 85 ),2042363.320000000065193,1942977.979999999981374,2157386.799999999813735,2058298.779999999795109,2125996.000000000000000,1957543.079999999841675,12284569.959999999031425
FS( 86 ),2055685.919999999925494,1945726.109999999869615,2160977.439999999478459,2053229.099999999860302,2136663.500000000000000,1971085.940000000176951,12323372.009999997913837
FS( 87 ),2060348.830000000074506,1958717.270000000251457,2214238.599999999627471,2078577.499999999767169,2164273.500000000000000,1997288.430000000167638,12473448.129999998956919
FS( 88 ),2063679.479999999981374,1961215.570000000065193,2193891.639999999664724,2090617.989999999990687,2207571.000000000000000,2001115.760000000009313,12518095.439999999478459
FS( 89 ),2080332.729999999981374,1978204.010000000242144,2202269.799999999813735,2124204.620000000111759,2255888.500000000000000,2042627.569999999832362,12683531.230000000447035
FS( 90 ),2084329.510000000009313,1981201.969999999972060,2205860.439999999478459,2118501.229999999515712,2205061.000000000000000,2060880.989999999990687,12655839.139999998733401
FS( 91 ),2080332.729999999981374,1981451.800000000046566,2221419.879999999888241,2102024.770000000484288,2201923.500000000000000,2070302.109999999869615,12657458.789999999105930
FS( 92 ),2086327.899999999906868,1976205.369999999878928,2213041.719999999739230,2091885.409999999916181,2211336.000000000000000,2079428.819999999832362,12658229.219999998807907
FS( 93 ),2083663.380000000121072,1986198.570000000065193,2223813.639999999664724,2081746.050000000046566,2203178.500000000000000,2094149.319999999832362,12672753.460000000894070
FS( 94 ),2091656.939999999944121,1991195.170000000158325,2242365.279999999329448,2067804.430000000167638,2209453.500000000000000,2114758.019999999552965,12717237.339999999850988
FS( 95 ),2095653.719999999972060,1969959.619999999878928,2194490.080000000074506,2063368.460000000195578,2185608.500000000000000,2090027.579999999841675,12599111.959999999031425
FS( 96 ),2096985.979999999981374,1975455.879999999888241,2122677.279999999329448,2076676.370000000111759,2165528.500000000000000,2075012.670000000158325,12512340.679999997839332
FS( 97 ),2067676.260000000009313,1934233.930000000167638,2095149.039999999804422,2039921.189999999711290,2134153.500000000000000,2029673.530000000027940,12300811.449999999254942
FS( 98 ),2082331.120000000111759,1957967.780000000260770,2114299.120000000111759,2049426.840000000083819,2134153.500000000000000,2031734.400000000139698,12369916.759999999776483
FS( 99 ),2126295.700000000186265,1974206.729999999981374,2132252.320000000298023,2069071.849999999860302,2159881.000000000000000,2070007.699999999953434,12531719.299999998882413
FS( 100 ),2142282.819999999366701,1989696.190000000176951,2154394.599999999627471,2065269.590000000083819,2181216.000000000000000,2076779.130000000121072,12609642.330000000074506
FS( 101 ),2140950.559999999590218,1986698.229999999981374,2181922.839999999850988,2059566.199999999953434,2189373.500000000000000,2066474.780000000027940,12624990.109999997541308
FS( 102 ),2118968.269999999552965,1973956.900000000139698,2157386.799999999813735,2052595.389999999897555,2132271.000000000000000,2030851.170000000158325,12466033.529999999329448
FS( 103 ),2152274.770000000484288,1985698.910000000149012,2165166.519999999552965,2050060.550000000046566,2152978.500000000000000,2057348.069999999832362,12563531.320000000298023
FS( 104 ),2135621.520000000484288,1962214.890000000130385,2147213.320000000298023,2041188.610000000102445,2113446.000000000000000,2038211.420000000158325,12437899.759999999776483
FS( 105 ),2111640.839999999850988,1955219.650000000139698,2189702.560000000521541,2021543.599999999860302,2183726.000000000000000,2044688.440000000176951,12506525.089999999850988
FS( 106 ),2104313.410000000149012,1956218.969999999972060,2185513.480000000447035,2028514.409999999916181,2186863.500000000000000,2047926.949999999953434,12509354.719999998807907
FS( 107 ),2154939.290000000037253,1980952.140000000130385,2254334.080000000074506,2050060.550000000046566,2238318.500000000000000,2100037.519999999552965,12778646.080000000074506
FS( 108 ),2161600.589999999850988,1983200.609999999869615,2277074.799999999813735,2074775.239999999990687,2265928.500000000000000,2104453.669999999925494,12867037.410000000149012
FS( 109 ),2148277.990000000223517,1992694.150000000139698,2263310.679999999701977,2084914.599999999860302,2312991.000000000000000,2095915.780000000027940,12898108.199999999254942
FS( 110 ),2131624.740000000223517,1988197.209999999962747,2231593.359999999403954,2084280.889999999897555,2280988.500000000000000,2099448.700000000186265,12816137.399999998509884
FS( 111 ),2136287.650000000372529,2007184.290000000037253,2200474.480000000447035,2088083.150000000139698,2272831.000000000000000,2103864.849999999627471,12808729.419999999925494
FS( 112 ),2144947.339999999850988,1967211.489999999990687,2204663.560000000521541,2089984.279999999795109,2288518.500000000000000,2115346.839999999850988,12810676.009999999776483
FS( 113 ),2159602.200000000186265,1938980.699999999953434,2193293.200000000186265,2126739.459999999962747,2282243.500000000000000,2119762.990000000223517,12820626.050000000745058
FS( 114 ),2153607.030000000260770,1937731.550000000046566,2194490.080000000074506,2157157.540000000037253,2286008.500000000000000,2125062.370000000111759,12854061.070000000298023
FS( 115 ),2159602.200000000186265,1926489.199999999953434,2208254.200000000186265,2161593.509999999776483,2286636.000000000000000,2130361.750000000000000,12872940.859999999403954
FS( 116 ),2128294.089999999850988,1926489.199999999953434,2184316.599999999627471,2197081.270000000484288,2306088.500000000000000,2125062.370000000111759,12867336.030000001192093
FS( 117 ),2156271.549999999813735,1923241.410000000149012,2121480.400000000372529,2194546.429999999701977,2329933.500000000000000,2115346.839999999850988,12840824.129999998956919
FS( 118 ),2176255.450000000186265,1916496.000000000000000,2131055.439999999478459,2202784.660000000149012,2366956.000000000000000,2126240.009999999776483,12919791.560000000521541
FS( 119 ),2188245.790000000037253,1918994.300000000046566,2097542.799999999813735,2195180.139999999664724,2358171.000000000000000,2124767.959999999962747,12882905.989999998360872
FS( 120 ),2175589.319999999366701,1921742.430000000167638,2105322.519999999552965,2201517.240000000223517,2339346.000000000000000,2126240.009999999776483,12869761.519999999552965
FS( 121 ),2180918.360000000335276,1920243.449999999953434,2114299.120000000111759,2214191.439999999478459,2311108.500000000000000,2140960.509999999776483,12881725.380000000819564
FS( 122 ),2184915.139999999664724,1923990.900000000139698,2144819.560000000521541,2229400.479999999515712,2437863.500000000000000,2143315.790000000037253,13064309.370000001043081
FS( 123 ),2184249.009999999776483,1922741.750000000000000,2140630.480000000447035,2245876.939999999478459,2459198.500000000000000,2155092.190000000409782,13107792.870000001043081
FS( 124 ),2166929.629999999888241,1909500.760000000242144,2126866.359999999403954,2249679.200000000186265,2444766.000000000000000,2149498.400000000372529,13047244.349999999627471
FS( 125 ),2176921.580000000074506,1909500.760000000242144,2137638.279999999329448,2257283.719999999739230,2476768.500000000000000,2161569.209999999962747,13119686.050000000745058
FS( 126 ),2180252.229999999515712,1923491.239999999990687,2149008.639999999664724,2254748.879999999888241,2477396.000000000000000,2160097.160000000149012,13144998.149999998509884
FS( 127 ),2181584.490000000223517,1917745.150000000139698,2150803.959999999962747,2253481.459999999962747,2462336.000000000000000,2159802.750000000000000,13125757.810000000521541
FS( 128 ),2190910.309999999590218,1917745.150000000139698,2160977.439999999478459,2267423.080000000074506,2444766.000000000000000,2152736.910000000149012,13134562.890000000596046
FS( 129 ),2172258.669999999925494,1913747.869999999878928,2222018.320000000298023,2308614.229999999515712,2467356.000000000000000,2194837.540000000037253,13278836.629999998956919
FS( 130 ),2127627.959999999962747,1856536.800000000046566,2242365.279999999329448,2354875.059999999590218,2488063.500000000000000,2205141.890000000596046,13274614.489999998360872
FS( 131 ),2114971.490000000223517,1865280.850000000093132,2249546.560000000521541,2387194.270000000484288,2522576.000000000000000,2199253.690000000409782,13338826.860000003129244
FS( 132 ),2099650.500000000000000,1854038.500000000000000,2296224.879999999888241,2295940.029999999329448,2530106.000000000000000,2213385.370000000111759,13289349.280000001192093
FS( 133 ),2095653.719999999972060,1858035.780000000260770,2301012.400000000372529,2276928.729999999515712,2515046.000000000000000,2225456.179999999701977,13272136.809999998658895
FS( 134 ),2100316.629999999888241,1837799.550000000046566,2301012.400000000372529,2276295.020000000484288,2569638.500000000000000,2211913.320000000298023,13296979.420000001788139
FS( 135 ),2088326.290000000037253,1846293.770000000251457,2338714.120000000111759,2240807.259999999776483,2562108.500000000000000,2228400.280000000260770,13304654.220000002533197
FS( 136 ),2099650.500000000000000,1838798.869999999878928,2325548.439999999478459,2247778.070000000298023,2585326.000000000000000,2254602.769999999552965,13351708.649999998509884
FS( 137 ),2111640.839999999850988,1815564.680000000167638,2369833.000000000000000,2268690.500000000000000,2612936.000000000000000,2258430.099999999627471,13437099.119999999180436
FS( 138 ),2102981.150000000372529,1850291.050000000046566,2439850.480000000447035,2247144.360000000335276,2600386.000000000000000,2291698.429999999701977,13532355.470000000670552
FS( 139 ),2114305.360000000335276,1865780.510000000242144,2446433.320000000298023,2177436.259999999776483,2633643.500000000000000,2317312.099999999627471,13554915.050000000745058
FS( 140 ),2112306.969999999739230,1882519.119999999878928,2427283.240000000223517,2192645.299999999813735,2590346.000000000000000,2303474.830000000074506,13508579.459999999031425
FS( 141 ),2096319.849999999860302,1877772.350000000093132,2412322.240000000223517,2193279.009999999776483,2611053.500000000000000,2289048.740000000223517,13479799.689999999478459
FS( 142 ),2090990.810000000055879,1874024.900000000139698,2418306.639999999664724,2214825.150000000372529,2616073.500000000000000,2325261.169999999925494,13539486.169999999925494
FS( 143 ),2106977.929999999701977,1883268.609999999869615,2382400.240000000223517,2233202.740000000223517,2603523.500000000000000,2313779.179999999701977,13523156.199999999254942
FS( 144 ),2096985.979999999981374,1885766.910000000149012,2430873.879999999888241,2268056.790000000037253,2587836.000000000000000,2316428.870000000111759,13585952.429999999701977
FS( 145 ),2096985.979999999981374,1878022.180000000167638,2408731.599999999627471,2306713.099999999627471,2590973.500000000000000,2345281.049999999813735,13626711.410000000149012
FS( 146 ),2088326.290000000037253,1857536.119999999878928,2530813.359999999403954,2312416.490000000223517,2577168.500000000000000,2351758.070000000298023,13718022.830000000074506
FS( 147 ),2072339.169999999925494,1830804.310000000055879,2449425.519999999552965,2257917.429999999701977,2532616.000000000000000,2325555.580000000074506,13468662.009999999776483
FS( 148 ),2093655.330000000074506,1840547.680000000167638,2456606.799999999813735,2257283.719999999739230,2537636.000000000000000,2375310.870000000111759,13561044.400000002235174
FS( 149 ),2100316.629999999888241,1835551.080000000074506,2517647.679999999701977,2298474.870000000111759,2649958.500000000000000,2470405.299999999813735,13872358.059999998658895
FS( 150 ),2093655.330000000074506,1839798.190000000176951,2510466.400000000372529,2291504.059999999590218,2633643.500000000000000,2455684.799999999813735,13824756.280000001192093
FS( 151 ),2084329.510000000009313,1844544.959999999962747,2575696.359999999403954,2305445.679999999701977,2654978.500000000000000,2456568.030000000260770,13921567.039999999105930
FS( 152 ),2083663.380000000121072,1850041.219999999972060,2542782.160000000149012,2301009.709999999962747,2658743.500000000000000,2451857.469999999739230,13888101.439999997615814
FS( 153 ),2082331.120000000111759,1835051.420000000158325,2502088.240000000223517,2282632.120000000111759,2654978.500000000000000,2470994.120000000111759,13828079.519999999552965
FS( 154 ),2094321.459999999962747,1882768.949999999953434,2511663.279999999329448,2302910.839999999850988,2684471.000000000000000,2443025.169999999925494,13919164.699999999254942
FS( 155 ),2103647.280000000260770,1897009.260000000242144,2517647.679999999701977,2324456.979999999515712,2676941.000000000000000,2430365.540000000037253,13950071.739999998360872
FS( 156 ),2116303.750000000000000,1892762.150000000139698,2539191.519999999552965,2307980.520000000484288,2671921.000000000000000,2449502.190000000409782,13977665.130000002682209
FS( 157 ),2117636.009999999776483,1902255.690000000176951,2536199.320000000298023,2306079.389999999664724,2671921.000000000000000,2438314.609999999403954,13972410.019999999552965
FS( 158 ),2102981.150000000372529,1904753.989999999990687,2540986.839999999850988,2275027.599999999627471,2646193.500000000000000,2499846.299999999813735,13969793.379999998956919
FS( 159 ),2104979.540000000037253,1902505.520000000251457,2515253.919999999925494,2310515.360000000335276,2656861.000000000000000,2442730.759999999776483,13932850.099999999627471
FS( 160 ),2111640.839999999850988,1899257.729999999981374,2543380.599999999627471,2292137.770000000484288,2647448.500000000000000,2463928.280000000260770,13957797.720000002533197
FS( 161 ),2150276.379999999888241,1898258.410000000149012,2548766.560000000521541,2304811.969999999739230,2673803.500000000000000,2469522.070000000298023,14045442.890000000596046
FS( 162 ),2150276.379999999888241,1902005.859999999869615,2563727.560000000521541,2320654.719999999739230,2681961.000000000000000,2487775.490000000223517,14106405.009999999776483
FS( 163 ),2123631.179999999701977,1891263.170000000158325,2570908.839999999850988,2281364.700000000186265,2646821.000000000000000,2515450.030000000260770,14029442.920000001788139
FS( 164 ),2128960.219999999739230,1878521.840000000083819,2567916.639999999664724,2269324.209999999962747,2587208.500000000000000,2563438.859999999403954,13995374.269999999552965
FS( 165 ),2127627.959999999962747,1879021.500000000000000,2558341.599999999627471,2254748.879999999888241,2592856.000000000000000,2531053.759999999776483,13943653.699999999254942
FS( 166 ),2142282.819999999366701,1859784.590000000083819,2544577.480000000447035,2279463.570000000298023,2633643.500000000000000,2512505.929999999701977,13972261.890000000596046
