代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13799778.529999999329448
真實報酬,3799778.529999999329448

夏普值報酬,0.371277853000000
夏普值風險,0.100232642990053
夏普值,3.704161058956052

二次趨勢線,31.927237780736178 x^2 + 8069.302059080019717 x + 10000000.000000000000000
二次平均預期報酬,16146.893217606269900
風險,165161.668125162803335
二次平均趨勢值,0.097764168895230
一次趨勢線,14115.499005462026616 x + 10000000.000000000000000
一次預期報酬,14115.499005462026616
一次風險,281377.506832133338321
一次趨勢值,0.050165697906632
找到最佳解世代,2637
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),BA[2](1),CAT[3](8),MCD[15](2),UNH[23](5),V[25](10),
Stock#,AAPL[0](4),BA[2](1),CAT[3](8),MCD[15](2),UNH[23](5),V[25](10),
張數,17381,12851,21800,13842,11832,22377,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,1.909999999916181,19.810000000055879,56.000000000000000,89.199999999953434,10.479999999748543,27.039999999804422,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1651023.099999999860302,1631711.280000000027940,1621540.000000000000000,1671649.120000000111759,1674948.399999999674037,1670917.629999999888241,9921793.529999999329448
FS( 3 ),1660408.839999999850988,1631582.770000000018626,1631350.000000000000000,1669849.659999999916181,1684650.639999999664724,1657267.659999999916181,9935113.569999998435378
FS( 4 ),1667535.049999999813735,1634281.479999999981374,1636146.000000000000000,1673863.840000000083819,1665956.079999999841675,1657267.659999999916181,9935054.109999999403954
FS( 5 ),1680396.989999999990687,1671806.400000000139698,1686722.000000000000000,1679262.219999999972060,1671517.119999999878928,1710077.379999999888241,10099786.109999999403954
FS( 6 ),1685611.290000000037253,1696865.849999999860302,1696096.000000000000000,1688813.199999999953434,1660276.719999999739230,1712315.079999999608845,10139982.139999998733401
FS( 7 ),1693258.929999999934807,1681059.120000000111759,1739696.000000000000000,1692273.699999999953434,1654834.000000000000000,1733797.000000000000000,10194922.750000000000000
FS( 8 ),1683699.379999999888241,1672063.420000000158325,1737298.000000000000000,1700163.639999999897555,1674001.839999999618158,1733349.459999999729916,10200579.739999998360872
FS( 9 ),1717070.900000000139698,1690568.860000000102445,1745364.000000000000000,1715528.260000000009313,1666429.359999999869615,1748565.819999999832362,10283531.199999999254942
FS( 10 ),1716897.089999999850988,1701363.699999999953434,1759316.000000000000000,1711098.819999999832362,1672227.039999999804422,1752146.139999999664724,10313052.789999999105930
FS( 11 ),1735147.139999999897555,1714728.740000000223517,1740131.999999999767169,1713728.799999999813735,1665364.479999999748543,1752369.909999999916181,10321475.070000000298023
FS( 12 ),1735842.379999999888241,1730535.469999999972060,1738388.000000000000000,1751102.199999999953434,1687135.359999999869615,1761544.479999999748543,10404551.890000000596046
FS( 13 ),1737406.669999999692664,1731306.530000000027940,1737298.000000000000000,1745011.719999999972060,1692223.119999999878928,1775865.759999999776483,10419115.799999998882413
