代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14161289.510000001639128
真實報酬,4161289.510000001639128

夏普值報酬,0.407428951000000
夏普值風險,0.104002935063965
夏普值,3.917475509219240

二次趨勢線,34.365444954762012 x^2 + 8002.065112755959490 x + 10000000.000000000000000
二次平均預期報酬,16662.157241355984297
風險,101420.320220261739451
二次平均趨勢值,0.164288154535202
一次趨勢線,14484.221546986342219 x + 10000000.000000000000000
一次預期報酬,14484.221546986342219
一次風險,263559.254961156402715
一次趨勢值,0.054956224356914
找到最佳解世代,3661
找到最佳解實驗#,2
找到最佳解次數,38

stock[index](rank)
投資組合檔數,9
AXP[1](7),BA[2](3),CAT[3](1),KO[14](15),MCD[15](5),PFE[20](18),UNH[23](4),V[25](2),WMT[28](9),
Stock#,AXP[1](7),BA[2](3),CAT[3](1),KO[14](15),MCD[15](5),PFE[20](18),UNH[23](4),V[25](2),WMT[28](9),
張數,14745,7078,11821,26581,9288,33670,6882,13976,16182,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,75.250000000000000,77.340000000083819,55.209999999962747,25.200000000186265,80.439999999944121,1.000000000000000,12.100000000093132,19.000000000000000,54.880000000121072,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1124528.950000000186265,1122789.700000000186265,1106146.179999999934807,1107123.850000000093132,1109810.679999999934807,1120875.300000000046566,1114276.719999999972060,1120195.400000000139698,1117583.800000000046566,10043331.580000000074506
FS( 3 ),1110668.649999999906868,1123426.720000000204891,1099408.209999999962747,1109781.950000000186265,1111854.040000000037253,1131649.699999999953434,1116134.860000000102445,1133332.840000000083819,1120011.100000000093132,10056269.070000000298023
FS( 4 ),1112880.399999999906868,1126187.140000000130385,1099881.050000000046566,1109516.140000000130385,1121699.320000000065193,1127272.599999999860302,1117717.719999999972060,1148985.959999999962747,1104638.200000000186265,10068779.530000001192093
FS( 5 ),1118630.949999999953434,1120666.300000000046566,1091960.979999999981374,1098352.120000000111759,1118634.280000000027940,1126935.899999999906868,1114552.000000000000000,1142557.000000000000000,1111920.100000000093132,10044210.629999998956919
FS( 6 ),1130279.500000000000000,1125974.800000000046566,1109219.639999999897555,1090909.440000000176951,1116962.439999999944121,1125925.799999999813735,1112005.660000000149012,1136407.560000000055879,1104152.740000000223517,10051838.580000000074506
