代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13670617.289999997243285
真實報酬,3670617.289999997243285

夏普值報酬,0.358361729000000
夏普值風險,0.100077794732529
夏普值,3.580831591640975

二次趨勢線,43.173028066336968 x^2 + 5141.903959827582185 x + 10000000.000000000000000
二次平均預期報酬,15935.160976411825686
風險,154463.411293066485086
二次平均趨勢值,0.103164631954021
一次趨勢線,13220.624392080542748 x + 10000000.000000000000000
一次預期報酬,13220.624392080542748
一次風險,338116.182221268827561
一次趨勢值,0.039100833048649
找到最佳解世代,2482
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),PG[21](12),V[25](1),
Stock#,BA[2](2),PG[21](12),V[25](1),
張數,45549,54475,105285,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,57.179999999701977,7.750000000000000,9.899999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3382981.409999999683350,3342593.750000000000000,3325963.049999999813735,10051539.210000000894070
FS( 3 ),3390724.739999999757856,3342049.000000000000000,3342808.649999999906868,10075583.390000000596046
FS( 4 ),3356562.989999999757856,3338235.750000000000000,3297536.100000000093132,9992335.839999999850988
FS( 5 ),3372049.649999999906868,3352944.000000000000000,3254369.250000000000000,9979363.900000000372529
FS( 6 ),3335154.959999999497086,3362749.500000000000000,3218572.350000000093132,9916477.809999998658895
FS( 7 ),3257721.659999999683350,3344772.750000000000000,3178564.049999999813735,9781059.460000000894070
FS( 8 ),3266375.969999999273568,3470065.250000000000000,3228048.000000000000000,9964490.219999998807907
FS( 9 ),3348364.169999999925494,3545785.500000000000000,3265950.600000000093132,10160101.269999999552965
FS( 10 ),3323767.709999999497086,3530532.500000000000000,3347020.049999999813735,10201321.259999997913837
FS( 11 ),3330144.569999999832362,3559948.999999999534339,3375447.000000000000000,10265541.570000000298023
FS( 12 ),3365672.789999999571592,3531077.249999999534339,3364918.500000000000000,10261669.539999999105930
FS( 13 ),3409855.319999999832362,3536524.750000000000000,3300694.649999999906868,10247075.720000000670552
FS( 14 ),3365672.789999999571592,3526174.500000000000000,3310170.299999999813735,10202018.589999999850988
FS( 15 ),3321034.769999999552965,3507653.000000000000000,3276479.100000000093132,10105167.869999999180436
FS( 16 ),3280951.649999999906868,3487497.250000000000000,3228048.000000000000000,9996497.900000000372529
FS( 17 ),3372049.649999999906868,3487497.250000000000000,3216466.649999999906868,10076014.550000000745058
FS( 18 ),3412132.769999999552965,3516913.750000000000000,3336491.549999999813735,10265539.070000000298023
FS( 19 ),3439462.169999999925494,3545785.500000000000000,3398609.700000000186265,10383858.370000001043081
FS( 20 ),3409855.319999999832362,3546330.249999999534339,3443882.250000000000000,10400068.820000000298023
FS( 21 ),3366583.769999999552965,3515824.250000000465661,3397556.850000000093132,10279965.869999999180436
FS( 22 ),3314657.909999999683350,3486952.500000000465661,3355442.850000000093132,10157054.259999999776483
FS( 23 ),3279129.689999999478459,3459715.000000000000000,3402821.100000000093132,10141666.789999999105930
FS( 24 ),3316479.869999999646097,3568120.250000000000000,3447040.800000000279397,10331641.919999999925494
FS( 25 ),3320123.789999999571592,3585007.500000000000000,3449146.499999999534339,10354278.789999999105930
FS( 26 ),3391635.719999999273568,3607342.250000000000000,3432300.899999999906868,10431279.869999999180436
FS( 27 ),3398012.579999999608845,3634579.750000000000000,3452305.049999999813735,10484898.379999998956919
FS( 28 ),3383436.899999999906868,3635124.500000000000000,3382816.950000000186265,10401379.350000001490116
FS( 29 ),3380248.469999999273568,3637303.500000000000000,3397556.850000000093132,10415109.819999998435378
FS( 30 ),3379337.489999999757856,3621505.750000000000000,3377552.699999999720603,10378396.939999999478459
FS( 31 ),3362028.869999999646097,3635124.500000000000000,3418613.849999999627471,10415768.219999998807907
FS( 32 ),3328322.609999999403954,3630221.750000000000000,3397556.850000000093132,10356102.209999999031425
FS( 33 ),3354285.539999999571592,3649832.750000000000000,3413349.600000000093132,10417468.889999998733401
FS( 34 ),3366583.769999999552965,3649832.750000000000000,3387028.350000000093132,10403445.869999999180436
FS( 35 ),3362939.849999999627471,3636214.000000000000000,3373341.299999999813735,10372496.149999998509884
FS( 36 ),3337432.409999999683350,3637303.500000000000000,3356495.699999999720603,10331232.609999999403954
FS( 37 ),3316024.379999999422580,3641661.499999999534339,3372288.450000000186265,10329975.329999998211861
FS( 38 ),3204884.819999999832362,3632400.750000000465661,3347020.049999999813735,10184306.620000001043081
FS( 39 ),3238135.589999999850988,3650922.250000000000000,3334385.850000000093132,10223444.689999999478459
FS( 40 ),3251344.799999999348074,3655825.000000000000000,3360707.100000000093132,10267877.899999998509884
FS( 41 ),3257721.659999999683350,3649287.999999999534339,3353337.149999999906868,10260347.809999998658895
FS( 42 ),3254077.739999999757856,3642751.000000000465661,3370182.749999999534339,10267012.490000000223517
FS( 43 ),3225837.359999999403954,3643295.749999999534339,3335438.699999999720603,10204572.809999998658895
FS( 44 ),3252255.779999999795109,3660183.000000000000000,3375447.000000000000000,10287886.779999999329448
FS( 45 ),3228114.810000000055879,3671622.750000000465661,3382816.950000000186265,10282555.510000001639128
FS( 46 ),3275941.259999999776483,3665630.500000000465661,3358601.399999999906868,10300174.160000000149012
FS( 47 ),3316935.359999999403954,3717381.749999999534339,3409138.200000000186265,10443456.309999998658895
FS( 48 ),3320123.789999999571592,3732634.750000000000000,3414402.449999999720603,10467161.989999998360872
FS( 49 ),3237680.099999999627471,3732090.000000000465661,3387028.350000000093132,10356799.449999999254942
