代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14081823.219999998807907
真實報酬,4081823.219999998807907

夏普值報酬,0.399482322000000
夏普值風險,0.113778268433426
夏普值,3.511059954597097

二次趨勢線,51.994326603967096 x^2 + 4455.715380699320121 x + 10000000.000000000000000
二次平均預期報酬,17506.291358295060490
風險,214601.170691572013311
二次平均趨勢值,0.081575935964745
一次趨勢線,14224.110573510508402 x + 10000000.000000000000000
一次預期報酬,14224.110573510508402
一次風險,423529.210740742797498
一次趨勢值,0.033584721461438
找到最佳解世代,1605
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),DD[7](12),UNH[23](4),UTX[24](2),
Stock#,BA[2](1),DD[7](12),UNH[23](4),UTX[24](2),
張數,35709,59880,44279,31908,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,12.909999999683350,10.000000000000000,7.660000000149012,8.200000000186265,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2482859.679999999701977,2486826.399999999906868,2515054.859999999869615,2501276.320000000298023,9986017.259999999776483
FS( 3 ),2494643.649999999441206,2448503.200000000186265,2517711.600000000093132,2506700.680000000167638,9967559.129999998956919
FS( 4 ),2497500.369999999646097,2488622.800000000279397,2566861.290000000037253,2505743.440000000409782,10058727.900000000372529
FS( 5 ),2531423.919999999925494,2489820.399999999906868,2529666.930000000167638,2505105.280000000260770,10056016.530000001192093
FS( 6 ),2519997.039999999571592,2473054.000000000000000,2550478.060000000055879,2500638.160000000149012,10044167.259999999776483
FS( 7 ),2522496.669999999925494,2421557.199999999720603,2544721.790000000037253,2467453.840000000316650,9956229.500000000000000
FS( 8 ),2511783.969999999739230,2394611.200000000186265,2528781.350000000093132,2425654.359999999869615,9860830.879999998956919
FS( 9 ),2529281.379999999422580,2406587.199999999720603,2553134.799999999813735,2426611.600000000093132,9915614.979999998584390
FS( 10 ),2565704.559999999590218,2394611.200000000186265,2527010.189999999944121,2423739.879999999888241,9911065.829999998211861
FS( 11 ),2579988.159999999683350,2414970.399999999906868,2545607.370000000111759,2429802.400000000372529,9970368.330000000074506
FS( 12 ),2623910.229999999981374,2550299.200000000186265,2518597.180000000167638,2476069.000000000000000,10168875.609999999403954
FS( 13 ),2629266.579999999608845,2578442.800000000279397,2479188.870000000111759,2506062.520000000484288,10192960.769999999552965
FS( 14 ),2651763.250000000000000,2577245.199999999720603,2480074.450000000186265,2528079.040000000502914,10237161.939999999478459
FS( 15 ),2642836.000000000000000,2546107.600000000093132,2464576.799999999813735,2488513.120000000111759,10142033.519999999552965
FS( 16 ),2631766.209999999962747,2535928.000000000000000,2503542.320000000298023,2483407.840000000316650,10154644.370000001043081
FS( 17 ),2600342.289999999571592,2434730.799999999813735,2487601.880000000353903,2459157.759999999776483,9981832.730000000447035
FS( 18 ),2596414.299999999348074,2547904.000000000000000,2476089.340000000316650,2485641.400000000372529,10106049.039999999105930
FS( 19 ),2554634.770000000018626,2529341.200000000186265,2488930.250000000000000,2466177.520000000484288,10039083.740000002086163
FS( 20 ),2539279.899999999441206,2521556.799999999813735,2469890.280000000260770,2495213.800000000279397,10025940.779999999329448
FS( 21 ),2515354.869999999646097,2498802.399999999906868,2479631.660000000149012,2493937.479999999981374,9987726.410000000149012
FS( 22 ),2527853.020000000018626,2567664.400000000372529,2521696.710000000428408,2522654.680000000167638,10139868.810000000521541
FS( 23 ),2501428.359999999403954,2537125.599999999627471,2481845.609999999869615,2491065.759999999776483,10011465.329999998211861
FS( 24 ),2514283.599999999627471,2563472.800000000279397,2447750.780000000260770,2485641.400000000372529,10011148.580000001937151
FS( 25 ),2571775.089999999385327,2602394.800000000279397,2496900.470000000204891,2551690.959999999962747,10222761.320000000298023
FS( 26 ),2503570.899999999441206,2583233.200000000186265,2402586.200000000186265,2478621.640000000596046,9968011.940000001341105
FS( 27 ),2534637.729999999981374,2519760.399999999906868,2366277.419999999925494,2430121.479999999981374,9850797.029999999329448
FS( 28 ),2615697.159999999683350,2503592.800000000279397,2342366.760000000242144,2419910.920000000391155,9881567.640000000596046
FS( 29 ),2631409.119999999646097,2455090.000000000000000,2311371.460000000428408,2455328.800000000279397,9853199.380000000819564
FS( 30 ),2619625.149999999441206,2458682.800000000279397,2310928.669999999925494,2456924.200000000186265,9846160.820000000298023
FS( 31 ),2545707.520000000018626,2411377.600000000093132,2269306.410000000149012,2381940.400000000372529,9608331.929999999701977
FS( 32 ),2536780.270000000018626,2378443.600000000093132,2269306.410000000149012,2388002.920000000391155,9572533.200000001117587
FS( 33 ),2527138.839999999385327,2365270.000000000000000,2298087.760000000242144,2401085.200000000186265,9591581.800000000745058
FS( 34 ),2569632.549999999348074,2454491.200000000186265,2342809.549999999813735,2443522.840000000316650,9810456.140000000596046
FS( 35 ),2590343.770000000018626,2455090.000000000000000,2352993.720000000204891,2447032.720000000204891,9845460.210000000894070
FS( 36 ),2612126.259999999776483,2457485.199999999720603,2370262.530000000260770,2467453.840000000316650,9907327.830000000074506
FS( 37 ),2633194.569999999366701,2505389.200000000186265,2387531.340000000316650,2508296.080000000074506,10034411.189999999478459
FS( 38 ),2652120.339999999385327,2522754.400000000372529,2370262.530000000260770,2510529.640000000596046,10055666.910000000149012
FS( 39 ),2659976.319999999366701,2533532.800000000279397,2328640.270000000484288,2515315.840000000316650,10037465.230000000447035
FS( 40 ),2645692.719999999739230,2547305.199999999720603,2335724.910000000149012,2546266.600000000093132,10074989.429999999701977
FS( 41 ),2646763.989999999757856,2558083.600000000093132,2407014.100000000093132,2544990.280000000260770,10156851.969999998807907
FS( 42 ),2652477.429999999701977,2574251.200000000186265,2408342.470000000204891,2556158.080000000074506,10191229.179999999701977
FS( 43 ),2643193.089999999385327,2498802.399999999906868,2386202.970000000204891,2546266.600000000093132,10074465.059999998658895
FS( 44 ),2644264.359999999403954,2498203.600000000093132,2370705.320000000298023,2557115.320000000298023,10070288.599999999627471
FS( 45 ),2637836.739999999757856,2514970.000000000000000,2383989.020000000484288,2559987.040000000502914,10096782.800000000745058
FS( 46 ),2641764.729999999981374,2527544.800000000279397,2375576.010000000242144,2580408.160000000149012,10125293.700000001117587
