代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15628984.029999997466803
真實報酬,5628984.029999997466803

夏普值報酬,0.554198403000000
夏普值風險,0.158593725472377
夏普值,3.494453524874951

二次趨勢線,68.327610059851722 x^2 + 9311.594439727316058 x + 10000000.000000000000000
二次平均預期報酬,26461.824564750102581
風險,333187.015910528192762
二次平均趨勢值,0.079420335430646
一次趨勢線,22148.593036301270331 x + 10000000.000000000000000
一次預期報酬,22148.593036301270331
一次風險,584171.829447087482549
一次趨勢值,0.037914517475560
找到最佳解世代,2225
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),INTC[11](8),MSFT[18](2),
Stock#,BA[2](3),INTC[11](8),MSFT[18](2),
張數,18869,92182,50851,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,124.149999999906868,31.880000000353903,49.950000000186265,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3372014.449999999720603,3344394.840000000316650,3342486.180000000167638,10058896.470000000670552
FS( 3 ),3341446.669999999925494,3338863.920000000391155,3333841.510000000242144,10014153.099999999627471
FS( 4 ),3346918.680000000167638,3321349.340000000316650,3342486.180000000167638,10010755.200000001117587
FS( 5 ),3374844.799999999813735,3321349.340000000316650,3339943.630000000353903,10036138.770000001415610
FS( 6 ),3350503.790000000037253,3300147.479999999981374,3332315.980000000447035,9982968.250000000000000
FS( 7 ),3369561.479999999981374,3294616.560000000521541,3329773.430000000167638,9993952.470000000670552
FS( 8 ),3322011.600000000093132,3284476.540000000502914,3317060.680000000167638,9923549.820000000298023
FS( 9 ),3313897.930000000167638,3249447.380000000353903,3302822.400000000372529,9866168.710000000894070
FS( 10 ),3378052.530000000260770,3270649.240000000223517,3329773.430000000167638,9978476.200000001117587
FS( 11 ),3355975.799999999813735,3297382.020000000484288,3325196.840000000316650,9978555.660000000149012
FS( 12 ),3366353.750000000000000,3310287.500000000000000,3307398.990000000689179,9984041.240000000223517
FS( 13 ),3383335.850000000093132,3335176.640000000130385,3330790.450000000186265,10049303.940000001341105
FS( 14 ),3403714.369999999646097,3348082.120000000577420,3376556.350000000558794,10128353.839999999850988
FS( 15 ),3435414.290000000037253,3387720.380000000353903,3434017.980000000447035,10257153.650000000372529
FS( 16 ),3462774.339999999850988,3398782.220000000204891,3453849.870000000111759,10315407.429999999701977
FS( 17 ),3428810.140000000130385,3404313.140000000130385,3449273.280000000260770,10282397.560000000521541
FS( 18 ),3457302.330000000074506,3450404.140000000130385,3471647.720000000204891,10379355.190000001341105
FS( 19 ),3487681.419999999925494,3332411.180000000167638,3481309.409999999683350,10301403.009999999776483
FS( 20 ),3441641.059999999590218,3347160.300000000745058,3529617.859999999869615,10318420.220000000670552
FS( 21 ),3461453.509999999776483,3408000.420000000391155,3524024.250000000000000,10393479.179999999701977
FS( 22 ),3460510.059999999590218,3408922.240000000223517,3512837.030000000260770,10382270.330000000074506
FS( 23 ),3454471.979999999981374,3396938.580000000540167,3499107.260000000242144,10350518.820000000298023
FS( 24 ),3491077.839999999850988,3394173.120000000577420,3508768.950000000186265,10394020.910000000149012
FS( 25 ),3510135.530000000260770,3368362.160000000149012,3505717.890000000130385,10384216.580000000074506
FS( 26 ),3526928.939999999944121,3352691.220000000204891,3510802.990000000689179,10390424.150000000372529
FS( 27 ),3456547.569999999832362,3319505.700000000186265,3524532.760000000242144,10300587.029999999329448
FS( 28 ),3470888.009999999776483,3290007.459999999962747,3481309.409999999683350,10242205.879999998956919
FS( 29 ),3457868.399999999906868,3275258.340000000316650,3477241.330000000074506,10210369.070000000298023
FS( 30 ),3441641.059999999590218,3284476.540000000502914,3479783.880000000353903,10205902.480000000447035
FS( 31 ),3447490.449999999720603,3301991.120000000577420,3529617.859999999869615,10279100.429999999701977
FS( 32 ),3373523.969999999739230,3230089.160000000149012,3431475.430000000167638,10035089.560000000521541
FS( 33 ),3347484.750000000000000,3246681.920000000391155,3443171.159999999683350,10037338.830000000074506
FS( 34 ),3410884.589999999850988,3263274.680000000167638,3442154.140000000130385,10116314.410000000149012
FS( 35 ),3465793.379999999888241,3297382.020000000484288,3480800.900000000372529,10243977.300000000745058
FS( 36 ),3462396.959999999962747,3305678.400000000372529,3492496.630000000353903,10260572.990000000223517
FS( 37 ),3495606.399999999906868,3329645.720000000204891,3497073.220000000204891,10322326.339999999850988
FS( 38 ),3529947.979999999981374,3342551.200000000186265,3540296.570000000298023,10412796.750000000000000
FS( 39 ),3520890.859999999869615,3342551.200000000186265,3557585.909999999683350,10421028.970000000670552
FS( 40 ),3526362.869999999646097,3335176.640000000130385,3580468.859999999869615,10442009.369999999180436
FS( 41 ),3540514.619999999646097,3328723.900000000372529,3551483.790000000502914,10420723.310000000521541
FS( 42 ),3534665.229999999981374,3329645.720000000204891,3564705.049999999813735,10429017.000000000000000
FS( 43 ),3589574.019999999552965,3348082.120000000577420,3649117.710000000428408,10586774.850000001490116
FS( 44 ),3565421.699999999720603,3349925.760000000707805,3675560.230000000447035,10590908.690000001341105
FS( 45 ),3523909.899999999906868,3330567.540000000502914,3687764.470000000204891,10542242.910000000149012
FS( 46 ),3549383.049999999813735,3342551.200000000186265,3681153.840000000316650,10573089.089999999850988
FS( 47 ),3583913.319999999832362,3362831.240000000223517,3658779.400000000372529,10605524.960000000894070
FS( 48 ),3585800.219999999739230,3291851.100000000558794,3575892.270000000018626,10453544.589999999850988
FS( 49 ),3585234.149999999906868,3293694.740000000223517,3548432.730000000447035,10427362.620000001043081
FS( 50 ),3605801.359999999869615,3307522.040000000502914,3592673.100000000558794,10505997.500000000000000
FS( 51 ),3630142.369999999646097,3275258.340000000316650,3573349.720000000204891,10478751.429999999701977
FS( 52 ),3688070.199999999720603,3254978.300000000745058,3554534.850000000558794,10497584.350000001490116
FS( 53 ),3706750.509999999776483,3245760.100000000558794,3559619.950000000186265,10512131.560000000521541
FS( 54 ),3756564.669999999925494,3273414.700000000186265,3603860.320000000298023,10633840.690000001341105
FS( 55 ),3742412.919999999925494,3213496.400000000372529,3555043.359999999869615,10510953.679999999701977
FS( 56 ),3758262.879999999888241,3187685.440000000409782,3573349.720000000204891,10519299.040000000968575
FS( 57 ),3763357.509999999776483,3167405.400000000372529,3572841.210000000428408,10503605.120000001043081
FS( 58 ),3816002.019999999552965,3151734.459999999962747,3621149.659999999683350,10588887.139999998733401
FS( 59 ),3773546.769999999552965,3140672.620000000577420,3586570.980000000447035,10500791.370000001043081
FS( 60 ),3752979.559999999590218,3101956.180000000167638,3519447.659999999683350,10374384.400000000372529
