代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12749531.560000000521541
真實報酬,2749531.560000000521541

夏普值報酬,0.266253156000000
夏普值風險,0.088318774759186
夏普值,3.014683533891606

二次趨勢線,58.492395067947022 x^2 + -2322.229831026262218 x + 10000000.000000000000000
二次平均預期報酬,12534.838516232281108
風險,150361.629190883832052
二次平均趨勢值,0.083364609599430
一次趨勢線,8798.593517661336591 x + 10000000.000000000000000
一次預期報酬,8798.593517661336591
一次風險,446725.988685132993851
一次趨勢值,0.019695727897001
找到最佳解世代,1946
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](7),BA[2](1),JPM[13](2),PG[21](20),UNH[23](4),V[25](15),
Stock#,AAPL[0](7),BA[2](1),JPM[13](2),PG[21](20),UNH[23](4),V[25](15),
張數,15152,13127,27838,19952,12828,21480,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,97.520000000018626,62.080000000074506,4.940000000176951,75.439999999944121,52.240000000223517,32.799999999813735,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1683787.760000000009313,1658527.260000000009313,1648014.540000000270084,1660281.359999999869615,1661149.960000000428408,1671821.199999999720603,9983586.080000000074506
FS( 3 ),1663938.640000000130385,1667584.890000000130385,1624630.620000000111759,1659283.759999999776483,1629721.360000000335276,1653348.399999999674037,9898511.669999999925494
FS( 4 ),1681363.439999999944121,1679399.190000000176951,1637157.720000000204891,1672252.560000000055879,1642421.080000000307336,1679983.599999999627471,9992581.589999999850988
FS( 5 ),1644695.600000000093132,1667191.080000000074506,1595679.100000000093132,1660879.919999999925494,1627540.600000000325963,1666451.199999999720603,9862441.500000000000000
FS( 6 ),1646513.839999999850988,1678742.840000000083819,1607371.060000000288710,1660081.840000000083819,1612275.280000000260770,1676117.199999999953434,9881106.060000000521541
FS( 7 ),1651968.560000000055879,1679136.650000000139698,1620176.540000000270084,1650704.400000000139698,1620613.480000000214204,1671606.399999999674037,9894210.030000001192093
FS( 8 ),1673484.399999999906868,1699614.770000000018626,1650241.580000000307336,1652699.599999999860302,1626642.640000000130385,1686642.399999999674037,9989329.390000000596046
FS( 9 ),1697727.600000000093132,1721536.859999999869615,1720114.960000000195578,1645317.359999999869615,1638957.520000000251457,1712203.599999999627471,10135861.899999998509884
