訓練日期,20140521 - 20140821
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11674745.970000000670552
真實報酬,1674745.970000000670552

夏普值報酬,0.158774597000000
夏普值風險,0.039030682193488
夏普值,4.067943168733302

預期報酬,24793.280347088020790
風險,127883.430423215162591
趨勢值,0.193874063786353
找到最佳解世代,1964
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](4),INTC[11](1),PG[21](23),
Stock#,DIS[6](4),INTC[11](1),PG[21](23),
張數,41106,128008,41547,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,47.459999999962747,4.680000000167638,17.189999999944121,
20140521,3378549.600000000093132,3353814.280000000260770,3344135.219999999739230,10076500.100000001490116
20140522,3385126.559999999590218,3347413.879999999888241,3350782.740000000223517,10083324.179999999701977
20140523,3424999.379999999888241,3365335.000000000000000,3345381.629999999888241,10135717.009999999776483
20140527,3442263.899999999906868,3419098.360000000335276,3327100.949999999720603,10188464.209999999031425
20140528,3436509.059999999590218,3440859.720000000204891,3327931.889999999664724,10205301.669999998062849
20140529,3454184.640000000130385,3451100.360000000335276,3340395.990000000223517,10245681.990000000223517
20140530,3453362.520000000018626,3497183.240000000223517,3356599.320000000298023,10307146.080000000074506
20140602,3464050.079999999608845,3489502.760000000242144,3338734.109999999869615,10292287.949999999254942
20140603,3448018.739999999757856,3540705.959999999962747,3320868.900000000372529,10309594.599999999627471
20140604,3462816.899999999906868,3533025.480000000447035,3317960.609999999869615,10313803.990000000223517
20140605,3485014.140000000130385,3540705.959999999962747,3328347.359999999869615,10354068.459999999031425
20140606,3478026.120000000111759,3605990.040000000502914,3325023.600000000093132,10409040.759999999776483
20140609,3513788.340000000316650,3572707.959999999962747,3327516.419999999925494,10414013.720000000670552
20140610,3483780.959999999962747,3614950.600000000093132,3330009.240000000223517,10428741.800000000745058
20140611,3465694.319999999832362,3575268.120000000111759,3326270.010000000242144,10367233.449999999254942
20140612,3403624.259999999776483,3579108.360000000335276,3313805.910000000149012,10296539.530000001192093
20140613,3403624.259999999776483,3823603.640000000130385,3308820.270000000018626,10536049.169999999925494
20140616,3424177.259999999776483,3841524.760000000242144,3310897.619999999646097,10576600.639999998733401
20140617,3418422.419999999925494,3833844.280000000260770,3306327.449999999720603,10558595.150000000372529
20140618,3435686.939999999944121,3831284.120000000111759,3315052.320000000298023,10582024.380000000819564
20140619,3443497.079999999608845,3851765.400000000372529,3333748.469999999739230,10629011.949999999254942
20140620,3404446.379999999888241,3865846.280000000260770,3320868.900000000372529,10591162.560000000521541
20140623,3401980.020000000018626,3869686.520000000018626,3303834.629999999888241,10575502.169999999925494
20140624,3398691.540000000037253,3904248.680000000167638,3282645.660000000149012,10585586.880000000819564
20140625,3448840.860000000335276,3952891.720000000204891,3295525.229999999515712,10697258.809999998658895
20140626,3471449.160000000149012,3940090.920000000391155,3266442.330000000074506,10677983.410000000149012
20140627,3506389.259999999776483,3959292.120000000111759,3283061.129999999888241,10748743.509999999776483
20140630,3524475.899999999906868,3955451.879999999888241,3265195.919999999925494,10745124.699999999254942
20140701,3554483.279999999795109,3965692.520000000018626,3293863.350000000093132,10814040.150000000372529
20140702,3553250.100000000093132,3965692.520000000018626,3305496.510000000242144,10824440.130000000819564
20140703,3569692.500000000000000,3986173.800000000279397,3322946.250000000000000,10878813.550000000745058
20140707,3559416.000000000000000,3972092.920000000391155,3331671.119999999646097,10863181.039999999105930
20140708,3529408.620000000111759,3941371.000000000000000,3347043.510000000242144,10817824.130000000819564
20140709,3585312.779999999795109,3954171.800000000279397,3393160.680000000167638,10932646.259999999776483
20140710,3570514.620000000111759,4001534.760000000242144,3390667.859999999869615,10962718.240000000223517
20140711,3571747.799999999813735,4000254.680000000167638,3371971.709999999962747,10943975.190000001341105
20140714,3566404.020000000018626,4030976.600000000093132,3378619.229999999515712,10976000.849999999627471
20140715,3541329.360000000335276,4059138.360000000335276,3376126.410000000149012,10976595.130000000819564
20140716,3508444.559999999590218,4435481.880000000819564,3362831.369999999646097,11306758.810000000521541
20140717,3495290.640000000130385,4313874.280000001192093,3340395.990000000223517,11149561.910000002011657
20140718,3527353.319999999832362,4313874.280000001192093,3346628.040000000037253,11187856.640000000596046
20140721,3524475.899999999906868,4359957.160000000149012,3335410.350000000093132,11219844.410000000149012
20140722,3543795.719999999739230,4453403.000000000000000,3327931.889999999664724,11325131.609999999403954
20140723,3536807.700000000186265,4416280.679999999701977,3323361.719999999739230,11276451.099999999627471
20140724,3568048.259999999776483,4384278.679999999701977,3334579.410000000149012,11286907.349999999627471
20140725,3544617.840000000316650,4384278.679999999701977,3305496.510000000242144,11234394.029999999329448
20140728,3582435.360000000335276,4381718.519999999552965,3293032.410000000149012,11257187.289999999105930
20140729,3543384.660000000149012,4376598.199999999254942,3267688.740000000223517,11187672.599999999627471
20140730,3584901.719999999739230,4397079.480000000447035,3247330.709999999962747,11229312.910000000149012
20140731,3530230.739999999757856,4338195.800000000745058,3212431.229999999515712,11080858.769999999552965
20140801,3509677.739999999757856,4318994.599999999627471,3309235.740000000223517,11137909.080000000074506
20140804,3586134.899999999906868,4358677.080000000074506,3291370.529999999795109,11236183.509999999776483
20140805,3565992.959999999962747,4201227.240000000223517,3299264.459999999962747,11066485.660000000149012
20140806,3559416.000000000000000,4205067.480000000447035,3369063.419999999925494,11133547.900000000372529
20140807,3515021.520000000018626,4183306.120000000111759,3329593.770000000018626,11027922.410000000149012
20140808,3570103.559999999590218,4173065.480000000447035,3363246.839999999850988,11106416.879999998956919
20140811,3596822.459999999962747,4226828.839999999850988,3385266.750000000000000,11208919.050000000745058
