訓練日期,20150318 - 20150618
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11224190.830000000074506
真實報酬,1224190.830000000074506

夏普值報酬,0.113719083000000
夏普值風險,0.031512032691687
夏普值,3.608751111444439

預期報酬,17152.432967383752839
風險,73899.859610938467085
趨勢值,0.232103728717299
找到最佳解世代,1921
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DD[7](2),GS[8](1),JPM[13](5),NKE[19](4),
Stock#,DD[7](2),GS[8](1),JPM[13](5),NKE[19](4),
張數,37644,13118,40577,51792,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,61.959999999962747,102.740000000223517,51.029999999795109,0.159999999683350,
20150318,2548560.760000000242144,2522956.500000000000000,2505680.779999999795109,2525378.079999999608845,10102576.119999999180436
20150319,2505270.159999999683350,2492129.200000000186265,2483363.429999999701977,2546094.879999999422580,10026857.669999998062849
20150320,2535385.359999999869615,2533582.080000000074506,2505680.779999999795109,2640874.239999999757856,10215522.459999999031425
20150323,2531997.400000000372529,2518234.020000000484288,2480928.809999999590218,2627408.319999999366701,10158568.550000000745058
20150324,2530868.080000000074506,2509313.780000000260770,2453336.449999999720603,2606691.519999999552965,10100209.830000000074506
20150325,2510540.319999999832362,2457760.040000000037253,2418846.000000000000000,2563704.159999999683350,9950850.519999999552965
20150326,2512046.080000000074506,2456317.060000000521541,2416005.609999999869615,2572508.799999999813735,9956877.550000000745058
20150327,2560230.400000000372529,2467073.820000000298023,2416411.379999999888241,2586492.639999999664724,10030208.240000000223517
20150330,2609544.039999999571592,2505903.100000000558794,2473624.949999999720603,2612906.560000000055879,10201978.650000000372529
20150331,2572276.479999999981374,2465893.200000000186265,2458205.689999999944121,2598404.799999999813735,10094780.169999998062849
20150401,2567759.199999999720603,2521775.879999999888241,2432642.179999999701977,2578205.919999999925494,10100383.179999999701977
20150402,2586204.760000000242144,2512855.640000000596046,2455771.069999999832362,2580795.519999999552965,10135626.990000000223517
20150406,2609544.039999999571592,2519414.640000000596046,2453742.219999999739230,2582867.199999999720603,10165568.099999999627471
