訓練日期,20121224 - 20130328
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11474084.820000002160668
真實報酬,1474084.820000002160668

夏普值報酬,0.138708482000000
夏普值風險,0.040216990350207
夏普值,3.449002045954581

預期報酬,22045.036141141325061
風險,62507.166548447683454
趨勢值,0.352680138269502
找到最佳解世代,2659
找到最佳解實驗#,26
找到最佳解次數,2

stock[index](rank)
投資組合檔數,5
JNJ[12](1),MMM[16](3),PFE[20](8),TRV[22](2),VZ[26](20),
Stock#,JNJ[12](1),MMM[16](3),PFE[20](8),TRV[22](2),VZ[26](20),
張數,28461,21482,79744,27464,45903,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,45.530000000027940,25.800000000046566,20.480000000214204,71.520000000251457,6.290000000037253,
20121224,1992884.750000000000000,2001933.379999999888241,2000000.000000000000000,1987366.560000000288710,1998622.909999999916181,9980807.599999999627471
20121226,1997153.900000000139698,1999355.539999999804422,2012759.040000000037253,1984894.800000000046566,1994491.640000000130385,9988654.919999999925494
20121227,1994877.020000000018626,1990118.280000000027940,2004784.640000000363216,1972536.000000000000000,1995868.729999999981374,9958184.669999999925494
20121228,1977515.810000000055879,1971643.760000000009313,1984848.640000000363216,1956606.880000000121072,1969244.989999999990687,9859860.080000000074506
20121231,1995161.629999999888241,1994629.500000000000000,2000000.000000000000000,1972536.000000000000000,1986229.100000000093132,9948556.230000000447035
20130102,2016222.770000000018626,2036089.760000000009313,2066187.520000000251457,2001098.560000000288710,2032132.100000000093132,10151730.710000000894070
20130103,2013376.669999999925494,2033726.739999999990687,2061402.880000000353903,2016478.400000000372529,2022492.470000000204891,10147477.160000002011657
20130104,2036430.079999999841675,2048764.140000000130385,2070174.720000000204891,2034055.360000000335276,2033509.189999999944121,10222933.490000000223517
20130107,2032160.930000000167638,2051341.979999999981374,2071769.600000000325963,2006591.360000000335276,2051411.359999999869615,10213275.230000000447035
20130108,2032445.540000000037253,2051556.800000000046566,2074959.360000000102445,2010161.680000000167638,1978425.590000000083819,10147548.970000000670552
20130109,2041553.060000000055879,2071105.419999999925494,2110844.160000000149012,2030759.680000000167638,1973835.290000000037253,10228097.609999999403954
20130110,2054645.119999999878928,2081416.780000000027940,2133969.919999999925494,2044766.320000000298023,2000918.060000000288710,10315716.200000001117587
20130111,2059198.879999999888241,2068312.760000000009313,2114831.360000000335276,2055751.920000000158325,1987606.189999999944121,10285701.109999999403954
20130114,2065175.690000000176951,2085498.360000000102445,2132375.040000000037253,2058498.320000000298023,1955015.060000000288710,10296562.470000000670552
20130115,2059768.100000000093132,2090009.580000000074506,2122805.760000000707805,2075251.360000000335276,1926555.199999999953434,10274390.000000001862645
20130116,2065744.909999999916181,2096669.000000000000000,2122008.320000000298023,2074976.720000000204891,1905439.819999999832362,10264838.770000001415610
20130117,2074852.430000000167638,2106980.360000000335276,2139552.000000000000000,2084589.120000000344589,1933899.680000000167638,10339873.590000001713634
20130118,2084244.560000000055879,2121158.479999999515712,2116426.240000000223517,2095849.360000000335276,1952719.909999999916181,10370398.550000000745058
20130122,2068875.619999999878928,2133832.860000000335276,2127590.400000000372529,2140890.320000000298023,1971081.109999999869615,10442270.310000000521541
20130123,2073429.379999999888241,2137269.979999999515712,2125198.080000000074506,2132376.480000000447035,1964195.659999999916181,10432469.580000000074506
20130124,2080544.629999999888241,2141136.740000000223517,2141146.879999999888241,2144735.280000000260770,1955015.060000000288710,10462578.590000001713634
20130125,2103882.650000000372529,2160900.179999999701977,2153108.480000000447035,2151875.919999999925494,1958687.300000000046566,10528454.530000001192093
20130128,2095344.350000000093132,2162189.100000000558794,2140349.440000000409782,2124411.919999999925494,1963277.600000000093132,10485572.410000002011657
20130129,2117828.540000000037253,2187108.219999999739230,2208929.280000000260770,2137045.360000000335276,1996786.790000000037253,10647698.190000001341105
20130130,2108721.020000000484288,2165411.400000000372529,2193777.919999999925494,2130728.640000000596046,2001836.120000000111759,10600475.100000001490116
20130131,2103882.650000000372529,2160040.900000000372529,2175436.800000000745058,2154896.959999999962747,2001836.120000000111759,10596093.430000003427267
20130201,2111282.509999999776483,2181737.719999999739230,2203347.200000000186265,2194170.480000000447035,2045443.970000000204891,10735981.880000000819564
20130204,2109290.240000000223517,2164766.940000000409782,2166664.959999999962747,2142263.520000000484288,2043607.850000000093132,10626593.509999999776483
20130205,2124943.790000000037253,2180233.979999999515712,2193777.919999999925494,2160115.120000000111759,2045443.970000000204891,10704514.779999999329448
20130206,2145720.320000000298023,2206012.379999999888241,2178626.560000000521541,2168628.959999999962747,2054165.540000000037253,10753153.760000001639128
20130207,2136328.190000000409782,2195915.839999999850988,2149918.720000000670552,2173023.200000000186265,2040853.670000000158325,10696039.620000001043081
20130208,2148281.810000000521541,2205367.919999999925494,2143539.200000000186265,2165882.560000000521541,2035804.340000000083819,10698875.830000001937151
20130211,2146289.540000000037253,2204508.640000000596046,2164272.640000000596046,2175494.959999999962747,2034427.250000000000000,10724993.030000001192093
20130212,2157389.330000000074506,2222553.519999999552965,2152311.040000000037253,2194445.120000000111759,2039935.609999999869615,10766634.619999999180436
20130213,2153404.790000000037253,2209664.320000000298023,2153108.480000000447035,2196916.879999999888241,2043607.850000000093132,10756702.320000000298023
20130214,2157673.940000000409782,2207945.759999999776483,2157893.120000000111759,2206529.280000000260770,2034886.280000000027940,10764928.380000000819564
20130215,2167635.290000000037253,2217612.660000000149012,2176234.240000000223517,2207902.480000000447035,2038099.489999999990687,10807484.160000002011657
20130219,2190404.089999999850988,2238020.560000000521541,2209726.720000000670552,2213669.919999999925494,2042689.790000000037253,10894511.080000001937151
20130220,2181581.180000000633299,2215894.100000000558794,2198562.560000000521541,2200212.560000000521541,2061969.050000000046566,10858219.450000002980232
20130221,2187842.600000000558794,2206656.839999999850988,2185803.520000000484288,2207627.839999999850988,2071149.649999999906868,10859080.450000001117587
20130222,2170196.780000000260770,2224272.080000000074506,2183411.200000000186265,2224930.160000000149012,2084002.489999999990687,10886812.710000000894070
20130225,2150843.299999999813735,2185819.299999999813735,2140349.440000000409782,2176593.520000000484288,2098691.450000000186265,10752297.010000001639128
20130226,2155966.280000000260770,2197849.219999999739230,2155500.800000000745058,2198290.080000000074506,2117052.649999999906868,10824659.030000001192093
20130227,2172189.049999999813735,2224916.540000000037253,2185803.520000000484288,2218613.440000000409782,2127610.340000000316650,10929132.890000000596046
20130228,2166212.240000000223517,2234153.799999999813735,2182613.760000000707805,2208726.400000000372529,2135872.879999999888241,10927579.080000001937151
20130301,2183004.230000000447035,2229212.940000000409782,2184208.640000000596046,2216141.680000000633299,2144594.450000000186265,10957161.940000001341105
20130304,2197234.730000000447035,2218686.759999999776483,2208131.839999999850988,2211472.799999999813735,2162496.620000000111759,10998022.750000000000000
20130305,2210326.790000000037253,2243820.700000000186265,2238434.560000000521541,2237288.959999999962747,2189120.359999999869615,11118991.370000001043081
20130306,2202642.320000000298023,2248331.919999999925494,2242421.760000000707805,2226578.000000000000000,2170300.129999999888241,11090274.129999998956919
20130307,2212888.280000000260770,2245754.080000000074506,2254383.360000000335276,2230148.320000000298023,2179480.729999999981374,11122654.770000001415610
20130308,2225411.120000000111759,2270888.019999999552965,2248003.839999999850988,2242507.120000000111759,2201514.169999999925494,11188324.269999999552965
20130311,2232526.370000000111759,2273036.219999999739230,2252788.480000000447035,2245253.520000000484288,2194628.720000000204891,11198233.310000000521541
20130312,2235941.690000000409782,2258428.459999999962747,2228067.839999999850988,2244978.879999999888241,2219875.370000000111759,11187292.240000002086163
20130313,2235657.080000000074506,2257569.179999999701977,2234447.360000000335276,2255415.200000000186265,2200596.109999999869615,11183684.929999999701977
20130314,2251310.629999999888241,2277547.440000000409782,2241624.320000000298023,2262006.560000000521541,2225383.729999999981374,11257872.680000001564622
20130315,2253872.120000000111759,2285710.600000000558794,2234447.360000000335276,2259809.440000000409782,2204268.350000000093132,11238107.870000001043081
20130318,2243056.940000000409782,2264443.419999999925494,2236042.240000000223517,2266675.440000000409782,2237777.540000000037253,11247995.580000001937151
20130319,2244479.990000000223517,2259502.560000000521541,2232055.040000000037253,2284801.680000000633299,2246958.140000000130385,11267797.410000002011657
20130320,2261271.980000000447035,2269813.919999999925494,2255978.240000000223517,2302653.280000000260770,2230892.090000000316650,11320609.510000001639128
