訓練日期,20180530 - 20180829
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11382493.149999998509884
真實報酬,1382493.149999998509884

夏普值報酬,0.129549315000000
夏普值風險,0.037584197448433
夏普值,3.446909174467466

預期報酬,21320.003905514327926
風險,74041.439065415892401
趨勢值,0.287946914249979
找到最佳解世代,2110
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,5
DIS[6](6),MSFT[18](11),PG[21](1),VZ[26](3),WMT[28](9),
Stock#,DIS[6](6),MSFT[18](11),PG[21](1),VZ[26](3),WMT[28](9),
張數,20062,20406,27008,41493,24271,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,19.219999999972060,7.939999999944121,57.600000000093132,37.399999999906868,69.599999999860302,
20180530,2005817.979999999981374,2019181.639999999897555,2022686.720000000204891,2016597.199999999953434,2041746.119999999878928,10106029.660000000149012
20180531,1995586.359999999869615,2016936.979999999981374,1976232.960000000195578,1978008.709999999962747,2003397.939999999944121,9970162.949999999254942
20180601,1993379.540000000037253,2056728.680000000167638,1983795.200000000186265,1983817.729999999981374,2014319.889999999664724,10032041.039999999105930
20180604,2011034.099999999860302,2074685.959999999962747,2003511.040000000270084,1984232.659999999916181,2073298.419999999925494,10146762.179999999701977
20180605,2005015.500000000000000,2085297.079999999841675,1997839.360000000102445,1990456.609999999869615,2053881.619999999878928,10132490.169999999925494
20180606,2044537.639999999897555,2091418.879999999888241,2008102.399999999906868,2008713.529999999795109,2052425.359999999869615,10205197.809999998658895
20180607,2055772.359999999869615,2058565.219999999739230,2046183.680000000167638,2033609.329999999841675,2061891.049999999813735,10256021.640000000596046
20180608,2086065.979999999981374,2073869.719999999739230,2084535.040000000270084,2040663.139999999897555,2047571.159999999916181,10332705.039999999105930
20180611,2093488.919999999925494,2062034.239999999990687,2093987.840000000083819,2045642.299999999813735,2046114.899999999906868,10341268.199999999254942
20180612,2093087.679999999934807,2067339.800000000046566,2086155.520000000018626,2025310.729999999981374,2041260.699999999720603,10313154.429999999701977
20180613,2132810.440000000409782,2057953.039999999804422,2065359.360000000102445,1966805.599999999860302,2041017.989999999990687,10263946.429999999701977
20180614,2181761.719999999739230,2069584.459999999962747,2052395.520000000018626,1984232.659999999916181,2033736.689999999944121,10321711.049999998882413
20180615,2183767.919999999925494,2043260.719999999739230,2089936.639999999897555,1994190.979999999981374,2031552.299999999813735,10342708.559999998658895
20180618,2147856.940000000409782,2058157.099999999860302,2048344.320000000298023,1969295.179999999934807,2014562.599999999860302,10238216.140000000596046
20180619,2128597.419999999925494,2058157.099999999860302,2061578.239999999990687,2012447.899999999906868,2029367.909999999916181,10290148.570000000298023
20180620,2149662.520000000484288,2078767.160000000149012,2048614.399999999906868,1995435.770000000018626,2029367.909999999916181,10301847.759999999776483
20180621,2124384.400000000372529,2063870.780000000027940,2064549.120000000111759,2017841.989999999990687,2043930.509999999776483,10314576.800000000745058
20180622,2133412.299999999813735,2048974.399999999906868,2091287.040000000270084,2064729.079999999841675,2058735.819999999599531,10397138.640000000596046
20180625,2095495.120000000111759,2007754.280000000027940,2101009.920000000391155,2058090.199999999953434,2098782.969999999739230,10361132.490000000223517
20180626,2091683.340000000083819,2021834.419999999925494,2106681.600000000093132,2045642.299999999813735,2086890.179999999934807,10352731.839999999850988
20180627,2085664.739999999757856,1990409.180000000167638,2098309.120000000111759,2046057.229999999981374,2108976.790000000037253,10329417.059999998658895
20180628,2101914.959999999962747,2012651.719999999739230,2108032.000000000000000,2110371.379999999888241,2083977.659999999916181,10416947.719999998807907
20180629,2102717.440000000409782,2012243.599999999860302,2108302.080000000074506,2087550.229999999981374,2078880.750000000000000,10389694.099999999627471
20180702,2113149.679999999701977,2040812.000000000000000,2110192.640000000130385,2092114.459999999962747,2038833.599999999860302,10395102.380000000819564
20180703,2087269.700000000186265,2021222.239999999990687,2103980.800000000279397,2103732.500000000000000,2049512.839999999850988,10365718.080000000074506
20180705,2113350.299999999813735,2035710.500000000000000,2139361.279999999795109,2127798.439999999944121,2052668.069999999599531,10468888.589999999850988
