訓練日期,20170720 - 20171019
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10927819.089999999850988
真實報酬,927819.089999999850988

夏普值報酬,0.084081909000000
夏普值風險,0.025695217968538
夏普值,3.272278487886481

預期報酬,14056.470255057924078
風險,54794.212994403780613
趨勢值,0.256532022031114
找到最佳解世代,2630
找到最佳解實驗#,2
找到最佳解次數,35

stock[index](rank)
投資組合檔數,9
AAPL[0](17),CAT[3](1),DD[7](21),HD[9](18),MCD[15](9),PFE[20](11),UNH[23](8),V[25](2),VZ[26](7),
Stock#,AAPL[0](17),CAT[3](1),DD[7](21),HD[9](18),MCD[15](9),PFE[20](11),UNH[23](8),V[25](2),VZ[26](7),
張數,7357,10302,11684,7247,7220,33049,5872,11309,25572,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,56.859999999869615,40.300000000046566,79.439999999944121,145.899999999906868,25.200000000186265,3.620000000111759,187.320000000065193,1.750000000000000,7.599999999860302,
20170720,1106108.239999999990687,1105650.939999999944121,1104801.639999999897555,1065672.309999999823049,1113421.400000000139698,1108467.080000000074506,1124675.320000000065193,1109527.739999999990687,1130801.439999999944121,9969127.109999999403954
20170721,1105593.250000000000000,1098130.479999999981374,1100595.399999999906868,1062918.449999999953434,1111327.600000000093132,1106484.139999999897555,1126319.479999999981374,1126378.149999999906868,1131057.159999999683350,9968805.109999999403954
20170724,1118982.989999999990687,1114510.660000000149012,1101880.639999999897555,1047917.160000000032596,1096382.200000000186265,1101196.300000000046566,1121093.399999999906868,1135086.080000000074506,1117759.719999999972060,9954810.150000000372529
20170725,1123765.040000000037253,1180031.380000000121072,1112396.239999999990687,1065237.489999999990687,1148510.600000000093132,1093925.520000000251457,1118216.120000000111759,1130788.659999999916181,1124664.159999999683350,10097536.210000000894070
20170726,1129062.079999999841675,1169523.340000000083819,1105269.000000000000000,1063208.329999999841675,1130027.400000000139698,1086985.230000000214204,1120271.320000000065193,1140514.399999999906868,1135404.399999999906868,10080266.500000001862645
20170727,1107726.779999999795109,1178280.040000000037253,1099894.359999999869615,1070745.209999999729916,1133204.200000000186265,1090620.620000000111759,1109584.280000000027940,1126038.879999999888241,1222604.919999999925494,10138700.290000000968575
20170728,1099928.359999999869615,1175498.500000000000000,1092883.959999999962747,1073281.659999999916181,1125262.200000000186265,1095577.969999999972060,1122620.120000000111759,1121289.100000000093132,1225929.279999999795109,10132272.149999998509884
20170731,1094263.469999999739230,1173953.200000000186265,1068931.760000000009313,1084297.099999999860302,1120136.000000000000000,1095908.459999999962747,1126495.640000000130385,1125925.790000000037253,1237692.399999999906868,10127604.819999998435378
20170801,1103974.709999999962747,1165196.500000000000000,1076409.520000000018626,1086108.849999999860302,1112194.000000000232831,1093264.540000000037253,1128961.880000000121072,1140740.580000000074506,1250222.679999999934807,10157074.259999999776483
20170802,1156135.839999999850988,1165093.479999999981374,1069983.319999999832362,1090819.399999999906868,1130605.000000000232831,1087976.700000000186265,1133483.320000000065193,1145377.270000000018626,1232833.719999999972060,10212309.050000000745058
20170803,1144585.349999999860302,1169935.420000000158325,1055495.159999999916181,1092921.029999999795109,1117103.600000000093132,1104831.690000000176951,1143876.760000000009313,1137574.060000000055879,1243062.519999999785796,10209386.589999997988343
20170804,1150618.089999999850988,1178074.000000000000000,1066828.639999999897555,1107125.149999999906868,1110605.600000000093132,1111771.980000000214204,1144522.679999999934807,1140966.760000000009313,1250734.119999999878928,10261248.019999997690320
20170807,1168422.029999999795109,1181782.719999999972060,1062972.919999999925494,1111473.349999999860302,1118908.600000000093132,1100865.810000000288710,1143935.479999999981374,1147752.159999999916181,1249455.519999999785796,10285569.589999999850988
20170808,1177765.419999999925494,1178692.120000000111759,1055144.639999999897555,1111473.349999999860302,1118547.600000000093132,1099874.340000000083819,1144640.120000000111759,1145377.270000000018626,1242806.799999999813735,10274322.660000000149012
20170809,1184975.279999999795109,1177970.979999999981374,1056663.560000000055879,1125315.119999999878928,1118547.600000000093132,1105492.670000000158325,1144229.080000000074506,1141871.479999999981374,1233089.439999999944121,10288156.209999999031425
20170810,1142746.099999999860302,1165711.600000000093132,1050120.520000000018626,1115314.259999999776483,1130821.600000000325963,1104501.200000000186265,1130958.360000000102445,1125134.159999999916181,1227975.040000000037253,10193283.839999999850988
20170811,1158637.219999999739230,1162621.000000000000000,1052691.000000000000000,1122561.259999999776483,1135731.200000000186265,1098882.870000000111759,1133600.760000000009313,1131919.560000000055879,1228997.919999999925494,10225643.789999999105930
20170814,1176073.309999999823049,1171480.719999999972060,1055144.639999999897555,1118068.119999999878928,1135442.400000000139698,1100865.810000000288710,1137652.440000000176951,1152049.580000000074506,1247409.759999999776483,10294187.780000001192093
20170815,1188948.059999999823049,1170862.600000000093132,1059467.719999999972060,1088427.889999999897555,1138041.600000000325963,1103179.240000000223517,1142291.320000000065193,1160644.419999999925494,1239738.159999999683350,10291602.010000001639128
20170816,1184166.009999999776483,1175704.540000000037253,1064024.479999999981374,1103501.649999999906868,1147283.200000000186265,1102518.260000000009313,1138004.760000000009313,1168447.629999999888241,1237948.119999999878928,10321599.649999998509884
20170817,1161432.879999999888241,1165608.580000000074506,1051288.919999999925494,1084804.389999999897555,1139991.000000000000000,1088968.170000000158325,1131721.719999999972060,1155329.189999999944121,1224650.679999999934807,10203796.529999999329448
20170818,1158784.359999999869615,1173644.140000000130385,1055027.800000000046566,1069005.929999999934807,1139052.400000000139698,1079714.450000000186265,1120682.360000000102445,1159287.340000000083819,1219536.279999999795109,10174736.060000000521541
20170821,1156650.829999999841675,1170347.500000000000000,1062622.399999999906868,1081398.299999999813735,1143384.400000000372529,1082688.860000000102445,1127787.479999999981374,1167316.729999999981374,1231043.679999999934807,10223241.179999999701977
20170822,1175558.319999999832362,1193217.939999999944121,1077928.439999999944121,1086543.669999999925494,1152626.000000000000000,1095577.969999999972060,1143994.199999999953434,1176929.379999999888241,1236413.799999999813735,10338790.719999998807907
20170823,1177029.719999999739230,1182194.800000000046566,1074656.919999999925494,1080673.599999999860302,1146633.400000000139698,1098552.380000000121072,1140764.600000000093132,1166864.370000000111759,1234623.759999999776483,10301994.549999998882413
20170824,1171806.250000000000000,1182503.860000000102445,1070801.199999999953434,1074513.649999999906868,1143745.400000000139698,1098221.889999999897555,1143759.320000000065193,1167316.729999999981374,1235390.919999999925494,10288060.220000000670552
20170825,1176146.879999999888241,1188376.000000000000000,1073955.879999999888241,1084659.449999999953434,1146705.600000000093132,1103509.730000000214204,1141469.240000000223517,1168786.899999999906868,1244852.559999999823049,10328463.240000002086163
20170828,1187991.649999999906868,1185491.439999999944121,1076175.839999999850988,1097269.229999999748543,1152842.600000000093132,1106153.650000000139698,1145755.800000000046566,1173649.770000000018626,1243062.519999999785796,10368393.500000000000000
20170829,1198585.729999999748543,1195175.320000000065193,1068698.079999999841675,1086036.379999999888241,1150748.800000000046566,1107145.120000000111759,1155385.880000000121072,1173536.679999999934807,1240505.319999999832362,10375818.310000000521541
20170830,1201822.809999999823049,1211040.399999999906868,1079914.719999999972060,1087195.899999999906868,1151831.800000000279397,1105492.670000000158325,1150394.679999999934807,1173084.320000000065193,1230532.239999999757856,10391310.540000000968575
