代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11380212.659999998286366
真實報酬,1380212.659999998286366

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11757.920860930977142
風險,229040.012445862230379
起點值,0.051335662862445
找到最佳解世代,2420
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](3),MCD[15](1),PG[21](5),
Stock#,CSCO[4](3),MCD[15](1),PG[21](5),
張數,210570,38584,54262,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,9.899999999906868,61.239999999757856,18.339999999850988,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3255422.100000000093132,3282016.279999999795109,3302946.279999999795109,9840385.660000000149012
FS( 3 ),3261739.199999999720603,3300536.600000000093132,3295349.599999999627471,9857626.399999998509884
FS( 4 ),3120657.299999999813735,3251920.759999999776483,3232948.299999999813735,9605527.359999999403954
FS( 5 ),3145925.699999999720603,3282787.959999999497086,3287752.919999999925494,9716467.579999998211861
FS( 6 ),2935355.699999999720603,3168193.479999999515712,3217212.319999999832362,9320762.500000000000000
FS( 7 ),2960624.100000000093132,3316741.879999999422580,3267675.979999999981374,9545042.959999999031425
FS( 8 ),2891136.000000000000000,3244203.959999999497086,3174887.959999999962747,9310228.919999998062849
FS( 9 ),3352284.299999999813735,3329088.759999999776483,3280156.240000000223517,9961530.300000000745058
FS( 10 ),3367024.199999999720603,3337577.239999999757856,3317597.020000000018626,10022199.459999999031425
FS( 11 ),3375447.000000000000000,3349924.119999999646097,3357750.899999999906868,10083123.019999999552965
FS( 12 ),3369129.899999999906868,3344136.520000000018626,3343642.779999999795109,10056910.199999999254942
FS( 13 ),3337544.399999999906868,3376161.239999999757856,3346355.879999999888241,10060062.519999999552965
FS( 14 ),3160665.600000000093132,3303237.479999999515712,3302403.659999999683350,9766307.740000000223517
FS( 15 ),3175405.500000000000000,3365743.560000000055879,3307829.859999999869615,9848979.919999999925494
FS( 16 ),3160665.600000000093132,3386193.080000000074506,3348526.359999999869615,9895386.039999999105930
FS( 17 ),3251210.699999999720603,3454486.759999999776483,3419609.580000000074506,10125308.039999999105930
FS( 18 ),3255422.100000000093132,3477637.159999999683350,3435345.560000000055879,10168405.820000000298023
FS( 19 ),3175405.500000000000000,3422847.879999999422580,3393021.199999999720603,9991275.579999998211861
FS( 20 ),3225942.299999999813735,3469920.359999999869615,3395191.679999999701977,10091055.339999999850988
