代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12711879.339999999850988
真實報酬,2711879.339999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19373.690009671070584
風險,141272.809161967539694
起點值,0.137136722378468
找到最佳解世代,1730
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](10),MRK[17](1),PFE[20](4),VZ[26](3),WBA[27](7),
Stock#,DIS[6](10),MRK[17](1),PFE[20](4),VZ[26](3),WBA[27](7),
張數,20128,33025,55172,41832,31816,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,81.919999999925494,6.000000000000000,15.000000000000000,12.079999999841675,46.239999999990687,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2017712.639999999897555,2048216.500000000000000,2011034.400000000139698,2000418.319999999832362,2013999.039999999804422,10091380.899999998509884
FS( 3 ),2011674.239999999990687,2027410.750000000000000,2010482.679999999934807,2006693.119999999878928,2000954.479999999981374,10057215.269999999552965
FS( 4 ),2051326.399999999906868,2045244.250000000000000,2007172.360000000102445,2025099.199999999720603,2009226.639999999897555,10138068.849999999627471
FS( 5 ),2062598.079999999841675,2047225.750000000000000,2013241.280000000027940,2050198.399999999674037,2023543.840000000083819,10196807.349999999627471
FS( 6 ),2092991.360000000102445,2066710.500000000000000,2023172.239999999990687,2057309.839999999850988,2017180.639999999897555,10257364.580000000074506
FS( 7 ),2100438.719999999739230,2058454.250000000000000,2002758.599999999860302,2062329.679999999701977,2038179.199999999953434,10262160.449999999254942
FS( 8 ),2100036.159999999683350,2062087.000000000000000,2002758.599999999860302,2041832.000000000000000,2026725.440000000176951,10233439.199999999254942
FS( 9 ),2139889.600000000093132,2067040.750000000000000,1998344.839999999850988,1982848.879999999888241,2033406.799999999813735,10221530.869999999180436
FS( 10 ),2189001.919999999925494,2033025.000000000000000,1995034.519999999785796,2000418.319999999832362,2063950.160000000149012,10281429.919999999925494
FS( 11 ),2191014.719999999739230,2048546.750000000000000,2006068.919999999925494,2010458.000000000000000,2093539.039999999804422,10349627.429999999701977
FS( 12 ),2154985.600000000093132,2014200.750000000000000,1995034.519999999785796,1985358.799999999813735,2041042.640000000130385,10190622.310000000521541
FS( 13 ),2135662.719999999739230,2015521.750000000000000,1998344.839999999850988,2028864.079999999841675,2055678.000000000000000,10234071.390000000596046
FS( 14 ),2156797.120000000111759,2023778.000000000000000,2011586.120000000111759,2011712.959999999962747,2163534.240000000223517,10367408.440000001341105
FS( 15 ),2131435.839999999850988,2020475.500000000000000,2002758.599999999860302,2034302.239999999990687,2156852.879999999888241,10345825.059999998658895
FS( 16 ),2140493.439999999944121,2030052.750000000000000,2014344.719999999972060,2081572.399999999674037,2151126.000000000000000,10417589.309999998658895
FS( 17 ),2102451.520000000018626,2017173.000000000000000,2007172.360000000102445,2074879.279999999795109,2139354.080000000074506,10341030.240000000223517
FS( 18 ),2098627.200000000186265,2005284.000000000000000,2007172.360000000102445,2062329.679999999701977,2118037.359999999403954,10291450.599999999627471
FS( 19 ),2092588.799999999813735,1977543.000000000000000,1997793.120000000111759,2062748.000000000000000,2108174.400000000372529,10238847.320000000298023
FS( 20 ),2108892.479999999981374,1991413.500000000000000,2006068.919999999925494,2127587.599999999627471,1899461.440000000176951,10133423.939999999478459
FS( 21 ),2109697.600000000093132,2004623.500000000000000,2001655.160000000149012,2104580.000000000000000,1909642.560000000055879,10130198.820000000298023
FS( 22 ),2120164.159999999683350,1996697.500000000000000,2004413.760000000009313,2109181.519999999552965,1944958.320000000065193,10175415.259999999776483
FS( 23 ),2094199.040000000037253,2004953.750000000000000,2005517.200000000186265,2120894.479999999515712,1933186.399999999906868,10158750.869999999180436
FS( 24 ),2120365.439999999944121,2035667.000000000000000,2034206.639999999897555,2145157.040000000037253,1984728.320000000065193,10320124.439999999478459
FS( 25 ),2109093.759999999776483,2054161.000000000000000,2047447.919999999925494,2153523.439999999478459,2013999.039999999804422,10378225.159999998286366
