代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11154425.080000000074506
真實報酬,1154425.080000000074506

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8756.784357795562755
風險,87536.723274414776824
起點值,0.100035551140569
找到最佳解世代,2015
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](9),DIS[6](22),JNJ[12](8),MCD[15](1),UNH[23](5),
FS( 41 ),2057228.000000000000000,2086452.799999999813735,1998062.360000000102445,2183174.540000000037253,2079671.209999999962747,10404588.910000000149012
FS( 42 ),2055225.020000000251457,2082130.159999999683350,1993702.670000000158325,2168607.359999999869615,2082648.459999999962747,10382313.669999998062849
FS( 43 ),2097144.530000000493601,2066460.589999999850988,1991603.560000000055879,2187513.700000000186265,2079194.850000000093132,10421917.230000000447035
FS( 44 ),2110450.040000000037253,2059976.629999999888241,1997416.480000000214204,2188753.459999999962747,2073835.799999999813735,10430432.410000000149012
FS( 45 ),2104011.890000000130385,2010446.379999999888241,1991442.090000000083819,2210294.290000000037253,2054781.399999999906868,10370976.050000000745058
FS( 46 ),2096429.180000000167638,2002341.429999999934807,2001453.230000000214204,2223156.799999999813735,2072406.720000000204891,10395787.360000001266599
FS( 47 ),2131195.190000000409782,2017110.449999999720603,1994348.550000000046566,2231060.270000000018626,2073597.620000000111759,10447312.080000001937151
FS( 48 ),2189138.540000000037253,2006844.179999999934807,1990150.330000000074506,2235399.430000000167638,2077408.500000000000000,10498940.980000000447035
FS( 49 ),2203159.400000000372529,2018551.329999999608845,1989504.449999999953434,2237259.070000000298023,2063117.700000000186265,10511591.949999999254942
FS( 50 ),2192715.290000000037253,1975144.819999999832362,1983045.650000000139698,2239738.589999999850988,2064904.049999999813735,10455548.399999998509884
FS( 51 ),2202587.120000000111759,1973703.939999999711290,1989342.980000000214204,2234934.520000000018626,2064070.419999999925494,10464638.980000000447035
FS( 52 ),2233347.169999999925494,1975685.149999999674037,1996447.660000000149012,2252756.070000000298023,2046087.830000000074506,10504323.880000000819564
FS( 53 ),2227624.370000000111759,1965598.989999999757856,2050540.110000000102445,2267013.310000000055879,2042753.310000000055879,10553530.089999999850988
FS( 54 ),2224333.760000000242144,1944886.339999999850988,2063134.770000000018626,2282665.279999999795109,2002143.620000000111759,10517163.769999999552965
FS( 55 ),2149651.220000000204891,1914807.969999999972060,2045373.070000000065193,2269027.919999999925494,2010956.280000000260770,10389816.460000000894070
FS( 56 ),2182414.250000000000000,1921472.040000000037253,2050217.170000000158325,2278326.119999999646097,2041800.589999999850988,10474230.169999999925494
FS( 57 ),2189853.890000000130385,1936601.279999999795109,2050701.580000000074506,2295992.700000000186265,2055376.850000000093132,10528526.299999998882413
FS( 58 ),2203159.400000000372529,1938582.489999999757856,2054899.800000000046566,2296612.580000000074506,2080504.839999999850988,10573759.109999999403954
FS( 59 ),2200441.070000000298023,1927595.779999999795109,2059098.020000000018626,2290878.689999999944121,2086697.520000000018626,10564711.080000000074506
FS( 60 ),2193859.850000000093132,1940023.369999999646097,2058936.550000000046566,2316913.649999999906868,2091103.850000000093132,10600837.269999999552965
FS( 61 ),2201442.560000000055879,1932098.529999999795109,2059259.489999999990687,2321252.810000000055879,2120399.990000000223517,10634453.380000000819564
FS( 62 ),2197722.740000000223517,1952631.069999999832362,2049409.820000000065193,2322492.570000000298023,2113850.040000000037253,10636106.239999998360872
FS( 63 ),2198581.160000000149012,1951370.299999999813735,2052477.750000000000000,2323577.359999999869615,2103012.850000000093132,10629019.419999999925494
FS( 64 ),2185561.790000000037253,1944165.899999999674037,2070885.330000000074506,2338454.479999999515712,2086221.160000000149012,10625288.660000000149012
FS( 65 ),2191570.730000000447035,1949028.869999999646097,2079443.239999999990687,2361699.979999999515712,2138620.760000000242144,10720363.580000000074506
FS( 66 ),2224047.620000000111759,1930477.540000000037253,2100434.340000000316650,2382620.930000000167638,2136358.049999999813735,10773938.480000000447035
FS( 67 ),2202300.980000000447035,1918590.279999999795109,2104955.500000000465661,2367898.779999999795109,2136119.870000000111759,10729865.410000000149012
FS( 68 ),2209740.620000000111759,1900219.059999999823049,2112544.590000000316650,2343723.459999999962747,2153387.919999999925494,10719615.650000000372529
FS( 69 ),2222903.060000000055879,1907783.679999999934807,2111252.830000000074506,2354726.330000000074506,2181850.430000000167638,10778516.330000000074506
FS( 70 ),2217466.400000000372529,1878966.079999999608845,2108023.430000000167638,2346822.859999999869615,2163748.750000000000000,10715027.519999999552965
FS( 71 ),2131481.330000000074506,1902380.379999999888241,2123847.490000000223517,2347597.709999999962747,2161009.680000000167638,10666316.589999999850988
FS( 72 ),2080548.409999999916181,1927956.000000000000000,2128530.120000000111759,2300951.739999999757856,2134690.790000000037253,10572677.059999998658895
FS( 73 ),2097287.600000000093132,1919310.719999999972060,2131759.520000000018626,2321872.689999999944121,2156126.990000000223517,10626357.519999999552965
FS( 74 ),2076828.590000000083819,1911746.099999999860302,2143869.770000000018626,2335200.109999999869615,2171727.780000000260770,10639372.350000001490116
FS( 75 ),2064381.500000000000000,1908864.339999999850988,2148229.459999999962747,2342793.639999999664724,2148147.959999999962747,10612416.899999998509884
FS( 76 ),2035481.360000000335276,1900399.169999999925494,2169382.029999999795109,2355501.180000000167638,2163034.209999999962747,10623797.949999999254942
FS( 77 ),2093710.850000000325963,1897877.629999999888241,2164860.870000000111759,2373322.729999999515712,2179587.720000000204891,10709359.800000000745058
FS( 78 ),2074682.540000000037253,1872121.899999999674037,2167282.919999999925494,2387734.939999999944121,2182564.970000000204891,10684387.269999999552965
FS( 79 ),2086986.560000000288710,1887611.359999999869615,2178424.350000000093132,2382465.959999999962747,2202214.819999999832362,10737703.050000000745058
FS( 80 ),2083552.880000000121072,1877164.979999999748543,2196831.930000000167638,2399047.750000000000000,2221031.040000000037253,10777628.579999998211861
FS( 81 ),2092852.430000000167638,1879686.519999999785796,2202967.790000000037253,2396568.229999999515712,2206144.790000000037253,10778219.759999997913837
FS( 82 ),2086271.210000000195578,1901479.829999999608845,2201514.560000000055879,2386030.270000000018626,2204596.620000000111759,10779892.489999998360872
FS( 83 ),2056369.580000000074506,1898598.069999999832362,2180039.049999999813735,2382310.989999999757856,2198403.939999999944121,10715721.629999998956919
FS( 84 ),2086414.280000000493601,1924714.019999999785796,2160824.120000000111759,2391299.250000000000000,2211503.839999999850988,10774755.509999999776483
FS( 85 ),2055654.230000000214204,1904001.369999999646097,2141770.659999999683350,2373167.759999999776483,2206382.970000000204891,10680976.990000000223517
FS( 86 ),2060518.610000000335276,1913727.309999999823049,2136119.209999999962747,2373632.669999999925494,2208169.319999999832362,10692167.120000001043081
FS( 87 ),2053078.970000000204891,1935520.619999999646097,2145968.880000000353903,2363404.649999999906868,2222817.390000000130385,10720790.510000001639128
FS( 88 ),2061520.100000000325963,1902560.489999999757856,2157917.659999999683350,2372237.939999999944121,2241871.790000000037253,10736107.980000000447035
FS( 89 ),2042062.580000000074506,1861495.409999999683350,2139833.020000000018626,2372547.879999999888241,2226271.000000000000000,10642209.890000000596046
FS( 90 ),2062807.730000000214204,1860955.079999999608845,2140155.959999999962747,2421828.339999999850988,2238418.180000000167638,10724165.289999999105930
FS( 91 ),2075397.890000000130385,1865818.049999999813735,2124170.430000000167638,2410205.589999999850988,2226390.089999999850988,10701982.050000000745058
FS( 92 ),2082122.180000000167638,1870320.799999999813735,2119003.390000000130385,2400752.419999999925494,2214481.089999999850988,10686679.879999998956919
FS( 93 ),2085126.650000000372529,1880046.739999999757856,2135150.390000000130385,2426632.410000000149012,2223293.750000000000000,10750249.940000001341105
FS( 94 ),2114169.860000000335276,1878425.750000000000000,2129176.000000000465661,2402767.029999999795109,2208883.859999999869615,10733422.500000000000000
FS( 95 ),2132339.750000000000000,1892834.549999999813735,2141124.779999999795109,2406486.310000000055879,2225794.640000000130385,10798580.030000001192093
FS( 96 ),2139779.390000000130385,1887431.250000000000000,2133858.630000000353903,2406176.369999999646097,2219244.689999999944121,10786490.330000000074506
FS( 97 ),2147219.030000000260770,1904721.809999999823049,2171158.200000000186265,2386030.270000000018626,2225199.189999999944121,10834328.500000000000000
FS( 98 ),2160667.610000000335276,1923993.579999999608845,2183268.450000000186265,2384945.479999999515712,2253066.250000000000000,10905941.370000001043081
FS( 99 ),2150938.850000000093132,1933719.519999999785796,2205228.370000000111759,2389904.520000000018626,2280576.040000000037253,10960367.300000000745058
FS( 100 ),2149937.360000000335276,1928856.549999999813735,2184883.149999999906868,2385410.389999999664724,2283910.560000000055879,10932998.009999999776483
FS( 101 ),2175976.100000000093132,1927235.559999999823049,2147745.049999999813735,2353331.599999999627471,2273311.549999999813735,10877599.859999999403954
FS( 102 ),2185275.650000000372529,1916789.179999999934807,2129498.939999999944121,2465219.939999999944121,2267476.140000000130385,10964259.849999999627471
FS( 103 ),2195576.690000000409782,1926154.899999999674037,2114482.229999999981374,2425547.619999999646097,2271644.290000000037253,10933405.730000000447035
FS( 104 ),2154086.390000000130385,1981268.559999999823049,2112544.590000000316650,2432366.299999999813735,2249969.910000000149012,10930235.750000000000000
FS( 105 ),2138920.970000000204891,1980548.119999999646097,2129014.529999999795109,2415319.599999999627471,2276407.890000000130385,10940211.109999999403954
FS( 106 ),2127904.580000000074506,1980007.790000000037253,2143062.419999999925494,2404316.729999999515712,2284267.830000000074506,10939559.349999999627471
FS( 107 ),2146789.820000000298023,1992255.269999999785796,2139671.549999999813735,2387270.029999999795109,2289269.609999999869615,10955256.279999999329448
FS( 108 ),2248226.450000000186265,1957313.929999999934807,2134020.100000000093132,2426787.379999999888241,2298439.540000000037253,11064787.399999998509884
FS( 109 ),2225764.459999999962747,1965418.879999999888241,2153235.029999999795109,2397807.989999999757856,2319518.470000000204891,11061744.830000000074506
FS( 110 ),2237496.200000000186265,1939663.149999999674037,2150490.040000000037253,2383860.689999999944121,2320828.459999999962747,11032338.539999999105930
FS( 111 ),2272119.140000000130385,1915528.409999999683350,2145323.000000000465661,2401682.239999999757856,2319637.560000000055879,11054290.350000001490116
FS( 112 ),2290289.030000000260770,1926875.339999999850988,2135796.270000000018626,2400907.389999999664724,2321066.640000000130385,11074934.670000001788139
FS( 113 ),2304309.890000000130385,1852129.689999999711290,2151297.390000000130385,2400907.389999999664724,2320233.010000000242144,11028877.369999999180436
FS( 114 ),2222187.709999999962747,1825473.409999999683350,2149036.810000000055879,2427252.290000000037253,2293318.669999999925494,10917268.889999998733401
FS( 115 ),2253090.830000000074506,1837000.449999999720603,2149198.279999999795109,2437790.250000000000000,2298677.720000000204891,10975757.529999999329448
FS( 116 ),2286998.419999999925494,1826373.959999999962747,2155334.140000000130385,2437170.369999999646097,2306894.930000000167638,11012771.819999998435378
FS( 117 ),2312035.669999999925494,1828355.169999999925494,2153719.439999999944121,2442749.290000000037253,2316303.040000000037253,11053162.609999999403954
FS( 118 ),2302736.120000000111759,1840782.759999999776483,2166475.569999999832362,2462585.450000000186265,2307609.470000000204891,11080189.369999999180436
FS( 119 ),2258527.490000000223517,1826013.739999999757856,2148229.459999999962747,2446933.479999999515712,2294866.839999999850988,10974571.009999997913837
FS( 120 ),2253376.970000000204891,1813766.259999999776483,2141609.189999999944121,2444918.869999999646097,2272477.919999999925494,10926149.209999999031425
FS( 121 ),2249227.940000000409782,1822231.429999999934807,2154849.729999999981374,2454217.070000000298023,2286887.810000000055879,10967413.980000000447035
FS( 122 ),2285996.930000000167638,1851049.029999999795109,2175033.479999999981374,2474053.229999999515712,2319756.649999999906868,11105889.319999998435378
FS( 123 ),2288858.330000000074506,1828175.059999999823049,2144354.180000000167638,2461190.719999999739230,2313206.700000000186265,11035784.989999998360872
FS( 124 ),2278700.360000000335276,1828535.279999999795109,2145807.409999999683350,2454991.919999999925494,2319280.290000000037253,11027315.259999997913837
FS( 125 ),2287141.490000000223517,1844565.069999999832362,2126269.540000000037253,2461345.689999999944121,2314635.780000000260770,11033957.570000000298023
FS( 126 ),2310175.760000000242144,1847266.719999999972060,2127238.360000000335276,2474518.139999999664724,2323329.350000000093132,11082528.330000000074506
FS( 127 ),2330777.840000000316650,1847446.829999999608845,2134827.450000000186265,2470024.009999999776483,2342860.109999999869615,11125936.239999998360872
FS( 128 ),2337072.919999999925494,1852850.129999999888241,2116419.870000000111759,2472348.560000000055879,2332737.459999999962747,11111428.940000001341105
FS( 129 ),2346372.470000000204891,1822771.759999999776483,2137410.970000000204891,2479167.239999999757856,2368702.640000000130385,11154425.080000000074506
