代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12339914.859999999403954
真實報酬,2339914.859999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19957.175859912727901
風險,124514.571066798525862
起點值,0.160279842663605
找到最佳解世代,3186
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,5
AAPL[0](13),BA[2](1),DIS[6](2),MSFT[18](4),UNH[23](7),
Stock#,AAPL[0](13),BA[2](1),DIS[6](2),MSFT[18](4),UNH[23](7),
張數,17774,15108,21623,34831,14441,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,69.520000000018626,2.959999999962747,88.730000000214204,3.979999999981374,65.909999999916181,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2008531.520000000018626,1998035.959999999962747,2002162.300000000279397,1993730.420000000158325,1995234.469999999972060,9997694.669999999925494
FS( 3 ),2009420.219999999972060,2034446.239999999990687,1999135.080000000307336,2007662.820000000065193,1987147.509999999776483,10037811.870000001043081
FS( 4 ),2024350.380000000121072,2030820.319999999832362,2007351.820000000065193,2011145.920000000158325,1970829.179999999934807,10044497.620000001043081
FS( 5 ),2027371.959999999962747,2022208.759999999776483,2000000.000000000000000,2013235.779999999795109,1973572.969999999972060,10036389.470000000670552
FS( 6 ),2062742.219999999972060,2052273.679999999934807,2000000.000000000000000,2021595.219999999972060,1994079.190000000176951,10130690.310000000521541
FS( 7 ),2067185.719999999972060,2020546.880000000121072,1986377.510000000242144,1991988.869999999878928,1945990.659999999916181,10012089.640000000596046
FS( 8 ),2085670.680000000167638,2011784.239999999990687,1976647.160000000149012,1989202.389999999897555,1951045.009999999776483,10014349.480000000447035
FS( 9 ),2079272.040000000037253,2015108.000000000000000,1970376.490000000223517,1982584.500000000000000,1937903.699999999953434,9985244.730000000447035
FS( 10 ),2090825.139999999897555,2016920.959999999962747,1974268.630000000121072,2000000.000000000000000,1934004.629999999655411,10016019.359999999403954
FS( 11 ),2089403.219999999972060,2024474.959999999962747,1964105.820000000065193,1993033.800000000046566,1937037.239999999757856,10008055.039999999105930
FS( 12 ),2087981.300000000046566,2041093.759999999776483,1971457.640000000363216,2008359.439999999944121,2070760.899999999674037,10179653.040000000968575
FS( 13 ),2081760.400000000139698,2057410.400000000139698,1987891.120000000344589,2003831.409999999916181,2084913.080000000074506,10215806.410000000149012
FS( 14 ),2080693.959999999962747,2052273.679999999934807,1990053.420000000158325,1994078.729999999981374,2095021.779999999795109,10212121.569999998435378
FS( 15 ),2072517.919999999925494,2049101.000000000000000,2011676.420000000158325,2078021.439999999944121,2099354.080000000074506,10310670.859999999403954
FS( 16 ),2091180.620000000111759,2076597.559999999823049,2019028.240000000223517,2124694.979999999981374,2089534.199999999953434,10401035.599999999627471
FS( 17 ),2101845.020000000018626,2100317.120000000111759,2005621.980000000214204,2124346.669999999925494,2076392.889999999897555,10408523.680000001564622
FS( 18 ),2054566.180000000167638,2198821.279999999795109,2021623.000000000000000,2111807.510000000242144,2054009.339999999850988,10440827.310000000521541
FS( 19 ),2034837.040000000037253,2165130.439999999944121,2033083.190000000176951,2093347.080000000074506,2049821.449999999953434,10376219.200000001117587
FS( 20 ),2021328.800000000046566,2160598.040000000037253,2029407.280000000027940,2085335.949999999953434,2026860.259999999776483,10323530.330000000074506
FS( 21 ),2018129.480000000214204,2151835.399999999906868,2004324.600000000093132,2087077.500000000000000,2041012.440000000176951,10302379.419999999925494
FS( 22 ),1981692.780000000027940,2151533.239999999757856,1997837.700000000186265,2082897.779999999795109,2013574.540000000037253,10227536.039999999105930
FS( 23 ),1983470.180000000167638,2126453.959999999962747,1987458.660000000149012,2070010.310000000055879,2007076.089999999850988,10174469.200000001117587
FS( 24 ),1952187.939999999944121,2115425.120000000111759,2019028.240000000223517,2062347.489999999990687,1990468.940000000176951,10139457.730000000447035
FS( 25 ),1934591.680000000167638,2108173.279999999795109,1999135.080000000307336,2044931.989999999990687,1988736.020000000018626,10075568.050000000745058
