代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12423151.570000000298023
真實報酬,2423151.570000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16070.222837375069503
風險,160259.283748693589587
起點值,0.100276392490155
找到最佳解世代,2412
找到最佳解實驗#,3
找到最佳解次數,18

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MSFT[18](4),NKE[19](5),
Stock#,AAPL[0](1),MSFT[18](4),NKE[19](5),
張數,39447,83333,91424,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,61.500000000000000,13.000000000000000,13.959999999962747,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3339250.050000000279397,3307499.770000000018626,3336075.720000000204891,9982826.540000000968575
FS( 3 ),3386586.449999999720603,3285833.189999999944121,3350703.560000000055879,10023124.199999999254942
FS( 4 ),3349900.740000000223517,3254999.979999999981374,3303163.080000000074506,9908064.800000000745058
FS( 5 ),3338066.640000000130385,3284999.860000000335276,3299506.120000000111759,9922573.620000001043081
FS( 6 ),3313609.500000000000000,3303333.120000000111759,3339732.680000000167638,9956676.300000000745058
FS( 7 ),3299803.050000000279397,3294999.819999999832362,3358017.479999999515712,9952821.349999999627471
FS( 8 ),3340827.929999999701977,3330833.009999999776483,3411957.640000000130385,10083619.580000000074506
FS( 9 ),3345956.039999999571592,3368332.860000000335276,3410129.159999999683350,10124419.060000000521541
FS( 10 ),3346744.979999999981374,3353332.920000000391155,3363502.919999999925494,10063581.820000000298023
FS( 11 ),3318343.140000000130385,3299999.800000000279397,3334247.239999999757856,9952591.179999999701977
FS( 12 ),3367257.419999999925494,3319166.389999999664724,3379959.239999999757856,10066384.049999998882413
FS( 13 ),3407098.890000000130385,3312499.750000000000000,3404643.720000000204891,10124243.360000001266599
FS( 14 ),3407887.830000000074506,3306666.439999999944121,3348875.080000000074506,10063430.349999999627471
FS( 15 ),3416960.640000000130385,3362499.550000000279397,3391844.359999999869615,10171305.550000000745058
FS( 16 ),3422088.750000000000000,3341666.300000000279397,3422928.519999999552965,10186684.570000000298023
FS( 17 ),3460746.810000000055879,3343332.959999999962747,3466812.040000000037253,10270892.809999998658895
FS( 18 ),3525834.359999999869615,3349166.270000000018626,3502467.400000000372529,10377469.030000001192093
FS( 19 ),3516367.080000000074506,3334166.329999999608845,3486925.319999999832362,10337459.730000000447035
FS( 20 ),3580665.689999999944121,3361666.220000000204891,3491496.519999999552965,10433829.429999999701977
FS( 21 ),3567253.710000000428408,3411666.020000000018626,3516181.000000000000000,10495101.730000000447035
FS( 22 ),3542796.570000000298023,3399166.069999999832362,3507038.600000000093132,10449002.240000000223517
FS( 23 ),3592894.259999999776483,3357499.569999999832362,3454012.680000000167638,10404407.509999999776483
FS( 24 ),3633919.140000000130385,3359999.560000000055879,3480525.640000000130385,10474445.339999999850988
FS( 25 ),3648120.060000000055879,3434165.930000000167638,3468640.519999999552965,10550927.509999999776483
FS( 26 ),3637863.839999999850988,3456665.839999999850988,3485096.839999999850988,10579627.519999999552965
