代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11738978.269999999552965
真實報酬,1738978.269999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17032.871442956817191
風險,140119.450341739866417
起點值,0.121559650722402
找到最佳解世代,2467
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),BA[2](1),DD[7](3),MRK[17](16),MSFT[18](5),V[25](2),
Stock#,AAPL[0](4),BA[2](1),DD[7](3),MRK[17](16),MSFT[18](5),V[25](2),
張數,25546,15620,33062,34307,52626,37210,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,44.960000000195578,12.000000000000000,10.580000000074506,31.939999999944121,0.579999999841675,30.100000000093132,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1688124.640000000130385,1685410.000000000000000,1705348.540000000037253,1665293.719999999972060,1678243.719999999972060,1711690.100000000093132,10134114.719999998807907
FS( 3 ),1713159.720000000204891,1679162.000000000000000,1717581.480000000214204,1664950.649999999906868,1668244.779999999795109,1716899.500000000000000,10160002.129999998956919
FS( 4 ),1697832.120000000111759,1671976.800000000046566,1697744.280000000027940,1661863.019999999785796,1661929.659999999683350,1701271.300000000046566,10092621.179999999701977
FS( 5 ),1697065.740000000456348,1662292.400000000139698,1708654.739999999990687,1665636.789999999804422,1687190.139999999897555,1687503.600000000093132,10108347.410000000149012
FS( 6 ),1682504.520000000251457,1653232.800000000046566,1737749.300000000046566,1662892.229999999981374,1730869.719999999972060,1681922.100000000093132,10149174.669999999925494
FS( 7 ),1658491.280000000260770,1645266.599999999860302,1790979.120000000111759,1660147.669999999925494,1720870.780000000027940,1672619.600000000093132,10148379.049999998882413
FS( 8 ),1705751.380000000121072,1628240.799999999813735,1764529.520000000018626,1662892.229999999981374,1729817.199999999720603,1672247.500000000000000,10163482.629999998956919
FS( 9 ),1786732.200000000186265,1659324.600000000093132,1783374.860000000102445,1661519.949999999953434,1696136.559999999590218,1667410.200000000186265,10254502.370000001043081
FS( 10 ),1819175.620000000111759,1626991.199999999953434,1777423.699999999953434,1666322.929999999934807,1702451.679999999934807,1659224.000000000232831,10251593.130000000819564
FS( 11 ),1817131.940000000176951,1604654.600000000093132,1749321.000000000000000,1645738.729999999981374,1672981.119999999878928,1617920.899999999906868,10107752.289999999105930
FS( 12 ),1833225.920000000391155,1616213.399999999906868,1736757.440000000176951,1636475.840000000083819,1673507.379999999888241,1610478.900000000139698,10106662.880000000819564
FS( 13 ),1852896.340000000316650,1635738.399999999906868,1724524.500000000000000,1632359.000000000000000,1651930.719999999972060,1627967.600000000093132,10125420.560000000521541
FS( 14 ),1828627.640000000130385,1634332.599999999860302,1739733.020000000018626,1631672.860000000102445,1664034.699999999953434,1611595.200000000186265,10110000.019999999552965
FS( 15 ),1833481.380000000121072,1623086.199999999953434,1748659.760000000009313,1628242.159999999916181,1663508.439999999711290,1659596.100000000093132,10156578.039999999105930
FS( 16 ),1835525.060000000055879,1642298.800000000046566,1750974.100000000093132,1640249.610000000102445,1704556.719999999972060,1664433.399999999906868,10238041.690000001341105
FS( 17 ),1828372.179999999934807,1647609.600000000093132,1824041.120000000111759,1637505.049999999813735,1828754.079999999841675,1666293.900000000139698,10432579.929999999701977
FS( 18 ),1835525.060000000055879,1648390.600000000093132,1819743.060000000055879,1633731.279999999795109,1797178.479999999748543,1627967.600000000093132,10362540.080000000074506
FS( 19 ),1783155.760000000009313,1612152.199999999953434,1768496.960000000195578,1616234.709999999962747,1750341.339999999850988,1620153.500000000000000,10150538.469999998807907
FS( 20 ),1791585.940000000176951,1613089.399999999906868,1763207.040000000037253,1615548.570000000065193,1737711.100000000093132,1629828.100000000093132,10150974.150000000372529
FS( 21 ),1794396.000000000000000,1639018.600000000093132,1766513.239999999990687,1615891.639999999897555,1765602.879999999655411,1631316.500000000232831,10212742.859999999403954
FS( 22 ),1778046.560000000055879,1623242.400000000139698,1760892.699999999953434,1622409.969999999972060,1757708.979999999748543,1622758.200000000186265,10165062.809999998658895
FS( 23 ),1783155.760000000009313,1640268.200000000186265,1762876.420000000158325,1619665.409999999916181,1677717.459999999729916,1646944.699999999953434,10130631.949999999254942
FS( 24 ),1819942.000000000000000,1661511.400000000139698,1778746.179999999934807,1635789.699999999953434,1641931.779999999795109,1639130.600000000093132,10177055.660000000149012
FS( 25 ),1807424.460000000195578,1665885.000000000000000,1808501.980000000214204,1629957.509999999776483,1644036.819999999832362,1639130.600000000093132,10194940.369999999180436
FS( 26 ),1818153.780000000260770,1656825.399999999906868,1815445.000000000000000,1629271.370000000111759,1639300.479999999748543,1643595.800000000046566,10202595.830000000074506
FS( 27 ),1847276.220000000204891,1674319.800000000046566,1827347.320000000065193,1637848.120000000111759,1666139.739999999757856,1661084.500000000000000,10314019.700000001117587
FS( 28 ),1805125.320000000065193,1689627.400000000139698,1882560.860000000102445,1646081.799999999813735,1704556.719999999972060,1717271.600000000093132,10445227.699999999254942
FS( 29 ),1707028.679999999934807,1706184.600000000093132,1876279.080000000074506,1651570.919999999925494,1722975.819999999832362,1733271.900000000139698,10397315.000000000000000
FS( 30 ),1725166.340000000316650,1715088.000000000000000,1829661.660000000149012,1641621.889999999897555,1720344.519999999785796,1721736.800000000279397,10353623.210000000894070
FS( 31 ),1696554.820000000065193,1738986.599999999860302,1877270.940000000176951,1639563.469999999972060,1738237.359999999869615,1758202.600000000093132,10448819.789999999105930
FS( 32 ),1642652.760000000009313,1806777.400000000139698,1873964.739999999990687,1653286.269999999785796,1726133.379999999655411,1761923.600000000093132,10464742.149999998509884
FS( 33 ),1661812.260000000009313,1829270.199999999953434,1869666.679999999934807,1647111.009999999776483,1732974.759999999776483,1782389.100000000093132,10523228.009999999776483
FS( 34 ),1695788.440000000176951,1849420.000000000000000,1923888.360000000102445,1660490.739999999990687,1753498.899999999906868,1801366.199999999953434,10684456.640000000596046
FS( 35 ),1723633.580000000074506,1859416.800000000046566,1911986.040000000037253,1655687.759999999776483,1770339.219999999972060,1811412.900000000139698,10732480.300000000745058
FS( 36 ),1705751.380000000121072,1821772.599999999860302,1869336.060000000055879,1647111.009999999776483,1725607.119999999878928,1849739.200000000186265,10619321.370000001043081
FS( 37 ),1790564.100000000325963,1835518.200000000186265,1847515.140000000130385,1635789.699999999953434,1722975.819999999832362,1825552.700000000186265,10657919.660000000149012
FS( 38 ),1784943.980000000214204,1858792.000000000000000,1841563.980000000214204,1630643.649999999906868,1708240.539999999804422,1798761.500000000232831,10622949.650000000372529
