代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12232532.289999999105930
真實報酬,2232532.289999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20478.305632988529396
風險,163839.400911988806911
起點值,0.124990115436207
找到最佳解世代,2233
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](2),MCD[15](1),VZ[26](3),
Stock#,KO[14](2),MCD[15](1),VZ[26](3),
張數,129954,50231,131027,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,12.900000000372529,3.839999999850988,6.119999999646097,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3406107.240000000689179,3404158.709999999497086,3379192.449999999720603,10189459.400000000372529
FS( 3 ),3428199.420000000391155,3408177.189999999478459,3385743.799999999813735,10222121.410000000149012
FS( 4 ),3332033.460000000428408,3350411.540000000037253,3333333.000000000000000,10015779.000000000000000
FS( 5 ),3300844.500000000000000,3352923.089999999850988,3317609.759999999776483,9971378.349999999627471
FS( 6 ),3350227.020000000484288,3434799.619999999646097,3390984.879999999422580,10176012.519999999552965
FS( 7 ),3337231.620000000111759,3428771.899999999906868,3402777.309999999590218,10168781.829999998211861
FS( 8 ),3408706.320000000298023,3484528.310000000055879,3472221.619999999646097,10365457.250000000000000
FS( 9 ),3356724.720000000204891,3493067.580000000074506,3498427.019999999552965,10348220.320000000298023
FS( 10 ),3347627.940000000409782,3481012.139999999664724,3507598.909999999683350,10336239.990000000223517
FS( 11 ),3390512.760000000242144,3536266.240000000223517,3566561.059999999590218,10493341.059999998658895
FS( 12 ),3404807.700000000186265,3530740.830000000074506,3574422.679999999701977,10509972.210000000894070
FS( 13 ),3402208.620000000111759,3518685.389999999664724,3563940.519999999552965,10484835.529999999329448
FS( 14 ),3399609.540000000502914,3510146.119999999646097,3567871.329999999608845,10477627.990000000223517
FS( 15 ),3410005.860000000335276,3512155.359999999869615,3560009.709999999962747,10482171.929999999701977
FS( 16 ),3408706.320000000298023,3447859.679999999701977,3560009.709999999962747,10416576.710000000894070
FS( 17 ),3394411.380000000353903,3447357.369999999646097,3592766.459999999962747,10434536.210000000894070
FS( 18 ),3365821.500000000000000,3402149.470000000204891,3548217.279999999329448,10316189.250000000000000
FS( 19 ),3265756.920000000391155,3386577.859999999869615,3497116.750000000000000,10149452.530000001192093
FS( 20 ),3319038.060000000055879,3382057.069999999832362,3516770.799999999813735,10217866.929999999701977
FS( 21 ),3270955.080000000540167,3338356.099999999627471,3506288.639999999664724,10115600.820000000298023
FS( 22 ),3256660.140000000130385,3308719.810000000055879,3432913.519999999552965,9998294.469999998807907
FS( 23 ),3251461.980000000447035,3350913.849999999627471,3446016.219999999739230,10048393.050000000745058
FS( 24 ),3252761.520000000484288,3322282.179999999701977,3512839.989999999292195,10087884.689999999478459
FS( 25 ),3277452.780000000260770,3320775.250000000000000,3486634.589999999385327,10084863.619999999180436
FS( 26 ),3345028.860000000335276,3381052.450000000186265,3474842.159999999683350,10200924.470000000670552
FS( 27 ),3406107.240000000689179,3466947.459999999497086,3508909.179999999701977,10381964.879999998956919
FS( 28 ),3404807.700000000186265,3476993.659999999683350,3491875.669999999459833,10373678.029999999329448
FS( 29 ),3408706.320000000298023,3513159.979999999515712,3470911.349999999627471,10392778.649999998509884
FS( 30 ),3425600.340000000316650,3558367.879999999888241,3523322.149999999906868,10507291.370000001043081
FS( 31 ),3432098.040000000502914,3561381.740000000223517,3516770.799999999813735,10510251.580000001937151
FS( 32 ),3434697.120000000111759,3582981.069999999832362,3511529.719999999739230,10529208.910000000149012
FS( 33 ),3403508.160000000614673,3513159.979999999515712,3497116.750000000000000,10413785.890000000596046
FS( 34 ),3397010.460000000428408,3511653.049999999813735,3501047.559999999590218,10409712.070000000298023
FS( 35 ),3459388.380000000353903,3559874.810000000055879,3494496.209999999962747,10513760.400000000372529
FS( 36 ),3513969.060000000055879,3521699.250000000000000,3474842.159999999683350,10510511.470000000670552
FS( 37 ),3525664.920000000391155,3586497.240000000223517,3537735.119999999646097,10649898.279999999329448
FS( 38 ),3558153.420000000391155,3511150.740000000223517,3671382.659999999683350,10740687.820000000298023
FS( 39 ),3569849.280000000260770,3559874.810000000055879,3705449.679999999701977,10835174.769999999552965
FS( 40 ),3577646.520000000484288,3536266.240000000223517,3746068.049999999813735,10859981.810000000521541
FS( 41 ),3565950.660000000614673,3504620.709999999497086,3787996.689999999478459,10858569.059999998658895
FS( 42 ),3573747.900000000372529,3485030.619999999646097,3784065.879999999422580,10842845.399999998509884
FS( 43 ),3581545.140000000130385,3502611.470000000204891,3807650.739999999292195,10891808.349999999627471
FS( 44 ),3666015.240000000689179,3528731.589999999850988,3873164.239999999292195,11067912.070000000298023
FS( 45 ),3663416.160000000614673,3538777.790000000037253,3870543.699999999720603,11072738.650000000372529
FS( 46 ),3675112.020000000484288,3550833.229999999515712,3852199.919999999459833,11078146.169999999925494
FS( 47 ),3663416.160000000614673,3538777.790000000037253,3871853.969999999739230,11074048.920000001788139
FS( 48 ),3688107.420000000391155,3603575.779999999795109,3871853.969999999739230,11163538.169999999925494
FS( 49 ),3711499.140000000130385,3662848.359999999869615,3912472.339999999385327,11286820.839999999850988
FS( 50 ),3702402.360000000335276,3658829.879999999888241,3933436.659999999683350,11294669.900000000372529
FS( 51 ),3641323.980000000447035,3595036.509999999310821,3873164.239999999292195,11109525.730000000447035
FS( 52 ),3619231.800000000745058,3619649.700000000186265,3972744.759999999776483,11211627.260000001639128
FS( 53 ),3621830.880000000353903,3611110.429999999701977,3934746.929999999701977,11167689.240000000223517
FS( 54 ),3630927.660000000614673,3606087.330000000074506,3925575.039999999571592,11162591.029999999329448
FS( 55 ),3646522.140000000130385,3677917.659999999683350,3953090.709999999962747,11277531.509999999776483
FS( 56 ),3628328.580000000540167,3679424.589999999850988,3950470.169999999459833,11258224.339999999850988
FS( 57 ),3591941.460000000428408,3665359.909999999683350,3881025.859999999869615,11138328.230000000447035
FS( 58 ),3593241.000000000000000,3670885.319999999832362,3848269.109999999869615,11112396.429999999701977
FS( 59 ),3612734.100000000558794,3683945.379999999888241,3853510.189999999478459,11150190.669999999925494
FS( 60 ),3616632.720000000204891,3652802.159999999683350,3861371.809999999590218,11130807.689999999478459
FS( 61 ),3599738.700000000186265,3676410.729999999515712,3886266.939999999478459,11162417.369999999180436
FS( 62 ),3584144.220000000204891,3674903.799999999813735,3865302.619999999646097,11124351.639999998733401
FS( 63 ),3649121.220000000204891,3716595.529999999795109,3909851.799999999813735,11275569.550000000745058
FS( 64 ),3610135.020000000484288,3653806.779999999795109,3857441.000000000000000,11121383.800000000745058
FS( 65 ),3630927.660000000614673,3669880.700000000186265,3869233.429999999701977,11170042.790000000968575
FS( 66 ),3724494.540000000502914,3744222.580000000074506,3964883.139999999664724,11433601.260000001639128
FS( 67 ),3728393.160000000614673,3768333.459999999497086,3945229.089999999385327,11441956.709999999031425
FS( 68 ),3740089.020000000484288,3771849.629999999888241,3957021.519999999552965,11468961.169999999925494
FS( 69 ),3745287.180000000633299,3807513.639999999664724,3959642.059999999590218,11512443.879999998956919
FS( 70 ),3758282.580000000540167,3821578.319999999832362,3991088.539999999571592,11570950.439999999478459
FS( 71 ),3788172.000000000000000,3735683.310000000055879,4040878.799999999813735,11564735.109999999403954
FS( 72 ),3802466.940000000409782,3767831.149999999906868,4038258.259999999776483,11608557.349999999627471
FS( 73 ),3771277.980000000447035,3745729.509999999310821,4048740.419999999459833,11565748.910000000149012
FS( 74 ),3742688.100000000558794,3714083.979999999515712,4050050.689999999478459,11506823.769999999552965
FS( 75 ),3730992.240000000689179,3752761.849999999627471,4086738.250000000000000,11570493.339999999850988
FS( 76 ),3737489.940000000409782,3757282.639999999664724,4116874.459999999962747,11611648.039999999105930
FS( 77 ),3740089.020000000484288,3733171.759999999310821,4150941.479999999515712,11624203.259999997913837
FS( 78 ),3767379.360000000335276,3772854.250000000000000,4204662.550000000745058,11744897.160000000149012
FS( 79 ),3776476.140000000130385,3792946.649999999906868,4234798.759999999776483,11804222.550000000745058
FS( 80 ),3784273.380000000353903,3773858.869999999646097,4243970.650000000372529,11802103.900000000372529
FS( 81 ),3760881.660000000614673,3749245.679999999701977,4215144.709999999031425,11725273.049999998882413
FS( 82 ),3808964.640000000130385,3772351.939999999478459,4276727.400000000372529,11858044.980000000447035
FS( 83 ),3807665.100000000558794,3755273.399999999906868,4305553.339999999850988,11868492.839999999850988
FS( 84 ),3840153.600000000558794,3748743.369999999646097,4287209.559999998658895,11876107.529999999329448
FS( 85 ),3818061.420000000391155,3739701.790000000037253,4279347.939999999478459,11837112.150000000372529
FS( 86 ),3802466.940000000409782,3742715.649999999906868,4270176.050000000745058,11815359.640000000596046
FS( 87 ),3841453.140000000130385,3763310.359999999869615,4309484.150000000372529,11914248.650000000372529
FS( 88 ),3825858.660000000614673,3764817.290000000037253,4327827.929999999701977,11918504.880000000819564
FS( 89 ),3876540.720000000204891,3808518.259999999310821,4398582.509999999776483,12083642.489999998360872
FS( 90 ),3883038.420000000391155,3787421.240000000223517,4356653.869999999180436,12027114.529999999329448
FS( 91 ),3862245.780000000260770,3810527.500000000000000,4314725.230000000447035,11987499.510000001639128
FS( 92 ),3860946.240000000689179,3822582.939999999478459,4301622.529999999329448,11985152.709999999031425
FS( 93 ),3870043.020000000484288,3796965.129999999888241,4327827.929999999701977,11994837.080000000074506
FS( 94 ),3872642.100000000558794,3796462.819999999832362,4263624.699999999254942,11932730.619999999180436
FS( 95 ),3894734.280000000260770,3805002.089999999850988,4220385.789999999105930,11920123.160000000149012
FS( 96 ),3893434.740000000689179,3869800.080000000074506,4250522.000000000000000,12013757.820000000298023
FS( 97 ),3894734.280000000260770,3891901.720000000204891,4249211.730000000447035,12035848.730000000447035
FS( 98 ),3898632.900000000372529,3883864.759999999310821,4270176.050000000745058,12052674.710000000894070
FS( 99 ),3920725.080000000540167,3867288.529999999795109,4213834.439999999478459,12001849.050000000745058
FS( 100 ),3974006.220000000204891,3888385.549999999813735,4276727.400000000372529,12139120.169999999925494
FS( 101 ),3994798.860000000335276,3940123.479999999515712,4261004.160000000149012,12195927.500000000000000
FS( 102 ),4003895.640000000130385,3945648.889999999664724,4204662.550000000745058,12154208.080000000074506
FS( 103 ),3964909.440000000409782,3953183.540000000037253,4238729.570000000298023,12156823.550000000745058
FS( 104 ),3979204.380000000353903,3956197.399999999906868,4258383.619999999180436,12193786.399999998509884
FS( 105 ),3976605.300000000745058,3891901.720000000204891,4259693.889999998733401,12128201.910000000149012
FS( 106 ),3977904.840000000316650,3891901.720000000204891,4246591.189999999478459,12116398.750000000000000
FS( 107 ),3984402.540000000502914,3906468.709999999497086,4255763.080000000074506,12146635.330000000074506
